"Delete Customer","Kunden löschen"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
"No such entity with %fieldName = %fieldValue","Keine Eintrag mit %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","You cannot delete a role when it is the only role in the company. You must create another role before deleting this role."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","Rolle mit ID %1 kann nicht gelöscht werden"
"Type %1 is not an instance of %2","Typ %1 ist keine Instanz von %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Eine Firma mit dieser E-Mail-Adresse existiert bereits im System. Bitte geben Sie eine andere E-Mail-Adresse an, um diese Firma zu erstellen."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected."
"Could not save company: %1","Die Firma konnte nicht gespeichert werden: %1"
"Cannot delete structure with id %1","Cannot delete structure with id %1"
"Could not create team","Team konnte nicht erstellt werden"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first."
"Could not update team","Team konnte nicht aktualisiert werden"
"Cannot delete team with id %1","Team mit der ID %1 konnte nicht gelöscht werden"
"You cannot assign a different role to a company admin.","Sie können einem Firmen-Admin keine andere Rolle zuweisen."
"You cannot assign multiple roles to a user.","Sie können einem Benutzer nicht mehreren Rollen zuweisen."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers."
"Something went wrong","Es ist ein Fehler aufgetreten"
"This customer company account is blocked and customer cannot place orders.","Das Kunden-Firmen-Konto ist blockiert und der Kunde kann keine Bestellungen tätigen."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - Dupliziert"
"message","Nachricht"
"Exception message","Fehlermeldung"
"test","Test"
"phrase","Ausdruck"
"exception","Ausnahme"
"Localized Exception.","Lokalisierte Ausnahme."
"Error message","Fehlermeldung"
"No such entity.","Keine solche Einheit"
"error message","Fehlermeldung"
"Could not save role","Rolle konnte nicht gespeichert werden"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Team konnte nicht gelöscht werden"
"Role Name","Rollenname"
"Role Name 15","Rollenname 15"
"Edit","Bearbeiten"
"Delete","Löschen"
"Duplicate","Kopieren"
"Company Name","Firmenname"
"Customer Type:","Kundentyp:"
"Company:","Firma:"
"Company Information","Unternehmensinformation"
"Company Legal Name","Rechtlicher Name des Unternehmens"
"Company Email","Firmen-E-Mail"
"VAT/TAX ID","USt.-ID"
"Re-seller ID","Reseller-ID"
"Legal Address","Meldeadresse"
"Street Address","Straße"
"City","Stadt"
"Country","Land"
"State/Province","Bundesland"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"ZIP/Postal Code","Postleitzahl"
"Phone Number","Telefonnummer"
"Company Administrator","Firmen-Admin"
"Job Title","Job-Titel"
"Email","E-Mail"
"Submit","Absenden"
"New Company Account","Neues Unternehmenskonto"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Unternehmenskonto erstellen"
"Business Structure","Unternehmensstruktur"
"Expand All","Alle aufklappen"
"Collapse All","Alle zuklappen"
"Add User","Benutzer hinzufügen"
"Add Team","Team hinzufügen"
"Edit Selected","Auswahl bearbeiten"
"Delete Selected","Auswahl löschen"
"Error","Fehler"
"User Role","Benutzerrolle"
"First Name","Vorname"
"Last Name","Nachname"
"Status","Status"
"Team Title","Titel des Teams"
"Description","Beschreibung"
"You don't have a company account yet.","Sie haben noch kein Unternehmenskonto."
"Account Information","Kontoinformation"
"VAT/TAX ID: ","USt.-ID: "
"Re-seller ID: ","Reseller-ID: "
"You have no other address entries in your address book.","Sie haben keine andere Adresseinträgen in Ihrem Adressbuch."
"T: %1","T: %1"
"Contacts","Kontakte"
"Sales Representative","Vertriebsmitarbeiter"
"Role Information","Rolleninformationen"
"Role Permissions","Rollenberechtigungen"
"Save Role","Rolle speichern"
"Add New User","Neuen Benutzer hinzufügen"
"Company","Firma"
"Create an Account","Ein Konto erstellen"
"Change","Ändern"
"This action will replace your Company Admin.","Diese Aktion ersetzt Ihren Firmen-Administrator."
"* Your latest changes on the company profile have not been saved yet.","* Ihre neuesten Änderungen am Firmenprofil wurden noch nicht gespeichert."
"Dear %name,","Hallo %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Sie wurden <a href=""%customer_url"">%company_name</a> als Firmen-Admin zugewiesen."
"When you sign in to your account, you can:","Wenn Sie sich in Ihr Benutzerkonto einloggen, können Sie:"
"* Create and manage company users and teams","* Create and manage company users and teams"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Create and manage company shipping and billing addresses"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","If this is a mistake,
    please contact the company Admin at %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Ihr Konto ist jetzt aktiv. Sie können es verwenden, um sich auf der <a href=""%customer_url"">Website</a> einzuloggen."
"Your account is no longer active. You will not be able to use it for login.","Ihr Konto ist nicht mehr aktiv. Sie können es nicht für den Login verwenden."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","Company: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","You have been assigned to %company_name as the Sales Representative."
"When you sign in to your account, you will be able to:","Wenn Sie sich in Ihr Benutzerkonto einloggen können Sie:"
"* View and manage company quotes in Admin Panel","* View and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* View and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
"Delete a Company?","Delete a Company?"
"Cancel","Stornieren"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You cannot delete this user: The user is the company admin."
"Cannot Delete the Company Admin","Cannot Delete the Company Admin"
"Done","Fertig"
"No results","Keine Ergebnisse"
"options","Optionen"
"Proceed","Fortfahren"
"Change Company Status?","Change Company Status?"
"Change status","Status ändern"
"Popup title","Popup title"
"Cannot delete the user","Cannot delete the user"
"This user cannot be deleted because he/she is a company admin.","This user cannot be deleted because he/she is a company admin."
"Edit User","Benutzer bearbeiten"
"Cannot Delete User","Nutzer kann nicht gelöscht werden"
"Delete this user?","Diesen Benutzer löschen?"
"This action cannot be undone. Are you sure you want to delete this user?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie diesen Benutzer löschen möchten?"
"Edit Team","Team bearbeiten"
"Cannot Delete This Team","Dieses Team kann nicht gelöscht werden"
"Delete this team?","Dieses Team löschen?"
"This action cannot be undone. Are you sure you want to delete this team?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie dieses Team löschen möchten?"
"Delete This Role?","Diese Rolle löschen?"
"This action cannot be undone. Are you sure you want to delete this role?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie diese Rolle löschen möchten?"
"Cannot Delete Role","Rolle kann nicht gelöscht werden"
"Cannot Delete Customer","Kunde kann nicht gelöscht werden"
"Set Inactive","Inaktiv setzen"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Benutzer mit dieser E-Mail-Adresse existiert bereits im System. Geben Sie eine andere E-Mail-Adresse ein um weiterzumachen. Wenn Sie Ihr aktuelles Konto als ein Administratorkonto verwenden möchten, kontaktieren Sie den Verkäufer."
"Enable Company","Unternehmen freischalten"
"Company Configuration","Unternehmenskonfiguration"
"General","Allgemein"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Durch Kommata getrennt"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","Alle"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Verkäufe"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","View orders"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Set a Company as Active"
"Set Active","Set Active"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","Block a Company"
"Block","Block"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","Id"
"Reseller ID","Reseller ID"
"Comment","Kommentar"
"ZIP","PLZ"
"Customer Group","Kundengruppe"
"Company Admin","Company Admin"
"Gender","Geschlecht"
"Customer Type","Customer Type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Please specify the reason"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Reason for Rejection"
"VAT / TAX ID","VAT / TAX ID"
"Website","Webseite"
"Prefix","Präfix"
"Middle Name/Initial","Zweiter Vorname"
"Suffix","Suffix"
"Advanced Settings","Erweiterte Einstellungen"
"Change Customer Group?","Change Customer Group?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","Customer Active"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Change Company?"
"Associate to Company","Associate to Company"
"My Orders","Meine Bestellungen"
"Create New Customer","Neuen Kunden erstellen"
"Create New Company Account","Create New Company Account"
"Name","Name"
"Role","Rolle"
"Team","Team"
"Users","Benutzer"
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"%fieldName is a required field","%fieldName ist ein Pflichtfeld"
"Consumer is not authorized to access resource","Der Benutzer hat keine Zugangsberechtigung für die Resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Ihr Unternehmenskonto ist gesperrt und Sie können keine Bestellungen aufgeben. Wenn Sie Fragen haben, kontaktieren Sie bitte den Administrator Ihres Unternehmens."
