"Delete Customer","පාරිභෝගිකයා මකන්න"
"The customer was successfully deleted.","පාරිභෝගිකයා සාර්ථකව මකා ඇත."
"The customer was successfully updated.","පාරිභෝගිකයා සාර්ථකව යාවත්කාලීන කරන ලදී."
"Company Profile","සමාගම් පැතිකඩ"
"The changes you made on the company profile have been successfully saved.","ඔබ සමාගමේ පැතිකඩෙහි සිදු කළ වෙනස්කම් සාර්ථකව සුරැකී ඇත."
"You must fill in all required fields before you can continue.","ඔබට ඉදිරියට යාමට පෙර අවශ්‍ය සියලුම ක්ෂේත්‍ර පිරවිය යුතුය."
"Bad Request","නරක ඉල්ලීම"
"You have deleted role %companyRoleName.","ඔබ භූමිකාව %companyRoleName මකා ඇත."
"Add New Role","නව භූමිකාවක් එක් කරන්න"
"Edit Role","භූමිකාව සංස්කරණය කරන්න"
"Roles and Permissions","භූමිකාවන් සහ අවසර"
"The tree retrieved successfully.","ගස සාර්ථකව ලබා ගන්නා ලදී."
"The item was successfully moved.","අයිතමය සාර්ථකව ගෙන යන ලදී."
"The team was successfully deleted.","කණ්ඩායම සාර්ථකව මකා දමන ලදී."
"The team was successfully updated.","කණ්ඩායම සාර්ථකව යාවත්කාලීන කරන ලදී."
"The team was successfully created.","කණ්ඩායම සාර්ථකව නිර්මාණය කරන ලදී."
"Company Users","සමාගම් භාවිතා කරන්නන්"
"A customer with the same email already assigned to company.","සමාගමට දැනටමත් පවරා ඇති එකම ඊමේල් සහිත පාරිභෝගිකයෙක්."
"Active","ක්රියාකාරී"
"Pending Approval","පොරොත්තු අනුමැතිය"
"Rejected","ප්‍රතික්ෂේප කළා"
"Blocked","අවහිර කර ඇත"
"The company admin cannot be moved to a different location in the company structure.","සමාගමේ පරිපාලකයා සමාගම් ව්‍යුහයේ වෙනත් ස්ථානයකට ගෙන යා නොහැක."
"A user or a team cannot be moved under itself.","පරිශීලකයෙකු හෝ කණ්ඩායමක් තමන් යටතට ගෙන යා නොහැක."
"A user or a team cannot be moved under its child user or team.","පරිශීලකයෙකු හෝ කණ්ඩායමක් එහි ළමා පරිශීලකයා හෝ කණ්ඩායම යටතට ගෙන යා නොහැක."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","නිශ්චිත මාපිය හැඳුනුම්පත වෙනත් සමාගමකට අයත් වේ. නිශ්චිත ආයතනය (කණ්ඩායම හෝ පරිශීලකයා) සහ එහි නව මාපියන් එකම සමාගමට අයත් විය යුතුය."
"Unable to move customer structure.","පාරිභෝගික ව්‍යුහය ගෙන යාමට නොහැක."
"Cannot delete company with id %1","id %1සහිත සමාගම මකා දැමිය නොහැක"
"No company admin email is specified in request.","ඉල්ලීමෙහි සමාගම් පරිපාලක විද්‍යුත් තැපෑලක් සඳහන් කර නොමැත."
"No company admin website ID is specified in request.","ඉල්ලීමෙහි සමාගම් පරිපාලක වෙබ් අඩවි හැඳුනුම්පතක් සඳහන් කර නොමැත."
"No such entity with id = %idValue","id = %idValue සමඟ එවැනි වස්තුවක් නැත"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","පරිශීලක %1 සමාගමේ පරිපාලක වන අතර අක්‍රිය ලෙස සැකසිය නොහැක. ඔබ පළමුව සමාගමේ පරිපාලක ලෙස වෙනත් පරිශීලකයෙකු සැකසිය යුතුය."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","ඔබට ඉල්ලූ උපලක්ෂණ යාවත්කාලීන කළ නොහැක. පේළි ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","වලංගු නොවන ගුණාංග අගය. සමාගම් පරිපාලකයෙකු සඳහා සමාගම වෙනස් කළ නොහැක."
"Company admin","සමාගමේ පරිපාලක"
"Company user","සමාගමේ පරිශීලක"
"Individual user","තනි පරිශීලක"
"Inactive","අක්රියයි"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","එහි මව් සම්පත්(ය) ""ප්‍රතික්ෂේප කිරීම"" ලෙස සකසා ඇති නිසා සම්පත සඳහා ""අවසර"" සැකසීමට නොහැක."
"Invalid login or password.","වලංගු නොවන පිවිසුම් හෝ මුරපදය."
"This account is locked.","මෙම ගිණුම අගුලු දමා ඇත."
"Your account is not yet approved. If you have questions, please contact the seller.","ඔබගේ ගිණුම තවමත් අනුමත කර නොමැත. ඔබට ප්‍රශ්න ඇත්නම්, කරුණාකර විකුණුම්කරු අමතන්න."
"There was an error saving custom attributes.","අභිරුචි උපලක්ෂණ සුරැකීමේ දෝෂයක් ඇති විය."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ක්ෂේත්‍රය සඳහා සපයා ඇති ""% අගය"" වල වලංගු නොවන අගයක්."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue සමග එවැනි ආයතනයක් නැත"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","පරිශීලකයින් එයට පවරා ඇති නිසා මෙම භූමිකාව මකා දැමිය නොහැක. ඉදිරියට යාමට පරිශීලකයන් වෙනත් භූමිකාවකට නැවත පවරන්න."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","සමාගමේ එකම භූමිකාව වන විට ඔබට භූමිකාවක් මකා දැමිය නොහැක. මෙම භූමිකාව මැකීමට පෙර ඔබ වෙනත් භූමිකාවක් නිර්මාණය කළ යුතුය."
"User role with this name already exists. Enter a different name to save this role.","මෙම නම සහිත පරිශීලක භූමිකාව දැනටමත් පවතී. මෙම භූමිකාව සුරැකීමට වෙනත් නමක් ඇතුළත් කරන්න."
"Cannot delete role with id %1","id %1සමඟ භූමිකාව මකා දැමිය නොහැක"
"Type %1 is not an instance of %2","වර්ගය %1 යනු %2හි අවස්ථාවක් නොවේ"
"The selected user is inactive. To continue, select another user or activate the current user.","තෝරාගත් පරිශීලකයා අක්‍රියයි. ඉදිරියට යාමට, වෙනත් පරිශීලකයෙකු තෝරන්න හෝ වත්මන් පරිශීලකයා සක්රිය කරන්න."
"This customer is a user of a different company. Enter a different email address to continue.","මෙම පාරිභෝගිකයා වෙනත් සමාගමක පරිශීලකයෙකි. ඉදිරියට යාමට වෙනත් ඊමේල් ලිපිනයක් ඇතුළු කරන්න."
"Company with this email address already exists in the system. Enter a different email address to continue.","මෙම ඊමේල් ලිපිනය සහිත සමාගම දැනටමත් පද්ධතිය තුළ පවතී. ඉදිරියට යාමට වෙනත් ඊමේල් ලිපිනයක් ඇතුළු කරන්න."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","වලංගු නොවන ගුණාංග අගය. ප්‍රතික්ෂේප කළ දිනය සහ වේලාව සහ ප්‍රතික්ෂේප කළ හේතුව වෙනස් කළ හැක්කේ සමාගමේ තත්ත්වය ප්‍රතික්ෂේප කළ බවට වෙනස් කළ විට පමණි."
"Could not save company: %1","සමාගම සුරැකීමට නොහැකි විය: %1"
"Cannot delete structure with id %1","id %1සමඟ ව්‍යුහය මැකිය නොහැක"
"Could not create team","කණ්ඩායමක් නිර්මාණය කිරීමට නොහැකි විය"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","මෙම කණ්ඩායමට ළමා පරිශීලකයන් හෝ කණ්ඩායම් පෙළගස්වා ඇති අතර මකා දැමිය නොහැක. කරුණාකර පළමුව ළමා පරිශීලකයන් හෝ කණ්ඩායම් නැවත පෙළගස්වන්න."
"Could not update team","කණ්ඩායම යාවත්කාලීන කිරීමට නොහැකි විය"
"Cannot delete team with id %1","id %1සහිත කණ්ඩායම මකා දැමිය නොහැක"
"You cannot assign a different role to a company admin.","ඔබට සමාගම් පරිපාලකයෙකුට වෙනස් භූමිකාවක් පැවරිය නොහැක."
"You cannot assign multiple roles to a user.","ඔබට පරිශීලකයෙකුට බහු භූමිකාවන් පැවරිය නොහැක."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","සමාගමේ පරිපාලක මකා දැමිය නොහැක. මකා දැමීමේ මෙහෙයුම නතර කර ඇත. කරුණාකර අනෙක් පාරිභෝගිකයින් සඳහා ක්‍රියාව නැවත කරන්න."
"Something went wrong","මොකක්හරි වැරැද්දක් වෙලා"
"This customer company account is blocked and customer cannot place orders.","මෙම පාරිභෝගික සමාගම් ගිණුම අවහිර කර ඇති අතර පාරිභෝගිකයාට ඇණවුම් කළ නොහැක."
"The consumer isn't authorized to access resource.","සම්පත් වෙත ප්‍රවේශ වීමට පාරිභෝගිකයාට අවසර නැත."
" - Duplicated"," - අනුපිටපත්"
"message","පණිවුඩය"
"Exception message","ව්යතිරේක පණිවිඩය"
"test","පරීක්ෂණය"
"phrase","වාක්ය ඛණ්ඩය"
"exception","ව්යතිරේක"
"Localized Exception.","ස්ථානීය ව්යතිරේකය."
"Error message","දෝෂ පණිවිඩය"
"No such entity.","එවැනි ආයතනයක් නැත."
"error message","දෝෂ පණිවිඩය"
"Could not save role","භූමිකාව සුරැකීමට නොහැකි විය"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","කණ්ඩායම මකා දැමිය නොහැක"
"Role Name","භූමිකාවේ නම"
"Role Name 15","භූමිකාවේ නම 15"
"Edit","සංස්කරණය කරන්න"
"Delete","මකන්න"
"Duplicate","අනුපිටපත් කරන්න"
"Company Name","සමාගම් නාමය"
"Customer Type:","පාරිභෝගික වර්ගය:"
"Company:","සමාගම:"
"Company Information","සමාගමේ තොරතුරු"
"Company Legal Name","සමාගමේ නීතිමය නම"
"Company Email","සමාගමේ ඊමේල්"
"VAT/TAX ID","වැට්/බදු හැඳුනුම්පත"
"Re-seller ID","නැවත විකුණුම් හැඳුනුම්පත"
"Legal Address","නීතිමය ලිපිනය"
"Street Address","වීථි ලිපිනය"
"City","නගරය"
"Country","රට"
"State/Province","ප්රාන්තය/පළාත"
"Please select a region, state or province.","කරුණාකර කලාපයක්, ප්‍රාන්තයක් හෝ පළාතක් තෝරන්න."
"ZIP/Postal Code","සිප් / තැපැල් කේතය"
"Phone Number","දුරකථන අංකය"
"Company Administrator","සමාගමේ පරිපාලක"
"Job Title","රැකියා තනතුර"
"Email","විද්යුත් තැපෑල"
"Submit","ඉදිරිපත් කරන්න"
"New Company Account","නව සමාගම් ගිණුම"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","ඔබ සමාගමක් නියෝජනය කරන්නේ නම්, ඔබට අපගේ සමාගම් ගිණුම් ප්‍රදේශය භාවිතා කිරීමට අවශ්‍ය වනු ඇත. සමාගම් ගිණුමක් නිර්මාණය කිරීම සියලුම සමාගම් සාමාජිකයින්ට උපුටා දැක්වීම, සමාගම් පරිශීලක කළමනාකරණය, ඉක්මන් ඇණවුම සහ තවත් බොහෝ B2B විශේෂාංග වෙත ප්‍රවේශය සපයයි."
"Create a Company Account","සමාගම් ගිණුමක් සාදන්න"
"Business Structure","ව්යාපාර ව්යුහය"
"Expand All","සියල්ල පුළුල් කරන්න"
"Collapse All","සියල්ල හකුලන්න"
"Add User","පරිශීලක එකතු කරන්න"
"Add Team","කණ්ඩායම එකතු කරන්න"
"Edit Selected","සංස්කරණය තෝරන ලදී"
"Delete Selected","තෝරාගත් මකන්න"
"Error","දෝෂයකි"
"User Role","පරිශීලක භූමිකාව"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Status","තත්ත්වය"
"Team Title","කණ්ඩායම් මාතෘකාව"
"Description","විස්තර"
"You don't have a company account yet.","ඔබට තවමත් සමාගම් ගිණුමක් නොමැත."
"Account Information","ගිණුම් තොරතුරු"
"VAT/TAX ID: ","වැට්/බදු ID: "
"Re-seller ID: ","නැවත විකුණුම් ID: "
"You have no other address entries in your address book.","ඔබගේ ලිපින පොතේ වෙනත් ලිපින සටහන් නොමැත."
"T: %1","ටී: %1"
"Contacts","සම්බන්ධතා"
"Sales Representative","අලෙවි නියෝජිත"
"Role Information","භූමිකාව පිළිබඳ තොරතුරු"
"Role Permissions","භූමිකාව අවසර"
"Save Role","භූමිකාව සුරකින්න"
"Add New User","නව පරිශීලක එකතු කරන්න"
"Company","සමාගම"
"Create an Account","ගිණුමක් තනන්න"
"Change","වෙනස් කරන්න"
"This action will replace your Company Admin.","මෙම ක්‍රියාව ඔබේ සමාගම් පරිපාලක ප්‍රතිස්ථාපනය කරයි."
"* Your latest changes on the company profile have not been saved yet.","* සමාගම් පැතිකඩෙහි ඔබගේ නවතම වෙනස්කම් තවමත් සුරැකී නොමැත."
"Dear %name,","හිතවත් %nam,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","ඔබ සමාගමේ පරිපාලක ලෙස <a href=""%customer_url"">%company_name</a> වෙත පවරා ඇත."
"When you sign in to your account, you can:","ඔබ ඔබගේ ගිණුමට පුරන විට, ඔබට:"
"* Create and manage company users and teams","* සමාගම් පරිශීලකයින් සහ කණ්ඩායම් සාදන්න සහ කළමනාකරණය කරන්න"
"* Manage user permissions for the store","* ගබඩාව සඳහා පරිශීලක අවසර කළමනාකරණය කරන්න"
"* Create and manage company shipping and billing addresses","* සමාගම් නැව්ගත කිරීම් සහ බිල්පත් ලිපින සාදන්න සහ කළමනාකරණය කරන්න"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","ඔබ සමාගමේ සාමාජිකයා ලෙස <a href=%customer_url>%company_name</a> වෙත එක් කර ඇත.
    ඔබ ඔබේ ගිණුම ඇතුළු කළ පසු,
    සමාගමේ හවුල් සම්පත් ඔබට ලබා ගත හැක."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","මෙය වැරදීමක් නම්,
    කරුණාකර %company_admin_email හිදී සමාගමේ පරිපාලක අමතන්න."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","ඔබගේ ගිණුම දැන් සක්‍රීයයි. <a href=""%customer_url"">වෙබ් අඩවිය</a>වෙත පිවිසීමට ඔබට එය භාවිතා කළ හැක."
"Your account is no longer active. You will not be able to use it for login.","ඔබගේ ගිණුම තවදුරටත් සක්‍රිය නැත. පුරනය වීම සඳහා ඔබට එය භාවිතා කිරීමට නොහැකි වනු ඇත."
"If this is a mistake, please contact the seller.","මෙය වැරදීමක් නම්, කරුණාකර විකුණුම්කරු අමතන්න."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","ඔබගේ ගිණුම අක්‍රිය ලෙස සකසා ඇති අතර ඔබට දැන් සමාගම් ගිණුමට ප්‍රවේශ විය නොහැක. මෙය වැරදීමක් යැයි ඔබ සිතන්නේ නම්, කරුණාකර විස්තර සඳහා ඔබේ කළමනාකරු අමතන්න."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","පාරිභෝගික %cපාරිභෝගිකයා විසින් සමාගම් ලියාපදිංචි කිරීමේ ඉල්ලීමක් ඉදිරිපත් කර ඇත. ඔබ මෙම සමාගම අනුමත කරන තෙක් හෝ ප්‍රතික්ෂේප කරන තෙක් ගිණුම තාවකාලිකව අගුලු දමා ඇත."
"Company: %company","සමාගම: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","ඔබේ සමාගම් ලියාපදිංචි කිරීමේ ඉල්ලීම ( <strong>%company_name</strong>සඳහා)
    අනුමත කර ඇති අතර ඔබ සමාගමේ පරිපාලක ලෙස සකසා ඇත.
    ඔබට දැන් ඔබේ සමාගම් ව්‍යුහය නිර්මාණය කර කළමනාකරණය කළ හැක.
    ඔබේ සමාගමේ සාමාජිකයින්ට මිල ගණන් ඉල්ලා සිටීමට, ඉල්ලීම් ලැයිස්තු සෑදීමට,
    සහ අනෙකුත් B2B විශේෂාංග භාවිතා කිරීමට හැකිය."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","ඔබේ සමාගමේ තත්ත්වය <strong>%company_name</strong>
    දැන් <strong>Active</strong>.
    ඔබ පුරනය වූ පසු, ඔබට ඔබේ සමාගම වෙනුවෙන් ඇණවුම් කිරීමට
    සහ අනෙකුත් B2B විශේෂාංග භාවිතා කිරීමට හැකි වනු ඇත."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","ඔබේ ගිණුම් වර්ගය සමාගම් පරිපාලක සිට සාමාන්‍ය පරිශීලක ගිණුමකට වෙනස් කර ඇත. මෙය වැරදීමක් යැයි ඔබ සිතන්නේ නම්, කරුණාකර විස්තර සඳහා ඔබේ කළමනාකරු අමතන්න."
"%name,","%nam,"
"You have been assigned to %company_name as the Sales Representative.","ඔබ විකුණුම් නියෝජිතයා ලෙස %company_name වෙත පවරා ඇත."
"When you sign in to your account, you will be able to:","ඔබ ඔබගේ ගිණුමට පුරනය වූ විට, ඔබට හැකි වනු ඇත:"
"* View and manage company quotes in Admin Panel","* පරිපාලක පැනලයේ සමාගම් මිල ගණන් බලන්න සහ කළමනාකරණය කරන්න"
"* View and edit company profile in Admin Panel","* Admin Panel හි සමාගම් පැතිකඩ බලන්න සහ සංස්කරණය කරන්න"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","ඔබගේ සමාගම් ගිණුම <strong>%company_name</strong> අවහිර කර ඇත.
    ඔබේ සමාගමේ සාමාජිකයින්ට වෙබ් අඩවිය දිගටම භාවිතා කළ හැක,
    නමුත් ඔවුන්ට ඇණවුම් කිරීමට නොහැකි වනු ඇත."
"If you have any questions, please contact the seller.","ඔබට කිසියම් ප්රශ්නයක් ඇත්නම්, කරුණාකර විකුණුම්කරු අමතන්න."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","ඔබේ සමාගම් ගිණුම <strong>%company_name</strong> අත්හිටුවා ඇත, විකුණුම්කරුගේ අනුමැතිය බලාපොරොත්තු වේ."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","ඔබගේ සමාගම් ලියාපදිංචි කිරීමේ ඉල්ලීම ( <strong>%company_name</strong>සඳහා) පහත හේතුව නිසා
    ප්‍රතික්ෂේප කර ඇත:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","මෙම ක්‍රියාව පසුගමනය කළ නොහැක. ඔබට මෙම සමාගම මැකීමට අවශ්‍ය බව විශ්වාසද? සමාගම මකා දැමීමෙන් පසු, සියලුම සමාගම් සාමාජිකයින් අක්‍රිය වෙත සකසනු ඇත."
"Delete a Company?","සමාගමක් මකන්නද?"
"Cancel","අවලංගු කරන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Sorry! You cannot delete this user: The user is the company admin.","සමාවන්න! ඔබට මෙම පරිශීලකයා මකා දැමිය නොහැක: පරිශීලකයා සමාගමේ පරිපාලක වේ."
"Cannot Delete the Company Admin","සමාගමේ පරිපාලක මකා දැමිය නොහැක"
"Done","කළා"
"No results","ප්රතිපල රහිතයි"
"options","විකල්ප"
"Proceed","ඉදිරියට යන්න"
"Change Company Status?","සමාගමේ තත්ත්වය වෙනස් කරන්නද?"
"Change status","තත්ත්වය වෙනස් කරන්න"
"Popup title","උත්පතන මාතෘකාව"
"Cannot delete the user","පරිශීලකයා මකා දැමිය නොහැක"
"This user cannot be deleted because he/she is a company admin.","ඔහු/ඇය සමාගමේ පරිපාලකයෙකු නිසා මෙම පරිශීලකයා මකා දැමිය නොහැක."
"Edit User","පරිශීලක සංස්කරණය කරන්න"
"Cannot Delete User","පරිශීලකයා මකා දැමිය නොහැක"
"Delete this user?","මෙම පරිශීලකයා මකන්නද?"
"This action cannot be undone. Are you sure you want to delete this user?","මෙම ක්‍රියාව පසුගමනය කළ නොහැක. ඔබට මෙම පරිශීලකයා මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Edit Team","කණ්ඩායම සංස්කරණය කරන්න"
"Cannot Delete This Team","මෙම කණ්ඩායම මකා දැමිය නොහැක"
"Delete this team?","මෙම කණ්ඩායම මකන්නද?"
"This action cannot be undone. Are you sure you want to delete this team?","මෙම ක්‍රියාව පසුගමනය කළ නොහැක. ඔබට මෙම කණ්ඩායම මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Delete This Role?","මෙම භූමිකාව මකන්නද?"
"This action cannot be undone. Are you sure you want to delete this role?","මෙම ක්‍රියාව පසුගමනය කළ නොහැක. ඔබට මෙම භූමිකාව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Cannot Delete Role","භූමිකාව මකා දැමිය නොහැක"
"Cannot Delete Customer","පාරිභෝගිකයා මකා දැමිය නොහැක"
"Set Inactive","අක්රිය සකසන්න"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","මෙම විද්‍යුත් තැපෑල සහිත පරිශීලකයා දැනටමත් පද්ධතිය තුළ සිටී. ඉදිරියට යාමට වෙනත් ඊමේල් ලිපිනයක් ඇතුළු කරන්න. ඔබට ඔබගේ ජංගම ගිණුම පරිපාලක ගිණුමක් ලෙස භාවිතා කිරීමට අවශ්‍ය නම්, කරුණාකර විකුණුම්කරු අමතන්න."
"Enable Company","සමාගම සක්රිය කරන්න"
"Company Configuration","සමාගම් වින්‍යාසය"
"General","ජනරාල්"
"Allow Company Registration from the Storefront","වෙළඳසැල් ඉදිරිපිට සිට සමාගම් ලියාපදිංචියට ඉඩ දෙන්න"
"Email Options - Company Registration","ඊමේල් විකල්ප - සමාගම් ලියාපදිංචිය"
"Company Registration Email Recipient","සමාගම් ලියාපදිංචි ඊමේල් ලබන්නා"
"Send Company Registration Email Copy To","සමාගම් ලියාපදිංචි විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Comma-separated","කොමාවකින් වෙන් කරන ලද"
"Send Email Copy Method","ඊමේල් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Default Company Registration Email","පෙරනිමි සමාගම් ලියාපදිංචි ඊමේල්"
"Customer-Related Emails","පාරිභෝගිකයා සම්බන්ධ ඊමේල්"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' ඊමේල්"
"This email is sent to the company's Sales Rep and the Company Admin.","මෙම විද්‍යුත් තැපෑල සමාගමේ විකුණුම් නියෝජිතයා සහ සමාගමේ පරිපාලක වෙත යවනු ලැබේ."
"Default 'Assign Company to Customer' Email","පෙරනිමි 'සමාගම පාරිභෝගිකයාට පවරන්න' විද්‍යුත් තැපෑල"
"This email is sent to the customer only.","මෙම විද්‍යුත් තැපෑල යවනු ලබන්නේ පාරිභෝගිකයාට පමණි."
"Default 'Assign Company Admin' Email","පෙරනිමි 'සමාගම පරිපාලක පවරන්න' විද්‍යුත් තැපෑල"
"Default 'Company Admin Inactive' Email","පෙරනිමි 'සමාගම පරිපාලක අක්‍රිය' විද්‍යුත් තැපෑල"
"Default 'Company Admin Changed To Member' Email","පෙරනිමි 'සමාගම පරිපාලක සාමාජිකයා ලෙස වෙනස් කර ඇත' ඊමේල්"
