"Delete Customer","Remover cliente"
"Inactive","Inativo"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Não é possível definir ""permitir"" para o recurso porque seu (s) recurso (s) pai (s) está definido como ""negar""."
"Invalid login or password.","Nome de utilizador ou palavra-passe errados."
"This account is locked.","Esta conta está bloqueada."
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido de ""%value"" fornecido para o campo %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"No such entity with %fieldName = %fieldValue","Nenhum entidade com %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","You cannot delete a role when it is the only role in the company. You must create another role before deleting this role."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","Cannot delete role with id %1"
"Type %1 is not an instance of %2","Tipo %1 não é uma instância de %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Company with this email address already exists in the system. Enter a different email address to continue."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected."
"Could not save company: %1","Could not save company: %1"
"Cannot delete structure with id %1","Cannot delete structure with id %1"
"Could not create team","Could not create team"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first."
"Could not update team","Could not update team"
"Cannot delete team with id %1","Cannot delete team with id %1"
"You cannot assign a different role to a company admin.","You cannot assign a different role to a company admin."
"You cannot assign multiple roles to a user.","You cannot assign multiple roles to a user."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers."
"Something went wrong","Ocorreu algo de errado"
"This customer company account is blocked and customer cannot place orders.","This customer company account is blocked and customer cannot place orders."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - Duplicated"
"message","mensagem"
"Exception message","Mensagem da exceção"
"test","teste"
"phrase","phrase"
"exception","exceção"
"Localized Exception.","Exceção Localizada."
"Error message","Mensagem de erro"
"No such entity.","No such entity."
"error message","mensagem de erro"
"Could not save role","Could not save role"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Cannot delete team"
"Role Name","Nome da Função"
"Role Name 15","Role Name 15"
"Edit","Editar"
"Delete","Eliminar"
"Duplicate","Duplicate"
"Company Name","Company Name"
"Customer Type:","Customer Type:"
"Company:","Empresa:"
"Company Information","Informação da empresa"
"Company Legal Name","Razão Social"
"Company Email","E-mail da Empresa"
"VAT/TAX ID","NIF/VAT"
"Re-seller ID","Re-seller ID"
"Legal Address","Legal Address"
"Street Address","Morada"
"City","Cidade"
"Country","País"
"State/Province","Concelho/Distrito"
"Please select a region, state or province.","Por favor selecione a região, concelho ou distrito."
"ZIP/Postal Code","Código Postal"
"Phone Number","Número de Telefone"
"Company Administrator","Company Administrator"
"Job Title","Job Title"
"Email","Correio electrónico"
"Submit","Submeter"
"New Company Account","New Company Account"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Create a Company Account"
"Business Structure","Business Structure"
"Expand All","Expandir Todos"
"Collapse All","Esconder Todos"
"Add User","Add User"
"Add Team","Add Team"
"Edit Selected","Edit Selected"
"Delete Selected","Delete Selected"
"Error","Erro"
"User Role","Função do Utilizador"
"First Name","Nome"
"Last Name","Sobrenome"
"Status","Estado"
"Team Title","Team Title"
"Description","Descrição"
"You don't have a company account yet.","You don't have a company account yet."
"Account Information","Informações da Conta"
"VAT/TAX ID: ","NIF/VAT: "
"Re-seller ID: ","Re-seller ID: "
"You have no other address entries in your address book.","Não tem nenhuma outra morada no seu livro de endereços."
"T: %1","T: %1"
"Contacts","Contactos"
"Sales Representative","Representante de Vendas"
"Role Information","Informação da Função"
"Role Permissions","Role Permissions"
"Save Role","Gravar Função"
"Add New User","Adicionar Novo Utilizador"
"Company","Empresa"
"Create an Account","Criar uma Conta"
"Change","Modificar"
"This action will replace your Company Admin.","This action will replace your Company Admin."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","Caro {name},"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Você foi atribuído a <a href=""%customer_url"">%company_name</a> como administrador da empresa."
"When you sign in to your account, you can:","Quando iniciar sessão, vai poder:"
"* Create and manage company users and teams","* Criar e gerir equipes e usuários da empresa"
"* Manage user permissions for the store","* Gerir permissões de usuário para a loja"
"* Create and manage company shipping and billing addresses","* Criar e gerir os endereços de envio e cobrança da empresa"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Você foi adicionado ao <a href=%customer_url>%company_name</a> como membro da empresa.
    Depois de inserir sua conta,
    os recursos compartilhados da empresa estarão disponíveis para você."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Se isso for um erro,
    entre em contato com o administrador da empresa em %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>."
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","Company: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","You have been assigned to %company_name as the Sales Representative."
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:"
"* View and manage company quotes in Admin Panel","* View and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* View and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
"Delete a Company?","Delete a Company?"
"Cancel","Cancelar"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You cannot delete this user: The user is the company admin."
"Cannot Delete the Company Admin","Cannot Delete the Company Admin"
"Done","Concluído"
"No results","No results"
"options","opções"
"Proceed","Proceed"
"Change Company Status?","Change Company Status?"
"Change status","Alterar estado"
"Popup title","Popup title"
"Cannot delete the user","Cannot delete the user"
"This user cannot be deleted because he/she is a company admin.","This user cannot be deleted because he/she is a company admin."
"Edit User","Editar Utilizador"
"Cannot Delete User","Cannot Delete User"
"Delete this user?","Delete this user?"
"This action cannot be undone. Are you sure you want to delete this user?","This action cannot be undone. Are you sure you want to delete this user?"
"Edit Team","Edit Team"
"Cannot Delete This Team","Cannot Delete This Team"
"Delete this team?","Delete this team?"
"This action cannot be undone. Are you sure you want to delete this team?","This action cannot be undone. Are you sure you want to delete this team?"
"Delete This Role?","Delete This Role?"
"This action cannot be undone. Are you sure you want to delete this role?","This action cannot be undone. Are you sure you want to delete this role?"
"Cannot Delete Role","Cannot Delete Role"
"Cannot Delete Customer","Cannot Delete Customer"
"Set Inactive","Set Inactive"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Enable Company","Enable Company"
"Company Configuration","Company Configuration"
"General","Geral"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","Todos"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Vendas"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","View orders"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Set a Company as Active"
"Set Active","Set Active"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","Block a Company"
"Block","Bloco"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","Id."
"Reseller ID","Reseller ID"
"Comment","Comentário"
"ZIP","Cód. Postal"
"Customer Group","Grupos de Clientes"
"Company Admin","Company Admin"
"Gender","Sexo"
"Customer Type","Customer Type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Please specify the reason"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Motivo da devolução"
"VAT / TAX ID","NIF/VAT"
"Website","Site"
"Prefix","Prefixo"
"Middle Name/Initial","Nome do Meio/Inicial"
"Suffix","Sufixo"
"Advanced Settings","Definições Avançadas"
"Change Customer Group?","Guardar grupo de cliente?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","Atividade do cliente"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Change Company?"
"Associate to Company","Associate to Company"
"My Orders","As minhas Encomendas"
"Create New Customer","Criar Novo Cliente"
"Create New Company Account","Create New Company Account"
"Name","Nome"
"Role","Função"
"Team","Team"
"Users","Utilizadores"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
