"Delete Customer","Обриши Купца"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Креирај налог компаније"
"Business Structure","Business Structure"
"Expand All","Развиј све"
"Collapse All","Скупи све"
"Add User","Додај Усер"
"Add Team","Додај Теам"
"Edit Selected","Измени Селецтед"
"Delete Selected","Избриши одабрано"
"Error","Грешка"
"User Role","Улога корисника"
"First Name","Име"
"Last Name","Презиме"
"Status","Статус"
"Team Title","Назив тима"
"Description","Опис"
"You don't have a company account yet.","Још увек немате налог компаније."
"Account Information","Информације о корисничком налогу"
"VAT/TAX ID: ","ПИБ:"
"Re-seller ID: ","ИД препродавца:"
"You have no other address entries in your address book.","Немате више уноса у свом адресару."
"T: %1","T: %1"
"Contacts","Контакти"
"Sales Representative","Представник продаје"
"Role Information","Информације о улози"
"Role Permissions","Дозволе улоге"
"Save Role","Сачувај улогу"
"Add New User","Додај новог корисника"
"Company","Компанија"
"Create an Account","Креирај Налог"
"Change","Промена"
"This action will replace your Company Admin.","Тхис ацтион wилл реплаце yоур Компанија Админ."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Додељени сте <а хреф=""%цустомер_урл"">%цомпанy_наме</а> као администратор компаније."
"When you sign in to your account, you can:","When you sign in to your account, you can:"
"* Create and manage company users and teams","* Креирај анд манаге цомпанy усерс анд теамс"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Креирај анд манаге цомпанy схиппинг анд биллинг аддрессес"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Додати сте у <а хреф=%цустомер_урл>%цомпанy_наме</а> као члан компаније.
    Када уђете у свој налог,
    дељени ресурси компаније биће вам доступни."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Ако је ово грешка,
    контактирајте администратора компаније на %цомпанy_админ_емаил."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Ваш налог је сада активан. Можете га користити за пријављивање на <а хреф=""%цустомер_урл"">веб сајт</а>."
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Yоур аццоунт је сет то инацтиве анд yоу не може ноw аццесс тхе цомпанy аццоунт. Иф yоу тхинк тхис ис а мистаке, плеасе цонтацт yоур манагер фор детаилс."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","А цомпанy регистратион реqуест је субмиттед бy цустомер %цустомер. Тхе аццоунт ис темпорарилy лоцкед унтил yоу аппрове ор рејецт тхис цомпанy."
"Company: %company","Компанија: %цомпанy"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Ваш захтев за регистрацију компаније (за <стронг>%цомпанy_наме</стронг>)
    је одобрен и постављени сте као Админ компаније.
    Сада можете креирати и управљати структуром своје компаније.
    Чланови ваше компаније могу захтевати понуде, креирати листе захтева
    и користити друге Б2Б функције."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Статус ваше компаније <стронг>%цомпанy_наме</стронг>
    је сада <стронг>Активан</стронг>.
    Када се пријавите, моћи ћете да наручујете у име своје компаније
    и користите друге Б2Б функције."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Yоур аццоунт тyпе је цхангед фром Компанија Админ то а регулар усер аццоунт. Иф yоу тхинк тхис ис а мистаке, плеасе цонтацт yоур манагер фор детаилс."
"%name,","%назив,"
"You have been assigned to %company_name as the Sales Representative.","Yоу су ассигнед то %цомпанy_наме ас тхе Продаја Репресентативе."
"When you sign in to your account, you will be able to:","Када се пријавите на свој налог, моћи ћете да:"
"* View and manage company quotes in Admin Panel","* Преглед анд манаге цомпанy qуотес ин Админ Панел"
"* View and edit company profile in Admin Panel","* Преглед анд едит цомпанy профиле ин Админ Панел"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Налог ваше компаније <стронг>%цомпанy_наме</стронг> је блокиран.
    Чланови ваше компаније могу наставити да користе веб сајт,
    али неће моћи да наручују."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Yоур цомпанy аццоунт <стронг>%цомпанy_наме</стронг> је суспендед, пендинг аппровал фром тхе селлер."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Ваш захтев за регистрацију компаније (за <стронг>%цомпанy_наме</стронг>) је одбијен
    из следећег разлога:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис цомпанy? Афтер тхе цомпанy ис делетед, алл тхе цомпанy мемберс wилл бе сет то Неактиван."
"Delete a Company?","Обрисати компанију?"
"Cancel","Откажи"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Sorry! You cannot delete this user: The user is the company admin.","Соррy! Yоу не може делете тхис усер: Тхе усер ис тхе цомпанy админ."
"Cannot Delete the Company Admin","Не може Обриши тхе Компанија Админ"
"Done","Готово"
"No results","Нема резултата"
"options","опције"
"Proceed","Proceed"
"Change Company Status?","Променити статус компаније?"
"Change status","Промена статуса"
"Popup title","Popup title"
"Cannot delete the user","Не може делете тхе усер"
"This user cannot be deleted because he/she is a company admin.","Тхис усер не може бе делетед бецаусе хе/схе ис а цомпанy админ."
"Edit User","Уреди корисника"
"Cannot Delete User","Не може се обрисати корисник"
"Delete this user?","Обрисати овог корисника?"
"This action cannot be undone. Are you sure you want to delete this user?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис усер?"
"Edit Team","Измени Теам"
"Cannot Delete This Team","Не може се обрисати овај тим"
"Delete this team?","Обрисати овај тим?"
"This action cannot be undone. Are you sure you want to delete this team?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис теам?"
"Delete This Role?","Обрисати ову улогу?"
"This action cannot be undone. Are you sure you want to delete this role?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис роле?"
"Cannot Delete Role","Не може се обрисати улога"
"Cannot Delete Customer","Не може се обрисати купац"
"Set Inactive","Постави као неактивно"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Изабери Обриши то перманентлy делете тхе усер аццоунт анд цонтент. Усер'с ордерс анд qуотес аре стилл висибле фор тхе мерцхант. Изабери Сет Неактиван то темпорарилy лоцк тхе усер. Тхе усер’с цонтент ис стилл аваилабле то парент усерс."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Усер wитх тхис емаил алреадy еxистс ин тхе сyстем. Ентер а дифферент емаил аддресс то цонтинуе. Иф желите да усе yоур цуррент аццоунт ас ан администратор аццоунт, плеасе цонтацт тхе селлер."
"Enable Company","Омогући Компанија"
"Company Configuration","Конфигурација компаније"
"General","Опште"
"Allow Company Registration from the Storefront","Дозволи Компанија Регистратион фром тхе Сторефронт"
"Email Options - Company Registration","Е-пошта Оптионс - Компанија Регистратион"
"Company Registration Email Recipient","Прималац емаила регистрације компаније"
"Send Company Registration Email Copy To","Пошаљи копију емаила регистрације компаније на"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Метод слања копије емаила"
"Default Company Registration Email","Подразумевано Компанија Регистратион Е-пошта"
"Customer-Related Emails","Купац-Релатед Емаилс"
"Default 'Sales Rep Assigned' Email","Подразумевано 'Продаја Реп Ассигнед' Е-пошта"
"This email is sent to the company's Sales Rep and the Company Admin.","Тхис емаил ис сент то тхе цомпанy'с Продаја Реп анд тхе Компанија Админ."
"Default 'Assign Company to Customer' Email","Подразумевано 'Ассигн Компанија то Купац' Е-пошта"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Подразумевано 'Ассигн Компанија Админ' Е-пошта"
"Default 'Company Admin Inactive' Email","Подразумевано 'Компанија Админ Неактиван' Е-пошта"
"Default 'Company Admin Changed To Member' Email","Подразумевано 'Компанија Админ Цхангед То Мембер' Е-пошта"
"Default 'Customer Status Active' Email","Подразумевано 'Купац Статус Активан' Е-пошта"
"Default 'Customer Status Inactive' Email","Подразумевано 'Купац Статус Неактиван' Е-пошта"
"Company Status Change","Промена статуса компаније"
"Send Company Status Change Email Copy To","Пошаљи Компанија Статус Цханге Е-пошта Копирај То"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Цомма-сепаратед. Тхе реципиент(с) wилл гет а цопy оф ан емаил wхицх ис бy дефаулт сент то тхе Компанија Админ онлy."
"Default 'Company Status Change To Active 1"" Email","Подразумевани емаил 'Промена статуса компаније у Активна 1"""
"This email is sent when company status changes from Pending Approval to Active.","Тхис емаил ис сент wхен цомпанy статус цхангес фром На чекању Аппровал то Активан."
"Default 'Company Status Change To Active 2"" Email","Подразумевани емаил 'Промена статуса компаније у Активна 2"""
"This email is sent when company status changes from Rejected or Blocked to Active.","Тхис емаил ис сент wхен цомпанy статус цхангес фром Одбијен ор Блоцкед то Активан."
"Default 'Company Status Change To Rejected"" Email","Подразумевани емаил 'Промена статуса компаније у Одбијена"""
"This email is sent when company status changes to Rejected.","Тхис емаил ис сент wхен цомпанy статус цхангес то Одбијен."
"Default 'Company Status Change To Blocked"" Email","Подразумевани емаил 'Промена статуса компаније у Блокирана"""
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Подразумевани емаил 'Промена статуса компаније у Чека одобрење"""
"This email is sent when company status changes to Pending Approval.","Тхис емаил ис сент wхен цомпанy статус цхангес то На чекању Аппровал."
"All","Све"
"Account Information (View)","Информације о налогу (Преглед)"
"Legal Address (View)","Правна адреса (Преглед)"
"Contacts (View)","Цонтацтс (Преглед)"
"Company User Management","Управљање корисницима компаније"
"View roles and permissions","Прегледај улоге и дозволе"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","Прегледај кориснике и тимове"
"Manage users and teams","Manage users and teams"
"Sales","Продаја"
"Checkout (place order)","Наплата (плаце ордер)"
"Use Pay On Account method","Користи метод плаћања на рачун"
"View orders","Прегледај поруџбине"
"View orders of subordinate users","Прегледај поруџбине подређених корисника"
"Are you sure you want to set the selected companies as active?","Да ли сте сигурни желите да сет тхе селецтед цомпаниес ас ацтиве?"
"Set a Company as Active","Постави компанију као активну"
"Set Active","Постави као активно"
"Are you sure you want to block the selected companies?","Да ли сте сигурни желите да блоцк тхе селецтед цомпаниес?"
"Block a Company","Блокирај компанију"
"Block","Блокови"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхе селецтед цомпаниес? Афтер тхе цомпанy ис делетед, алл тхе цомпанy мемберс wилл бе сет то Неактиван."
"ID","ИД"
"Reseller ID","ИД препродавца"
"Comment","Коментар"
"ZIP","ZIP"
"Customer Group","Група купаца"
"Company Admin","Админ компаније"
"Gender","Пол"
"Customer Type","Тип купца"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Да ли сте сигурни желите да темпорарилy дисабле тхис цомпанy аццоунт? Иф yоу цонфирм, логин фор алл цомпанy мемберс wилл бе блоцкед."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Да ли сте сигурни желите да сет тхис цомпанy то ацтиве? Иф yоу цонфирм, тхе цомпанy мемберс wилл бе абле то операте wитхин тхеир цомпанy аццоунт.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Да ли сте сигурни желите да рејецт тхис цомпанy? Иф yоу цонфирм, логин фор алл цомпанy мемберс wилл бе блоцкед."
"Please specify the reason","Наведите разлог"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Тхе реасон wилл аппеар ин тхе 'Одбијен' емаил сент то тхе Компанија Админ. Ит wилл алсо бе савед анд дисплаyед ин Админ Панел (ин тхе цомпанy профиле)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Да ли сте сигурни желите да блоцк тхис цомпанy? Иф yоу процеед, тхе цомпанy мемберс wилл нот бе абле то плаце ордерс."
"Reason for Rejection","Разлог за одбијање"
"VAT / TAX ID","ПИБ"
"Website","Wеб сајт"
"Prefix","Префикс"
"Middle Name/Initial","Средње име/Иницијал"
"Suffix","Суфикс"
"Advanced Settings","Напредна подешавања"
"Change Customer Group?","Променити групу купца?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Тхе усер <%- усернаме %> ис тхе цомпанy админ анд не може бе сет то инацтиве. Yоу муст сет анотхер усер ас тхе цомпанy админ фирст."
"Customer Active","Активан купац"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Променити компанију?"
"Associate to Company","Ассоциате то Компанија"
"My Orders","Моје поруџбине"
"Create New Customer","Креирај Ново Купац"
"Create New Company Account","Креирај нови налог компаније"
"Name","Име"
"Role","Улога"
"Team","Team"
"Users","Корисници"
"%fieldName is a required field.","%фиелд назив је обавезно поље."
"%fieldName is a required field","%фиелдНаме ис а обавезно поље"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Yоур цомпанy аццоунт ис блоцкед анд yоу не може плаце ордерс. Иф yоу хаве qуестионс, плеасе цонтацт yоур цомпанy администратор."
