"Delete Customer","Slet kunde"
"When you sign in to your account, you can:","When you sign in to your account, you can:"
"* Create and manage company users and teams","* Create and manage company users and teams"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Create and manage company shipping and billing addresses"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","If this is a mistake,
    please contact the company Admin at %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Din konto er nu aktiv. Du kan bruge den til at logge ind på <a href=""%customer_url"">hjemmesiden</a>."
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","Company: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","You have been assigned to %company_name as the Sales Representative."
"When you sign in to your account, you will be able to:","Når du logger på din konto vil du være i stand til at:"
"* View and manage company quotes in Admin Panel","* View and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* View and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
"Delete a Company?","Delete a Company?"
"Cancel","Annuller"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You cannot delete this user: The user is the company admin."
"Cannot Delete the Company Admin","Cannot Delete the Company Admin"
"Done","Udført"
"No results","No results"
"options","valgmuligheder"
"Proceed","Fortsæt"
"Change Company Status?","Change Company Status?"
"Change status","Ændre status"
"Popup title","Popup titel"
"Cannot delete the user","Kan ikke slette denne bruger"
"This user cannot be deleted because he/she is a company admin.","Denne bruger kan ikke slettes, fordi han/hun er virksomheds admin."
"Edit User","Redigér bruger"
"Cannot Delete User","Kan ikke slette denne bruger"
"Delete this user?","Slet denne bruger?"
"This action cannot be undone. Are you sure you want to delete this user?","Denne handling kan ikke fortrydes. Er du sikker på du vil slette denne bruger?"
"Edit Team","Rediger team"
"Cannot Delete This Team","Kan ikke slette denne bruger"
"Delete this team?","Vil du slette dette team?"
"This action cannot be undone. Are you sure you want to delete this team?","Denne handling kan ikke fortrydes. Er du sikker på du vil slette denne bruger?"
"Delete This Role?","Slet denne rolle?"
"This action cannot be undone. Are you sure you want to delete this role?","Denne handling kan ikke fortrydes. Er du sikker på du vil slette denne rolle?"
"Cannot Delete Role","Kan ikke slette rollen"
"Cannot Delete Customer","Kan ikke slette kunden"
"Set Inactive","Deaktiver"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Enable Company","Enable Company"
"Company Configuration","Company Configuration"
"General","Generelt"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","Denne e-mail sendes når status ændres til Afventer godkendelse."
"All","Alle"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Salg"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","Vis ordre"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Aktiver virksomhed"
"Set Active","Aktiver"
"Are you sure you want to block the selected companies?","Er du sikker på at du vil slette de valgte virksomheder?"
"Block a Company","Block a Company"
"Block","Blok"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Denne handling kan ikke fortrydes. Er du sikker på du vil slette de valgte virksomheder? Når virksomheden er slettet, vil alle virksomhedens medlemmer angives til inaktiv."
"ID","ID"
"Reseller ID","Forhandler-ID"
"Comment","Kommenter"
"ZIP","Postnr."
"Customer Group","Kundegruppe"
"Company Admin","Virksomhedens Admin"
"Gender","Køn"
"Customer Type","Kundetype"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Er du sikker på du midlertidigt deaktivere denne virksomhedskonto? Hvis du bekræfter, blokeres login for alle virksomhedens medlemmer."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Er du sikker på, du vil aktivere virksomheden? Hvis du bekræfter, vil virksomhedens medlemmer kunne bruge deres egen konto.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Er du sikker på du vil afvise denne virksomhed? Hvis du bekræfter, blokeres login for alle virksomhedens medlemmer."
"Please specify the reason","Angiv årsagen hertil"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Årsagen vil blive vist i 'Afvist' e-mailem som sendens til virksomhedens admin. Det vil også være gemt og vises i Admin Panel (i virksomhedsprofilen)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Er du sikker på at du ønsker at blokere denne virksomhed? Hvis du forsætter, så vil virksomhedens medlemmer ikke kunne afgive ordre."
"Reason for Rejection","Angiv årsag for afvisning"
"VAT / TAX ID","CVR-nr"
"Website","Hjemmeside"
"Prefix","Præfiks"
"Middle Name/Initial","Mellemnavn/initialer"
"Suffix","Suffiks"
"Advanced Settings","Avancerede indstillinger"
"Change Customer Group?","Rediger kundegruppe?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Denne handling vil gemme ændringer for alle medlemmer af virksomhedsgruppen. Ønsker du at forsætte?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Denne bruger <%- username %> er virksomhedens administrator og ikke deaktiveres. Du må vælge en anden admin først."
"Customer Active","Aktive kunder"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Denne kunde er tilknytte en anden virksomhed. Hvis du forsætter vil kunde blive overført til den valgte virksomhed."
"Change Company?","Skift virksomhed?"
"Associate to Company","Tilknyt virksomhed"
"My Orders","Mine ordrer"
"Create New Customer","Opret ny kunde"
"Create New Company Account","Opret ny virksomhed"
"Name","Navn"
"Role","Rolle"
"Team","Hold"
"Users","Brugere"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
