"Delete Customer","حذف مشتری"
"Could not create team","نمی توان تیم ایجاد کرد"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","این تیم دارای زیرگروه و کاربر بوده و بنابراین نمی تواند حذف شود. لطفا ابتدا کاربران تیم مورد نظر را به تیم دیگری منتقل کنید."
"Could not update team","نمی توان تیم را به روز رسانی کرد"
"Cannot delete team with id %1","نمیتوان تیم با شناسه %1 را حذف کرد"
"You cannot assign a different role to a company admin.","شما نمی توانید نقش های مختلفی به مدیریت یک شرکت اختصاص دهید."
"You cannot assign multiple roles to a user.","شما نمی توانید نقش های مختلفی به یک کاربر اختصاص دهید."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","نمی توانید مدیر شرکت را حذف کنید. عملیات حذف متوقف شد. لطفا این عمل را برای کاربران دیگر تکرار کنید."
"Something went wrong","مشکلی پیش آمده است"
"This customer company account is blocked and customer cannot place orders.","حساب کاربری این شرکت مسدود شده است و مشتری نمی تواند سفارشی ثبت کند."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - تکراری"
"message","پیغام"
"Exception message","پیغام استثنا"
"test","تست"
"phrase","عبارت"
"exception","استثنا"
"Localized Exception.","استثناء محلی."
"Error message","پیغام خطا"
"No such entity.","چنین چیزی وجود ندارد."
"error message","پیغام خطا"
"Could not save role","نقش ذخیره نشد"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","تیم را نمی توان حذف کرد"
"Role Name","نام نقش"
"Role Name 15","نام نقش 15"
"Edit","ويرايش"
"Delete","حذف"
"Duplicate","ایجاد کپی"
"Company Name","نام شرکت"
"Customer Type:","نوع مشتری:"
"Company:","شرکت:"
"Company Information","اطلاعات شرکت"
"Company Legal Name","نام قانونی شرکت"
"Company Email","ایمیل شرکت"
"VAT/TAX ID","شناسه مالیات بر ارزش افزوده/ مالیات"
"Re-seller ID","شناسه نماینده فروش"
"Legal Address","آدرس حقوقی"
"Street Address","خیابان"
"City","شهر"
"Country","كشور"
"State/Province","استان / شهرستان"
"Please select a region, state or province.","لطفا یک منطقه، استان یا شهرستان انتخاب کنید."
"ZIP/Postal Code","کد پستی"
"Phone Number","شماره تلفن"
"Company Administrator","سرپرست شرکت"
"Job Title","شغل"
"Email","ايميل"
"Submit","ارسال"
"New Company Account","حساب جدید شرکت"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","اگر به عنوان نماینده یک شرکت تمایل داشته باشید، می توانید از فضای کاربری مجموعه ما استفاده کنید. با ایجاد حساب کاربری تمامی اعضای شرکت شما می توانند به امکانات B2B مانند برآورد، مدیریت کاربران شرکت، سفارش سریع و غیره دسترسی داشته باشند."
"Create a Company Account","یک حساب کاربری شرکتی ایجاد کنید"
"Business Structure","ساختار کسب و کار"
"Expand All","باز کردن همه"
"Collapse All","بستن همه"
"Add User","افزودن کاربر"
"Add Team","افزودن تیم"
"Edit Selected","ویرایش انتخاب شده ها"
"Delete Selected","حذف انتخاب شده ها"
"Error","خطا"
"User Role","نقش کاربر"
"First Name","نام"
"Last Name","نام خانوادگی"
"Status","وضعيت"
"Team Title","عنوان تیم"
"Description","توصیف"
"You don't have a company account yet.","شما هنوز حساب کاربری شرکتی ندارید."
"Account Information","اطلاعات حساب کاربری"
"VAT/TAX ID: ","شناسه مالیات بر ارزش افزوده/ مالیات: "
"Re-seller ID: ","شناسه نماینده فروش: "
"You have no other address entries in your address book.","شما هیچ نشانی دیگری در دفترچه آدرس خود ندارید."
"T: %1","T: %1"
"Contacts","مخاطبین"
"Sales Representative","نماینده‌ فروش"
"Role Information","اطلاعات نقش"
"Role Permissions","دسترسی های نقش"
"Save Role","ذخیره نقش"
"Add New User","افزودن کاربر جدید"
"Company","شركت"
"Create an Account","ایجاد حساب کاربری"
"Change","تغییر"
"This action will replace your Company Admin.","این عمل جایگزین مدیر شرکت شما خواهد شد."
"* Your latest changes on the company profile have not been saved yet.","* جدیدترین تغییرات شما در مشخصات شرکت هنوز ذخیره نشده است."
"Dear %name,","%name گرامی,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","شما به عنوان مدیریت شرکت <a href=""%customer_url"">%company_name</a> انتخاب شده اید."
"When you sign in to your account, you can:","وقتی وارد حساب کاربری خود شدید، می توانید:"
"* Create and manage company users and teams","* ایجاد و مدیریت کاربران شرکت و تیم ها"
"* Manage user permissions for the store","* مدیریت دسترسی های کاربر برای فروشگاه"
"* Create and manage company shipping and billing addresses","* ایجاد و مدیریت ارسال های شرکت و صدور آدرس های صورت حساب"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","شما به <a href=%customer_url>%company_name</a> به عنوان عضو شرکت اضافه شده اید.
    هنگامی که وارد حساب کاربری خود شوید
    در منابع مشترک شرکت سهیم خواهید بود."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","اگر این اشتباه است،
    لطفا با ایمیل %company_admin_email با مدیر شرکت تماس بگیرید."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","حساب کاربری شما در حال حاضر فعال است. شما می توانید برای ورود به وب سایت <a href=""%customer_url""></a> از آن استفاده کنید."
"Your account is no longer active. You will not be able to use it for login.","حساب کاربری شما دیگر فعال نیست. دیگر نمی توانید از آن برای ورود به سایت استفاده کنید."
"If this is a mistake, please contact the seller.","اگر این اشتباه است، لطفا با فروشنده تماس بگیرید."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","حساب کاربری شما غیرفعال شده است و شما در حال حاضر نمی توانید به حساب شرکت دسترسی داشته باشید. اگر فکر می کنید اشتباهی رخ داده است، لطفا برای جزئیات بیشتر با مدیر تماس بگیرید."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","یک درخواست ثبت شرکت توسط مشتری %customer ایجاد شد. حساب کاربری تا زمانی که شما این شرکت را رد یا تأیید کنید، قفل خواهد بود."
"Company: %company","شرکت: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","نوع حساب شما از مدیر شرکت به حساب کاربری عادی تغییر پیدا کرد. اگر فکر می کنید اشتباهی رخ داده است، لطفا برای جزئیات بیشتر با مدیر تماس بگیرید."
"%name,","%name"
"You have been assigned to %company_name as the Sales Representative.","شما به عنوان نماینده فروش شرکت %company_name انتخاب شده اید."
"When you sign in to your account, you will be able to:","وقتی وارد حساب کاربری خود شدید، می توانید:"
"* View and manage company quotes in Admin Panel","* نمایش و مدیریت برآوردهای شرکت در پنل مدیریت"
"* View and edit company profile in Admin Panel","* نمایش و ویرایش پروفایل شرکت در پنل مدیریت"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","اگر سؤالی دارید، لطفا با فروشنده تماس بگیرید."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","این دستور برگشت پذیر نیست. آیا مطمئنید که می خواهید این شرکت را حذف کنید؟ پس از حذف شرکت، تمام اعضای آن غیرفعال خواهند شد."
"Delete a Company?","می خواهید شرکت را حذف کنید؟"
"Cancel","لغو"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Sorry! You cannot delete this user: The user is the company admin.","با عرض پوزش شما نمی توانید این کاربر را حذف کنید: این کاربر مدیر شرکت است."
"Cannot Delete the Company Admin","نمی توان مدیر شرکت را حذف کرد"
"Done","انجام شد"
"No results","نتیجه ای یافت نشد"
"options","گزینه ها"
"Proceed","ادامه"
"Change Company Status?","تغییر وضعیت شرکت؟"
"Change status","تغییر وضعیت"
"Popup title","پنجره عنوان"
"Cannot delete the user","این کاربر را نمی توان حذف کرد"
"This user cannot be deleted because he/she is a company admin.","این کاربر چون مدیر شرکت است حذف نمی شود."
"Edit User","ویرایش کاربر"
"Cannot Delete User","این کاربر را نمی توان حذف کرد"
"Delete this user?","این کاربر حذف شود؟"
"This action cannot be undone. Are you sure you want to delete this user?","این دستور برگشت پذیر نیست. آیا مطمئنید که می خواهید این کاربر را حذف کنید؟"
"Edit Team","ویرایش تیم"
"Cannot Delete This Team","این تیم را نمی توان حذف کرد"
"Delete this team?","این تیم حذف شود؟"
"This action cannot be undone. Are you sure you want to delete this team?","این دستور برگشت پذیر نیست. آیا مطمئنید که می خواهید این تیم را حذف کنید؟"
"Delete This Role?","این نقش حذف شود؟"
"This action cannot be undone. Are you sure you want to delete this role?","این دستور برگشت پذیر نیست. آیا مطمئنید که می خواهید این نقش را حذف کنید؟"
"Cannot Delete Role","این نقش را نمی توان حذف کرد"
"Cannot Delete Customer","این مشتری را نمی توان حذف کرد"
"Set Inactive","غیرفعال کن"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","کاربر با این ایمیل در حال حاضر در سیستم وجود دارد. برای ادامه آدرس ایمیل دیگری وارد کنید. اگر تمایل به استفاده از حساب کاربری فعلی خود به عنوان حساب مدیر دارید، لطفا با فروشنده تماس بگیرید."
"Enable Company","فعالسازی شرکت"
"Company Configuration","پیکربندی شرکت"
"General","عمومی"
"Allow Company Registration from the Storefront","امکان ثبت شرکت از طریق نمای فروشگاه"
"Email Options - Company Registration","گزینه های ایمیل - ثبت شرکت"
"Company Registration Email Recipient","گیرنده ایمیل ثبت شرکت"
"Send Company Registration Email Copy To","کپی ایمیل ثبت شرکت را بفرست به"
"Comma-separated","جدا شده با کاما"
"Send Email Copy Method","روش ارسال کپی ایمیل"
"Default Company Registration Email","ایمیل پیش فرض ثبت شرکت"
"Customer-Related Emails","ایمیل های مربوط به مشتری"
"Default 'Sales Rep Assigned' Email","ایمیل پیش فرض 'نماینده فروش ثبت شد'"
"This email is sent to the company's Sales Rep and the Company Admin.","این ایمیل به نماینده فروش شرکت و مدیر شرکت فرستاده شد."
"Default 'Assign Company to Customer' Email","ایمیل پیش فرض 'اختصاص شرکت به مشتری'"
"This email is sent to the customer only.","این ایمیل تنها به مشتری ارسال می شود."
"Default 'Assign Company Admin' Email","ایمیل پیش فرض 'اختصاص مدیر شرکت'"
"Default 'Company Admin Inactive' Email","ایمیل پیش فرض 'مدیر شرکت غیرفعال'"
"Default 'Company Admin Changed To Member' Email","ایمیل پیش فرض ""تغییر سمت مدیر شرکت به عضو عادی"""
"Default 'Customer Status Active' Email","ایمیل پیش فرض 'فعال بودن وضعیت مشتری'"
"Default 'Customer Status Inactive' Email","ایمیل پیش فرض 'غیرفعال بودن وضعیت مشتری'"
"Company Status Change","تغییر وضعیت شرکت"
"Send Company Status Change Email Copy To","کپی ایمیل تغییر وضعیت شرکت را بفرست به"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","ایمیل پیش فرض 'تغییر وضعیت شرکت به فعال 1'"
"This email is sent when company status changes from Pending Approval to Active.","این ایمیل هنگامی که وضعیت شرکت از در انتظار تأیید به فعال تغییر پیدا کند ارسال می شود."
"Default 'Company Status Change To Active 2"" Email","ایمیل پیش فرض 'تغییر وضعیت شرکت به فعال 2'"
"This email is sent when company status changes from Rejected or Blocked to Active.","این ایمیل هنگامی که وضعیت شرکت از رد شده یا مسدود شده به فعال تغییر پیدا کند ارسال می شود."
"Default 'Company Status Change To Rejected"" Email","ایمیل پیش فرض 'تغییر وضعیت شرکت به رد شده'"
"This email is sent when company status changes to Rejected.","این ایمیل هنگامی که وضعیت شرکت به رد شده تغییر پیدا کند ارسال می شود."
"Default 'Company Status Change To Blocked"" Email","ایمیل پیش فرض 'تغییر وضعیت شرکت به مسدود شده'"
"This email is sent when company status changes Blocked.","این ایمیل هنگامی که تغییر وضعیت شرکت مسدود شود، ارسال می شود."
"Default 'Company Status Change To Pending Approval"" Email","ایمیل پیش فرض 'تغییر وضعیت شرکت به در انتظار تأیید'"
"This email is sent when company status changes to Pending Approval.","این ایمیل هنگامی که وضعیت شرکت به در انتظار تأیید تغییر پیدا کند ارسال می شود."
"All","همه"
"Account Information (View)","اطلاعات حساب کاربری (نمایش)"
"Legal Address (View)","آدرس قانونی (نمایش)"
"Contacts (View)","مخاطبین (نمایش)"
"Company User Management","مدیریت کاربر شرکت"
"View roles and permissions","مشاهده نقش ها و دسترسی ها"
"Manage roles and permissions","مدیریت نقش ها و دسترسی ها"
"View users and teams","مشاهده کاربران و تیم ها"
"Manage users and teams","مدیریت کاربران و تیم ها"
"Sales","حراجی ها"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","استفاده از روش پرداخت با استفاده از اعتبار حساب"
"View orders","مشاهده سفارشات"
"View orders of subordinate users","مشاهده سفارشات کاربران وابسته"
"Are you sure you want to set the selected companies as active?","آیا مطمئن هستید که می خواهید شرکت های انتخاب شده را فعال کنید؟"
"Set a Company as Active","فعالسازی یک شرکت"
"Set Active","فعالسازی"
"Are you sure you want to block the selected companies?","آیا مطمئن هستید که می خواهید شرکت های انتخاب شده را مسدود کنید؟"
"Block a Company","مسدود کردن یک شرکت"
"Block","مسدود کردن"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","این دستور برگشت پذیر نیست. آیا مطمئنید که می خواهید شرکت های انتخاب شده را حذف کنید؟ پس از حذف یک شرکت، تمام اعضای آن غیرفعال خواهند شد."
"ID","شناسه"
"Reseller ID","شناسه نماینده فروش"
"Comment","نظر"
"ZIP","کد پستی"
"Customer Group","گروه مشتری"
"Company Admin","مدیر شرکت"
"Gender","جنسیت"
"Customer Type","نوع مشتری"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","آیا مطمئنید که می خواهید برای همیشه حساب کاربری این شرکت را غیرفعال کنید؟ در صورت تأیید، دسترسی کلیه اعضای شرکت به سیستم مسدود خواهد شد."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","آیا مطمئنید که می خواهید این شرکت را فعال کنید؟ در صورت تأیید، اعضای شرکت می توانند در حساب های کاربری مربوط به شرکت فعالیت کنند"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","آیا مطمئنید که می خواهید این شرکت را رد کنید؟ در صورت تأیید، دسترسی کلیه اعضای شرکت به سیستم مسدود خواهد شد."
"Please specify the reason","لطفا علت را مشخص کنید"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","علت در ایمیل 'رد' که به مدیر شرکت ارسال می شود، ذکر خواهد شد. همچنین در پنل مدیریت (در پروفایل شرکت) نیز ذخیره و نمایش داده خواهد شد."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","آیا مطمئنید که می خواهید این شرکت را مسدود کنید؟ در صورت تأیید، اعضای شرکت قادر به ثبت سفارش نخواهند بود."
"Reason for Rejection","علت رد"
"VAT / TAX ID","شناسه مالیات بر ارزش افزوده/ مالیات"
"Website","وب سایت"
"Prefix","پیشوند"
"Middle Name/Initial","نام متوسط / اولیه"
"Suffix","پسوند"
"Advanced Settings","تنظیمات پیشرفته"
"Change Customer Group?","می خواهید گروه مشتری را تغییر دهید؟"
"This action will change the customer group for all members of this company. Would you like to proceed?","این عمل گروه مشتری را برای همه اعضای این شرکت تغییر خواهد داد. می خواهید ادامه دهید؟"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","کاربر <%- username %> مدیر شرکت است و نمی تواند غیرفعال شود. شما باید ابتدا یک کاربر دیگر را به عنوان مدیر شرکت تنظیم کنید."
"Customer Active","مشتری فعال است"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","این مشتری کاربر شرکت متفاوتی است. درصورت ادامه، مشتری از شرکت کنونی جدا و به شرکت انتخاب شده لینک خواهد شد."
"Change Company?","می خواهید شرکت را تغییر دهید؟"
"Associate to Company","وابسته به شرکت"
"My Orders","سفارش های من"
"Create New Customer","ایجاد مشتری جدید"
"Create New Company Account","ایجاد حساب شرکتی جدید"
"Name","نام"
"Role","نقش"
"Team","تیم"
"Users","کاربران"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
