"Delete Customer","Usuń tego klienta"
"A total of %1 record(s) were deleted.","Usunięto %1 wpis(ów)."
"Could not save company","Nie można zachować firmy"
"You have saved company %companyName.","Zapisałeś firmę %companyName."
"You have created company %companyName.","Utworzyłeś firmę %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Użytkownik z tym adresem email już istnieje w systemie. Jeżeli będziesz kontynuować, użytkownik zostanie powiązany z Twoją firmą."
"A user with this email address is already a member of your company.","Użytkownik o tym adresie email jest już członkiem twojej organizacji."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Użytkownik o tym adresie email już istnieje w systemie. Wprowadź inny adres email celem stworzenia nowego użytkownika."
"You are not allowed to do this.","Nie wolno Ci tego zrobić."
"Cannot create the customer.","Nie mogę stworzyć tego klienta."
"The customer was successfully created.","Klient został utworzony."
"You cannot delete yourself.","Nie możesz usunąć własnego użytkownika."
"Cannot delete this user.","Nie można usunąć użytkownika."
"The customer was successfully deleted.","Klient został usunięty."
"The customer was successfully updated.","Klient został zaktualizowany."
"Company Profile","Profil Firmy"
"The changes you made on the company profile have been successfully saved.","Zmiany dokonane w profilu firmy zostały zapisane."
"You must fill in all required fields before you can continue.","Wypełnij wszystkie wymagane pola, żeby przejść dalej."
"Bad Request","Błędne zapytanie"
"You have deleted role %companyRoleName.","Rola %companyRoleName została usunięta."
"Add New Role","Dodaj rolę"
"Edit Role","Edytuj rolę"
"Roles and Permissions","Role i uprawnienia"
"The tree retrieved successfully.","Drzewo zostało pomyślnie pobrane."
"The item was successfully moved.","Element został pomyślnie przesunięty."
"The team was successfully deleted.","Zespół został poprawnie usunięty."
"The team was successfully updated.","Zespół został poprawnie zaktualizowany."
"The team was successfully created.","Zespół został poprawnie utworzony."
"Company Users","Użytkownicy firmy"
"A customer with the same email already assigned to company.","Klient z tym samym adresem e-mail jest już przypisany do firmy."
"Active","Aktywny"
"Pending Approval","Oczekuje na zatwierdzenie"
"Rejected","Odrzucone"
"Blocked","Zablokowany"
"The company admin cannot be moved to a different location in the company structure.","Administrator firm nie może być przeniesiony do innej pozycji w strukturze firmy."
"A user or a team cannot be moved under itself.","Użytkownik lub zespół nie może zostać przesunięty pod siebie samego."
"A user or a team cannot be moved under its child user or team.","Użytkownik lub zespół nie może zostać przeniesiony w ramach podrzędnego użytkownika lub zespołu."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","Określony identyfikator nadrzędny należy do innej firmy. Określony podmiot (zespół lub użytkownik) i jego nowy rodzic muszą należeć do tej samej firmy."
"Unable to move customer structure.","Nie można przenieść struktury klientów."
"Cannot delete company with id %1","Nie można usunąć firmy z id %1"
"No company admin email is specified in request.","Adres email firmy nie został zdefiniowany w żądaniu."
"No company admin website ID is specified in request.","W żądaniu nie podano identyfikatora strony administratora firmy."
"No such entity with id = %idValue","Brak takiego podmiotu o id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Użytkownik %1 jest administratorem firmy, dlatego nie może zostać ustawić jako nieaktywny. Aby kontynuować wybierz innego użytkownika jako administrator firmy."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Nie można zaktualizować żądanego atrybutu. Identyfikator wiersza: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Nieprawidłowa wartość atrybutu. Nie można zmienić przypisanej firmy administratorowi firmy."
"Company admin","Administrator firmy"
"Company user","Użytkownik firmy"
"Individual user","Indywidualny użytkownik"
"Inactive","Nieaktywny"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Nie można ustawić opcji ""zezwalaj"" dla zasobu, ponieważ jego zasób(y) nadrzędny(e) ma(ją) ustawioną opcję ""odmawiaj""."
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"This account is locked.","To konto jest zablokowane."
"Your account is not yet approved. If you have questions, please contact the seller.","Twoje konto nie zostało jeszcze potwierdzone. Jeśli masz pytania, proszę skontaktuj się z doradcą."
"There was an error saving custom attributes.","Wystąpił błąd podczas zapisywania atrybutów niestandardowych."
"Invalid value of ""%value"" provided for the %fieldName field.","Nieprawidłowa wartość ""%value"" przewidziana polu %fieldname."
"""%fieldName"" is required. Enter and try again.","Pole ""%fieldName"" jest wymagane. Uzupełnij i spróbuj ponownie."
"No such entity with %fieldName = %fieldValue","Nie znaleziono %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Rola nie może zostać usunięta, ponieważ są przypisani do niej użytkownicy. Przypisz użytkowników do innej roli aby kontynuować."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Nie można usunąć roli, która jest jedyną rolą w firmie. Przed usunięciem tej roli utwórz nową rolę."
"User role with this name already exists. Enter a different name to save this role.","Rola użytkownika o takiej samej nazwie już istnieje. Wprowadź inna nazwę aby zapisać rolę."
"Cannot delete role with id %1","Nie można usunąć roli z id %1"
"Type %1 is not an instance of %2","%1 nie jest instancją %2"
"The selected user is inactive. To continue, select another user or activate the current user.","Wybrany użytkownik jest nieaktywny. Aby kontynuować, aktywuj użytkownika lub wybierze innego użytkownika."
"This customer is a user of a different company. Enter a different email address to continue.","Wskazany klient jest przypisanym użytkownikiem innej firmy. Aby kontynuować wprowadź inny adres email."
"Company with this email address already exists in the system. Enter a different email address to continue.","Firma o tym adresie email już istnieje w systemie. Aby kontynuować wprowadź inny adres email."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Nieprawidłowa wartość atrybutu. Datę i godzinę odrzucenia oraz powód odrzucenia można zmienić tylko wtedy, gdy status firmy zostanie zmieniony na Odrzucony."
"Could not save company: %1","Nie można zapisać firmy: %1"
"Cannot delete structure with id %1","Nie można usunąć struktury z id %1"
"Could not create team","Nie można utworzyć zespołu"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Zespół nie może zostać usunięty, ponieważ posiada przypisanych użytkowników lub powiązane inne zespoły. Przed usunięciem przeorganizuj użytkowników lub zespoły."
"Could not update team","Nie można zaktualizować zespołu"
"Cannot delete team with id %1","Nie można usunąć zespołu o id %1"
"You cannot assign a different role to a company admin.","Nie można przypisać innej roli do administratora firmy."
"You cannot assign multiple roles to a user.","Nie można przypisać użytkownikowi wielu ról."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Nie można usunąć użytkownika, który jest administratorem firmy. Operacja usuwania została wstrzymana. Spróbuj ponownie dla innego użytkownika."
"Something went wrong","Coś poszło nie tak"
"This customer company account is blocked and customer cannot place orders.","Konto użytkownika firmy zostało zablokowane i nie ma możliwości składania zamówień."
"The consumer isn't authorized to access resource.","Konsument nie ma uprawnień dostępu do zasobu."
" - Duplicated"," - Duplikat"
"message","wiadomość"
"Exception message","Komunikat wyjątku"
"test","test"
"phrase","fraza"
"exception","wyjątek"
"Localized Exception.","Zlokalizowanie wyjątku."
"Error message","Komunikat błędu"
"No such entity.","Nie ma takiego podmiotu."
"error message","komunikat błędu"
"Could not save role","Nie udało się zapisać roli"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" jest wymagane. Wprowadź i spróbuj ponownie.""%fieldName"" jest wymagane. Wprowadź i spróbuj ponownie."
"Cannot delete team","Nie można usunąć zespołu"
"Role Name","Nazwa roli"
"Role Name 15","Nazwa roli 15"
"Edit","Edytuj"
"Delete","Usuń"
"Duplicate","Duplikuj"
"Company Name","Nazwa firmy"
"Customer Type:","Typ klienta:"
"Company:","Firma:"
"Company Information","Dane firmy"
"Company Legal Name","Nazwa prawna firmy"
"Company Email","Adres e-mailowy firmy"
"VAT/TAX ID","Regon/NIP"
"Re-seller ID","ID Sprzedawcy"
"Legal Address","Adres siedziby"
"Street Address","Ulica i numer"
"City","Miasto"
"Country","Kraj"
"State/Province","Województwo"
"Please select a region, state or province.","Wybierz województwo lub region."
"ZIP/Postal Code","Kod pocztowy"
"Phone Number","Numer telefonu"
"Company Administrator","Administrator firmy"
"Job Title","Zawód"
"Email","E-mail"
"Submit","Wyślij"
"New Company Account","Nowe konto firmowe"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Jeśli reprezentujesz firmę, będziesz chciał skorzystać z naszego obszaru konta firmowego. Utworzenie konta firmowego zapewnia wszystkim członkom firmy dostęp do funkcji B2B, takich jak wycena, zarządzanie użytkownikami firmy, szybkie zamówienia i wiele innych."
"Create a Company Account","Utwórz konto firmowe"
"Business Structure","Struktura organizacji"
"Expand All","Rozwiń wszystko"
"Collapse All","Zwiń wszystko"
"Add User","Dodaj użytkownika"
"Add Team","Dodaj zespół"
"Edit Selected","Edytuj zaznaczone"
"Delete Selected","Usuń zaznaczone"
"Error","Błąd"
"User Role","Rola użytkownika"
"First Name","Imię"
"Last Name","Nazwisko"
"Status","Stan"
"Team Title","Nazwa zespołu"
"Description","Opis"
"You don't have a company account yet.","Nie posiadasz jeszcze konta firmowego."
"Account Information","Dane konta"
"VAT/TAX ID: ","Regon/NIP: "
"Re-seller ID: ","ID sprzedawcy:"
"You have no other address entries in your address book.","Nie masz innych wpisów adresów w swojej książce adresowej."
"T: %1","T: %1"
"Contacts","Kontakty"
"Sales Representative","Przedstawiciel handlowy"
"Role Information","Informacje o roli"
"Role Permissions","Uprawnienia roli"
"Save Role","Zapisz rolę"
"Add New User","Dodaj użytkownika"
"Company","Firma"
"Create an Account","Utwórz konto"
"Change","Zmień"
"This action will replace your Company Admin.","Ta akcja zastąpi administratora firmy."
"* Your latest changes on the company profile have not been saved yet.","* Ostatnie zmiany w profilu firmy nie zostały jeszcze zapisane."
"Dear %name,","Witaj %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Zostałeś przypisany do <a href=""%customer_url"">%company_name</a> jako administrator firmy."
"When you sign in to your account, you can:","Gdy zalogujesz się na swoje konto, możesz:"
"* Create and manage company users and teams","* Tworzenie i zarządzanie firmowymi użytkownikami i zespołami"
"* Manage user permissions for the store","* Zarządzanie uprawnieniami użytkowników dla sklepu"
"* Create and manage company shipping and billing addresses","* Tworzenie i zarządzanie firmowymi adresami wysyłkowymi i rozliczeniowymi"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Zostałeś dodany do <a href=%customer_url>%company_name</a> jako członek firmy.
    Po wprowadzeniu konta,
    udostępnione zasoby firmy będą dostępne."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Jeśli jest to błąd,
    prosimy o kontakt z administratorem firmy pod adresem %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Twoje konto zostało aktywowane. Możesz zalogować się na <a href=""%customer_url"">stronie</a>."
"Your account is no longer active. You will not be able to use it for login.","Twoje konto nie jest już aktywne. Nie masz już możliwości zalogowania się."
"If this is a mistake, please contact the seller.","Jeśli jest to błąd, prosimy o kontakt ze sprzedawcą."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Twoje konto zostało ustawione jako nieaktywne i nie możesz teraz uzyskać dostępu do konta firmowego. Jeśli uważasz, że to pomyłka, skontaktuj się ze swoim przełożonym w celu uzyskania szczegółowych informacji."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Klient %customer przesłał wniosek o rejestrację firmy. Konto jest tymczasowo zablokowane do momentu zatwierdzenia lub odrzucenia tej firmy."
"Company: %company","Firma: %firma"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Twój wniosek o rejestrację firmy (dla <strong>%nazwa_firmy</strong>)
    został zatwierdzony i zostałeś ustawiony jako administrator firmy.
    Możesz teraz tworzyć strukturę firmy i zarządzać nią.
    Członkowie firmy mogą składać zapytania ofertowe, tworzyć listy zamówień,
    i korzystać z innych funkcji B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Status Twojej firmy <strong>%company_name</strong>
    jest teraz <strong>Aktywny</strong>.
    Po zalogowaniu będziesz mógł składać zamówienia w imieniu swojej firmy
    i korzystać z innych funkcji B2B."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Twój typ konta został zmieniony z Company Admin na zwykłe konto użytkownika. Jeśli uważasz, że to pomyłka, skontaktuj się ze swoim przełożonym w celu uzyskania szczegółowych informacji."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Zostałeś przydzielony do %company_name jako przedstawiciel handlowy."
"When you sign in to your account, you will be able to:","Gdy zalogujesz się na swoje konto, będziesz mógł:"
"* View and manage company quotes in Admin Panel","* Wyświetlanie i zarządzanie ofertami firmy w panelu administracyjnym"
"* View and edit company profile in Admin Panel","* Przeglądaj i edytuj profil firmy w panelu administracyjnym"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Twoje konto firmowe <strong>%company_name</strong> zostało zablokowane.
    Członkowie Twojej firmy mogą nadal korzystać z witryny,
    ale nie będą mogli składać zamówień."
"If you have any questions, please contact the seller.","W razie jakichkolwiek pytań prosimy o kontakt ze sprzedawcą."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Twoje konto firmowe <strong>%nazwa_firmy</strong> zostało zawieszone w oczekiwaniu na zatwierdzenie przez sprzedawcę."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Twój wniosek o rejestrację firmy (dla <strong>%company_name</strong>) został odrzucony
    z następującego powodu:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Wykonywana akcja nie będzie mogła być cofnięta. Czy na pewno chcesz usunąć tę firmę? Po usunięciu firmy, wszystkie konta użytkowników firmy zostaną ustawione jako nieaktywne."
"Delete a Company?","Czy usunąć firmę?"
"Cancel","Anuluj"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Sorry! You cannot delete this user: The user is the company admin.","Nie możesz usunąć tego użytkownika. Ten użytkownik jest administratorem firmy."
"Cannot Delete the Company Admin","Nie można usunąć administratora firmy"
"Done","Gotowe"
"No results","Brak wyników"
"options","opcje"
"Proceed","Kontynuować"
"Change Company Status?","Zmienić status firmy?"
"Change status","Zmień status"
"Popup title","Tytuł wyskakującego okienka"
"Cannot delete the user","Nie można usunąć użytkownika"
"This user cannot be deleted because he/she is a company admin.","Nie można usunąć tego użytkownika, ponieważ jest on administratorem firmy."
"Edit User","Edytuj użytkownika"
"Cannot Delete User","Nie można usunąć użytkownika"
"Delete this user?","Usunąć użytkownika?"
"This action cannot be undone. Are you sure you want to delete this user?","Tej akcji nie można cofnąć. Czy na pewno chcesz usunąć użytkownika?"
"Edit Team","Edytuj zespół"
"Cannot Delete This Team","Nie można usunąć tego zespołu"
"Delete this team?","Czy usunąć ten zespół?"
"This action cannot be undone. Are you sure you want to delete this team?","Wykonywana akcja nie będzie mogła być cofnięta. Czy na pewno chcesz usunąć ten zespół?"
"Delete This Role?","Czy usunąć tą rolę?"
"This action cannot be undone. Are you sure you want to delete this role?","Wykonywana akcja nie będzie mogła być cofnięta. Czy na pewno chcesz usunąć tą rolę?"
"Cannot Delete Role","Nie można usunąć roli"
"Cannot Delete Customer","Nie można usunąć klienta"
"Set Inactive","Ustaw nieaktywne"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Wybierz Usuń, aby trwale usunąć konto użytkownika i jego zawartość. Zamówienia i oferty użytkownika są nadal widoczne dla sprzedawcy. Wybierz opcję Ustaw nieaktywne, aby tymczasowo zablokować użytkownika. Zawartość użytkownika jest nadal dostępna dla użytkowników nadrzędnych."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Użytkownik o podanym adresie email jest już zarejestrowany. Podaj inny adres email aby kontynuować. Jeśli chcesz użyć istniejącego konta w roli administratora, skontaktuj się ze sprzedawcą."
"Enable Company","Enable Company"
"Company Configuration","Konfiguracja firmy"
"General","Ogólne"
"Allow Company Registration from the Storefront","Zezwalaj na rejestrację firmy w witrynie sklepu"
"Email Options - Company Registration","Opcje e-mail - rejestracja firmy"
"Company Registration Email Recipient","Odbiorca wiadomości e-mail rejestracji firmy"
"Send Company Registration Email Copy To","Wyślij kopię wiadomości e-mail z rejestracją firmy do"
"Comma-separated","Oddzielone przecinkami"
"Send Email Copy Method","Metoda wysyłania kopii wiadomości e-mail"
"Default Company Registration Email","Domyślny adres e-mail rejestracji firmy"
"Customer-Related Emails","Wiadomości e-mail związane z klientami"
"Default 'Sales Rep Assigned' Email","Domyślny e-mail ""Przydzielony przedstawiciel handlowy"
"This email is sent to the company's Sales Rep and the Company Admin.","Ta wiadomość e-mail jest wysyłana do przedstawiciela handlowego firmy i administratora firmy."
"Default 'Assign Company to Customer' Email","Domyślny e-mail ""Przypisz firmę do klienta"
"This email is sent to the customer only.","Ta wiadomość e-mail jest wysyłana wyłącznie do klienta."
"Default 'Assign Company Admin' Email","Domyślny adres e-mail ""Przypisz administratora firmy"
"Default 'Company Admin Inactive' Email","Domyślny e-mail ""Nieaktywny administrator firmy"
"Default 'Company Admin Changed To Member' Email","Domyślny e-mail ""Administrator firmy został zmieniony na członka"
"Default 'Customer Status Active' Email","Domyślny e-mail ""Aktywny status klienta"
"Default 'Customer Status Inactive' Email","Domyślny e-mail ""Status klienta nieaktywny"
"Company Status Change","Zmiana statusu firmy"
"Send Company Status Change Email Copy To","Wyślij kopię wiadomości e-mail z informacją o zmianie statusu firmy do"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Oddzielone przecinkami. Odbiorcy otrzymają kopię wiadomości e-mail, która domyślnie jest wysyłana tylko do administratora firmy."
"Default 'Company Status Change To Active 1"" Email","Domyślna wiadomość e-mail o zmianie statusu firmy na aktywny 1"
"This email is sent when company status changes from Pending Approval to Active.","Ta wiadomość e-mail jest wysyłana, gdy status firmy zmienia się z Oczekuje na zatwierdzenie na Aktywny."
"Default 'Company Status Change To Active 2"" Email","Domyślna wiadomość e-mail o zmianie statusu firmy na aktywny 2"
"This email is sent when company status changes from Rejected or Blocked to Active.","Ta wiadomość e-mail jest wysyłana, gdy status firmy zmieni się z Odrzucony lub Zablokowany na Aktywny."
"Default 'Company Status Change To Rejected"" Email","Domyślny e-mail z informacją o zmianie statusu firmy na odrzucony"
"This email is sent when company status changes to Rejected.","Ta wiadomość e-mail jest wysyłana, gdy status firmy zmieni się na Odrzucony."
"Default 'Company Status Change To Blocked"" Email","Domyślny e-mail z informacją o zmianie statusu firmy na zablokowany"
"This email is sent when company status changes Blocked.","Ta wiadomość e-mail jest wysyłana, gdy status firmy zmieni się na Zablokowany."
"Default 'Company Status Change To Pending Approval"" Email","Domyślna wiadomość e-mail o zmianie statusu firmy na oczekujący na zatwierdzenie"
"This email is sent when company status changes to Pending Approval.","Ta wiadomość e-mail jest wysyłana, gdy status firmy zmieni się na Oczekuje na zatwierdzenie."
"All","Wszystko"
"Account Information (View)","Informacje o koncie (Wyświetl)"
"Legal Address (View)","Adres prawny (wyświetl)"
"Contacts (View)","Kontakty (widok)"
"Company User Management","Zarządzanie użytkownikami w firmie"
"View roles and permissions","Wyświetlanie ról i uprawnień"
"Manage roles and permissions","Zarządzanie rolami i uprawnieniami"
"View users and teams","Wyświetlanie użytkowników i zespołów"
"Manage users and teams","Zarządzanie użytkownikami i zespołami"
"Sales","Sprzedaż"
"Checkout (place order)","Kasa (złożenie zamówienia)"
"Use Pay On Account method","Użyj metody płatności na konto"
"View orders","Wyświetl zamówienia"
"View orders of subordinate users","Wyświetlanie zleceń podległych użytkowników"
"Are you sure you want to set the selected companies as active?","Czy na pewno chcesz ustawić wybrane firmy jako aktywne?"
"Set a Company as Active","Ustawianie firmy jako aktywnej"
"Set Active","Ustaw Aktywny"
"Are you sure you want to block the selected companies?","Czy na pewno chcesz zablokować wybrane firmy?"
"Block a Company","Blokowanie firmy"
"Block","Blok"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Wykonywana akcja nie będzie mogła być cofnięta. Czy na pewno chcesz usunąć wybrane firmy? Po usunięciu firmy, wszystkie konta użytkowników firmy zostaną ustawione jako nieaktywne."
"ID","Identyfikator"
"Reseller ID","Identyfikator odsprzedawcy"
"Comment","Komentarz"
"ZIP","Kod pocztowy"
"Customer Group","Grupa klienta"
"Company Admin","Administrator firmy"
"Gender","Płeć"
"Customer Type","Typ klienta"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Czy na pewno chcesz tymczasowo wyłączyć to konto firmowe? Jeśli potwierdzisz, logowanie dla wszystkich członków firmy zostanie zablokowane."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Czy na pewno chcesz ustawić tę firmę jako aktywną? Jeśli potwierdzisz, członkowie firmy będą mogli działać w ramach swojego konta firmowego."
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Czy na pewno chcesz odrzucić tę firmę? Jeśli potwierdzisz, logowanie dla wszystkich członków firmy zostanie zablokowane."
"Please specify the reason","Podaj powód"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Powód pojawi się w wiadomości e-mail ""Odrzucono"" wysłanej do administratora firmy. Zostanie on również zapisany i wyświetlony w panelu administratora (w profilu firmy)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Czy na pewno chcesz zablokować tę firmę? Jeśli to zrobisz, członkowie firmy nie będą mogli składać zamówień."
"Reason for Rejection","Powód odrzucenia"
"VAT / TAX ID","VAT / IDENTYFIKATOR PODATKOWY"
"Website","Witryna"
"Prefix","Prefiks"
"Middle Name/Initial","Drugie imię/ Inicjał"
"Suffix","Przyrostek"
"Advanced Settings","Zaawansowane ustawienia"
"Change Customer Group?","Zmienić grupę klienta?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Ta czynność spowoduje zmianę grupy klientów dla wszystkich członków tej firmy. Czy chcesz kontynuować?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Użytkownik <%- username %> jest administratorem firmy i nie może być ustawiony jako nieaktywny. Najpierw należy ustawić innego użytkownika jako administratora firmy."
"Customer Active","Aktywny klient"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Ten klient jest użytkownikiem innej firmy. Jeśli kontynuujesz, klient zostanie odłączony od bieżącej firmy i połączony z wybraną firmą."
"Change Company?","Zmienić firmę?"
"Associate to Company","Współpracownik firmy"
"My Orders","Moje zamówienia"
"Create New Customer","Utwórz klienta"
"Create New Company Account","Utwórz konto firmowe"
"Name","Nazwa"
"Role","Rola"
"Team","Zespół"
"Users","Użytkownicy"
"%fieldName is a required field.","%fieldName jest polem wymaganym."
"%fieldName is a required field","%fieldName jest polem wymaganym"
"Consumer is not authorized to access resource","Konsument nie ma uprawnień dostępu do zasobu"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Twoje konto firmowe jest zablokowane i nie możesz składać zamówień. W razie pytań prosimy o kontakt z administratorem firmy."
