"Delete Customer","ഉപഭോക്താവിനെ ഇല്ലാതാക്കുക"
"The company admin cannot be moved to a different location in the company structure.","കമ്പനി അഡ്‌മിനെ കമ്പനി ഘടനയിൽ മറ്റൊരു സ്ഥലത്തേക്ക് മാറ്റാൻ കഴിയില്ല."
"A user or a team cannot be moved under itself.","ഒരു ഉപയോക്താവിനെയോ ടീമിനെയോ സ്വയം നീക്കാൻ കഴിയില്ല."
"A user or a team cannot be moved under its child user or team.","ഒരു ഉപയോക്താവിനെയോ ടീമിനെയോ അതിന്റെ ചൈൽഡ് ഉപയോക്താവിനോ ടീമിനോ കീഴിൽ നീക്കാൻ കഴിയില്ല."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","നിർദ്ദിഷ്ട പാരന്റ് ഐഡി മറ്റൊരു കമ്പനിയുടെതാണ്. നിർദ്ദിഷ്ട എന്റിറ്റിയും (ടീം അല്ലെങ്കിൽ ഉപയോക്താവ്) അതിന്റെ പുതിയ പേറെന്റും ഒരേ കമ്പനിയിൽ ഉൾപ്പെട്ടിരിക്കണം."
"Unable to move customer structure.","ഉപഭോക്തൃ ഘടന നീക്കാൻ കഴിയില്ല."
"Cannot delete company with id %1","ഐഡി %1 ഉള്ള കമ്പനി ഇല്ലാതാക്കാൻ കഴിയില്ല"
"No company admin email is specified in request.","കമ്പനി അഡ്‌മിൻ ഇമെയിലുകളൊന്നും അഭ്യർത്ഥനയിൽ വ്യക്തമാക്കിയിട്ടില്ല."
"No company admin website ID is specified in request.","കമ്പനി അഡ്‌മിൻ വെബ്‌സൈറ്റ് ഐഡിയൊന്നും അഭ്യർത്ഥനയിൽ വ്യക്തമാക്കിയിട്ടില്ല."
"No such entity with id = %idValue","Id =%idValue ഉള്ള അത്തരം എന്റിറ്റികളൊന്നുമില്ല"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","%1 ഉപയോക്താവ് കമ്പനി അഡ്‌മിനാണ്, അത് നിഷ്‌ക്രിയമായി സജ്ജമാക്കാൻ കഴിയില്ല. ആദ്യം നിങ്ങൾ മറ്റൊരു ഉപയോക്താവിനെ കമ്പനി അഡ്മിനായി സജ്ജീകരിക്കണം."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","അഭ്യർത്ഥിച്ച ആട്രിബ്യൂട്ട് നിങ്ങൾക്ക് അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിയില്ല. വരി ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","ആട്രിബ്യൂട്ട് മൂല്യം അസാധുവാണ്. കമ്പനി അഡ്‌മിനായി കമ്പനി മാറ്റാൻ കഴിയില്ല."
"Company admin","കമ്പനി അഡ്‌മിൻ"
"Company user","കമ്പനി ഉപയോക്താവ്"
"Individual user","വ്യക്തിഗത ഉപയോക്താവ്"
"Inactive","നിഷ്‌ക്രിയം"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","റിസോഴ്സിനായി ""അനുവദിക്കുക"" സജ്ജമാക്കാൻ കഴിയില്ല കാരണം അതിന്റെ പാരന്റ് റിസോഴ്സ് (കൾ) ""നിരസിക്കാൻ"" സജ്ജമാക്കിയിരിക്കുന്നു."
"Invalid login or password.","ലോഗിൻ അല്ലെങ്കിൽ പാസ്‌വേഡ് അസാധുവാണ്."
"This account is locked.","ഈ അക്കൗണ്ട് ലോക്കുചെയ്‌തു."
"Your account is not yet approved. If you have questions, please contact the seller.","നിങ്ങളുടെ അക്കൗണ്ട് ഇതുവരെ അംഗീകരിച്ചിട്ടില്ല. നിങ്ങൾക്ക് ചോദ്യങ്ങളുണ്ടെങ്കിൽ, വിൽപ്പനക്കാരനുമായി ബന്ധപ്പെടുക."
"There was an error saving custom attributes.","ഇഷ്‌ടാനുസൃത ആട്രിബ്യൂട്ടുകൾ സേവ് ചെയ്യുന്നതിൽ ഒരു പിശക് ഉണ്ടായിരുന്നു."
"Invalid value of ""%value"" provided for the %fieldName field.","%ഫീൽഡ്നെയിം ഫീൽഡിനായി ""%മൂല്യം"" അസാധുവായ മൂല്യം നൽകി."
"""%fieldName"" is required. Enter and try again.","""%ഫീൽഡ്നെയിം"" ആവശ്യമാണ്. നൽകി വീണ്ടും ശ്രമിക്കുക."
"No such entity with %fieldName = %fieldValue","%FieldName = %fieldValue ഉള്ള അത്തരം എന്റിറ്റികളൊന്നുമില്ല"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","ഉപയോക്താക്കളെ നിയോഗിച്ചിരിക്കുന്നതിനാൽ ഈ റോൾ ഇല്ലാതാക്കാൻ കഴിയില്ല. തുടരുന്നതിന് ഉപയോക്താക്കളെ മറ്റൊരു റോളിലേക്ക് വീണ്ടും നിയോഗിക്കുക."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","കമ്പനിയിലെ ഒരേയൊരു റോൾ ആയിരിക്കുമ്പോൾ നിങ്ങൾക്ക് ഒരു റോൾ ഇല്ലാതാക്കാൻ കഴിയില്ല. ഈ റോൾ ഇല്ലാതാക്കുന്നതിനുമുമ്പ് നിങ്ങൾ മറ്റൊരു റോൾ സൃഷ്ടിക്കണം."
"User role with this name already exists. Enter a different name to save this role.","ഈ പേരിലുള്ള ഉപയോക്തൃ റോൾ ഇതിനകം നിലവിലുണ്ട്. സേവ് ചെയ്യുന്നതിന് മറ്റൊരു പേര് നൽകുക."
"Cannot delete role with id %1","ഐഡി %1 ഉള്ള റോൾ ഇല്ലാതാക്കാൻ കഴിയില്ല"
"Type %1 is not an instance of %2","%1 ടൈപ്പ് %2 ന്റെ ഇൻസ്റ്റൻസ് അല്ല"
"The selected user is inactive. To continue, select another user or activate the current user.","തിരഞ്ഞെടുത്ത ഉപയോക്താവ് നിഷ്‌ക്രിയമാണ്. തുടരാൻ, മറ്റൊരു ഉപയോക്താവിനെ തിരഞ്ഞെടുക്കുക അല്ലെങ്കിൽ നിലവിലെ ഉപയോക്താവിനെ സജീവമാക്കുക."
"This customer is a user of a different company. Enter a different email address to continue.","ഈ ഉപഭോക്താവ് മറ്റൊരു കമ്പനിയുടെ ഉപയോക്താവാണ്. തുടരുന്നതിന് മറ്റൊരു ഇമെയിൽ വിലാസം നൽകുക."
"Company with this email address already exists in the system. Enter a different email address to continue.","ഈ ഇമെയിൽ വിലാസമുള്ള കമ്പനി ഇതിനകം സിസ്റ്റത്തിൽ നിലവിലുണ്ട്. തുടരുന്നതിന് മറ്റൊരു ഇമെയിൽ വിലാസം നൽകുക."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","ആട്രിബ്യൂട്ട് മൂല്യം അസാധുവാണ്. ഒരു കമ്പനിയുടെ നില നിരസിച്ചതായി മാറ്റുമ്പോൾ മാത്രമേ നിരസിച്ച തീയതിയും സമയവും നിരസിച്ച കാരണവും മാറ്റാൻ കഴിയൂ."
"Could not save company: %1","കമ്പനി സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല: %1"
"Cannot delete structure with id %1","ഐഡി %1 ഉപയോഗിച്ച് ഘടന ഇല്ലാതാക്കാൻ കഴിയില്ല"
"Could not create team","ടീം സൃഷ്ടിക്കാൻ കഴിഞ്ഞില്ല"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first."
"Could not update team","ടീം അപ്‌ഡേറ്റുചെയ്യാനായില്ല"
"Cannot delete team with id %1","ഐഡി %1 ഉള്ള ടീം ഇല്ലാതാക്കാൻ കഴിയില്ല"
"You cannot assign a different role to a company admin.","ഒരു കമ്പനി അഡ്‌മിന് നിങ്ങൾക്ക് മറ്റൊരു റോൾ നൽകാനാവില്ല."
"You cannot assign multiple roles to a user.","നിങ്ങൾക്ക് ഒരു ഉപയോക്താവിന് ഒന്നിലധികം റോളുകൾ നൽകാനാവില്ല."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","കമ്പനി അഡ്‌മിൻ ഇല്ലാതാക്കാൻ കഴിയില്ല. ഇല്ലാതാക്കൽ പ്രവർത്തനം നിർത്തി. മറ്റ് ഉപയോക്താക്കൾക്കായി ദയവായി പ്രവർത്തനം ആവർത്തിക്കുക."
"Something went wrong","എന്തോ കുഴപ്പം സംഭവിച്ചു"
"This customer company account is blocked and customer cannot place orders.","This customer company account is blocked and customer cannot place orders."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - Duplicated"
"message","message"
"Exception message","Exception message"
"test","test"
"phrase","phrase"
"exception","exception"
"Localized Exception.","Localized Exception."
"Error message","Error message"
"No such entity.","No such entity."
"error message","error message"
"Could not save role","Could not save role"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Cannot delete team"
"Role Name","Role Name"
"Role Name 15","Role Name 15"
"Edit","Edit"
"Delete","Delete"
"Duplicate","Duplicate"
"Company Name","Company Name"
"Customer Type:","Customer Type:"
"Company:","Company:"
"Company Information","Company Information"
"Company Legal Name","Company Legal Name"
"Company Email","Company Email"
"VAT/TAX ID","VAT/TAX ID"
"Re-seller ID","Re-seller ID"
"Legal Address","Legal Address"
"Street Address","Street Address"
"City","City"
"Country","Country"
"State/Province","State/Province"
"Please select a region, state or province.","Please select a region, state or province."
"ZIP/Postal Code","ZIP/Postal Code"
"Phone Number","Phone Number"
"Company Administrator","Company Administrator"
"Job Title","Job Title"
"Email","Email"
"Submit","Submit"
"New Company Account","New Company Account"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Create a Company Account"
"Business Structure","Business Structure"
"Expand All","Expand All"
"Collapse All","Collapse All"
"Add User","Add User"
"Add Team","Add Team"
"Edit Selected","Edit Selected"
"Delete Selected","Delete Selected"
"Error","Error"
"User Role","User Role"
"First Name","First Name"
"Last Name","Last Name"
"Status","Status"
"Team Title","Team Title"
"Description","Description"
"You don't have a company account yet.","You don't have a company account yet."
"Account Information","Account Information"
"VAT/TAX ID: ","VAT/TAX ID: "
"Re-seller ID: ","Re-seller ID: "
"You have no other address entries in your address book.","You have no other address entries in your address book."
"T: %1","T: %1"
"Contacts","Contacts"
"Sales Representative","Sales Representative"
"Role Information","Role Information"
"Role Permissions","Role Permissions"
"Save Role","Save Role"
"Add New User","Add New User"
"Company","Company"
"Create an Account","Create an Account"
"Change","Change"
"This action will replace your Company Admin.","This action will replace your Company Admin."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin."
"When you sign in to your account, you can:","When you sign in to your account, you can:"
"* Create and manage company users and teams","* Create and manage company users and teams"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Create and manage company shipping and billing addresses"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","If this is a mistake,
    please contact the company Admin at %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>."
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","Company: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","You have been assigned to %company_name as the Sales Representative."
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"* View and manage company quotes in Admin Panel","* View and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* View and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
"Delete a Company?","Delete a Company?"
"Cancel","Cancel"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You cannot delete this user: The user is the company admin."
"Cannot Delete the Company Admin","Cannot Delete the Company Admin"
"Done","Done"
"No results","No results"
"options","options"
"Proceed","Proceed"
"Change Company Status?","Change Company Status?"
"Change status","Change status"
"Popup title","Popup title"
"Cannot delete the user","Cannot delete the user"
"This user cannot be deleted because he/she is a company admin.","This user cannot be deleted because he/she is a company admin."
"Edit User","Edit User"
"Cannot Delete User","Cannot Delete User"
"Delete this user?","Delete this user?"
"This action cannot be undone. Are you sure you want to delete this user?","This action cannot be undone. Are you sure you want to delete this user?"
"Edit Team","Edit Team"
"Cannot Delete This Team","Cannot Delete This Team"
"Delete this team?","Delete this team?"
"This action cannot be undone. Are you sure you want to delete this team?","This action cannot be undone. Are you sure you want to delete this team?"
"Delete This Role?","Delete This Role?"
"This action cannot be undone. Are you sure you want to delete this role?","This action cannot be undone. Are you sure you want to delete this role?"
"Cannot Delete Role","Cannot Delete Role"
"Cannot Delete Customer","Cannot Delete Customer"
"Set Inactive","Set Inactive"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Enable Company","Enable Company"
"Company Configuration","Company Configuration"
"General","General"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","All"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Sales"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","View orders"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Set a Company as Active"
"Set Active","Set Active"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","Block a Company"
"Block","Block"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","ID"
"Reseller ID","Reseller ID"
"Comment","Comment"
"ZIP","ZIP"
"Customer Group","Customer Group"
"Company Admin","Company Admin"
"Gender","Gender"
"Customer Type","Customer Type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Please specify the reason"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Reason for Rejection"
"VAT / TAX ID","VAT / TAX ID"
"Website","Website"
"Prefix","Prefix"
"Middle Name/Initial","Middle Name/Initial"
"Suffix","Suffix"
"Advanced Settings","Advanced Settings"
"Change Customer Group?","Change Customer Group?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","Customer Active"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Change Company?"
"Associate to Company","Associate to Company"
"My Orders","My Orders"
"Create New Customer","Create New Customer"
"Create New Company Account","Create New Company Account"
"Name","Name"
"Role","Role"
"Team","Team"
"Users","Users"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
