"Delete Customer","Изтрий клиент"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Ролята не може да бъде изтрита, тъй като има присъединени към нея потребители. Преместете потребителите в друга роля за да продължите."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Не може да се изтрие роля след като тя е единствена в компанията. Трябва да създадете друга роля за да изтриете тази."
"User role with this name already exists. Enter a different name to save this role.","Потребителска роля с това име вече има. Въведете различно име и запомнете ролята."
"Cannot delete role with id %1","Не може да си изтрие роля с id %1"
"Type %1 is not an instance of %2","Типът %1 не произхожда от %2"
"The selected user is inactive. To continue, select another user or activate the current user.","Избраният потрбител не е активен. За да продължите изберете друг потребител или активирайте текущия."
"This customer is a user of a different company. Enter a different email address to continue.","Този клиент е потребител на друга компния. Въведете различен имейл за да продължите."
"Company with this email address already exists in the system. Enter a different email address to continue.","Компания с този имейл вече съществува в системата. Задайте реазлиен аддресс за да продължите."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Неваидна стойност на атрибут. Отхвърлени дата&време и Причина за отхвърляне може да се променят само когато статусът на компанията се промени на Отхвърлен."
"Could not save company: %1","Не може да се запише компанията: %1"
"Cannot delete structure with id %1","Не може да си изтрие структура с id %1"
"Could not create team","Не може да се създаде група"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Тази група има дъщерни потребители или съседни и не може да бъде изтрита. Моля първо преподредете дъщерните потребители."
"Could not update team","Не може да се актуализира екипа"
"Cannot delete team with id %1","Не може да сеизтрие екип с Id %1"
"You cannot assign a different role to a company admin.","Не може да зададете различна роля на Администратора на Компанията."
"You cannot assign multiple roles to a user.","Не може да зададете множество роли на потребител."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Не може да изтриете Адмнистраор на Компанията. Опарацията е прекратена. Моля повторете действието за другите кленти."
"Something went wrong","Нещо се обърка"
"This customer company account is blocked and customer cannot place orders.","Сметката на Компанията клиент е бликирана и не може да се запише поръчка."
"The consumer isn't authorized to access resource.","Потребителят не е упълномощен за достъп до ресурса."
" - Duplicated"," - Дублиран"
"message","съобщение"
"Exception message","Съобщение на изключение"
"test","тест"
"phrase","фраза"
"exception","изключение"
"Localized Exception.","Локализирано изключение."
"Error message","Съобщение за грешка"
"No such entity.","Няма такъв обект."
"error message","съобщение за грешка"
"Could not save role","Не може да се запише роля"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Не може да се изтрие екип"
"Role Name","Име на роля"
"Role Name 15","Име на роля 15"
"Edit","Редактирай"
"Delete","Изтрий"
"Duplicate","Дубликат"
"Company Name","Име на компанията"
"Customer Type:","Тип клиент:"
"Company:","Фирма:"
"Company Information","Информация за фирма"
"Company Legal Name","Юридическо име на компанията"
"Company Email","Фирмен имейл"
"VAT/TAX ID","ДДС/ДАНЪК ID"
"Re-seller ID","ID на посредник"
"Legal Address","Валиден адрес"
"Street Address","Адрес"
"City","Град"
"Country","Държава"
"State/Province","Област / Провинция"
"Please select a region, state or province.","Моля изберете регион, щат или провинция."
"ZIP/Postal Code","Пощенски код"
"Phone Number","Телефон"
"Company Administrator","Администратор на Компания"
"Job Title","Длъжност"
"Email","Имейл"
"Submit","Изпрати"
"New Company Account","Нова сметка на фирма"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Ако представлявате фирмата, ще желаете да използвате нашата Фирмена Област. Създаването на Фирмена сметка дава възможност на всички членове на фирмата достъп до B2B възможности като - квоти, управелние на фирмени потребители, бързи поръчки и др."
"Create a Company Account","Създаване на Фирмена Сметка"
"Business Structure","Бизнес структура"
"Expand All","Разшири всичко"
"Collapse All","Разпадни всичко"
"Add User","Добавяне на потребител"
"Add Team","Добавяне на екип"
"Edit Selected","Редактиране на избраното"
"Delete Selected","Изтриване на избраното"
"Error","Грешка"
"User Role","Потребителска роля"
"First Name","Име"
"Last Name","Фамилия"
"Status","Статус"
"Team Title","Име на екип"
"Description","Описание"
"You don't have a company account yet.","Още нямате Фирмена сметка."
"Account Information","Информация за профила"
"VAT/TAX ID: ","ДДС/ДАНЪК ID: "
"Re-seller ID: ","ID на посредник: "
"You have no other address entries in your address book.","Нямате други адресни записи във вашата адресна книга."
"T: %1","T: %1"
"Contacts","Контакти"
"Sales Representative","Търговски представител"
"Role Information","Информация за роля"
"Role Permissions","Права на роля"
"Save Role","Запиши роля"
"Add New User","Добавяне на нов потребител"
"Company","Фирма"
"Create an Account","Регистрация"
"Change","Промени"
"This action will replace your Company Admin.","Това действие ще замени Администратора на фирмата ви."
"* Your latest changes on the company profile have not been saved yet.","* Вашите последни промени в профила на фирмата още не са записани."
"Dear %name,","Уважаеми %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Вие бяхте добавен към <a href=""%customer_url"">%company_name</a> като Администратор на фирма."
"When you sign in to your account, you can:","Когато влезете в профила си, ще можете да:"
"* Create and manage company users and teams","* Създавате и управлявате потребители и екипи"
"* Manage user permissions for the store","* Управлявате Потребителски права за магазина"
"* Create and manage company shipping and billing addresses","* Задавате и управлявате Адреси за Доставка и Фактуриране на фирмата"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Вие бяхте добавен към <a href=%customer_url>%company_name</a> като член на фирмата.
    Когато влезете във вашия профил,
    споделените ресурси на фирмата ще са достъпни за вас."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Ако това е грешка,
    Моля свържете се с Администратора на Фирмата на %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Вашият акаунт вече е активен. Може да го използвате за да се регистрирате сайта <a href=""%customer_url"">website</a>."
"Your account is no longer active. You will not be able to use it for login.","Вашият акаунт вече не е активен. Не може да го използвате за влизане."
"If this is a mistake, please contact the seller.","Ако това е грешка, моля свържете се с продавача."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Вашият профил е деактивиран и няма да имате достъп до фирмения профил. Ако мислите, че това е грешка, моля свържете се с вашия управител за детайли."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Подадена е заявка за регистриране на фирма от клиент %customer. Профилът е временно блокиран, докато вие я одобрите или отхвърлите."
"Company: %company","Фирма: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Заявката ви за регистрация на фирмата (for the <strong>%company_name</strong>)
    е одобрена и вие сте регистриран като Фирмен Администратор.
    Вече може да създавате и да управлявате структурата на вашата фирма.
    Членовете на фирма ви ще могат да заявяват квоти, да създават регистрационни списъци,
    и да използват други B2B възможности."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Състоянието на вашата фирма <strong>%company_name</strong>
    вече е <strong>Активна</strong>.
    Като влезете, ще може да създавате поръчки от името на вашата фирма
    и да използвате други B2B възможности."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Вашият профил е променен от Администратор на фирмата на Профил на Обикновен потребител. Ако мислите, че това е грешка, моля свържете се с управителя за детайли."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Вие бяхте добавен към %company_name като Администратор на фирма."
"When you sign in to your account, you will be able to:","Когато влезете профила си, ще можете да:"
"* View and manage company quotes in Admin Panel","* Преглеждане и управление фирмени квоти в Административния Панел"
"* View and edit company profile in Admin Panel","* Преглеждане и редактиране на фирмения профил в Административния панел"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Вшият фирмен профил <strong>%company_name</strong> е блокиран.
    Членовете на фирмата ви ще могат да използват сайта,
    но няма да могат да създават поръчки."
"If you have any questions, please contact the seller.","Ако имате въпроси, моля свържете се с продавача."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Вашият фирмен профил <strong>%company_name</strong> е спрян, в очакване на одобрение от продавача."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Вашата заявка за регистрация (за фирмата <strong>%company_name</strong>) е отхвърлена
    поради следната причина:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Това действие не може да бъде отменено. Сигурни ли сте, че желаете изтриване на избраната фирма. След изтриването на фирмата, всички фирмени членове ще бъдат деактивирани."
"Delete a Company?","Изтриване на фирмата?"
"Cancel","Отказ"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Sorry! You cannot delete this user: The user is the company admin.","Съжаляваме! Не може д аизтриете този потребител. Той е Администратор на фирмата."
"Cannot Delete the Company Admin","Не може да изтриете Администрратор на фирмата"
"Done","Готово"
"No results","Няма резултати"
"options","опции"
"Proceed","Продължи"
"Change Company Status?","Промяна на състоянието на фирмата?"
"Change status","Промени статус"
"Popup title","Заглавие за балон"
"Cannot delete the user","Не можете да изтриете този потребител"
"This user cannot be deleted because he/she is a company admin.","Този потребител не може да се изтрие защото тя/той е Администратор на фирма."
"Edit User","Редактиране на потребител"
"Cannot Delete User","Не може да се изтрие Потребителя"
"Delete this user?","Да се изтрие ли потребителя?"
"This action cannot be undone. Are you sure you want to delete this user?","Това действие не може да се отмени. Сигурни ли сте, че желаете изтриване н апотребителя?"
"Edit Team","Редактиране екип"
"Cannot Delete This Team","Не може да се изтрие този екип"
"Delete this team?","Да се изтрие ли този екип?"
"This action cannot be undone. Are you sure you want to delete this team?","Това действие не може да се отмени. Сигурни ли сте, че желаете изтриване на екипа?"
"Delete This Role?","Да се изтрие ли ролята?"
"This action cannot be undone. Are you sure you want to delete this role?","Това действие не може да бъде отменено. Сигурни ли сте, че желаете изтриване на тази роля?"
"Cannot Delete Role","Ролята не може да се изтрие"
"Cannot Delete Customer","Клиентът не може да се изтрие"
"Set Inactive","Задаване като неактивен"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Потребител с този имейл адрес вече съществува в системата. Въведете различен имейл за да продължите. Ако желаете да използвате текущия профил, като Администраторски, моля свържете се с продавача."
"Enable Company","Активиране на Фирмата"
"Company Configuration","Фирмена Конфигурация"
"General","Главен"
"Allow Company Registration from the Storefront","Разрешаване на регистрация на фирма от Витрината"
"Email Options - Company Registration","Имейл опции - Фирмена регистрация"
"Company Registration Email Recipient","Получател за Имейл на Фирмена Регистрация"
"Send Company Registration Email Copy To","Изпращане на копие на имейла за Фирмена Регистрация до"
"Comma-separated","Разделени със запетая"
"Send Email Copy Method","Метод за изпращане на копие на имейл"
"Default Company Registration Email","Основен имейл на Фирмена регистрация"
"Customer-Related Emails","Клиентски Имейли"
"Default 'Sales Rep Assigned' Email","Стандартен имейл за 'Преставляващ продажби'"
"This email is sent to the company's Sales Rep and the Company Admin.","Този имейл е изпратен до Прествляващ продажби и Администратора на фирмата."
"Default 'Assign Company to Customer' Email","Стандартен имейл за 'Добавяне фирма към Клиент'"
"This email is sent to the customer only.","Този имейл е изпратен единствено на клиента."
"Default 'Assign Company Admin' Email","Стандартен имейл 'Добави Фирмен Администратор'"
"Default 'Company Admin Inactive' Email","Стандартен имейл 'Неактивен Фирмен Администратор''"
"Default 'Company Admin Changed To Member' Email","Стандартен имейл за 'Фирмен Администратор променен на член'"
"Default 'Customer Status Active' Email","Стандартен имейл 'Активен Клиентски статус'"
"Default 'Customer Status Inactive' Email","Стандартен имейл 'Неактивен Клиент''"
"Company Status Change","Промяна на състоянието на фирма"
"Send Company Status Change Email Copy To","Изпращане на имейл за Промяна на Състояние на Фирма на"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Разделено със запетая, Получателят(ите) ще получат копие на имейла, който стандартно се изпраща единствено на Администратора на фирмата."
"Default 'Company Status Change To Active 1"" Email","Стандартен имейл 'Промяна на Фирмено състояние на Активна 1'"
"This email is sent when company status changes from Pending Approval to Active.","Този имейл се изпраща когато фирменият статус се променя от Очакваща одобрение на Активна'."
"Default 'Company Status Change To Active 2"" Email","Стандартен имейл 'Промяна на Фирмено състояние на Активна 2'"
"This email is sent when company status changes from Rejected or Blocked to Active.","Този имейл се изпраща, когато фирменият статус се променя от Охвърлена или Блокирана на Активна."
"Default 'Company Status Change To Rejected"" Email","Стандартен имейл за 'Промяна на фирмения статус на Отказана'"
"This email is sent when company status changes to Rejected.","Този имейл се изпраща, когато фимения статус се промени на Отказана."
"Default 'Company Status Change To Blocked"" Email","Стандартен имейл за 'Промяна на Фирмения статус на Блокирана'"
"This email is sent when company status changes Blocked.","Този имейл се изпраща, когато фирмения статус се промени на Блокирана."
"Default 'Company Status Change To Pending Approval"" Email","Стандартен имейл за 'Промяна на Фирмен статус на Очакващ одобрение'"
"This email is sent when company status changes to Pending Approval.","Този имейл се изпраща, когато състоянието на фирмата се промени на Очакваща Одобрение."
"All","Всички"
"Account Information (View)","Информация за профила (Преглед)"
"Legal Address (View)","Валиден адрес (преглед)"
"Contacts (View)","Контакти (преглед)"
"Company User Management","Управление на Фирмени потребители"
"View roles and permissions","Преглеждане роли и права"
"Manage roles and permissions","Управление роли и права"
"View users and teams","Преглеждане на потребители и екипи"
"Manage users and teams","Управление на потребители и екипи"
"Sales","Продажби"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Използване метод Плащане по сметка"
"View orders","Преглед поръчки"
"View orders of subordinate users","Преглед поръчки от вторични потребители"
"Are you sure you want to set the selected companies as active?","Сигурни ли сте, че желаете активиране на избраните фирми?"
"Set a Company as Active","Активиране на Фирма"
"Set Active","Активиране"
"Are you sure you want to block the selected companies?","Сигурни ли сте, че желает блокиране на избраните фирми?"
"Block a Company","Блокиране на фирма"
"Block","Блок"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Това действие не може да бъде отменено. Сигурни ли сте, че желаете изтриване на избраните фирми. След изтриването, всички фирмени членове ще бъдат деактивирани."
"ID","ИД"
"Reseller ID","ID Посредник"
"Comment","Коментар"
"ZIP","Пощенски код"
"Customer Group","Клиентска група"
"Company Admin","Администратор Фирма"
"Gender","Пол"
"Customer Type","Тип клиент"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Сигурни ли сте, че желаете временно да деактивирате този фирмен профил? Ако потвърдите, всички фирмени членове ще бъдат блокирани."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Сигурни ли сте, че желаете да активирате тази фирма? Ако потвърдите, фирмените членове ще могат да използват техните фирмени профили.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Сигурни ли сте, че желаете отхвърляне на тази фирма? Ако потвърдите, всички членове на фирмате ще бъдат блокирани."
"Please specify the reason","Моля посочете причина"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Причината ще се намира в имейл 'Октказана' изпратен на Администратор на фирмата. Той ще бъде записан и показван в Административния панел (в профила на фирмата)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Наистина ли желаете за блокирате фирмата? Ако потвърдите, членовете на фирмата няма да могат за правят заявки."
"Reason for Rejection","Причина за Отказ"
"VAT / TAX ID","ДДС/ДАНЪК ID"
"Website","Уебсайт"
"Prefix","Представка"
"Middle Name/Initial","Бащино име/първоначално"
"Suffix","Суфикс"
"Advanced Settings","Разширени настройки"
"Change Customer Group?","Промяна на Клентската група?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Това действие ще промени клиентската група на всички членове на фирмата. Веалете ли продължение?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Потребителят <%- username %> е Адмиистратор на фирмата и не може да се деактивира. Трябва първо да посочите друг потребител на Администратор на фирмата."
"Customer Active","Активен Клиент"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Клиентът е член на друга фирма. Ако продължите клиентът ще бъде отписан от текущата фирма и записан в избраната фирма."
"Change Company?","Промяна на фирмата?"
"Associate to Company","Асоцииране към Фирма"
"My Orders","Моите поръчки"
"Create New Customer","Създай нов клиент"
"Create New Company Account","Създаване Нов Фирмен Профил"
"Name","Име"
"Role","Роля"
"Team","Екип"
"Users","Потребители"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
