"Delete Customer","Klant verwijderen"
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Je kunt een rol niet verwijderen wanneer het de enige rol in het bedrijf is. Je moet een andere rol maken voordat je deze rol verwijdert."
"User role with this name already exists. Enter a different name to save this role.","De rol van de gebruiker met deze naam bestaat al. Voer een andere naam in om deze rol op te slaan."
"Cannot delete role with id %1","De rol met id %1 kan niet worden verwijderd"
"Type %1 is not an instance of %2","Type %1 is geen instantie van %2"
"The selected user is inactive. To continue, select another user or activate the current user.","De geselecteerde gebruiker is inactief. Als je wilt doorgaan selecteer je een andere gebruiker of activeer je de huidige gebruiker."
"This customer is a user of a different company. Enter a different email address to continue.","Deze klant is een gebruiker van een ander bedrijf. Voer een ander e-mailadres in om door te gaan."
"Company with this email address already exists in the system. Enter a different email address to continue.","Bedrijf met dit e-mailadres bestaat al in het systeem. Voer een ander e-mailadres in om door te gaan."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Ongeldige attribuut waarde. Geweigerd datum&tijd en reden van weigering kan alleen gewijzigd worden wanneer de status van een bedrijf is gewijzigd naar Geweigerd."
"Could not save company: %1","Kon bedrijf niet opslaan: %1"
"Cannot delete structure with id %1","De structuur met id %1 kan niet worden verwijderd"
"Could not create team","Kan team niet maken"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Dit team heeft onderliggende gebruikers of teams die hierop zijn afgestemd en kan niet worden verwijderd. Pas eerst de onderliggende gebruikers of teams opnieuw aan."
"Could not update team","Kan team niet bijwerken"
"Cannot delete team with id %1","Het team met id %1 kan niet worden verwijderd"
"You cannot assign a different role to a company admin.","Je kunt een bedrijfsbeheerder geen andere rol toewijzen."
"You cannot assign multiple roles to a user.","Je kunt niet meerdere rollen toewijzen aan een gebruiker."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Kan de bedrijfsbeheerder niet verwijderen. De verwijder verwerking is gestopt. Herhaal de actie voor de andere klanten."
"Something went wrong","Er ging iets mis"
"This customer company account is blocked and customer cannot place orders.","Dit zakelijk account is geblokkeerd en de klant kan geen bestellingen plaatsen."
"The consumer isn't authorized to access resource.","De consument is niet geautoriseerd voor toegang tot bron."
" - Duplicated"," - Gedupliceerd"
"message","bericht"
"Exception message","Foutmelding"
"test","test"
"phrase","zin"
"exception","uitzondering"
"Localized Exception.","Localizatie Fout."
"Error message","Foutmelding"
"No such entity.","Entiteit bestaat niet."
"error message","foutmelding"
"Could not save role","Kan rol niet opslaan"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is vereist. Voer in en probeer het opnieuw. ""%fieldName"" is verplicht. Voer in en probeer het opnieuw."
"Cannot delete team","Kan team niet verwijderen"
"Role Name","Rolnaam"
"Role Name 15","Rolnaam 15"
"Edit","Bewerken"
"Delete","Verwijder"
"Duplicate","Dupliceren"
"Company Name","Bedrijfsnaam"
"Customer Type:","Klant type:"
"Company:","Bedrijf:"
"Company Information","Bedrijfsgegevens"
"Company Legal Name","Handelsnaam"
"Company Email","Bedrijfs e-mail"
"VAT/TAX ID","BTW-nummer"
"Re-seller ID","Verkoper ID"
"Legal Address","Vestigingsadres"
"Street Address","Adres"
"City","Plaatsnaam"
"Country","Land"
"State/Province","Staat/Provincie"
"Please select a region, state or province.","Selecteer regio, staat of provincie."
"ZIP/Postal Code","Postcode"
"Phone Number","Telefoonnummer"
"Company Administrator","Bedrijfsbeheerder"
"Job Title","Functietitel"
"Email","E-mail"
"Submit","Bevestig"
"New Company Account","Nieuw bedrijfsaccount"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Als je een bedrijf vertegenwoordigt, wil je ons bedrijfsaccount gedeelte gebruiken. Het creëren van een bedrijfsaccount biedt alle bedrijfsleden toegang tot B2B-functies zoals offertes, bedrijfsgebruikersbeheer, snelle bestelling en meer."
"Create a Company Account","Zakelijk account aanmaken"
"Business Structure","Bedrijfsstructuur"
"Expand All","Alles uitklappen"
"Collapse All","Alles inklappen"
"Add User","Gebruiker toevoegen"
"Add Team","Team toevoegen"
"Edit Selected","Selectie bewerken"
"Delete Selected","Selectie verwijderen"
"Error","Foutmelding"
"User Role","Rol van gebruiker"
"First Name","Voornaam"
"Last Name","Achternaam"
"Status","status"
"Team Title","Team naam"
"Description","Omschrijving"
"You don't have a company account yet.","Je hebt nog geen bedrijfsaccount."
"Account Information","Account Gegevens"
"VAT/TAX ID: ","BTW-nummer: "
"Re-seller ID: ","Verkoper ID: "
"You have no other address entries in your address book.","Je hebt geen andere adressen ingevoerd in jeadresboek."
"T: %1","T: %1"
"Contacts","Contacten"
"Sales Representative","Vertegenwoordiger"
"Role Information","Rol informatie"
"Role Permissions","Rol rechten"
"Save Role","Rol opslaan"
"Add New User","Nieuwe gebruiker toevoegen"
"Company","Bedrijf"
"Create an Account","Account aanmaken"
"Change","Verander"
"This action will replace your Company Admin.","Deze actie vervangt je bedrijfsbeheerder."
"* Your latest changes on the company profile have not been saved yet.","* Je laatste wijzigingen in het bedrijfsprofiel zijn nog niet opgeslagen."
"Dear %name,","Beste %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Je bent toegewezen aan <a href=""%customer_url"">%company_name</a> als bedrijfsbeheerder."
"When you sign in to your account, you can:","Wanneer je inlogt op je account kan je de volgende zaken:"
"* Create and manage company users and teams","* Creëer en beheer van bedrijfsgebruikers en -teams"
"* Manage user permissions for the store","* Beheer gebruikersrechten voor de winkel"
"* Create and manage company shipping and billing addresses","* Aanmaken en beheren van verzend- en factuuradressen van het bedrijf"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Je bent als bedrijfslid toegevoegd aan <a href=%customer_url>%company_name </a>.
     Zodra jeinlogt in jeaccount worden de gedeelde bronnen van het bedrijf beschikbaar voor u."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Als dit is een vergissing,
    neem contact op met het bedrijf Admin op %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Je account is nu actief. Je kunt het gebruiken om in te loggen op de <a href=""%customer_url"">website</a>."
"Your account is no longer active. You will not be able to use it for login.","Je account is niet langer actief. Je kan het niet meer gebruiken om in te loggen."
"If this is a mistake, please contact the seller.","Als dit een vergissing is neem dan contact op met de verkoper."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Je account is ingesteld op inactief en Je hebt nu geen toegang tot het zakelijk account. Als je denkt dat dit een vergissing is kan je voor meer informatie contact opnemen met je vertegenwoordiger."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Een bedrijfsregistratie aanvraag is ingediend door klant %customer. Het account is tijdelijk vergrendeld totdat je dit bedrijf goedkeurt of afwijst."
"Company: %company","Bedrijfsnaam: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Je bedrijfsregistratie aanvraag (voor <strong>%company_name</strong>)
     is goedgekeurd en je bent ingesteld als de bedrijfsbeheerder.
     Je kunt nu je bedrijfsstructuur creëren en beheren.
     Je bedrijfsleden kunnen offertes opvragen, bestellijsten maken
     en andere B2B-functies gebruiken."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","De status van je bedrijf <strong>%company_name</strong>
     is nu <strong>Actief</strong>.
     Zodra je bent ingelogd kan je bestellingen plaatsen namens je bedrijf
     en gebruik maken van andere B2B-functies."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Je accounttype is gewijzigd van Bedrijfsbeheerder naar een gewoon gebruikersaccount. Neem voor meer informatie contact op met je manager als je denkt dat dit een fout is."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Je bent toegewezen aan %company_name als de verkoopvertegenwoordiger."
"When you sign in to your account, you will be able to:","Wanneer je inlogt op je account kunt u:"
"* View and manage company quotes in Admin Panel","* Bekijk en beheer offertes van bedrijven in Admin Panel"
"* View and edit company profile in Admin Panel","* Bekijk en bewerk bedrijfsprofiel in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Je bedrijfsaccount <strong>%company_name</strong> is geblokkeerd.
     Je bedrijfsleden kunnen de website blijven gebruiken,
     maar ze zullen geen bestellingen meer kunnen plaatsen."
"If you have any questions, please contact the seller.","Wanneer je vragen heeft kan je contact opnemen met met de verkoper."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Je zakelijk account <strong>%company_name</strong> is opgeschort, in afwachting van goedkeuring van de verkoper."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Je bedrijfsregistratie aanvraag (voor <strong>%company_name</strong>) is afgewezen
     om de volgende reden:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Deze actie kan niet ongedaan gemaakt worden. Weet je zeker dat je dit bedrijf wilt verwijderen? Nadat het bedrijf is verwijderd worden alle bedrijfsleden ingesteld op Inactief."
"Delete a Company?","Bedrijf verwijderen?"
"Cancel","Annuleer"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! Je kunt deze gebruiker niet verwijderen: de gebruiker is de bedrijfsbeheerder."
"Cannot Delete the Company Admin","Kan de bedrijfsbeheerder niet verwijderen"
"Done","Gereed"
"No results","Geen resultaten"
"options","opties"
"Proceed","Doorgaan"
"Change Company Status?","De Status van het bedrijf wijzigen?"
"Change status","Verander status"
"Popup title","Titel van de popup"
"Cannot delete the user","Kan de gebruiker niet verwijderen"
"This user cannot be deleted because he/she is a company admin.","Deze gebruiker kan niet worden verwijderd omdat hij/zij een bedrijf admin is."
"Edit User","Gebruiker bewerken"
"Cannot Delete User","Kan gebruiker niet verwijderen"
"Delete this user?","Deze gebruiker verwijderen?"
"This action cannot be undone. Are you sure you want to delete this user?","Deze actie kan niet ongedaan worden gemaakt. Weet je zeker dat je deze gebruiker wilt verwijderen?"
"Edit Team","Team bewerken"
"Cannot Delete This Team","Kan dit team niet verwijderen"
"Delete this team?","Verwijder dit team?"
"This action cannot be undone. Are you sure you want to delete this team?","Deze actie kan niet ongedaan worden gemaakt. Weet je zeker dat je dit team wilt verwijderen?"
"Delete This Role?","Deze rol verwijderen?"
"This action cannot be undone. Are you sure you want to delete this role?","Deze actie kan niet ongedaan worden gemaakt. Weet je zeker dat je deze rol wilt verwijderen?"
"Cannot Delete Role","Kan de rol niet verwijderen"
"Cannot Delete Customer","Kan de klant niet verwijderen"
"Set Inactive","Set inactief"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Selecteer Verwijderen om het gebruikersaccount en de inhoud permanent te verwijderen. Bestellingen van gebruikers en offertes zijn nog steeds zichtbaar voor de verkoper. Selecteer Inactief zetten om de gebruiker tijdelijk te vergrendelen. De inhoud van de gebruiker is nog steeds beschikbaar voor bovenliggende gebruikers."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Gebruiker met dit e-mailadres bestaat al in het systeem. Voer een ander e-mailadres in om door te gaan. Als je je huidige account als een administrator-account wilt gebruiten dien je contact op te nemen met de verkoper."
"Enable Company","Bedrijf inschakelen"
"Company Configuration","Bedrijf configuratie"
"General","Algemeen"
"Allow Company Registration from the Storefront","Sta bedrijfsregistratie toe vanuit de winkel"
"Email Options - Company Registration","E-mailopties - Bedrijfdregistratie"
"Company Registration Email Recipient","Bedrijfsregistratie e-mail ontvanger"
"Send Company Registration Email Copy To","Verzend bedrijfsregistratie e-mail kopie naar"
"Comma-separated","Komma gescheiden"
"Send Email Copy Method","Verzend methode voor kopie van e-mail"
"Default Company Registration Email","Standaard bedrijfsregistratie e-mail"
"Customer-Related Emails","Klant gerelateerde e-mails"
"Default 'Sales Rep Assigned' Email","Standaard 'Toegekende verkoopvertegenwoordiger' e-mail"
"This email is sent to the company's Sales Rep and the Company Admin.","Deze e-mail wordt verzonden naar de verkoopvertegenwoordiger van het bedrijf en de bedrijfsbeheerder."
"Default 'Assign Company to Customer' Email","Standaard 'Wijs bedrijf aan klant toe' e-mail"
"This email is sent to the customer only.","Deze e-mail wordt alleen naar de klant verzonden."
"Default 'Assign Company Admin' Email","Standaard 'Wijs bedrijfsbeheerder toe' e-mail"
"Default 'Company Admin Inactive' Email","Standaard 'Bedrijfsbeheerder inactief' e-mail"
"Default 'Company Admin Changed To Member' Email","Standaard 'Bedrijfsbeheerder gewijzigd naar medewerker' e-mail"
"Default 'Customer Status Active' Email","Standaard 'Klantstatus actief' e-mail"
"Default 'Customer Status Inactive' Email","Standaard 'Klantstatus inactief' e-mail"
"Company Status Change","Bedrijfsstatus wijzigen"
"Send Company Status Change Email Copy To","Stuur bedrijfsstatus wijziging e-mail kopie naar"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Kommagescheiden. De ontvanger(s) ontvangen een kopie van een e-mail die standaard alleen naar de bedrijfsbeheerder wordt verzonden."
"Default 'Company Status Change To Active 1"" Email","Standaard 'Bedrijfsstatus wijzigen in actieve 1' e-mail"
"This email is sent when company status changes from Pending Approval to Active.","Deze e-mail wordt verzonden wanneer de bedrijfsstatus verandert van In afwachting van goedkeuring naar Actief."
"Default 'Company Status Change To Active 2"" Email","Standaard 'Bedrijfsstatus wijzigen in actieve 2' e-mail"
"This email is sent when company status changes from Rejected or Blocked to Active.","Deze e-mail wordt verzonden wanneer de bedrijfsstatus verandert van Geweigerd of Geblokkeerd naar Actief."
"Default 'Company Status Change To Rejected"" Email","Standaard 'Bedrijfsstatus gewijzigd naar Geweigerd ' e-mail"
"This email is sent when company status changes to Rejected.","Deze e-mail wordt verzonden wanneer de bedrijfsstatus verandert naar Geweigerd."
"Default 'Company Status Change To Blocked"" Email","Standaard 'Bedrijfsstatus gewijzigd naar Geblokkeerd ' e-mail"
"This email is sent when company status changes Blocked.","Deze e-mail wordt verzonden wanneer de bedrijfsstatus verandert naar Geblokkeerd."
"Default 'Company Status Change To Pending Approval"" Email","Standaard 'Bedrijfsstatus gewijzigd naar In afwachting van goedkeuring' e-mail"
"This email is sent when company status changes to Pending Approval.","Deze e-mail wordt verzonden wanneer de bedrijfsstatus verandert naar In afwachting van goedkeuring."
"All","Alle"
"Account Information (View)","Accountinformatie (Bekijk)"
"Legal Address (View)","Juridische adres (Bekijk)"
"Contacts (View)","Contactpersonen (Bekijk)"
"Company User Management","Bedrijf Gebruikersbeheer"
"View roles and permissions","Bekijk rollen en rechten"
"Manage roles and permissions","Beheer rollen en rechten"
"View users and teams","Bekijk gebruikers en teams"
"Manage users and teams","Beheer gebruikers en teams"
"Sales","Verkopen"
"Checkout (place order)","Afrekenen (plaats bestelling)"
"Use Pay On Account method","Gebruik de methode Pay On Account"
"View orders","Bestellingen bekijken"
"View orders of subordinate users","Bekijk orders van ondergeschikte gebruikers"
"Are you sure you want to set the selected companies as active?","Weet je zeker dat je de geselecteerde bedrijven als actief wilt instellen?"
"Set a Company as Active","Stel een bedrijf in als actief"
"Set Active","Activeer"
"Are you sure you want to block the selected companies?","Weet je zeker dat je de geselecteerde bedrijven wilt blokkeren?"
"Block a Company","Blokkeer een bedrijf"
"Block","Blokkeer"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Deze actie kan niet ongedaan worden gemaakt. Weet je zeker dat je de geselecteerde bedrijven wilt verwijderen? Nadat het bedrijf is verwijderd zullen alle bedrijfsleden inactief worden."
"ID","ID"
"Reseller ID","Wederverkoper ID"
"Comment","Opmerking"
"ZIP","Postcode"
"Customer Group","Klantengroep"
"Company Admin","Bedrijfsbeheerder"
"Gender","Geslacht"
"Customer Type","Klant type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Weet je zeker dat je tijdelijk dit zakelijk account wilt uitschakelen? Als je bevestigt zal de login voor alle medewerkers geblokkeerd worden."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Weet je zeker dat je dit bedrijf wilt activeren? Als je bevestigt zullen de bedrijfsmedewerkers kunnen werken binnen hun bedrijfsaccount.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Weet je zeker dat je dit bedrijf wilt afwijzen? Als je bevestigt zullen alle bedrijfsmedewerkers geblokkeerd worden."
"Please specify the reason","Geef de reden op"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","De reden verschijnt in het e-mailbericht 'Geweigerd' dat naar de bedrijfsbeheerder word verzonden. Het wordt ook opgeslagen en weergegeven in het beheerdersdashboard (in het bedrijfsprofiel)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Weet je zeker dat je dit bedrijf wilt blokkeren? Als je doorgaat, kunnen de bedrijfsleden geen bestellingen meer plaatsen."
"Reason for Rejection","Reden voor afwijzing"
"VAT / TAX ID","BTW-nummer"
"Website","Website"
"Prefix","Voorvoegsel"
"Middle Name/Initial","Initialen"
"Suffix","Achtervoegsel"
"Advanced Settings","Geavanceerde Instellingen"
"Change Customer Group?","Klantgroep wijzigen?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Met deze actie wordt de klantengroep voor alle leden van dit bedrijf gewijzigd. Wil je doorgaan?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","De gebruiker <%- username %> is de bedrijfsbeheerder en kan niet worden ingesteld op inactief. Je moet eerst een andere gebruiker instellen als de bedrijfsbeheerder."
"Customer Active","Klant actief"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Deze klant is een gebruiker van een ander bedrijf. Als je doorgaat, wordt de klant ontkoppeld van het huidige bedrijf en gekoppeld aan het geselecteerde bedrijf."
"Change Company?","Bedrijf wijzigen?"
"Associate to Company","Koppelen aan bedrijf"
"My Orders","Mijn bestellingen"
"Create New Customer","Nieuwe klant aanmaken"
"Create New Company Account","Zakelijk account aanmaken"
"Name","Naam"
"Role","Rol"
"Team","Team"
"Users","Gebruikers"
"%fieldName is a required field.","%fieldName is een verplicht veld."
"%fieldName is a required field","%fieldName is een verplicht veld"
"Consumer is not authorized to access resource","Gebruiker heeft geen toegang tot resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Je bedrijfsaccount is geblokkeerd en je kunt geen bestellingen plaatsen. Neem voor vragen contact op met je bedrijfsbeheerder."
