"Delete Customer","顧客の削除"
"Individual user","個別のユーザー"
"Inactive","未アクティブ"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","親リソースが「拒否」に設定されているため、リソースに「許可」を設定できません。"
"Invalid login or password.","ログイン名かパスワードが違います。"
"This account is locked.","このアカウントはロックされています。"
"Your account is not yet approved. If you have questions, please contact the seller.","あなたのアカウントはまだ承認されていません。ご不明な点がございましたら、販売者にお問い合わせ下さい。"
"There was an error saving custom attributes.","顧客属性の保存でエラーがありました。"
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldNameフィールドに指定された ""%value"" の値が無効です。"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValueのエンティティはありません"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","この権限はユーザーが割り当てられているため削除できません。 続行するには、ユーザーを別の役割に再割り当てして下さい。"
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","権限が会社の唯一の権限である場合、削除することはできません。 この権限を削除する前に、別の権限を作成する必要があります。"
"User role with this name already exists. Enter a different name to save this role.","この名前のユーザー権限はすでに存在しいます。この権限を保存するには別の名前を入力して下さい。"
"Cannot delete role with id %1","id %1 の権限を削除できません"
"Type %1 is not an instance of %2","タイプ %1 は %2 のインスタンスではありません"
"The selected user is inactive. To continue, select another user or activate the current user.","選択したユーザーは非アクティブです。 続行するには、別のユーザーを選択するか、現在のユーザーをアクティブにします。"
"This customer is a user of a different company. Enter a different email address to continue.","この顧客は別の会社のユーザーです。 続行するには別のメールアドレスを入力してください。"
"Company with this email address already exists in the system. Enter a different email address to continue.","このメールアドレスを持つ会社はすでにシステムに存在しています。 続行するには別のメールアドレスを入力してください。"
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","属性値が無効です。 拒否された日時と理由は、会社のステータスが「拒否」に変更された場合にのみ変更できます。"
"Could not save company: %1","会社を保存できませんでした: %1"
"Cannot delete structure with id %1","id %1 のストラクチャを削除できません"
"Could not create team","チームを作成できまでんした"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","このチームには子ユーザーまたはチームが配置されており、削除できません。 最初に子ユーザーやチームを再調整してください。"
"Could not update team","チームを更新できませんでした"
"Cannot delete team with id %1","id %1 のチームを削除できません"
"You cannot assign a different role to a company admin.","会社管理者には別の権限を割り当てることはできません。"
"You cannot assign multiple roles to a user.","ユーザーに複数の権限を割り当てることはできません。"
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","会社管理者は削除できません。削除操作は停止されました。他の顧客の操作を繰り返してください。"
"Something went wrong","問題が発生しました"
"This customer company account is blocked and customer cannot place orders.","この顧客会社アカウントがブロックされ、顧客が注文を行えません。"
"The consumer isn't authorized to access resource.","顧客はリソースにアクセスする権限がありません。"
" - Duplicated"," - 複製"
"message","メッセージ"
"Exception message","例外メッセージ"
"test","テスト"
"phrase","フェーズ"
"exception","例外"
"Localized Exception.","ローカライズ例外"
"Error message","エラーメッセージ"
"No such entity.","そのようなエンティティはありません。"
"error message","エラーメッセージ"
"Could not save role","権限を保存できませんでした"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName""は必須です。 入力して再度お試し下さい。""%fieldName""は必須です。 入力して再度お試し下さい。"
"Cannot delete team","チームを削除できません"
"Role Name","権限名"
"Role Name 15","権限名 15"
"Edit","編集"
"Delete","削除"
"Duplicate","複製"
"Company Name","会社名"
"Customer Type:","顧客タイプ:"
"Company:","会社:"
"Company Information","会社情報"
"Company Legal Name","会社の登録名"
"Company Email","会社Eメール"
"VAT/TAX ID","VAT/税ID:"
"Re-seller ID","再販業者ID"
"Legal Address","法的住所"
"Street Address","住所"
"City","市区町村"
"Country","国"
"State/Province","都道府県"
"Please select a region, state or province.","都道府県を選択してください"
"ZIP/Postal Code","郵便番号"
"Phone Number","電話番号"
"Company Administrator","会社管理者"
"Job Title","職名"
"Email","Eメール"
"Submit","送信"
"New Company Account","新規会社アカウント"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","あなたが会社を代表している場合は、会社のアカウントエリアを使用することになります。 会社アカウントを作成すると、全社員がクオーティング、会社のユーザー管理、クイックオーダーなどのB2B機能へアクセスできます。"
"Create a Company Account","会社アカウントを作成"
"Business Structure","経営構造"
"Expand All","すべて展開する"
"Collapse All","すべて折りたたむ"
"Add User","ユーザーを追加"
"Add Team","チームを追加"
"Edit Selected","選択したものを編集"
"Delete Selected","選択項目を削除"
"Error","エラー"
"User Role","ユーザー権限"
"First Name","名"
"Last Name","姓"
"Status","ステータス"
"Team Title","チームタイトル"
"Description","概要"
"You don't have a company account yet.","まだ会社アカウントを持っていません。"
"Account Information","アカウント情報"
"VAT/TAX ID: ","VAT/税ID: "
"Re-seller ID: ","再販業者ID: "
"You have no other address entries in your address book.","住所一覧に他の住所のエントリーがありません。"
"T: %1","T: %1"
"Contacts","連絡先"
"Sales Representative","販売担当者"
"Role Information","権限情報"
"Role Permissions","ロール権限"
"Save Role","権限の保存"
"Add New User","新しいユーザーを追加"
"Company","会社名"
"Create an Account","アカウント作成"
"Change","変更"
"This action will replace your Company Admin.","この操作はあなたの会社管理者を置き換えます。"
"* Your latest changes on the company profile have not been saved yet.","*会社概要の最新の変更はまだ保存されていません。"
"Dear %name,","こんにちは %name 様"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","あなたは会社管理者として<a href=""%customer_url"">%company_name</a>に割り当てられています。"
"When you sign in to your account, you can:","アカウントにサインインすると以下のことができます:"
"* Create and manage company users and teams","* 会社のユーザーとチームの作成と管理"
"* Manage user permissions for the store","* 店舗のユーザー権限の管理"
"* Create and manage company shipping and billing addresses","* 会社の配送および請求先住所の作成と管理"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","あなたは社員として <a href=%customer_url>%company_name</a> に追加されました。
    アカウントを入力すると、
    社内の共有リソースが利用可能になります。"
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","これが間違いである場合は、
    %company_admin_email で会社管理者にお問い合わせ下さい。"
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","あなたのアカウントは現在アクティブになっています。<a href=""%customer_url"">ウェブサイト</a>にログインするために使用することができます。"
"Your account is no longer active. You will not be able to use it for login.","あなたのアカウントはもうアクティブではありません。 このアカウントはログインするために使用できません。"
"If this is a mistake, please contact the seller.","これが間違いであれば、販売業者にお問い合わせ下さい。"
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","あなたのアカウントは非アクティブに設定されており、現在会社アカウントにアクセスすることができません。 間違いだと思われる場合は、マネージャーに詳細をお問い合わせください。"
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","顧客 %customer によって会社登録リクエストが送信されました。 この会社を承認または拒否するまで、アカウントは一時的にロックされます。"
"Company: %company","会社: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","あなたの会社登録リクエスト（<strong>%company_name</strong>）が承認され、
    あなたは会社管理者として設定されています。 
    あなたは会社の組織構成を作成して管理することができます。 
    あなたの会社の従業員は、見積の依頼や請求リストの作成、その他のB2B機能が利用できます。"
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","あなたの会社のステータス<strong>%company_name </strong>は
    現在<strong>有効</strong>です。
    ログインすると、あなたの会社に代わって注文することができ、
    他のB2B機能を使用できます。"
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","アカウントの種類が会社管理者から通常のユーザーアカウントに変更されました。 謝りだと思われる場合は、マネージャーに詳細をお問い合わせ下さい。"
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","あなたは販売担当者として %company_name に割り当てられています。"
"When you sign in to your account, you will be able to:","アカウントにサインインすると以下のことができます:"
"* View and manage company quotes in Admin Panel","* 管理画面における会社の見積もりの表示と管理"
"* View and edit company profile in Admin Panel","* 管理画面における会社概要の表示と編集"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","あなたの会社アカウント<strong>%company_name</strong>はロックされました。
    あなたの会社の従業員は引き続きウェブサイトを使用できますが、
    注文を行うことはできなくなります。"
"If you have any questions, please contact the seller.","ご不明な点がございましたら、販売者にお問い合わせ下さい。"
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","あなたの会社アカウント<strong>%company_name</strong> は販売業者側で審査中のため、一時的にご利用いただけない状態になっています。"
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","次の理由により、あなたの会社登録リクエスト（<strong>%company_name</strong>）が拒否されました:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","このアクションは取り消せません。この会社を削除してもよろしいですか？会社を削除した後、全社員は未アクティブに設定されます。"
"Delete a Company?","会社を削除しますか？"
"Cancel","キャンセル"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Sorry! You cannot delete this user: The user is the company admin.","申し訳ありませんが、このユーザーを削除できません: ユーザーは会社管理者です。"
"Cannot Delete the Company Admin","会社管理者を削除できません"
"Done","完了"
"No results","結果なし"
"options","オプション"
"Proceed","続行"
"Change Company Status?","会社のステータスを変更しますか？"
"Change status","ステータス変更"
"Popup title","ポップアップのタイトル"
"Cannot delete the user","ユーザーを削除できません"
"This user cannot be deleted because he/she is a company admin.","このユーザーは会社管理者であるため削除できません。"
"Edit User","ユーザーの編集"
"Cannot Delete User","顧客を削除できません"
"Delete this user?","このユーザーを削除しますか？"
"This action cannot be undone. Are you sure you want to delete this user?","このアクションは取り消せません。このユーザーを削除してもよろしいですか？"
"Edit Team","チームの編集"
"Cannot Delete This Team","このチームを削除できません"
"Delete this team?","このチームを削除しますか？"
"This action cannot be undone. Are you sure you want to delete this team?","このアクションは取り消せません。このチームを削除してもよろしいですか？"
"Delete This Role?","この権限を削除しますか？"
"This action cannot be undone. Are you sure you want to delete this role?","このアクションは取り消せません。この権限を削除してもよろしいですか？"
"Cannot Delete Role","権限を削除できません"
"Cannot Delete Customer","顧客を削除できません"
"Set Inactive","非アクティブに設定"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","ユーザーアカウントとコンテンツを完全に削除するには「削除」を選択します。 ユーザーの注文と見積もりはマーチャントには表示されます。 ユーザーを一時的にロックするには、「非アクティブに設定」を選択します。 ユーザーのコンテンツは親ユーザーで引き続き使用できます。"
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","このメールアドレスのユーザーは既にシステムに存在しています。 続行するには別のメールアドレスを入力してください。 現在のアカウントを管理者アカウントとして使用する場合は、販売者にお問い合わせ下さい。"
"Enable Company","会社を有効にする"
"Company Configuration","会社の構成"
"General","全般"
"Allow Company Registration from the Storefront","ストアフロントから会社登録を許可する"
"Email Options - Company Registration","Eメールオプション - 会社登録"
"Company Registration Email Recipient","会社登録のメール受信者"
"Send Company Registration Email Copy To","会社登録コピーメール送信先"
"Comma-separated","カンマ区切り"
"Send Email Copy Method","コピーメール送信方法"
"Default Company Registration Email","デフォルトの会社登録メール"
"Customer-Related Emails","顧客関連のEメール"
"Default 'Sales Rep Assigned' Email","デフォルトの '割り当てられた販売担当者' メール"
"This email is sent to the company's Sales Rep and the Company Admin.","このEメールは、会社の販売担当者と会社管理者に送信されます。"
"Default 'Assign Company to Customer' Email","デフォルトの '会社を顧客に割り当てる' 電子メール"
"This email is sent to the customer only.","このメールは顧客のみに送信されます。"
"Default 'Assign Company Admin' Email","デフォルトの '会社管理者に割り当てる' メール"
"Default 'Company Admin Inactive' Email","デフォルトの '会社管理者非アクティブ' メール"
"Default 'Company Admin Changed To Member' Email","デフォルトの '会社管理者がメンバーに変更' メール"
"Default 'Customer Status Active' Email","デフォルトの '顧客ステータスアクティブ' メール"
"Default 'Customer Status Inactive' Email","デフォルトの '顧客ステータス非アクティブ' メール"
"Company Status Change","会社のステータスを変更する"
"Send Company Status Change Email Copy To","会社ステータス変更メールコピー送信先"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","カンマ区切り。 受信者は、デフォルトで会社管理者にのみ送信されるEメールのコピーを取得します。"
"Default 'Company Status Change To Active 1"" Email","デフォルトの '会社ステータスがアクティブ1に変更' メール"
"This email is sent when company status changes from Pending Approval to Active.","このメールは、会社のステータスが「承認待ち」から「アクティブ」に変更されたときに送信されます。"
"Default 'Company Status Change To Active 2"" Email","デフォルトの '会社ステータスがアクティブ2に変更' メール"
"This email is sent when company status changes from Rejected or Blocked to Active.","このメールは、会社のステータスが「拒否」または「ブロック」から「アクティブ」に変更されたときに送信されます。"
"Default 'Company Status Change To Rejected"" Email","デフォルトの '会社ステータスが拒否済に変更' メール"
"This email is sent when company status changes to Rejected.","このメールは、会社のステータスが「拒否」に変更した時に送信されます。"
"Default 'Company Status Change To Blocked"" Email","デフォルトの '会社ステータスがブロック済みに変更' メール"
"This email is sent when company status changes Blocked.","このメールは、会社のステータスが「ブロック」に変更された時に送信されます。"
"Default 'Company Status Change To Pending Approval"" Email","デフォルトの '会社ステータスが承認待ちに変更' メール"
"This email is sent when company status changes to Pending Approval.","このメールは、会社のステータスが「承認待ち」に変更されたときに送信されます。"
"All","全て"
"Account Information (View)","アカウント情報（表示）"
"Legal Address (View)","法的住所（表示）"
"Contacts (View)","連絡先 (表示)"
"Company User Management","会社のユーザ管理"
"View roles and permissions","ロールとパーミッションの表示"
"Manage roles and permissions","ロールとパーミッションの管理"
"View users and teams","ユーザーとチームを表示"
"Manage users and teams","ユーザーとチームの管理"
"Sales","セールス"
"Checkout (place order)","レジに進む（注文を確定する）"
"Use Pay On Account method","内金支払い方法を使用"
"View orders","注文を表示"
"View orders of subordinate users","下位のユーザの注文を表示"
"Are you sure you want to set the selected companies as active?","選択した会社をアクティブに設定してもよろしいですか？"
"Set a Company as Active","会社をアクティブに設定"
"Set Active","アクティブに設定"
"Are you sure you want to block the selected companies?","選択した会社をブロックしてもよろしいですか？"
"Block a Company","会社をブロックする"
"Block","ブロック"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","このアクションは取り消せません。選択された会社を削除してもよろしいですか？会社を削除した後、全社員は未アクティブに設定されます。"
"ID","ID"
"Reseller ID","再販業者 ID"
"Comment","コメント"
"ZIP","郵便番号"
"Customer Group","顧客グループ"
"Company Admin","会社管理者"
"Gender","性別"
"Customer Type","顧客タイプ"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","この会社アカウントを一時的に無効にしてもよろしいですか？承認すると、全社員のログインがブロックされます。"
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","この会社をアクティブに設定してもよろしいですか？承認すると、社員は会社アカウント内で処理できるようになります。"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","この会社を取り消してもよろしいですか？もし承認すると、全社員のログインがブロックされます。"
"Please specify the reason","理由を指定してください"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","理由は、会社管理者に送信された「拒否」メールに表示されます。 また、それは保存され、管理パネル（会社概要内）にも表示されます。"
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","この会社をブロックしてもよろしいですか？処理すると、社員は注文を行えなくなります。"
"Reason for Rejection","拒否の理由"
"VAT / TAX ID","VAT / 税ID"
"Website","ウェブサイト"
"Prefix","接頭辞"
"Middle Name/Initial","ミドルネーム/イニシャル"
"Suffix","サフィックス"
"Advanced Settings","拡張設定"
"Change Customer Group?","顧客グループを変更しますか？"
"This action will change the customer group for all members of this company. Would you like to proceed?","このアクションにより、会社の全社員の顧客グループが変更されます。続行しますか？"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","ユーザー <%- username %> は会社の管理者であり、未アクティブに設定することができません。最初に会社の管理者として別のユーザーを設定して下さい。"
"Customer Active","顧客アクティブ"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","この顧客は別の会社のユーザーです。続行した場合、顧客は現在の会社からリンクが解除され、選択した会社にリンクされます。"
"Change Company?","会社を変更しますか？"
"Associate to Company","会社に関連づける"
"My Orders","ご注文"
"Create New Customer","新規顧客作成"
"Create New Company Account","新規会社アカウントを作成"
"Name","名前"
"Role","権限"
"Team","チーム"
"Users","ユーザー"
"%fieldName is a required field.","%fieldNameは必須フィールドです。"
"%fieldName is a required field","%fieldNameは必須フィールドです。"
"Consumer is not authorized to access resource","顧客は%resourcesにアクセスする権限がありません"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","あなたの会社アカウントがブロックされ、注文ができません。ご質問がある場合は、会社の管理者にお問い合わせください。"
