"Delete Customer","Müşteriyi Sil"
"The customer was successfully created.","Müşteri başarıyla oluşturuldu."
"You cannot delete yourself.","Kendini silemezsin."
"Cannot delete this user.","Bu kullanıcı silinemez."
"The customer was successfully deleted.","Müşteri başarıyla silindi."
"The customer was successfully updated.","Müşteri başarıyla güncellendi."
"Company Profile","Firma Profili"
"The changes you made on the company profile have been successfully saved.","Firma profilinde yaptığınız değişiklikler başarıyla kaydedildi."
"You must fill in all required fields before you can continue.","Devam edebilmeniz için gerekli tüm alanları doldurmalısınız."
"Bad Request","Hatalı istek"
"You have deleted role %companyRoleName.","%companyRoleName iznini sildiniz."
"Add New Role","Yeni Yetki Sınıfı Ekle"
"Edit Role","Yetki Sınıfı Düzenle"
"Roles and Permissions","Yetkiler ve İzinler"
"The tree retrieved successfully.","Ağaç başarıyla geri alındı."
"The item was successfully moved.","Ürün başarıyla taşındı."
"The team was successfully deleted.","Ürün başarıyla silindi."
"The team was successfully updated.","Takım başarıyla güncellendi."
"The team was successfully created.","Takım başarıyla oluşturuldu."
"Company Users","Firma Kullanıcıları"
"A customer with the same email already assigned to company.","Aynı e-posta ile firmaya kayıtlı bir müşteri zaten var."
"Active","Aktif"
"Pending Approval","Onay Bekleyen"
"Rejected","Reddedildi"
"Blocked","Engelli"
"The company admin cannot be moved to a different location in the company structure.","Şirket yöneticisi şirket yapısında farklı bir yere taşınamaz."
"A user or a team cannot be moved under itself.","Bir kullanıcı veya ekip kendi altına taşınamaz."
"A user or a team cannot be moved under its child user or team.","Bir kullanıcı veya bir ekip, alt kullanıcısı veya ekibinin altına taşınamaz."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","Belirtilen üst Kimlik farklı bir şirkete ait. Belirtilen varlık (takım veya kullanıcı) ve yeni ana ortağı aynı şirkete ait olmalıdır."
"Unable to move customer structure.","Müşteri yapısı taşınamıyor."
"Cannot delete company with id %1","%1 kimliğine sahip şirket silinemiyor"
"No company admin email is specified in request.","İstekte hiçbir şirket yöneticisi e-postası belirtilmedi."
"No company admin website ID is specified in request.","İstekte hiçbir şirket yöneticisi web sitesi Kimliği belirtilmedi."
"No such entity with id = %idValue","Kimliğine sahip böyle bir varlık yok = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","%1 kullanıcısı şirket yöneticisidir ve etkin değil olarak ayarlanamaz. Önce başka bir kullanıcıyı şirket yöneticisi olarak ayarlamanız gerekir."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","İstenen özelliği güncelleyemezsiniz. Satır Kimliği: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Geçersiz özellik değeri. Bir şirket yöneticisi için şirketi değiştirilemez."
"Company admin","Şirket yöneticisi"
"Company user","Şirket kullanıcısı"
"Individual user","Bireysel kullanıcı"
"Inactive","Pasif"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Üst kaynağı ""reddet"" olarak ayarlandığından kaynak(lar) için ""izin ver"" ayarlanamıyor."
"Invalid login or password.","Geçersiz giriş veya şifre."
"This account is locked.","Bu hesap kapatıldı."
"Your account is not yet approved. If you have questions, please contact the seller.","Hesabınız henüz onaylanmadı. Sorularınız varsa, lütfen satıcıyla iletişime geçin."
"There was an error saving custom attributes.","Özel özellikler kaydedilirken bir hata oluştu."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName alanı için geçersiz ""%value"" değeri."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" zorunludur. Girin ve tekrar deneyin."
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ile böyle bir giriş yok"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Bu rol, kendisine atanmış kullanıcılar olduğu için silinemez. Devam etmek için kullanıcıları başka bir role atayın."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Şirketteki tek rol olan bir rolü silemezsiniz. Bu rolü silmeden önce başka bir rol oluşturmalısınız."
"User role with this name already exists. Enter a different name to save this role.","Bu isimde bir kullanıcı rolü zaten var. Bu rolü kaydetmek için farklı bir isim girin."
"Cannot delete role with id %1","1% kimliğine sahip rol silinemez"
"Type %1 is not an instance of %2","%1 türü %2' nin bir örneği değil"
"The selected user is inactive. To continue, select another user or activate the current user.","Seçilen kullanıcı pasif. Devam etmek için başka bir kullanıcı seçin veya mevcut kullanıcıyı etkinleştirin."
"This customer is a user of a different company. Enter a different email address to continue.","Bu müşteri, farklı bir şirketin kullanıcısı. Devam etmek için farklı bir e-posta adresi girin."
"Company with this email address already exists in the system. Enter a different email address to continue.","Bu e-posta adresine sahip şirket sistemde zaten var. Devam etmek için farklı bir e-posta adresi girin."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Geçersiz öznitelik değeri. Reddedilen tarih saati ve Reddedilen Neden yalnızca bir şirket durumu Reddedildi olarak değiştirildiğinde değiştirilebilir."
"Could not save company: %1","Şirket kaydedilemedi: %1"
"Cannot delete structure with id %1","%1 kimliğine sahip yapı silinemiyor"
"Could not create team","Ekip oluşturulamadı"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Bu takımın alt kullanıcıları veya takımları var ve silinemez. Lütfen önce alt kullanıcıları veya ekipleri yeniden hizalayın."
"Could not update team","Ekip güncellenemedi"
"Cannot delete team with id %1","Kimliğine sahip takım silinemez %1"
"You cannot assign a different role to a company admin.","Bir şirket yöneticisine farklı bir rol atayamazsınız."
"You cannot assign multiple roles to a user.","Bir kullanıcıya birden fazla rol atayamazsınız."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Şirket yöneticisi silinemez. Silme işlemi durduruldu. Lütfen işlemi diğer müşteriler için tekrarlayın."
"Something went wrong","Bir şeyler yanlış gitti"
"This customer company account is blocked and customer cannot place orders.","Bu müşteri şirket hesabı bloke edilmiştir ve müşteri sipariş veremez."
"The consumer isn't authorized to access resource.","Tüketici kaynağa erişme yetkisine sahip değil."
" - Duplicated"," - Yinelenen"
"message","mesaj"
"Exception message","İstisna mesajı"
"test","dene"
"phrase","cümle"
"exception","istisna"
"Localized Exception.","Yerelleşmiş İstisna."
"Error message","Hata mesajı"
"No such entity.","Böyle bir varlık yok."
"error message","hata mesajı"
"Could not save role","Görev kaydedilemedi"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Takım silinemez"
"Role Name","Yetki Sınıfı Adı"
"Role Name 15","Rol Adı 15"
"Edit","Düzenle"
"Delete","Sil"
"Duplicate","Çiftleme"
"Company Name","Şirket Adı"
"Customer Type:","Müşteri tipi:"
"Company:","Şirket:"
"Company Information","Şirket Bilgisi"
"Company Legal Name","Şirketin Yasal Adı"
"Company Email","Şirket E-postası"
"VAT/TAX ID","Vergi No"
"Re-seller ID","Bayi Kimliği"
"Legal Address","Yasal adres"
"Street Address","Adres"
"City","Şehir"
"Country","Ülke"
"State/Province","Eyalet/Şehir"
"Please select a region, state or province.","Lütfen bir bölge, eyalet veya şehir seçiniz."
"ZIP/Postal Code","Zip/Posta Kodu"
"Phone Number","Telefon Numarası"
"Company Administrator","Şirket Yöneticisi"
"Job Title","İş ismi"
"Email","E-posta"
"Submit","Gönder"
"New Company Account","Yeni Şirket Hesabı"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Bir şirketi temsil ediyorsanız, şirket hesap alanımızı kullanmak isteyeceksiniz. Bir şirket hesabı oluşturmak, tüm şirket üyelerine fiyat teklifi verme, şirket kullanıcıları yönetimi, hızlı sipariş ve daha fazlası gibi B2B özelliklerine erişim sağlar."
"Create a Company Account","Yeni Şirket Hesabı"
"Business Structure","İş Yapısı"
"Expand All","Hepsini Genişlet"
"Collapse All","Hepsini Daralt"
"Add User","Kullanıcı Ekle"
"Add Team","Takım Ekle"
"Edit Selected","Seçimi Düzenle"
"Delete Selected","Seçileni Sil"
"Error","Hata"
"User Role","Kullanıcı Yetkisi"
"First Name","Adı"
"Last Name","Soyadı"
"Status","Durum"
"Team Title","Takım Başlığı"
"Description","Açıklama"
"You don't have a company account yet.","Henüz bir şirket hesabınız yok."
"Account Information","Hesap Bilgisi"
"VAT/TAX ID: ","Vergi No: "
"Re-seller ID: ","Bayi ID: "
"You have no other address entries in your address book.","Adres defterinizde başka adres girişi bulunmuyor."
"T: %1","T: %1"
"Contacts","İletişim"
"Sales Representative","Satış Sorumlusu"
"Role Information","Yetki Sınıfı Bilgisi"
"Role Permissions","Rol izinleri"
"Save Role","Yetki Sınıfı Kaydet"
"Add New User","Yeni Kullanıcı Ekle"
"Company","Şirket"
"Create an Account","Bir Hesap Oluştur"
"Change","Değiştir"
"This action will replace your Company Admin.","Bu işlem, Şirket Yöneticinizi değiştirecek."
"* Your latest changes on the company profile have not been saved yet.","* Şirket profilinizdeki son değişiklikleriniz henüz kaydedilmedi."
"Dear %name,","Sayın %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Şirket Yöneticisi olarak <a href=""%customer_url"">%company_name </a> adına atandınız."
"When you sign in to your account, you can:","Hesabınızda oturum açtığınızda, şunu yapabileceksiniz:"
"* Create and manage company users and teams","* Şirket kullanıcılarını ve ekiplerini oluşturun ve yönetin"
"* Manage user permissions for the store","* Mağaza için kullanıcı izinlerini yönetin"
"* Create and manage company shipping and billing addresses","* Şirket nakliye ve fatura adreslerini oluşturun ve yönetin"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Şirket üyesi olarak <a href=%customer_url>%company_name </a> 'e eklendiniz.
    Hesabınızı girdikten sonra,
    şirketin paylaşılan kaynakları sizin için mevcut olacaktır."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Bu bir hataysa,
    lütfen %company_admin_email adresinden şirket Yöneticisine başvurun."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Hesabınız artık aktif. <a href=""%customer_url""> web sitesine </a> giriş yapmak için kullanabilirsiniz."
"Your account is no longer active. You will not be able to use it for login.","Hesabınız artık aktif değil. Giriş yapmak için kullanamayacaksınız."
"If this is a mistake, please contact the seller.","Bu bir hataysa, lütfen satıcıyla iletişime geçin."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Hesabınız pasif olarak ayarlandı ve artık şirket hesabına erişemezsiniz. Bunun bir hata olduğunu düşünüyorsanız, ayrıntılar için lütfen yöneticinizle iletişime geçin."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","%customer tarafından bir şirket kayıt talebi gönderildi. Bu şirketi onaylayana veya reddedene kadar hesap geçici olarak kilitlenir."
"Company: %company","Şirket: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Şirket kaydı isteğiniz (<strong>%company_name </strong> için)
    onaylandı ve Şirket Yöneticisi olarak belirlendiniz.
    Artık şirket yapınızı oluşturabilir ve yönetebilirsiniz.
    Şirket üyeleriniz teklif isteyebilir, talep listeleri oluşturabilir,
    ve diğer B2B özelliklerini kullanın."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Şirketinizin durumu <strong> %company_name </strong>
     artık <strong> Etkin </strong>.
     Giriş yaptıktan sonra, şirketiniz adına sipariş verebileceksiniz.
     ve diğer B2B özelliklerini kullanabileceksiniz."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Hesap türünüz Şirket Yöneticisi'nden normal bir kullanıcı hesabına değiştirildi. Bunun bir hata olduğunu düşünüyorsanız, ayrıntılar için lütfen yöneticinizle iletişime geçin."
"%name,","%isim,"
"You have been assigned to %company_name as the Sales Representative.","Satış Temsilcisi olarak %company_name'e atandı."
"When you sign in to your account, you will be able to:","Hesabınızda oturum açtığınız zaman, şunları yapabileceksiniz:"
"* View and manage company quotes in Admin Panel","* Yönetici Panelinde şirket tekliflerini görüntüleyin ve yönetin"
"* View and edit company profile in Admin Panel","* Yönetici Panelinde şirket profilini görüntüleyin ve düzenleyin"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Şirket hesabınız <strong>%company_name</strong> engellendi.
     Şirket üyeleriniz siteyi kullanmaya devam edebilir,
     ancak sipariş veremeyecekler."
"If you have any questions, please contact the seller.","Herhangi bir sorunuz varsa, lütfen satıcıyla iletişime geçin."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Şirket hesabınız <strong>%company_name </strong>, satıcının onayı beklendiği için askıya alındı."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Aşağıda ki nedenden dolayı ( <strong>%company_name </strong> için) şirket kaydı talebiniz reddedildi:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Bu eylem geri alınamaz. Bu şirketi silmek istediğinizden emin misiniz? Şirket silindikten sonra, tüm şirket üyeleri etkin değil olarak ayarlanacaktır."
"Delete a Company?","Bir Şirketi Sil?"
"Cancel","İptal"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Sorry! You cannot delete this user: The user is the company admin.","Affedersiniz! Bu kullanıcıyı silemezsiniz: Kullanıcı, şirket yöneticisidir."
"Cannot Delete the Company Admin","Şirket Yöneticisi Silinemez"
"Done","Yapıldı"
"No results","Sonuç yok"
"options","seçenekler"
"Proceed","Devam et"
"Change Company Status?","Şirket Durumu Değiştirilsin mi?"
"Change status","Durumu Değiştir"
"Popup title","Popup başlığı"
"Cannot delete the user","Bu kullanıcı silinemez"
"This user cannot be deleted because he/she is a company admin.","Bu kullanıcı şirket yöneticisi olduğu için silinemez."
"Edit User","Kullanıcı Düzenle"
"Cannot Delete User","Bu kullanıcı silinemez"
"Delete this user?","Bu kullanıcıyı sil?"
"This action cannot be undone. Are you sure you want to delete this user?","Bu eylem geri alınamaz. Bu kullanıcıyı silmek istediğinizden emin misiniz?"
"Edit Team","Takımı Düzenle"
"Cannot Delete This Team","Bu Takım Silinemez"
"Delete this team?","Bu takım silinsin mi?"
"This action cannot be undone. Are you sure you want to delete this team?","Bu eylem geri alınamaz. Bu takımı silmek istediğinizden emin misiniz?"
"Delete This Role?","Bu Rol Silinsin mi?"
"This action cannot be undone. Are you sure you want to delete this role?","Bu eylem geri alınamaz. Bu rolü silmek istediğinizden emin misiniz?"
"Cannot Delete Role","Rol Silinemiyor"
"Cannot Delete Customer","Müşteri Silinemez"
"Set Inactive","Set Inactive"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Enable Company","Enable Company"
"Company Configuration","Company Configuration"
"General","Genel"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Virgülle ayrılmış"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Varsayılan Şirket Kayıt E-postası"
"Customer-Related Emails","Müşteriyle İlgili E-postalar"
"Default 'Sales Rep Assigned' Email","Varsayılan 'Atanmış Satış Temsilcisi' E-postası"
"This email is sent to the company's Sales Rep and the Company Admin.","Bu e-posta şirketin Satış Temsilcisine ve Şirket Yöneticisine gönderilir."
"Default 'Assign Company to Customer' Email","Varsayılan ""Şirketi Müşteriye Ata"" E-postası"
"This email is sent to the customer only.","Bu e-posta yalnızca müşteriye gönderilir."
"Default 'Assign Company Admin' Email","Varsayılan 'Şirket Yöneticisini Ata' E-postası"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","Tümü"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Satışlar"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","View orders"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Set a Company as Active"
"Set Active","Set Active"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","Block a Company"
"Block","Blok"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","No"
"Reseller ID","Reseller ID"
"Comment","Yorum"
"ZIP","Posta Kodu"
"Customer Group","Müşteri Grupları"
"Company Admin","Company Admin"
"Gender","Cinsiyet"
"Customer Type","Customer Type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Please specify the reason"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Reason for Rejection"
"VAT / TAX ID","VAT / TAX ID"
"Website","Web sitesi"
"Prefix","Önek"
"Middle Name/Initial","İkinci Ad"
"Suffix","Sonek"
"Advanced Settings","Gelişmiş Ayarlar"
"Change Customer Group?","Change Customer Group?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","Customer Active"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Change Company?"
"Associate to Company","Associate to Company"
"My Orders","Siparişlerim"
"Create New Customer","Yeni Müşteri Ekle"
"Create New Company Account","Create New Company Account"
"Name","Adı"
"Role","Yetki Sınıfı"
"Team","Team"
"Users","Kullanıcılar"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
