"Delete Customer","ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಿ"
"A total of %1 record(s) were updated.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"Something went wrong. Please try again later.","ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"Invalid value of ""%value"" provided for the email field.","Invalid value of ""%value"" provided for the email field."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","ನೀವು %ccompanyName ಸಂಸ್ಥೆಯನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"The company no longer exists.","ಸಂಸ್ಥೆಯು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The requested company is not found","ವಿನಂತಿಸಿದ ಸಂಸ್ಥೆಯು ಕಂಡುಬಂದಿಲ್ಲ"
"Please correct the data sent.","ಕಳುಹಿಸಿದ ದತ್ತಾಂಶವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"can not be saved","ಉಳಿಸಲಾಗುವುದಿಲ್ಲ"
"A total of %1 record(s) were deleted.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"Could not save company","ಸಂಸ್ಥೆಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"You have saved company %companyName.","ನೀವು %ccompanyName ಸಂಸ್ಥೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"You have created company %companyName.","ನೀವು %ccompanyName ಸಂಸ್ಥೆಯನ್ನು ರಚಿಸಿದ್ದೀರಿ."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","A user with this email address already exists in the system. If you proceed, the user will be linked to your company."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
"A user with this email address already exists in the system. Enter a different email address to create this user.","A user with this email address already exists in the system. Enter a different email address to create this user."
"You are not allowed to do this.","ಇದನ್ನು ಮಾಡಲು ನಿಮಗೆ ಅನುಮತಿ ಇಲ್ಲ."
"Cannot create the customer.","ಗ್ರಾಹಕರನ್ನು ರಚಿಸಲು ಸಾಧ್ಯವಾಗುವುದಿಲ್ಲ."
"The customer was successfully created.","ಗ್ರಾಹಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ."
"You cannot delete yourself.","ನೀವು ನಿಮ್ಮನ್ನೇ ಅಳಿಸಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Cannot delete this user.","ಈ ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"The customer was successfully deleted.","ಗ್ರಾಹಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ."
"The customer was successfully updated.","ಗ್ರಾಹಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"Company Profile","ಸಂಸ್ಥೆಯ ಕಿರುಪರಿಚಯ"
"The changes you made on the company profile have been successfully saved.","The changes you made on the company profile have been successfully saved."
"You must fill in all required fields before you can continue.","ನೀವು ಮುಂದುವರೆಯುವ ಮುನ್ನ ನೀವು ಇಲ್ಲಾ ಅಗತ್ಯವಿರುವ ವಿವರಗಳನ್ನು ನಮೂದಿಸಲೇಬೇಕು."
"Bad Request","ಕೆಟ್ಟ ವಿನಂತಿ"
"You have deleted role %companyRoleName.","ನೀವು %ccompanyName ಹುದ್ದೆಯನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Add New Role","ಹೊಸ ಹುದ್ದೆಯನ್ನು ಸೇರಿಸಿ"
"Edit Role","ಹುದ್ದೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Roles and Permissions","ಹುದ್ದೆಗಳು ಮತ್ತು ಅನುಮತಿಗಳು"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","ತಂಡವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸರಿಸಲಾಗಿದೆ."
"The team was successfully deleted.","ತಂಡವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ."
"The team was successfully updated.","ತಂಡವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"The team was successfully created.","ತಂಡವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ."
"Company Users","ಸಂಸ್ಥೆಯ ಬಳಕೆದಾರರು"
"A customer with the same email already assigned to company.","ಇದೇ ಮಿಂಚೆಯಿಂದ ಗ್ರಾಹಕರೊಬ್ಬರು ಸಂಸ್ಥೆಗೆ ನಿಯೋಜನೆಗೊಂಡಿದ್ದಾರೆ."
"Active","ಸಕ್ರಿಯ"
"Pending Approval","ಬಾಕಿಯಿರುವ ಅನುಮೋದನೆ"
"Rejected","ನಿರಾಕರಿಸಲಾಗಿದೆ"
"Blocked","ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ"
"The company admin cannot be moved to a different location in the company structure.","The company admin cannot be moved to a different location in the company structure."
"A user or a team cannot be moved under itself.","A user or a team cannot be moved under itself."
"A user or a team cannot be moved under its child user or team.","A user or a team cannot be moved under its child user or team."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company."
"Unable to move customer structure.","Unable to move customer structure."
"Cannot delete company with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ಸಂಸ್ಥೆಯನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"No company admin email is specified in request.","No company admin email is specified in request."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","No such entity with id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","You cannot update the requested attribute. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Invalid attribute value. Cannot change company for a company admin."
"Company admin","ಸಂಸ್ಥೆಯ ನಿರ್ವಾಹಕ"
"Company user","ಸಂಸ್ಥೆಯ ಬಳಕೆದಾರರು"
"Individual user","ಅಸಿಂಧುವಾದ ಬಳಕೆದಾರರು"
"Inactive","ನಿಷ್ಕ್ರಿಯ"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny""."
"Invalid login or password.","ಅಸಿಂಧುವಾದ ಲಾಗಿನ್ ಅಥವಾ ಗುಪ್ತಪದ."
"This account is locked.","ಖಾತೆಯನ್ನು ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ."
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ಅಗತ್ಯವಿದೆ. ನಮೂದಿನ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","You cannot delete a role when it is the only role in the company. You must create another role before deleting this role."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ಹುದ್ದೆಯನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Type %1 is not an instance of %2","Type %1 is not an instance of %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Company with this email address already exists in the system. Enter a different email address to continue."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected."
"Could not save company: %1","ಸಂಸ್ಥೆ %1 ಅನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Cannot delete structure with id %1","Cannot delete structure with id %1"
"Could not create team","ತಂಡವನ್ನು ರಚಿಸಲಾಗಲಿಲ್ಲ"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first."
"Could not update team","ತಂಡವನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ"
"Cannot delete team with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ತಂಡವನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"You cannot assign a different role to a company admin.","You cannot assign a different role to a company admin."
"You cannot assign multiple roles to a user.","ನೀವು ಬಳಕೆದಾರರೊಬ್ಬರಿಗೆ ಬಹು ಹುದ್ದೆಗಳನ್ನು ಅನ್ವಯಿಸಲಾಗುವುದಿಲ್ಲ."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers."
"Something went wrong","ಏನೋ ತೊಂದರೆಯಾಗಿದೆ"
"This customer company account is blocked and customer cannot place orders.","This customer company account is blocked and customer cannot place orders."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," ನಕಲಿಸಿದೆ"
"message","ಸಂದೇಶ"
"Exception message","Exception ಸಂದೇಶ"
"test","ಪರೀಕ್ಷೆ"
"phrase","phrase"
"exception","ವಿನಾಯಿತಿ"
"Localized Exception.","Localized Exception."
"Error message","ದೋಷದ ಸಂದೇಶ"
"No such entity.","No such entity."
"error message","ದೋಷದ ಸಂದೇಶ"
"Could not save role","ಹುದ್ದೆಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","ತಂಡವನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Role Name","ಹುದ್ದೆಯ ಹೆಸರು"
"Role Name 15","ಹುದ್ದೆಯ ಹೆಸರು 15"
"Edit","ಸಂಪಾದಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Duplicate","ನಕಲಿಸಿ"
"Company Name","ಸಂಸ್ಥೆಯ ಹೆಸರು"
"Customer Type:","ಗ್ರಾಹಕರ ವಿಧ:"
"Company:","ಸಂಸ್ಠೆ:"
"Company Information","ಸಂಸ್ಥೆಯ ಮಾಹಿತಿ"
"Company Legal Name","ಸಂಸ್ಥೆಯ ಕಾನೂನುಬದ್ಧ ಹೆಸರು"
"Company Email","ಸಂಸ್ಥೆಯ ಮಿಂಚೆ"
"VAT/TAX ID","VAT/TAX ID"
"Re-seller ID","ಮರುಮಾರಾಟಗಾರರ ಐಡಿ"
"Legal Address","ಕಾನೂನಾತ್ಮಕ ವಿಳಾಸ"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"City","ನಗರ"
"Country","ದೇಶ"
"State/Province","ರಾಜ್ಯ"
"Please select a region, state or province.","Please select a region, state or province."
"ZIP/Postal Code","ಪಿನ್ ಕೋಡ್"
"Phone Number","ದೂರವಾಣಿ ಸಂಖ್ಯೆ"
"Company Administrator","ಸಂಸ್ಥೆಯ ಆಡಳಿತಾಧಿಕಾರಿ"
"Job Title","ಹುದ್ದೆಯ ಹೆಸರು"
"Email","ಮಿಂಚೆ"
"Submit","ಸಲ್ಲಿಸಿ"
"New Company Account","ಸಂಸ್ಥೆಯ ಹೊಸ ಖಾತೆ"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","ಸಂಸ್ಥೆಯ ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Business Structure","ಉದ್ಯಮದ ಸ್ವರೂಪ"
"Expand All","ಎಲ್ಲವನ್ನು ವಿಸ್ತರಿಸಿ"
"Collapse All","ಎಲ್ಲವನ್ನೂ ಕುಗ್ಗಿಸಿ"
"Add User","ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಿ"
"Add Team","ತಂಡವನ್ನು ಸೇರಿಸಿ"
"Edit Selected","ಆರಿಸಿದುದನ್ನು ಸಂಪಾದಿಸಿ"
"Delete Selected","ಆರಿಸಿದುದನ್ನು ಅಳಿಸಿ"
"Error","ದೋಷ"
"User Role","ಬಳಕೆದಾರರ ಹುದ್ದೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Status","ಸ್ಥಿತಿ"
"Team Title","ತಂಡದ ಶೀರ್ಷಿಕೆ"
"Description","ವಿವರಣೆ"
"You don't have a company account yet.","ನೀವು ಸಂಸ್ಥೆಯ ಖಾತೆಯನ್ನು ಇನ್ನೂ ಹೊಂದಿಲ್ಲ."
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"VAT/TAX ID: ","VAT/TAX ID: "
"Re-seller ID: ","ಮರುಮಾರಾಟಗಾರರ ಐಡಿ: "
"You have no other address entries in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಇನ್ಯಾವುದೇ ವಿಳಾಸದ ನಮೂದುಗಳಿಲ್ಲ."
"T: %1","T: %1"
"Contacts","ಸಂಪರ್ಕಗಳು"
"Sales Representative","ಮಾರಾಟ ಪ್ರತಿನಿಧಿ"
"Role Information","ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Role Permissions","ಹುದ್ದೆಯ ಅನುಮತಿಗಳು"
"Save Role","ಹುದ್ದೆಯನ್ನು ಉಳಿಸಿ"
"Add New User","ಹೊಸ ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಿ"
"Company","ಸಂಸ್ಠೆ"
"Create an Account","ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Change","ಬದಲಾಯಿಸಿ"
"This action will replace your Company Admin.","This action will replace your Company Admin."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","ಪ್ರಿಯ %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin."
"When you sign in to your account, you can:","ನೀವು ನಿಮ್ಮ ಖಾತೆಗೆ ಪ್ರವೇಶಿಸಿದಾಗ, ನಿಮಗೆ ಇದೆಲ್ಲವೂ ಸಾಧ್ಯ:"
"* Create and manage company users and teams","* Create and manage company users and teams"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Create and manage company shipping and billing addresses"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","If this is a mistake,
    please contact the company Admin at %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","ನಿಮ್ಮ ಖಾತೆ ಈಗ ಸಕ್ರಿಯವಾಗಿದೆ. ನೀವು ಇದನ್ನು <a href=""%customer_url"">ಜಾಲತಾಣ</a> ಕ್ಕೆ ಲಾಗಿನ್ ಆಗಲು ಬಳಸಬಹುದು."
"Your account is no longer active. You will not be able to use it for login.","ನಿಮ್ಮ ಖಾತೆ ಈಗ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ. ನೀವು ಇದನ್ನು ಲಾಗಿನ್ ಆಗಲು ಬಳಸಲು ಆಗುವುದಿಲ್ಲ."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","ಸಂಸ್ಥೆ: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","You have been assigned to %company_name as the Sales Representative."
"When you sign in to your account, you will be able to:","ನೀವು ನಿಮ್ಮ ಖಾತೆಗೆ ಪ್ರವೇಶಿಸಿದಾಗ, ನಿಮಗೆ ಇದೆಲ್ಲವೂ ಸಾಧ್ಯ:"
"* View and manage company quotes in Admin Panel","* View and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* View and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
"Delete a Company?","ಸಂಸ್ಥೆಯನ್ನು ಅಳಿಸಿ?"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You cannot delete this user: The user is the company admin."
"Cannot Delete the Company Admin","ಸಂಸ್ಥೆಯ ಆಡಳಿತಾಧಿಕಾರಿಯನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Done","ಮುಗಿದಿದೆ"
"No results","ಯಾವುದೇ ಫಲಿತಾಂಶಗಳಿಲ್ಲ"
"options","ಆಯ್ಕೆಗಳು"
"Proceed","ಮುಂದುವರೆಯಿರಿ"
"Change Company Status?","ಸಂಸ್ಥೆಯ ಸ್ಥಿತಿಯನ್ನು ಬದಲಿಸಿ?"
"Change status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Popup title","Popup title"
"Cannot delete the user","ಈ ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ"
"This user cannot be deleted because he/she is a company admin.","ಈ ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ, ಏಕೆಂದರೆ ಅವನು/ಅವಳು ಸಂಸ್ಥೆಯ ಆಡಳಿತಾಧಿಕಾರಿ."
"Edit User","ಬಳಕೆದಾರರನ್ನು ಸಂಪಾದಿಸಿ"
"Cannot Delete User","ಈ ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ"
"Delete this user?","ಈ ಬಳಕೆದಾರರನ್ನು ಅಳಿಸುವುದೇ?"
"This action cannot be undone. Are you sure you want to delete this user?","This action cannot be undone. Are you sure you want to delete this user?"
"Edit Team","ತಂಡವನ್ನು ಸಂಪಾದಿಸಿ"
"Cannot Delete This Team","ಈ ತಂಡವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ"
"Delete this team?","ಈ ತಂಡವನ್ನು ಅಳಿಸುವುದೇ?"
"This action cannot be undone. Are you sure you want to delete this team?","This action cannot be undone. Are you sure you want to delete this team?"
"Delete This Role?","ಈ ಹುದ್ದೆಯನ್ನು ಅಳಿಸುವುದೇ?"
"This action cannot be undone. Are you sure you want to delete this role?","This action cannot be undone. Are you sure you want to delete this role?"
"Cannot Delete Role","ಹುದ್ದೆಯನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Cannot Delete Customer","ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ"
"Set Inactive","ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Enable Company","ಸಂಸ್ಥೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Company Configuration","ಸಂಸ್ಥೆಯ ಸಂರಚನೆ"
"General","ಸಾಮಾನ್ಯ"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","ಮಿಂಚೆ ಆಯ್ಕೆಗಳು - ಸಂಸ್ಥೆಯ ನೋಂದಣಿ"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","ಕಾಮಾ-ವಿಭಜಿತ"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","ಗ್ರಾಹಕ-ಸಂಬಂಧಿತ ಮಿಂಚೆಗಳು"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","ಈ ಮಿಂಚೆಯನ್ನು ಗ್ರಾಹಕರಿಗೆ ಮಾತ್ರ ಕಳುಹಿಸಲಾಗುವುದು."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","ಸಂಸ್ಥೆಯ ಸ್ಥಿತಿ ಬದಲಾವಣೆ"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","ಎಲ್ಲಾ"
