"Delete Customer","Eliminar Cliente"
"The changes you made on the company profile have been successfully saved.","Los cambios realizados en el perfil de la empresa se han guardado con éxito."
"You must fill in all required fields before you can continue.","Debe rellenar todos los campos obligatorios antes de continuar."
"Bad Request","Solicitud incorrecta"
"You have deleted role %companyRoleName.","Has eliminado el cargo %companyRoleName."
"Add New Role","Añadir Nuevo Cargo"
"Edit Role","Editar Rol"
"Roles and Permissions","Roles y Permisos"
"The tree retrieved successfully.","El árbol se ha recuperado correctamente."
"The item was successfully moved.","El item se ha movido con éxito."
"The team was successfully deleted.","El equipo fue eliminado exitosamente."
"The team was successfully updated.","El equipo fue actualizado exitosamente."
"The team was successfully created.","El equipo fue creado exitosamente."
"Company Users","Usuarios de la empresa"
"A customer with the same email already assigned to company.","Un cliente con el mismo correo ya fue asignado a la empresa."
"Active","Activo"
"Pending Approval","Pendiente de aprobación"
"Rejected","Rechazado"
"Blocked","Bloqueado"
"The company admin cannot be moved to a different location in the company structure.","El administrador de la compañía no puede moverse a una ubicación diferente en la estructura de la empresa."
"A user or a team cannot be moved under itself.","Un usuario o un equipo no se puede mover por debajo de si mismo."
"A user or a team cannot be moved under its child user or team.","Un usuario o un equipo no se puede mover por debajo de un usuario/equipo menor."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","El ID padre especificado pertenece a una empresa diferente. La entidad especificada (equipo o usuario) y su nuevo padre deben pertenecer a la misma empresa."
"Unable to move customer structure.","No se puede mover la estructura del cliente."
"Cannot delete company with id %1","No se puede eliminar la empresa con id %1"
"No company admin email is specified in request.","Ningún correo de administrador de empresa se especifica en la solicitud."
"No company admin website ID is specified in request.","Ningún administrador del sitio web de la empresa se especifica en la solicitud."
"No such entity with id = %idValue","Sin identidad con id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","El usuario %1 es el administrador de la empresa y no se puede establecer a inactivo. Primero debe establecer otro usuario como el administrador de la empresa."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","No se puede actualizar el atributo solicitado. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Valor de atributo no válido. No se puede cambiar de empresa para un administrador de empresa."
"Company admin","Administrador de la empresa"
"Company user","Usuario de la empresa"
"Individual user","Usuario individual"
"Inactive","Inactivo"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","No se puede configurar ""permitir"" para el recurso porque su principal recurso(s) está establecida a ""denegar""."
"Invalid login or password.","Clave o usuario inválido."
"This account is locked.","Esta cuenta está bloqueada."
"Your account is not yet approved. If you have questions, please contact the seller.","Su cuenta aún no está aprobada. Si tiene alguna pregunta, póngase en contacto con el vendedor."
"There was an error saving custom attributes.","Se produjo un error al guardar atributos personalizados."
"Invalid value of ""%value"" provided for the %fieldName field.","El valor de ""%value"" no es válido para el campo %fieldName."
"""%fieldName"" is required. Enter and try again.","Se requiere ""%fieldName"". Ingreselo e intente nuevamente."
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Este rol no se puede eliminar porque tiene usuarios asignados. Reasignar a los usuarios a otro rol para continuar."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","No puede eliminar un rol cuando es el único en la empresa. Debe crear otro rol antes de eliminar este rol."
"User role with this name already exists. Enter a different name to save this role.","El rol de usuario con este nombre ya existe. Introduzca un nombre diferente para guardar este rol."
"Cannot delete role with id %1","No se puede eliminar el rol con id %1"
"Type %1 is not an instance of %2","El tipo %1 no es una instancia de %2"
"The selected user is inactive. To continue, select another user or activate the current user.","El usuario seleccionado está inactivo. Para continuar, seleccione otro usuario o active el usuario actual."
"This customer is a user of a different company. Enter a different email address to continue.","Este cliente es un usuario de una empresa diferente. Introduzca una dirección de correo electrónico diferente para continuar."
"Company with this email address already exists in the system. Enter a different email address to continue.","La empresa con esta dirección de correo electrónico ya existe en el sistema. Introduzca una dirección de correo electrónico diferente para continuar."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Valor de atributo no válido. La fecha, la hora y el motivo del rechazado se pueden cambiar solo cuando el estado de una empresa se cambia a Rechazado."
"Could not save company: %1","No se pudo guardar la empresa: %1"
"Cannot delete structure with id %1","No se puede eliminar la estructura con id %1"
"Could not create team","No se pudo crear el equipo"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Este equipo tiene usuarios secundarios o equipos alineados a él y no se puede eliminar. Por favor, vuelva a alinear los usuarios secundarios 
 o equipos primero."
"Could not update team","No se pudo actualizar el equipo"
"Cannot delete team with id %1","No se puede eliminar el equipo con id %1"
"You cannot assign a different role to a company admin.","No puede asignar un rol diferente a un administrador de la empresa."
"You cannot assign multiple roles to a user.","No puede asignar múltiples roles a un usuario."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","No se puede eliminar el administrador de la empresa. La operación de eliminación ha sido detenida. Por favor repita la acción para los otros clientes."
"Something went wrong","Algo salió mal"
"This customer company account is blocked and customer cannot place orders.","Esta cuenta de empresa del cliente está bloqueada y el cliente no puede realizar pedidos."
"The consumer isn't authorized to access resource.","El cliente no está autorizado para acceder al recurso."
" - Duplicated"," - Duplicado"
"message","mensaje"
"Exception message","Mensaje de excepción"
"test","prueba"
"phrase","frase"
"exception","excepción"
"Localized Exception.","Excepción localizada."
"Error message","Mensaje de error"
"No such entity.","Ninguna tal entidad."
"error message","mensaje de error"
"Could not save role","No se pueden guardar el puesto"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" es obligatorio. Introduzcalo y vuelva a intentarlo. ""%fieldName"" es obligatorio. Introduzcalo y vuelva a intentarlo."
"Cannot delete team","No se puede eliminar el equipo"
"Role Name","Nombre del puesto"
"Role Name 15","Nombre del puesto 15"
"Edit","Editar"
"Delete","Borrar"
"Duplicate","Duplicar"
"Company Name","Nombre de la empresa"
"Customer Type:","Tipo de cliente:"
"Company:","Empresa:"
"Company Information","Información de la empresa"
"Company Legal Name","Nombre Legal de la Empresa"
"Company Email","Correo electrónico de la empresa"
"VAT/TAX ID","IVA/IMP ID"
"Re-seller ID","Re-vendedor ID"
"Legal Address","Dirección legal"
"Street Address","Dirección"
"City","Ciudad"
"Country","País"
"State/Province","Estado/provincia"
"Please select a region, state or province.","Por favor seleccione región, estado o provincia."
"ZIP/Postal Code","Código Postal"
"Phone Number","Número de teléfono"
"Company Administrator","Administrador de la empresa"
"Job Title","Nombre del cargo"
"Email","Correo electrónico"
"Submit","Enviar"
"New Company Account","Nueva Cuenta de Empresa"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Si representa a una empresa, querrá utilizar nuestra cuenta de empresa. La creación de una cuenta de empresa proporciona a todos los miembros de la compañía acceso a funciones B2B como presupuestos, gestión de usuarios, pedido rápido y más."
"Create a Company Account","Crear una cuenta de Empresa"
"Business Structure","Estructura del negocio"
"Expand All","Abrir todos"
"Collapse All","Contraer todo"
"Add User","Añadir usuario"
"Add Team","Añadir equipo"
"Edit Selected","Editar seleccionados"
"Delete Selected","Eliminar Seleccionados"
"Error","Error"
"User Role","Cargo del usuario"
"First Name","Nombre"
"Last Name","Apellidos"
"Status","Estatus"
"Team Title","Título del equipo"
"Description","Descripción"
"You don't have a company account yet.","Aún no tienes una cuenta de empresa."
"Account Information","Información de la cuenta"
"VAT/TAX ID: ","ID IVA/IMP: "
"Re-seller ID: ","ID de Distribuidor: "
"You have no other address entries in your address book.","No tienes otras entradas de dirección en tu libreta de direcciones."
"T: %1","T: %1"
"Contacts","Contactos"
"Sales Representative","Representante de ventas"
"Role Information","Información del rol"
"Role Permissions","Permisos de roles"
"Save Role","Guardar Rol"
"Add New User","Añadir nuevo usuario"
"Company","Empresa"
"Create an Account","Crear una cuenta"
"Change","Cambio"
"This action will replace your Company Admin.","Esta acción va a reemplazar el administrador de la empresa."
"* Your latest changes on the company profile have not been saved yet.","* Los últimos cambios en el perfil de la empresa todavía no se han guardado."
"Dear %name,","Estimado/a %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Le ha sido asignado a <a href=""%customer_url"">%company_name</a> como el administrador de empresa."
"When you sign in to your account, you can:","Cuando inicies sesión en tu cuenta, podrás:"
"* Create and manage company users and teams","* Crear y gestionar equipos y usuarios de la empresa"
"* Manage user permissions for the store","* Administrar los permisos de usuario para la tienda"
"* Create and manage company shipping and billing addresses","* Crear y administrar la empresa de envío y facturación direcciones"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Ha agregado a la <a href=%customer_url>%company_name</a> como el miembro de la empresa.
    una vez que entres a tu cuenta,
    los recursos compartidos de la empresa estará disponibles para usted."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Si esto es un error,
    contácte con el administrador en %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Tu cuenta esta ahora activa. Puedes usarla para iniciar sesión en el <a href=""%customer_url"">sitio web</a>."
"Your account is no longer active. You will not be able to use it for login.","Tu cuenta no está activa. No podrás usarla para iniciar sesión."
"If this is a mistake, please contact the seller.","Si esto es un error contacte con el vendedor."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Tu cuenta ha sido configurada como inactiva y no podrás acceder a la cuenta de la empresa. Si crees que esto es un error contacte con su encargado para detalles."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Una solicitud de registro de una empresa ha sido enviada por el cliente %customer. La cuenta esta temporalmente bloqueada hasta que aprobemos o rechacemos la empresa."
"Company: %company","Empresa: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Solicitud de registro de su empresa (para <strong>%company_name</strong>)
    ha sido aprobada y ha sido definido como Admin. de la empresa.
    Ahora puede crear y administrar la estructura de la empresa.
    Los miembros de su empresa son capaces de solicitar cotizaciones, crear listas de requerimiento,
    y usar otras funciones B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","El estado de su empresa <strong>%company_name</strong>
    es ahora <strong>Activa</strong>.
    Una vez que inicie sesión, podrá realizar pedidos en nombre de su empresa
    y utilizar otras características de B2B."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Su tipo de cuenta ha cambiado de Administrador de la empresa a una cuenta de usuario regular. Si cree que esto es un error, comuníquese con su gerente para obtener más detalles."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Se le ha asignado a %company_name como Representante de ventas."
"When you sign in to your account, you will be able to:","Cuando inicie sesión en su cuenta, podrá:"
"* View and manage company quotes in Admin Panel","* Visualizar y gestionar cotizaciones de la empresa en el Panel de administración"
"* View and edit company profile in Admin Panel","* Ver y editar el perfil de la empresa en el Panel de administración"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Su cuenta de empresa <strong>%company_name</strong> ha sido bloqueada.
    Los miembros de su empresa pueden seguir utilizando el sitio web,
    pero no podrá realizar pedidos."
"If you have any questions, please contact the seller.","Si tiene alguna pregunta, por favor contacte con el vendedor."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","La cuenta de su empresa <strong>%company_name</strong> ha sido suspendida, pendiente de aprobación por parte del vendedor."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","La solicitud de registro de su empresa (para  <strong>%company_name</strong>) se ha rechazado
    por la siguiente razón:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Esta acción no se puede deshacer. ¿Estás seguro de que quieres eliminar esta empresa? Una vez eliminada la empresa, todos los miembros de la empresa se configurarán como Inactivos."
"Delete a Company?","¿Eliminar empresa?"
"Cancel","Cancelar"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Sorry! You cannot delete this user: The user is the company admin.","¡Lo sentimos! No puede eliminar este usuario: El usuario es el administrador de la empresa."
"Cannot Delete the Company Admin","No se puede eliminar el administrador de la empresa"
"Done","Hecho"
"No results","Sin resultados"
"options","opciones"
"Proceed","Proceder"
"Change Company Status?","¿Cambiar el estado de la empresa?"
"Change status","Cambiar estado"
"Popup title","Titulo del popup"
"Cannot delete the user","No se puede eliminar el usuario"
"This user cannot be deleted because he/she is a company admin.","Este usuario no se puede eliminar porque es el administrador de la empresa."
"Edit User","Editar usuario"
"Cannot Delete User","No se puede eliminar el usuario"
"Delete this user?","¿Eliminar este usuario?"
"This action cannot be undone. Are you sure you want to delete this user?","Esta acción no se puede deshacer. ¿Está seguro que desea eliminar este usuario?"
"Edit Team","Editar equipo"
"Cannot Delete This Team","No se puede eliminar este equipo"
"Delete this team?","¿Eliminar este equipo?"
"This action cannot be undone. Are you sure you want to delete this team?","Esta acción no se puede deshacer. ¿Está seguro que desea eliminar este equipo?"
"Delete This Role?","¿Eliminar este cargo?"
"This action cannot be undone. Are you sure you want to delete this role?","Esta acción no se puede deshacer. ¿Está seguro que desea eliminar este cargo?"
"Cannot Delete Role","No se puede eliminar el cargo"
"Cannot Delete Customer","No se puede eliminar el cliente"
"Set Inactive","Establecer inactivo"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Seleccione Eliminar para eliminar permanentemente la cuenta y el contenido del usuario. Los pedidos y las cotizaciones del usuario aún serán visibles para el comerciante. Seleccione Establecer inactivo para bloquear temporalmente al usuario. El contenido del usuario aún sera disponible para los usuarios principales."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Ya existe un usuario con este email en el sistema. Introduce un email diferente para continuar. Si quieres usar la cuenta actual como cuenta de administrador, por favor contacta con el vendedor."
"Enable Company","Habilitar empresa"
"Company Configuration","Configuración de la empresa"
"General","General"
"Allow Company Registration from the Storefront","Permitir el registro de una empresa desde la tienda"
"Email Options - Company Registration","Opciones de correo electrónico - Registro de empresa"
"Company Registration Email Recipient","Destinatario del email de la empresa"
"Send Company Registration Email Copy To","Enviar copia del registro de la empresa por email a"
"Comma-separated","Separados por comas"
"Send Email Copy Method","Enviar copia por email del método"
"Default Company Registration Email","Correo electrónico de registro de empresa por defecto"
"Customer-Related Emails","Correos electrónicos relacionados con los clientes"
"Default 'Sales Rep Assigned' Email","Correo electrónico de 'Representante de ventas asignado' por defecto"
"This email is sent to the company's Sales Rep and the Company Admin.","Este correo electrónico se envía al representante de ventas de la empresa y el administrador de empresa."
"Default 'Assign Company to Customer' Email","Correo electrónico por defecto de 'Empresa a asignar al cliente'"
"This email is sent to the customer only.","Este email se envia solo al cliente."
"Default 'Assign Company Admin' Email","Correo electrónico por defecto de 'Asignar administrador de empresa'"
"Default 'Company Admin Inactive' Email","Email por defecto de `Administrador de empresa inactivo´"
"Default 'Company Admin Changed To Member' Email","Email por defecto de ""Administrador de empresa cambiado a miembro"""
"Default 'Customer Status Active' Email","Email por defecto de ""Estado de cliente activo"""
"Default 'Customer Status Inactive' Email","Email por defecto de ""Estado de cliente inactivo"""
"Company Status Change","Cambio de estado de la empresa"
"Send Company Status Change Email Copy To","Enviar copia del cambio de estado de la empresa por email a"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Separado por comas. Los destinatarios recibirán una copia de un correo electrónico que, de forma predeterminada, se envía únicamente al administrador de la empresa."
"Default 'Company Status Change To Active 1"" Email","Correo por defecto 'Cambio de estado de la empresa a activo 1''"
"This email is sent when company status changes from Pending Approval to Active.","Este correo electrónico se envía cuando el estado de la empresa cambia de Aprobación pendiente a Activo."
"Default 'Company Status Change To Active 2"" Email","Correo por defecto 'Cambio de estado de la empresa a activo 2''"
"This email is sent when company status changes from Rejected or Blocked to Active.","Este correo electrónico se envía cuando el estado de la empresa cambia de Rechazado o Bloqueado a Activo."
"Default 'Company Status Change To Rejected"" Email","Correo por defecto 'Cambio de estado de la empresa a Rechazado''"
"This email is sent when company status changes to Rejected.","Este correo electrónico se envía cuando el estado de la empresa cambia a Rechazado."
"Default 'Company Status Change To Blocked"" Email","Correo por defecto 'Cambio de estado de la empresa a Bloqueado''"
"This email is sent when company status changes Blocked.","Este correo electrónico se envía cuando el estado de la empresa cambia a Bloqueado."
"Default 'Company Status Change To Pending Approval"" Email","Correo por defecto 'Cambio de estado de la empresa a Pendiente de Aprobación''"
"This email is sent when company status changes to Pending Approval.","Este correo electrónico se envía cuando el estado de la empresa cambia a Pendiente de Aprobación."
"All","Todos"
"Account Information (View)","Información de la cuenta (Vista)"
"Legal Address (View)","Domicilio legal (Vista)"
"Contacts (View)","Contactos (Vista)"
"Company User Management","Gestión de usuarios de la empresa"
"View roles and permissions","Vista roles y permisos"
"Manage roles and permissions","Gestionar roles y permisos"
"View users and teams","Vista de usuarios y equipos"
"Manage users and teams","Gestión de personal y equipos"
"Sales","Ventas"
"Checkout (place order)","Revisión (realizar pedido)"
"Use Pay On Account method","Utilice el método Pago A Cuenta"
"View orders","Ver pedidos"
"View orders of subordinate users","Ver órdenes de usuarios subordinados"
"Are you sure you want to set the selected companies as active?","¿Está seguro de que desea configurar las empresas seleccionadas como activas?"
"Set a Company as Active","Establecer una empresa como activa"
"Set Active","Establecer activo"
"Are you sure you want to block the selected companies?","¿Estás seguro de que quieres bloquear las empresas seleccionadas?"
"Block a Company","Bloquear una empresa"
"Block","Bloquear"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Esta acción no se puede deshacer. ¿Estás seguro de que quieres eliminar las empresas seleccionadas? Una vez eliminada la empresa, todos los miembros de la empresa se configurarán como Inactivos."
"ID","Número de Identificación (ID)"
"Reseller ID","ID de Distribuidor"
"Comment","Comentario"
"ZIP","Código postal"
"Customer Group","Grupo del cliente"
"Company Admin","Administrador de la empresa"
"Gender","Sexo"
"Customer Type","Tipo de cliente"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","¿Está seguro que desea desactivar temporalmente esta cuenta de empresa? Si confirma se bloqueará el inicio de sesión para todos los miembros de la empresa."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","¿Confirma que desea establecer esta empresa en activo? Si confirma, los miembros de la empresa será capaces de operar dentro de su cuenta de la compañía"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","¿Está seguro que desea desactivar rechazar esta empresa? Si confirma, el acceso a todos los miembros de la empresa será bloqueado."
"Please specify the reason","Por favor, especifique la razón"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","La razón aparecera en el email ""Rechazado"" enviado al administrador de la empresa. También será guardado y mostrado en el panel de control (en el perfil de la empresa)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","¿Seguro que desea bloquear esta empresa? Si confirma, los miembros de la empresa no podrán hacer pedidos."
"Reason for Rejection","Razón del Rechazo"
"VAT / TAX ID","IVA / IMP ID"
"Website","Página web"
"Prefix","Prefijo"
"Middle Name/Initial","Segundo Nombre/Inicial"
"Suffix","Sufijo"
"Advanced Settings","Configuración avanzada"
"Change Customer Group?","¿Cambiar grupo de clientes?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Esta acción cambiará el grupo de clientes para todos los miembros de esta empresa. ¿Quieres continuar?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","El usuario < username % %> es el administrador de la empresa y no se puede establecer a inactivo. Primero debe establecer otro usuario como el administrador de la empresa."
"Customer Active","Cliente activo"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Este cliente es usuario de otra empresa. Si procede, el cliente será desvinculado de la empresa actual y vinculado a la empresa seleccionada."
"Change Company?","¿Cambiar la empresa?"
"Associate to Company","Asociar a la empresa"
"My Orders","Mis pedidos"
"Create New Customer","Crear nuevo cliente"
"Create New Company Account","Crear nueva Cuenta de Empresa"
"Name","Nombre"
"Role","Cargo"
"Team","Equipo"
"Users","Usuarios"
"%fieldName is a required field.","%fieldName es un campo obligatorio."
"%fieldName is a required field","%fieldName es un campo obligatorio"
"Consumer is not authorized to access resource","El cliente no tiene permiso para acceder al recurso"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","La cuenta de su empresa está bloqueada y no puede realizar pedidos. Si tiene alguna pregunta, por favor contacte al administrador de su empresa."
