"Delete Customer","Kunden löschen"
"There was an error saving custom attributes.","Beim Speichern des Kundenattributs ist ein Fehler aufgetreten."
"Invalid value of ""%value"" provided for the %fieldName field.","Ungültiger Wert ""%value"" für Feld %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
"No such entity with %fieldName = %fieldValue","Keine Eintrag mit %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Diese Rolle kann nicht gelöscht werden, da ihr Benutzer zugewiesen sind. Weisen Sie den Benutzern eine andere Rolle zu, um fortzufahren."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Sie können keine Rolle löschen, wenn sie die einzige Rolle im Unternehmen ist. Sie müssen eine andere Rolle erstellen, bevor Sie diese Rolle löschen."
"User role with this name already exists. Enter a different name to save this role.","Benutzerrolle mit diesem Namen existiert bereits. Geben Sie einen anderen Namen ein, um diese Rolle zu speichern."
"Cannot delete role with id %1","Rolle mit ID %1 kann nicht gelöscht werden"
"Type %1 is not an instance of %2","Typ %1 ist keine Instanz von %2"
"The selected user is inactive. To continue, select another user or activate the current user.","Der ausgewählte Benutzer ist inaktiv. Um fortzufahren, wählen Sie einen anderen Benutzer oder aktivieren Sie den aktuellen Benutzer."
"This customer is a user of a different company. Enter a different email address to continue.","Dieser Kunde ist ein Benutzer eines anderen Unternehmens. Geben Sie eine andere E-Mail-Adresse ein, um fortzufahren."
"Company with this email address already exists in the system. Enter a different email address to continue.","Eine Firma mit dieser E-Mail-Adresse existiert bereits im System. Bitte geben Sie eine andere E-Mail-Adresse an, um diese Firma zu erstellen."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Ungültiger Attributwert. Abgelehnter Datum&Zeit und Ablehnungsgrund können nur geändert werden, wenn ein Firmenstatus auf Abgelehnt geändert wird."
"Could not save company: %1","Die Firma konnte nicht gespeichert werden: %1"
"Cannot delete structure with id %1","Struktur mit ID %1 kann nicht gelöscht werden"
"Could not create team","Team konnte nicht erstellt werden"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Dieses Team hat untergeordnete Nutzer und Teams und kann nicht gelöscht werden. Bitte weisen Sie die Nutzer und Teams zuerst neu zu."
"Could not update team","Team konnte nicht aktualisiert werden"
"Cannot delete team with id %1","Team mit der ID %1 konnte nicht gelöscht werden"
"You cannot assign a different role to a company admin.","Sie können einem Firmen-Admin keine andere Rolle zuweisen."
"You cannot assign multiple roles to a user.","Sie können einem Benutzer nicht mehreren Rollen zuweisen."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Firmen-Admin kann nicht gelöscht werden. Der Löschvorgang wurde gestoppt. Bitte wiederholen Sie die Aktion für andere Kunden."
"Something went wrong","Es ist ein Fehler aufgetreten"
"This customer company account is blocked and customer cannot place orders.","Das Kunden-Firmen-Konto ist blockiert und der Kunde kann keine Bestellungen tätigen."
"The consumer isn't authorized to access resource.","Der Verbraucher ist nicht berechtigt, auf diese Ressource zuzugreifen."
" - Duplicated"," - Dupliziert"
"message","Nachricht"
"Exception message","Fehlermeldung"
"test","Test"
"phrase","Ausdruck"
"exception","Ausnahme"
"Localized Exception.","Lokalisierte Ausnahme."
"Error message","Fehlermeldung"
"No such entity.","Keine solche Einheit"
"error message","Fehlermeldung"
"Could not save role","Rolle konnte nicht gespeichert werden"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Geben Sie ein und versuchen Sie es erneut.""%fieldName"" ist erforderlich. Geben Sie ein und versuchen Sie es erneut."
"Cannot delete team","Team konnte nicht gelöscht werden"
"Role Name","Rollenname"
"Role Name 15","Rollenname 15"
"Edit","Bearbeiten"
"Delete","Löschen"
"Duplicate","Kopieren"
"Company Name","Firmenname"
"Customer Type:","Kundentyp:"
"Company:","Firma:"
"Company Information","Unternehmensinformation"
"Company Legal Name","Rechtlicher Name des Unternehmens"
"Company Email","Firmen-E-Mail"
"VAT/TAX ID","USt.-ID"
"Re-seller ID","Reseller-ID"
"Legal Address","Meldeadresse"
"Street Address","Straße"
"City","Stadt"
"Country","Land"
"State/Province","Bundesland"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"ZIP/Postal Code","Postleitzahl"
"Phone Number","Telefonnummer"
"Company Administrator","Firmen-Admin"
"Job Title","Job-Titel"
"Email","E-Mail"
"Submit","Absenden"
"New Company Account","Neues Unternehmenskonto"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Wenn Sie ein Unternehmen vertreten, können Sie unseren Firmenkundenbereich nutzen. Durch die Erstellung eines Firmenkontos erhalten alle Firmenmitglieder Zugang zu B2B-Funktionen wie Angebote, Firmennutzerverwaltung, Schnellbestellung und mehr."
"Create a Company Account","Unternehmenskonto erstellen"
"Business Structure","Unternehmensstruktur"
"Expand All","Alle aufklappen"
"Collapse All","Alle zuklappen"
"Add User","Benutzer hinzufügen"
"Add Team","Team hinzufügen"
"Edit Selected","Auswahl bearbeiten"
"Delete Selected","Auswahl löschen"
"Error","Fehler"
"User Role","Benutzerrolle"
"First Name","Vorname"
"Last Name","Nachname"
"Status","Status"
"Team Title","Titel des Teams"
"Description","Beschreibung"
"You don't have a company account yet.","Sie haben noch kein Unternehmenskonto."
"Account Information","Kontoinformation"
"VAT/TAX ID: ","USt.-ID: "
"Re-seller ID: ","Reseller-ID: "
"You have no other address entries in your address book.","Sie haben keine andere Adresseinträgen in Ihrem Adressbuch."
"T: %1","T: %1"
"Contacts","Kontakte"
"Sales Representative","Vertriebsmitarbeiter"
"Role Information","Rolleninformationen"
"Role Permissions","Rollenberechtigungen"
"Save Role","Rolle speichern"
"Add New User","Neuen Benutzer hinzufügen"
"Company","Firma"
"Create an Account","Ein Konto erstellen"
"Change","Ändern"
"This action will replace your Company Admin.","Diese Aktion ersetzt Ihren Firmen-Administrator."
"* Your latest changes on the company profile have not been saved yet.","* Ihre neuesten Änderungen am Firmenprofil wurden noch nicht gespeichert."
"Dear %name,","Hallo %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Sie wurden <a href=""%customer_url"">%company_name</a> als Firmen-Admin zugewiesen."
"When you sign in to your account, you can:","Wenn Sie sich in Ihr Benutzerkonto einloggen, können Sie:"
"* Create and manage company users and teams","* Firmenbenutzer und -teams erstellen und verwalten"
"* Manage user permissions for the store","* Benutzerrechte für den Shop verwalten"
"* Create and manage company shipping and billing addresses","* Erstellen und verwalten Sie die Liefer- und Rechnungsadressen"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Sie wurden zu <a href=%customer_url>%company_name</a> als Firmenmitglied zugewiesen.
Sobald Sie Ihr Konto nutzen, 
erhalten Sie Zugriff auf die Ressourcen Ihrer Firma."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Falls dies ein Fehler ist, 
kontaktieren Sie bitte den Firmen-Admin unter %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Ihr Konto ist jetzt aktiv. Sie können es verwenden, um sich auf der <a href=""%customer_url"">Website</a> einzuloggen."
"Your account is no longer active. You will not be able to use it for login.","Ihr Konto ist nicht mehr aktiv. Sie können es nicht für den Login verwenden."
"If this is a mistake, please contact the seller.","Falls dies ein Fehler ist, kontaktieren Sie bitte den Verkäufer."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Ihr Konto wurde auf inaktiv gesetzt und kann jetzt nicht auf das Firmenkonto zugreifen. Wenn Sie glauben, dass dies ein Fehler ist, kontaktieren Sie bitte Ihren Manager für Details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Eine Firmenregistrierungsanfrage wurde vom Kunden %customer eingereicht. Das Konto ist vorübergehend gesperrt, bis Sie diese Firma freischalten oder ablehnen."
"Company: %company","Firma: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Ihre Firmenregistrierungsanfrage (für <strong>%company_name</strong>) 
wurde genehmigt und Sie wurden als Firmen-Admin eingestellt. 
Sie können nun Ihre Unternehmensstruktur erstellen und verwalten. 
Ihre Firmenmitglieder können Angebote anfordern, Anforderungslisten erstellen und andere B2B-Funktionen verwenden."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Der Status Ihres Unternehmens <strong>%company_name</strong>
ist jetzt <strong>aktiv</strong>. 
Sobald Sie sich angemeldet haben, können Sie Bestellungen im Namen Ihres Unternehmens tätigen
und andere B2B-Funktionen verwenden."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Ihr Kontotyp wurde von der Firmen-Admin auf ein reguläres Benutzerkonto geändert. Wenn Sie glauben, dass dies ein Fehler ist, kontaktieren Sie bitte Ihren Manager für Details."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Sie wurden %company_name als Verkaufsvertreter zugewiesen."
"When you sign in to your account, you will be able to:","Wenn Sie sich in Ihr Benutzerkonto einloggen können Sie:"
"* View and manage company quotes in Admin Panel","* Firmenangebote im Admin-Panel anzeigen und verwalten"
"* View and edit company profile in Admin Panel","* Firmenprofil im Admin-Panel anzeigen und verändern"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Ihr Firmenkonto <strong>%company_name</strong> wurde blockiert. 
Ihre Firmenmitglieder können die Website weiterhin nutzen, 
aber sie können keine Bestellungen tätigen."
"If you have any questions, please contact the seller.","Wenn Sie Fragen haben, kontaktieren Sie bitte den Verkäufer."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Ihr Firmenkonto <strong>%company_name</strong> wurde vorübergehend gesperrt, bis die Genehmigung des Verkäufers vorliegt."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Ihre Firmenregistrierungsanfrage (für <strong>%company_name</strong>) wurde abgelehnt 
aus folgendem Grund:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie die ausgewählte Firma löschen möchten? Nachdem das Unternehmen gelöscht wurde, werden alle Firmenmitglieder auf inaktiv gesetzt."
"Delete a Company?","Firma löschen?"
"Cancel","Stornieren"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Sorry! You cannot delete this user: The user is the company admin.","Entschuldigung! Sie können diesen Benutzer nicht löschen: Der Benutzer ist der Firmen-Admin."
"Cannot Delete the Company Admin","Kann den Firmen-Admin nicht löschen"
"Done","Fertig"
"No results","Keine Ergebnisse"
"options","Optionen"
"Proceed","Fortfahren"
"Change Company Status?","Firmenstatus ändern?"
"Change status","Status ändern"
"Popup title","Popup-Titel"
"Cannot delete the user","Dieser Benutzer kann nicht gelöscht werden"
"This user cannot be deleted because he/she is a company admin.","Dieser Nutzer kann nicht gelöscht werden, da er/sie Firmen-Admin ist."
"Edit User","Benutzer bearbeiten"
"Cannot Delete User","Nutzer kann nicht gelöscht werden"
"Delete this user?","Diesen Benutzer löschen?"
"This action cannot be undone. Are you sure you want to delete this user?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie diesen Benutzer löschen möchten?"
"Edit Team","Team bearbeiten"
"Cannot Delete This Team","Dieses Team kann nicht gelöscht werden"
"Delete this team?","Dieses Team löschen?"
"This action cannot be undone. Are you sure you want to delete this team?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie dieses Team löschen möchten?"
"Delete This Role?","Diese Rolle löschen?"
"This action cannot be undone. Are you sure you want to delete this role?","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie diese Rolle löschen möchten?"
"Cannot Delete Role","Rolle kann nicht gelöscht werden"
"Cannot Delete Customer","Kunde kann nicht gelöscht werden"
"Set Inactive","Inaktiv setzen"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Wählen Sie Löschen, um das Benutzerkonto samt Inhalt dauerhaft zu löschen. Bestellungen und Angebote des Nutzers sind weiterhin für den Händler sichtbar. Wählen Sie Inaktiv setzen, um den Benutzer vorübergehend zu sperren. Die Nutzerinhalte stehen den übergeordneten Benutzern weiter zur Verfügung."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Benutzer mit dieser E-Mail-Adresse existiert bereits im System. Geben Sie eine andere E-Mail-Adresse ein um weiterzumachen. Wenn Sie Ihr aktuelles Konto als ein Administratorkonto verwenden möchten, kontaktieren Sie den Verkäufer."
"Enable Company","Unternehmen freischalten"
"Company Configuration","Unternehmenskonfiguration"
"General","Allgemein"
"Allow Company Registration from the Storefront","Firmenregistrierung im Shop-Frontend erlauben"
"Email Options - Company Registration","E-Mail-Optionen - Firmenregistrierung"
"Company Registration Email Recipient","E-Mail-Empfänger für Firmenregistrierung"
"Send Company Registration Email Copy To","Kopie der FIrmenregistrierungs-E-Mail senden an"
"Comma-separated","Durch Kommata getrennt"
"Send Email Copy Method","Versandmethode der E-Mail-Kopie"
"Default Company Registration Email","Standard-FIrmenregistrierungs-E-Mail"
"Customer-Related Emails","Kundenbezogene E-Mails"
"Default 'Sales Rep Assigned' Email","Standard-E-Mail für Verkaufsvertreter zugewiesen"
"This email is sent to the company's Sales Rep and the Company Admin.","Diese E-Mail wird an den Verkaufsvertreter der Firma und den Firmen-Admin versendet."
"Default 'Assign Company to Customer' Email","Standard-E-Mail für Firma zu Kunden zugewiesen"
"This email is sent to the customer only.","Diese E-Mail wird nur an den Kunden gesendet."
"Default 'Assign Company Admin' Email","Standard-E-Mail für Firmen-Admin zugewiesen"
"Default 'Company Admin Inactive' Email","Standard-E-Mail für Firmen-Admin inaktiv"
"Default 'Company Admin Changed To Member' Email","Standard-E-Mail für Firmen-Admin geändert zu Mitglied"
"Default 'Customer Status Active' Email","Standard-E-Mail für Kundenstatus aktiv"
"Default 'Customer Status Inactive' Email","Standard-E-Mail für Kundenstatus inaktiv"
"Company Status Change","Firmenstatus Änderung"
"Send Company Status Change Email Copy To","Kopie der Firmenstatus Änderung E-Mail versenden an"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Komma-getrennt. Die Empfänger erhalten eine Kopie der E-Mail, welche standardmäßig nur an den Firmen-Admin verschickt wird."
"Default 'Company Status Change To Active 1"" Email","Standard 'Firmenstatus Änderung zu Aktiv 1"" E-Mail"
"This email is sent when company status changes from Pending Approval to Active.","Diese E-Mail wird versendet, wenn der Status der Firma von ausstehende Genehmigung auf aktiv geändert wird."
"Default 'Company Status Change To Active 2"" Email","Standard 'Firmenstatus Änderung zu Aktiv 2"" E-Mail"
"This email is sent when company status changes from Rejected or Blocked to Active.","Diese E-Mail wird versendet, wenn der Status der Firma von abgelehnt oder blockiert auf aktiv geändert wird."
"Default 'Company Status Change To Rejected"" Email","Standard-E-Mail für 'Firmenstatus Änderung zu abgelehnt‘"
"This email is sent when company status changes to Rejected.","Diese E-Mail wird versendet, wenn der Status der Firma auf abgelehnt geändert wird."
"Default 'Company Status Change To Blocked"" Email","Standard-E-Mail für Firmenstatus geändert zu blockiert"
"This email is sent when company status changes Blocked.","Diese E-Mail wird versendet, wenn der Status der Firma auf blockiert geändert wird."
"Default 'Company Status Change To Pending Approval"" Email","Standard-E-Mail für Firmenstatus geändert zu Genehmigung ausstehend"
"This email is sent when company status changes to Pending Approval.","Diese E-Mail wird versendet, wenn der Status der Firma auf ausstehende Genehmigung geändert wird."
"All","Alle"
"Account Information (View)","Kontoinformationen (ansehen)"
"Legal Address (View)","Rechnungsadresse (ansehen)"
"Contacts (View)","Kontakte (ansehen)"
"Company User Management","Firmen-Nutzerverwaltung"
"View roles and permissions","Rollen und Berechtigungen ansehen"
"Manage roles and permissions","Rollen und Berechtigungen verwalten"
"View users and teams","Benutzer und Teams anzeigen"
"Manage users and teams","Benutzer und Teams verwalten"
"Sales","Verkäufe"
"Checkout (place order)","Kasse (Bestellung aufgeben)"
"Use Pay On Account method","Zahlungsart Kauf auf Rechnung nutzen"
"View orders","Bestellungen einsehen"
"View orders of subordinate users","Bestellungen von untergeordneten Benutzern anzeigen"
"Are you sure you want to set the selected companies as active?","Sind Sie sicher, dass Sie die ausgewählten Firmen aktivieren?"
"Set a Company as Active","Firma als aktiv setzen"
"Set Active","Aktiv setzen"
"Are you sure you want to block the selected companies?","Möchten Sie die ausgewählte Firmen wirklich blockieren?"
"Block a Company","Firma blockieren"
"Block","Blockieren"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Diese Aktion kann nicht rückgängig gemacht werden. Sind Sie sicher, dass Sie die ausgewählten Unternehmen löschen möchten? Nachdem das Unternehmen gelöscht wurde, werden alle Firmenmitglieder auf inaktiv gesetzt."
"ID","Id"
"Reseller ID","Wiederverkäufer ID"
"Comment","Kommentar"
"ZIP","PLZ"
"Customer Group","Kundengruppe"
"Company Admin","Firmen-Admin"
"Gender","Geschlecht"
"Customer Type","Kundentyp"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Sind Sie sicher, dass Sie dieses Firmenkonto vorübergehend deaktivieren möchten? Wenn Sie bestätigen, wird der Login für Firmenmitglieder blockiert."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Sind Sie sicher, dass Sie dieses Unternehmen auf aktiv setzen möchten? Wenn Sie bestätigen, können die Firmenmitglieder innerhalb ihres Firmenkontos arbeiten.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Sind Sie sicher, dass Sie diese Firma ablehnen möchten? Wenn Sie bestätigen, wird der Login für Firmenmitglieder blockiert."
"Please specify the reason","Bitte geben Sie einen Grund an"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Der Grund wird in der E-Mail ""Abgelehnt"" angezeigt, die dem Firmen-Admin gesendet wird. Es wird auch im Admin Panel (im Firmenprofil) gespeichert und angezeigt."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Sind Sie sicher, dass Sie dieses Unternehmen blockieren möchten? Wenn Sie fortfahren, können die Firmenmitglieder keine Bestellungen tätigen."
"Reason for Rejection","Grund der Ablehnung"
"VAT / TAX ID","USt.-ID"
"Website","Webseite"
"Prefix","Präfix"
"Middle Name/Initial","Zweiter Vorname"
"Suffix","Suffix"
"Advanced Settings","Erweiterte Einstellungen"
"Change Customer Group?","Kundengruppe ändern?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Diese Aktion wird die Kundengruppe für alle Mitglieder der Firma ändern. Möchten Sie fortfahren?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Der Benutzer <%- username %> ist der Firmen-Admin und kann nicht auf inaktiv gesetzt werden. Sie müssen zuerst einen anderen Benutzer als Firmen-Admin festlegen."
"Customer Active","Kunde aktiv"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Dieser Kunde ist ein Nutzer einer anderen Firma. Wenn Sie fortfahren, wird der Kunde von seiner aktuellen Firma entfernt und der ausgewählten Firma zugeordnet."
"Change Company?","Firma ändern?"
"Associate to Company","Firma zuweisen"
"My Orders","Meine Bestellungen"
"Create New Customer","Neuen Kunden erstellen"
"Create New Company Account","Neues Unternehmenskonto erstellen"
"Name","Name"
"Role","Rolle"
"Team","Team"
"Users","Benutzer"
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"%fieldName is a required field","%fieldName ist ein Pflichtfeld"
"Consumer is not authorized to access resource","Der Benutzer hat keine Zugangsberechtigung für die Resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Ihr Unternehmenskonto ist gesperrt und Sie können keine Bestellungen aufgeben. Wenn Sie Fragen haben, kontaktieren Sie bitte den Administrator Ihres Unternehmens."
