"Delete Customer","Elimina cliente"
"The company admin cannot be moved to a different location in the company structure.","L'amministratore aziendale non può essere spostato in una posizione diversa nella gerarchia aziendale."
"A user or a team cannot be moved under itself.","Un utente o una squadra non possono essere spostati sotto se stessi."
"A user or a team cannot be moved under its child user or team.","Un utente o una squadra non possono essere spostati sotto sotto un proprio subutente o sottosquadra."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","L'ID del livello superiore che hai specificato appartiene a un'azienda diversa. La squadra o l'utente ed il nuovo genitore devono appartenere alla stessa azienda."
"Unable to move customer structure.","Impossibile spostare gerarchia aziendale."
"Cannot delete company with id %1","Impossibile eliminare azienda con id %1"
"No company admin email is specified in request.","Email dell'amministratore aziendale non specificata nella richiesta."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","Nessun risultato per id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","L'utente %1 è l'amministratore aziendale e non può essere disattivato. Devi prima impostare un nuovo amministratore aziendale."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Non puoi aggiornare l'attributo richiesto. ID riga: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Valore dell'attributo non valido. Non si può cambiare azienda all'amministratore aziendale."
"Company admin","Amministratore aziendale"
"Company user","Utente aziendale"
"Individual user","Utente privato"
"Inactive","Inattivo"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Impossibile autorizzate l'accesso alla risorsa quando l'autorizzazione alla risorsa gerarchicamente superiore è impostata su ""nega""."
"Invalid login or password.","Login o password non validi."
"This account is locked.","Questo account è bloccato."
"Your account is not yet approved. If you have questions, please contact the seller.","Il tuo account non è ancora stato approvato. Per ulteriori chiarimenti contatta il venditore."
"There was an error saving custom attributes.","Si è verificato un errore durante il salvataggio degli attributi personalizzati."
"Invalid value of ""%value"" provided for the %fieldName field.","Il valore ""%value"" fornito per il campo %fieldName non è valido."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" è obbligatorio. Inseriscilo e riprova."
"No such entity with %fieldName = %fieldValue","Nessun valore del tipo %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Questo ruolo non può essere eliminato quando è assegnato ad almeno un utente. Assegna gli utenti ad un nuovo ruolo per continuare."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Impossibile eliminare l'unico ruolo disponibile per l'azienda. Devi creare un nuovo ruolo prima di eliminare questo."
"User role with this name already exists. Enter a different name to save this role.","Un ruolo con questo nome esiste già. Immettere un nome diverso per salvare questo ruolo."
"Cannot delete role with id %1","Impossibile eliminare il ruolo con id %1"
"Type %1 is not an instance of %2","Tipo %1 non è un'istanza di %2"
"The selected user is inactive. To continue, select another user or activate the current user.","L'utente selezionato non è attivo. Per continuare, selezionare un altro utente o attivare l'utente corrente."
"This customer is a user of a different company. Enter a different email address to continue.","Questo cliente è un utente appartenente ad un'azienda diversa. Inserisci un indirizzo email differente per continuare."
"Company with this email address already exists in the system. Enter a different email address to continue.","Un'azienda con questo indirizzo email esiste già nel sistema. Inserisci un indirizzo email differente per continuare."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Valore non valido per l'attributo. Data&ora Rifiutata e Motivo del Rifiuto possono essere cambiati solo quando lo stato di un'azienda è modificato in Rifiutato."
"Could not save company: %1","Non è possibile salvare l'azienda %1"
"Cannot delete structure with id %1","Impossibile eliminare la gerarchia con id %1"
"Could not create team","Impossibile creare la squadra"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Questa squadra contiene utenti o sottosquadre e non può essere eliminata. Per continuare riassocia prima gli utenti e le sottosquadre ad una'altra squadra."
"Could not update team","Impossibile aggiornare la squadra"
"Cannot delete team with id %1","Impossibile eliminare la squadra con id %1"
"You cannot assign a different role to a company admin.","Non è possibile assegnare un ruolo diverso a un amministratore aziendale."
"You cannot assign multiple roles to a user.","Non è possibile assegnare più ruoli ad un utente."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Impossibile eliminare l'amministratore aziendale. L'operazione è stata annullata. Puoi eseguire questa azione su altri clienti."
"Something went wrong","Qualcosa è andato storto"
"This customer company account is blocked and customer cannot place orders.","Questo account aziendale è bloccato e il cliente non può effettuare ordini."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - Duplicato"
"message","messaggio"
"Exception message","Messaggio di eccezione"
"test","test"
"phrase","frase"
"exception","eccezione"
"Localized Exception.","Eccezione localizzata."
"Error message","Messaggio di errore"
"No such entity.","Nessuna entità di questo tipo."
"error message","messaggio di errore"
"Could not save role","Impossibile salvare il ruolo"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Impossibile eliminare la squadra"
"Role Name","Nome ruolo"
"Role Name 15","Nome del ruolo 15"
"Edit","Modifica"
"Delete","Elimina"
"Duplicate","Duplica"
"Company Name","Ragione Sociale"
"Customer Type:","Tipo di Cliente:"
"Company:","Azienda:"
"Company Information","Informazioni aziendali"
"Company Legal Name","Ragione Sociale"
"Company Email","Email aziendale"
"VAT/TAX ID","P.IVA"
"Re-seller ID","ID Rivenditore"
"Legal Address","Indirizzo sede legale"
"Street Address","Indirizzo"
"City","Città"
"Country","Nazione"
"State/Province","Provincia/Regione"
"Please select a region, state or province.","Seleziona la regione, stato o provincia."
"ZIP/Postal Code","CAP"
"Phone Number","Numero di telefono"
"Company Administrator","Amministratore Aziendale"
"Job Title","Qualifica Professionale"
"Email","Email"
"Submit","Invia"
"New Company Account","Nuovo Account aziendale"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Se rappresenti un'azienda, potresti voler utilizzare la nostra dedicata alle aziende. La creazione di un account aziendale consente a tutti i membri della società di accedere alle funzionalità B2B, come ad esempio, richiedere preventivi, gestire gli utenti aziendali, inserire ordini veloci e altro ancora."
"Create a Company Account","Crea un Account Aziendale"
"Business Structure","Gerarchia Aziendale"
"Expand All","Mostra Tutto"
"Collapse All","Chiudi Tutto"
"Add User","Aggiungi Utente"
"Add Team","Aggiungi Squadra"
"Edit Selected","Modifica selezionati"
"Delete Selected","Elimina Selezionati"
"Error","Errore"
"User Role","Ruolo Utente"
"First Name","Nome"
"Last Name","Cognome"
"Status","Stato"
"Team Title","Nome della Squadra"
"Description","Descrizione"
"You don't have a company account yet.","Non hai ancora un account aziendale."
"Account Information","Informazioni sull'account"
"VAT/TAX ID: ","P.IVA: "
"Re-seller ID: ","ID Rivenditore: "
"You have no other address entries in your address book.","Non hai ulteriori indirizzi nella tua rubrica."
"T: %1","Tel: %1"
"Contacts","Contatti"
"Sales Representative","Rappresentante"
"Role Information","Informazioni sul Ruolo"
"Role Permissions","Autorizzazioni del Ruolo"
"Save Role","Salva Ruolo"
"Add New User","Aggiungi Nuovo Utente"
"Company","Azienda"
"Create an Account","Crea un Account"
"Change","Modifica"
"This action will replace your Company Admin.","Questa azione sostituirà l'amministratore aziendale."
"* Your latest changes on the company profile have not been saved yet.","* Le tue ultime modifiche all'account aziendale non sono ancora state salvate."
"Dear %name,","Caro %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Sei stato assegnato come amministratore aziendale di <a href=""%customer_url"">%company_name</a>."
"When you sign in to your account, you can:","Quando accedi con il tuo account, puoi:"
"* Create and manage company users and teams","* Crea e gestisci utenti e squadre aziendali"
"* Manage user permissions for the store","* Gestisci autorizzazioni utente per lo store"
"* Create and manage company shipping and billing addresses","* Creare e gestire indirizzi aziendali di spedizione e fatturazione"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Sei stato aggiunto come membro di <a href=%customer_url>%company_name</a>.
    Una volta entrato con il tuo account,
    potrai usufruire delle risorse aziendali condivise."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Se c'è un errore,
    per favore contatta l'amministratore aziendale %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Il tuo account è ora attivo. Puoi usarlo per accedere al <a href=""%customer_url"">sito</a>."
"Your account is no longer active. You will not be able to use it for login.","Il tuo account non è più attivo. Non puoi più utilizzarlo per accedere."
"If this is a mistake, please contact the seller.","Se c'è un errore, per favore contatta il venditore."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Il tuo account è stato disattivato e non puoi più accedere al conto aziendale. Se pensi che ci sia un errore, per favore contatta il tuo manager per maggiori informazioni."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Una richiesta di registrazione per un nuovo profilo aziendale è pervenuta dal cliente %customer. L'account è temporaneamente bloccato fino a che non approverai o respingerai l'azienda."
"Company: %company","Azienda: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Il tuo account è stato modificato da Amministratore Aziendale a Utente Standard. Se pensi che vi sia un errore, per favore contatta il tuo manager per maggiori dettagli."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Sei stato assegnato come Rappresentante alle vendite di %company_name."
"When you sign in to your account, you will be able to:","Accedendo al tuo account, sarai in grado di:"
"* View and manage company quotes in Admin Panel","* Visualizza e gestisci i preventivi aziendali nel pannello di amministrazione"
"* View and edit company profile in Admin Panel","* Visualizza e gestisci il profilo aziendale nel pannello di amministrazione"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders."
"If you have any questions, please contact the seller.","Se hai domande ti preghiamo di contattare il venditore."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Questa azione non può essere annullata. Sei sicuro di che voler eliminare questa azienda? Dopo che l'azienda sarà eliminata, tutti i suoi membri verranno disattivati."
"Delete a Company?","Eliminare un'Azienda?"
"Cancel","Annulla"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Sorry! You cannot delete this user: The user is the company admin.","Spiacente! Non puoi eliminare questo utente: L'utente è l'amministratore aziendale."
"Cannot Delete the Company Admin","Non è possibile eliminare l'Amministratore Aziendale"
"Done","Fine"
"No results","Nessun risultato"
"options","opzioni"
"Proceed","Procedi"
"Change Company Status?","Cambiare Stato dell'Azienda?"
"Change status","Cambia stato"
"Popup title","Titolo del popup"
"Cannot delete the user","Impossibile eliminare l'utente"
"This user cannot be deleted because he/she is a company admin.","Non è possibile eliminare questo utente poiché è l'amministrazione aziendale."
"Edit User","Modifica utente"
"Cannot Delete User","Impossibile Eliminare l'Utente"
"Delete this user?","Eliminare questo utente?"
"This action cannot be undone. Are you sure you want to delete this user?","Questa azione non può essere annullata. Sei sicuro di voler eliminare questo utente?"
"Edit Team","Modifica Squadra"
"Cannot Delete This Team","Non è possibile eliminare questa squadra"
"Delete this team?","Eliminare questa Squadra?"
"This action cannot be undone. Are you sure you want to delete this team?","Questa azione non può essere annullata. Sei sicuro di voler eliminare questa squadra?"
"Delete This Role?","Eliminare Questo Ruolo?"
"This action cannot be undone. Are you sure you want to delete this role?","Questa azione non può essere annullata. Sei sicuro di voler eliminare questo ruolo?"
"Cannot Delete Role","Impossibile eliminare il ruolo"
"Cannot Delete Customer","Impossibile Eliminare il Cliente"
"Set Inactive","Imposta come Inattivo"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Un utente con questa email esiste già nel sistema. Inserisci un indirizzo email diverso per continuare. Se invece vuoi utilizzare il tuo account con il ruolo di amministratore, contatta il venditore."
"Enable Company","Abilita Azienda"
"Company Configuration","Configurazioni Aziendali"
"General","Generale"
"Allow Company Registration from the Storefront","Consenti la creazione di Account aziendali da Storefront"
"Email Options - Company Registration","Opzioni di posta elettronica - Registrazione aziendale"
"Company Registration Email Recipient","Destinatario di posta elettronica pertinente a una registrazione aziendale"
"Send Company Registration Email Copy To","Inviare copia dell'E-mail di avvenuta registrazione aziendale a"
"Comma-separated","Separati da virgola"
"Send Email Copy Method","Metodo invio copia email"
"Default Company Registration Email","Email predefinita per le registrazioni aziendali"
"Customer-Related Emails","E-mail relative ai clienti"
"Default 'Sales Rep Assigned' Email","Email predefinita per 'Rappresentante Vendite Assegnato'"
"This email is sent to the company's Sales Rep and the Company Admin.","Questa Email viene inviata al Rappresentante Vendite e all'amministratore aziendale."
"Default 'Assign Company to Customer' Email","Email predefinita per 'Assegna Azienda al Cliente'"
"This email is sent to the customer only.","Questa email è inviata esclusivamente al cliente."
"Default 'Assign Company Admin' Email","Email predefinita per 'Assegna Amministratore Aziendale'"
"Default 'Company Admin Inactive' Email","Email predefinita per 'Amministratore Aziendale Inattivo'"
"Default 'Company Admin Changed To Member' Email","Email predefinita per 'Amministratore Aziendale variato in Membro """
"Default 'Customer Status Active' Email","Email Predefinita per 'Stato dell'utente Attivo'"
"Default 'Customer Status Inactive' Email","Email Predefinita per 'Stato dell'utente Inattivo'"
"Company Status Change","Cambiamento Stato Aziendale"
"Send Company Status Change Email Copy To","Inviare copia dell'E-mail di cambio dello stato aziendale a"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Email predefinita per 'Stato Aziendale variato in Attivo 1"""
"This email is sent when company status changes from Pending Approval to Active.","Questa e-mail viene inviata quando lo stato aziendale cambia da Attesa Approvazione ad Attivo."
"Default 'Company Status Change To Active 2"" Email","Indirizzo Email predefinito per 'Stato aziendale variato a Attivo 2"""
"This email is sent when company status changes from Rejected or Blocked to Active.","Questa e-mail viene inviata quando lo stato aziendale cambia da Rifiutato o Bloccato ad Attivo."
"Default 'Company Status Change To Rejected"" Email","Email predefinita per 'Stato aziendale variato a Respinto'"
"This email is sent when company status changes to Rejected.","Questa e-mail viene inviata quando lo stato aziendale cambia in Rifiutato."
"Default 'Company Status Change To Blocked"" Email","Email predefinita per 'Stato aziendale variato a Bloccato'"
"This email is sent when company status changes Blocked.","Questa e-mail viene inviata quando lo stato aziendale cambia in Bloccato."
"Default 'Company Status Change To Pending Approval"" Email","Email predefinita per 'Stato Aziendale variato in Attesa Approvazione"""
"This email is sent when company status changes to Pending Approval.","Questa e-mail viene inviata quando lo stato aziendale cambia in Attesa Approvazione."
"All","Tutti"
"Account Information (View)","Informazioni account (Vedi)"
"Legal Address (View)","Indirizzo Sede Legale (Vedi)"
"Contacts (View)","Contatti (Vedi)"
"Company User Management","Gestione Utenti aziendali"
"View roles and permissions","Consulta i ruoli e i permessi"
"Manage roles and permissions","Gestisci i ruoli e i permessi"
"View users and teams","Consulta utenti e squadre"
"Manage users and teams","Gestisci gli utenti e le squadre"
"Sales","Vendite"
"Checkout (place order)","Cassa (inserisci ordine)"
"Use Pay On Account method","Usa il metodo Metti In Conto"
"View orders","Visualizza ordini"
"View orders of subordinate users","Visualizza gli ordini degli utenti subordinati"
"Are you sure you want to set the selected companies as active?","Sei sicuro di voler attivare le aziende selezionate?"
"Set a Company as Active","Imposta un'azienda come attiva"
"Set Active","Imposta come Attivo"
"Are you sure you want to block the selected companies?","Sei sicuro di che voler bloccare l'azienda selezionata?"
"Block a Company","Blocca un'azienda"
"Block","Blocca"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Questa azione non può essere annullata. Sei sicuro di che voler eliminare le aziende selezionate? Dopo che l'azienda sarà eliminata, tutti i membri dell'azienda verranno impostati su inattivo."
"ID","ID"
"Reseller ID","ID Rivenditore"
"Comment","Commento"
"ZIP","CAP"
"Customer Group","Gruppo Cliente"
"Company Admin","Amministratore aziendale"
"Gender","Sesso"
"Customer Type","Tipo di Cliente"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Sei sicuro che si desidera disattivare temporaneamente questo account aziendale? Se confermi, verranno bloccati anche tutti i membri dell'azienda."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Sei sicuro di voler attivare quast'azienda? Se confermi, i membri della società potranno operare all'interno del proprio account aziendale. >"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Sei sicuro di voler rifiutare questo account aziendale? Se confermi, verranno bloccati anche tutti i membri dell'azienda."
"Please specify the reason","Per favore, specifica una motivazione"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","La motivazione sarà inclusa nell'email di 'Rifiuto' inviata all'amministratore dell'azienda. Inoltre sarà salvata e visualizzata nel pannello di amministrazione (del profilo aziendale)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Sei sicuro di voler bloccare questa azienda? Se procedi, gli utenti aziendali non saranno in grado di inserire ordini."
"Reason for Rejection","Motivo del Rifiuto"
"VAT / TAX ID","P.IVA"
"Website","Sito Web"
"Prefix","Prefisso"
"Middle Name/Initial","Secondo nome/Iniziali"
"Suffix","Suffisso"
"Advanced Settings","Impostazioni Avanzate"
"Change Customer Group?","Cambiare Gruppo Cliente?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Quest'operazione cambierà il gruppo cliente associato a tutti gli utenti aziendali. Vuoi procedere?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","L'utente <%- username %> è l'amministratore e non può essere disattivato. Devi prima scegliere un nuovo amministratore aziendale."
"Customer Active","Cliente Attivo"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Questo cliente è utente di un'azienda differente. Se procedi, il cliente verrà rimosso dall'attuale azienda per essere associato a quella selezionata."
"Change Company?","Cambiare Azienda?"
"Associate to Company","Associa all'Azienda"
"My Orders","I Miei ordini"
"Create New Customer","Crea nuovo cliente"
"Create New Company Account","Crea Nuovo Account Aziendale"
"Name","Nome"
"Role","Ruolo"
"Team","Squadra"
"Users","Utenti"
"%fieldName is a required field.","%fieldName è un campo obbligatorio."
"%fieldName is a required field","%fieldName è un campo obbligatorio"
"Consumer is not authorized to access resource","Il cliente non è autorizzato ad accedere alle risorse"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Il tuo account aziendale è bloccato e non puoi inserire ordini. Ti preghiamo di contattare l'amministratore aziendale per ulteriori chiarimenti."
