"Delete Customer","Supprimer client"
"Invalid login or password.","Identifiant ou mot de passe non valide."
"This account is locked.","Ce compte est verrouillé."
"Your account is not yet approved. If you have questions, please contact the seller.","Votre compte n’est pas encore approuvé. Si vous avez des questions, veuillez contacter le vendeur."
"There was an error saving custom attributes.","Il a eu une erreur pendant l'enregistrement des attributs personnalisés."
"Invalid value of ""%value"" provided for the %fieldName field.","Valeur non valide ""%value"" fournie pour le champ ""%fieldName""."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" est requis. Entrez et réessayez."
"No such entity with %fieldName = %fieldValue","Pas d’entité ayant %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Impossible de supprimer ce rôle car des utilisateurs l'ont. Réaffectez les utilisateurs à un autre rôle pour continuer."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Vous ne pouvez pas supprimer un rôle lorsqu’il est le seul rôle de l'entreprise. Vous devez créer un autre rôle avant de supprimer ce rôle."
"User role with this name already exists. Enter a different name to save this role.","Un rôle utilisateur existe déjà avec ce nom. Entrez un nom différent et réessayez."
"Cannot delete role with id %1","Impossible de supprimer le rôle ayant l'identifiant %1"
"Type %1 is not an instance of %2","Le type %1 n'est pas un exemple de %2"
"The selected user is inactive. To continue, select another user or activate the current user.","L'utilisateur sélectionné est inactif. Pour continuer, activez-le ou choisissez un autre utilisateur."
"This customer is a user of a different company. Enter a different email address to continue.","Ce client est un utilisateur d'une autre entreprise. Entrez une autre adresse email pour continuer."
"Company with this email address already exists in the system. Enter a different email address to continue.","Une entreprise ayant la même adresse email existe déjà. Entrez une adresse email différente pour continuer."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Valeur d'attribut invalide. La date et heure du rejet et la raison du rejet ne peuvent être changées que si le statut de l'entreprise est changé en rejet."
"Could not save company: %1","Impossible de sauvegarder l'entreprise : %1"
"Cannot delete structure with id %1","Impossible de supprimer la structure ayant l'identifiant %1"
"Could not create team","Impossible de créer une équipe"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Cette équipe possède des dépendances ou a d'autres équipes alignées sur elle et ne peut pas être supprimée. Corrigez d'abord les dépendances ou les équipes."
"Could not update team","Impossible de mettre à jour une équipe"
"Cannot delete team with id %1","Impossible de supprimer l'équipe ayant l'identifiant %1"
"You cannot assign a different role to a company admin.","Vous ne pouvez pas affecter un rôle différent à un administrateur de société."
"You cannot assign multiple roles to a user.","Vous ne pouvez pas affecter plusieurs rôles à un utilisateur."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Impossible de supprimer l’administrateur d’entreprise. L'opération de suppression a été arrêtée. S’il vous plaît répétez l’action pour les autres clients."
"Something went wrong","Un problème est survenu"
"This customer company account is blocked and customer cannot place orders.","Ce compte client de la compagnie est bloqué et le client ne peut pas passer de commandes."
"The consumer isn't authorized to access resource.","Le client n’est pas autorisé à accéder aux ressources."
" - Duplicated"," - Dupliqué"
"message","Message"
"Exception message","Message d’exception"
"test","test"
"phrase","expression"
"exception","exception"
"Localized Exception.","Exception localisée."
"Error message","Message d'erreur"
"No such entity.","Aucune entité de ce type."
"error message","message d’erreur"
"Could not save role","Impossible d'enregistrer le rôle"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" est nécessaire. Entrez et essayez à nouveau. ""%fieldName"" est nécessaire. Entrez et essayez à nouveau."
"Cannot delete team","Impossible de supprimer l'équipe"
"Role Name","Nom du rôle"
"Role Name 15","Nom du rôle 15"
"Edit","Éditer"
"Delete","Supprimer"
"Duplicate","Dupliquer"
"Company Name","Nom de l'entreprise"
"Customer Type:","Type de client :"
"Company:","Entreprise :"
"Company Information","Informations sur la société"
"Company Legal Name","Dénomination sociale de l’entreprise "
"Company Email","E-mail de la société"
"VAT/TAX ID","Numéro de TVA"
"Re-seller ID","Identifiant du revendeur"
"Legal Address","Adresse légale"
"Street Address","Adresse"
"City","Ville"
"Country","Pays"
"State/Province","État/Région"
"Please select a region, state or province.","Merci de sélectionner une région, une état ou une province."
"ZIP/Postal Code","Code postal"
"Phone Number","Numéro de téléphone"
"Company Administrator","Administrateur de la société"
"Job Title","Nom du poste"
"Email","Email"
"Submit","Valider"
"New Company Account","Nouveau compte société"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Si vous représentez une société, vous voudrez utiliser notre espace de compte de sociétés. La création d'un compte de société permet à tous les membres de la société d'accéder à des fonctionnalités B2B telles que les offres, la gestion des utilisateurs de la société, les commandes rapides, etc."
"Create a Company Account","Créer un compte de société"
"Business Structure","Structure de la société"
"Expand All","Tout développer"
"Collapse All","Tout réduire"
"Add User","Ajouter un utilisateur"
"Add Team","Ajouter une équipe"
"Edit Selected","Éditer la sélection"
"Delete Selected","Supprimer la sélection"
"Error","Erreur"
"User Role","Rôle de l'utilisateur"
"First Name","Prénom"
"Last Name","Nom"
"Status","Statut"
"Team Title","Titre de l’équipe"
"Description","Description"
"You don't have a company account yet.","Vous n’avez pas encore de compte de société."
"Account Information","Informations du compte"
"VAT/TAX ID: ","Numéro de TVA : "
"Re-seller ID: ","Identifiant du revendeur : "
"You have no other address entries in your address book.","Vous n'avez aucune autre adresse dans votre carnet d'adresses."
"T: %1","T : %1"
"Contacts","Contacts"
"Sales Representative","Représentant des ventes"
"Role Information","Informations du rôle"
"Role Permissions","Droits du rôle"
"Save Role","Sauvegarder le rôle"
"Add New User","Ajouter un nouvel utilisateur"
"Company","Société"
"Create an Account","Créer un compte"
"Change","Modifier"
"This action will replace your Company Admin.","Cette action va remplacer votre administrateur de société."
"* Your latest changes on the company profile have not been saved yet.","* Vos dernières modifications du profil de la société n’ont pas encore été enregistrées."
"Dear %name,","Cher %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Vous avez été affecté à <a href=""%customer_url"">%company_name</a> comme administrateur de la société."
"When you sign in to your account, you can:","Lorsque vous vous connecterez à votre compte, vous serez en mesure de :"
"* Create and manage company users and teams","* Créer et gérer des équipes et des utilisateurs de la société"
"* Manage user permissions for the store","Gérer les autorisations de l’utilisateur pour le magasin"
"* Create and manage company shipping and billing addresses","* Créer et gérer les adresses d’expédition et de facturation de la société"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Vous avez été ajouté dans <a href=%customer_url>%company_name</a> comme membre de la société.
    une fois que vous entrerez dans votre compte,
    les ressources partagées de la société seront disponibles pour vous."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","S'il s’agit d’une erreur,
    veuillez contacter l'administrateur de la société à l'adresse %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Votre compte est maintenant actif. Vous pouvez l’utiliser pour vous connecter au <a href=""%customer_url"">site Web</a>."
"Your account is no longer active. You will not be able to use it for login.","Votre compte n’est plus actif. Vous ne serez pas capable de l’utiliser pour vous connecter."
"If this is a mistake, please contact the seller.","S'il s’agit d’une erreur, veuillez contacter le vendeur."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Votre compte a été réglé sur inactif, et vous ne pouvez pas accéder au compte de la société pour le moment. Si vous pensez qu’il s’agit d’une erreur, contactez votre administrateur pour plus de détails."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Une demande d’enregistrement de société a été soumise par le client %customer. Le compte est temporairement verrouillé jusqu'à ce que vous approuviez ou rejetiez cette société."
"Company: %company","Société : %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","La demande d’enregistrement de votre société (<strong>%company_name</strong>) 
    a été approuvée et vous avez été défini comme l’administrateur de celle-ci. 
    Vous pouvez maintenant créer et gérer la structure de votre société. 
    Les membres de votre société sont en mesure de demander des devis, créer des listes de réquisition 
    et utiliser d’autres fonctions B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Le statut de votre société <strong>%company_name</strong> 
    est maintenant <strong>Actif</strong>. 
    Une fois que vous ouvrirez une session, vous pourrez placer des commandes pour le compte de votre société 
    et utiliser d’autres fonctions B2B."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Votre type de compte a été modifié de Administrateur à un compte utilisateur normal. Si vous pensez qu’il s’agit d’une erreur, contactez votre administrateur pour plus de détails."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Vous avez été affecté à %company_name comme représentant de ventes."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecterez à votre compte, vous serez en mesure de :"
"* View and manage company quotes in Admin Panel","* Afficher et gérer les devis de la société sur le panneau d'administration"
"* View and edit company profile in Admin Panel","* Afficher et modifier le profil de la société sur le panneau d'administration"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Le compte de votre société <strong>%company_name</strong> a été bloqué. 
    Les membres de votre société peuvent continuer à utiliser le site Web, 
    mais ils ne pourront pas passer de commandes."
"If you have any questions, please contact the seller.","Si vous avez des questions, veuillez contacter le vendeur."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Le compte de votre société <strong>%company_name</strong> a été suspendu, en attendant l’approbation du vendeur."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","La requête d'enregistrement de votre société <strong>%company_name</strong> a été rejetée 
    pour la raison suivante :"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Cette action est définitive. Etes-vous sûr de vouloir supprimer cette société ? Une fois que celle-ci sera supprimée, tous ses membres seront placés en statut inactif."
"Delete a Company?","Supprimer une société ?"
"Cancel","Annuler"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Sorry! You cannot delete this user: The user is the company admin.","Désolé ! Vous ne pouvez pas supprimer cet utilisateur : c'est l'administrateur de la société."
"Cannot Delete the Company Admin","Impossible de supprimer l'administrateur de la société"
"Done","Fait"
"No results","Aucun résultat"
"options","options"
"Proceed","Continuer"
"Change Company Status?","Modifier un statut de société ?"
"Change status","Changer un statut"
"Popup title","Titre popup"
"Cannot delete the user","Impossible de supprimer l'utilisateur"
"This user cannot be deleted because he/she is a company admin.","Cet utilisateur ne peut pas être supprimé car il est un administrateur de société."
"Edit User","Modifier un utilisateur"
"Cannot Delete User","Impossible de supprimer l'utilisateur"
"Delete this user?","Supprimer cet utilisateur ?"
"This action cannot be undone. Are you sure you want to delete this user?","Cette action est définitive. Etes-vous sûr de vouloir supprimer cet utilisateur ?"
"Edit Team","Modifier l'équipe"
"Cannot Delete This Team","Impossible de supprimer cette équipe"
"Delete this team?","Supprimer cette équipe ?"
"This action cannot be undone. Are you sure you want to delete this team?","Cette action est définitive. Etes-vous sûr de vouloir supprimer cette équipe ?"
"Delete This Role?","Supprimer ce rôle ?"
"This action cannot be undone. Are you sure you want to delete this role?","Cette action est définitive. Etes-vous sûr de vouloir supprimer ce rôle ?"
"Cannot Delete Role","Impossible de supprimer le rôle"
"Cannot Delete Customer","Impossible de supprimer le client"
"Set Inactive","Mettre inactif"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Sélectionnez 'Supprimer' pour supprimer définitivement le compte d'utilisateur et le contenu. Les commandes et les devis de l'utilisateur sont toujours visibles pour le commerçant. Sélectionnez 'Mettre inactif' pour verrouiller temporairement l'utilisateur. Le contenu de l'utilisateur est toujours disponible pour les utilisateurs du niveau supérieur."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Un utilisateur avec cette adresse email existe déjà dans le système. Entrez une adresse email différente pour continuer. Si vous souhaitez utiliser votre compte actuel en tant que compte administrateur, veuillez contacter le vendeur."
"Enable Company","Activer la société"
"Company Configuration","Configuration de la société"
"General","Général"
"Allow Company Registration from the Storefront","Autoriser l'enregistrement de sociétés à partir de la boutique"
"Email Options - Company Registration","Options email - enregistrement de la société"
"Company Registration Email Recipient","Destinataire de l'enregistrement d'une société"
"Send Company Registration Email Copy To","Envoyer une copie du courriel de l'enregistrement de la société à"
"Comma-separated","Séparées par des virgules"
"Send Email Copy Method","Mode d'envoi d'une copie de courriel"
"Default Company Registration Email","Adresse email par défaut de l'enregistrement de la société"
"Customer-Related Emails","Courriels relatifs aux clients"
"Default 'Sales Rep Assigned' Email","Adresse email par défaut du 'représentant des ventes assigné'"
"This email is sent to the company's Sales Rep and the Company Admin.","Ce courriel est envoyé au représentant des ventes et à l'administrateur de la société."
"Default 'Assign Company to Customer' Email","Adresse email par défaut du processus 'Assigner une société à un client'"
"This email is sent to the customer only.","Ce courriel est uniquement envoyé au client."
"Default 'Assign Company Admin' Email","Adresse email par défaut du processus 'Assigner un administrateur à la société'"
"Default 'Company Admin Inactive' Email","Adresse email par défaut du processus 'Administrateur de la société inactif'"
"Default 'Company Admin Changed To Member' Email","Adresse email par défaut du processus 'Modification de l'administrateur de la société en membre'"
"Default 'Customer Status Active' Email","Adresse email par défaut du processus 'Client ayant un statut actif'"
"Default 'Customer Status Inactive' Email","Adresse email par défaut du processus 'Client ayant un statut inactif'"
"Company Status Change","Modification du statut de la société"
"Send Company Status Change Email Copy To","Envoyer une copie de la modification du statut de la société à"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Séparées par des virgules. Les destinataires recevront une copie du courriel envoyé par défaut à l'administrateur de la société uniquement."
"Default 'Company Status Change To Active 1"" Email","Adresse email par défaut du processus 'Modifier le statut de la société en Actif 1'"
"This email is sent when company status changes from Pending Approval to Active.","Cet email est envoyé lorsque le statut de la société passe 'd’en attente d’approbation' à 'actif'."
"Default 'Company Status Change To Active 2"" Email","Adresse email par défaut du processus 'Modifier le statut de la société en Actif 2'"
"This email is sent when company status changes from Rejected or Blocked to Active.","Ce courriel est envoyé lorsque le statut de la société passe de 'Rejeté' ou 'Bloqué' à 'actif'."
"Default 'Company Status Change To Rejected"" Email","Email par défaut du processus 'Modifier le statut de la société en Rejeté '"
"This email is sent when company status changes to Rejected.","Cet e-mail est envoyé lorsque le statut de la société change à Rejeté."
"Default 'Company Status Change To Blocked"" Email","Email par défaut du processus 'Modifier le statut de la société en Bloqué'"
"This email is sent when company status changes Blocked.","Ce courriel est envoyé lorsque le statut de la société passe à 'Bloqué'."
"Default 'Company Status Change To Pending Approval"" Email","Adresse email par défaut du processus 'Modifier le statut de la société en En attente d'approbation'"
"This email is sent when company status changes to Pending Approval.","Ce courriel est envoyé lorsque le statut de la société passe en 'En attente d’approbation'."
"All","Tous"
"Account Information (View)","Information du compte (visualiser)"
"Legal Address (View)","Adresse légale (visualiser)"
"Contacts (View)","Contacts (visualiser)"
"Company User Management","Gestion des utilisateurs de la société"
"View roles and permissions","Voir les rôles et permissions"
"Manage roles and permissions","Gérer les rôles et permissions"
"View users and teams","Voir les utilisateurs et les équipes"
"Manage users and teams","Gérer les utilisateurs et les équipes"
"Sales","Ventes"
"Checkout (place order)","Commander (passer une commande)"
"Use Pay On Account method","Utiliser la méthode Payer sur le compte"
"View orders","Voir les commandes"
"View orders of subordinate users","Voir les commandes des utilisateurs subordonnés"
"Are you sure you want to set the selected companies as active?","Etes-vous sûr de vouloir définir les sociétés sélectionnées comme actives ?"
"Set a Company as Active","Définir une société comme active"
"Set Active","Définir comme actif"
"Are you sure you want to block the selected companies?","Etes-vous sûr de vouloir bloquer les sociétés sélectionnées ?"
"Block a Company","Bloquer une société"
"Block","Bloquer"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Cette action est définitive. Etes-vous sûr de vouloir supprimer les sociétés sélectionnées ? Une fois que celles-ci seront supprimées, tous leurs membres seront placés en statut inactif."
"ID","Identifiant"
"Reseller ID","Identifiant du revendeur"
"Comment","Commentaire"
"ZIP","Code postal"
"Customer Group","Groupe de clients"
"Company Admin","Administrateur de la société"
"Gender","Sexe"
"Customer Type","Type de client"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Etes-vous sûr de vouloir désactiver temporairement ce compte de société ? Si vous confirmez, la connexion de tous les membres de la société sera bloquée."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Etes-vous sûr de vouloir activer cette société ? Si vous confirmez, les membres de la société pourront opérer avec leur compte de société"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Etes-vous sûr de vouloir refuser cette société ? Si vous confirmez, la connexion de tous les membres de la société sera bloquée."
"Please specify the reason","Veuillez spécifier la raison"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","La raison apparaîtra dans le courriel «Rejeté» envoyé à l'administrateur de la société. Il sera également enregistré et affiché dans le panneau d'administration (dans le profil de la société)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Etes-vous sûr de vouloir bloquer cette société ? Si vous continuez, les membres de la société ne pourront pas passer de commandes."
"Reason for Rejection","Raison du rejet"
"VAT / TAX ID","Numéro de TVA"
"Website","Site web"
"Prefix","Préfixe"
"Middle Name/Initial","Deuxième prénom / Initiale"
"Suffix","Suffixe"
"Advanced Settings","Paramètres avancés"
"Change Customer Group?","Changer de groupe de clients ?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Cette action changera le groupe de clients pour tous les membres de cette société. Voulez vous procéder ?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","L'utilisateur <%- username %> est l’administrateur de la société et ne peut pas être défini comme inactif. Vous devez tout d’abord définir un autre utilisateur comme administrateur de la société."
"Customer Active","Client actif"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Ce client est un utilisateur d'une autre société. Si vous continuez, le client sera détaché de la société actuelle et lié à la société sélectionnée."
"Change Company?","Changer de société ?"
"Associate to Company","Associé avec une société"
"My Orders","Mes commandes"
"Create New Customer","Créer un nouveau client"
"Create New Company Account","Créer un nouveau compte de société"
"Name","Nom"
"Role","Rôle"
"Team","Équipe"
"Users","Utilisateurs"
"%fieldName is a required field.","%fieldName est un champ obligatoire."
"%fieldName is a required field","%fieldName est un champ obligatoire"
"Consumer is not authorized to access resource","Le consommateur n’est pas autorisé à accéder aux ressources"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Votre compte de société est bloqué et vous ne pouvez pas passer de commandes. Si vous avez des questions, veuillez contacter l’administrateur de votre société."
