"Attribute Properties","ගුණාංග ගුණාංග"
"""%1"" cannot contain more than %2 lines.","""%1"" හි පේළි %2 කට වඩා අඩංගු විය නොහැක."
"""%1"" length must be equal or greater than %2 characters.","""%1"" දිග සමාන හෝ අක්ෂර %2 ට වඩා වැඩි විය යුතුය."
"""%1"" length must be equal or less than %2 characters.","""%1"" දිග සමාන හෝ අක්ෂර %2 ට වඩා අඩු විය යුතුය."
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","වලංගු නොවන entity_type සඳහන් කර ඇත: %1"
"Entity is not initialized","ආයතනය ආරම්භ කර නැත"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","අද්විතීය සීමාවන් උල්ලංඝනය කිරීමක් හමු විය"
"The attribute code '%1' is reserved by system. Please try another attribute code","ගුණාංග කේතය '%1' පද්ධතිය මගින් වෙන් කර ඇත. කරුණාකර වෙනත් ගුණාංග කේතයක් උත්සාහ කරන්න"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","""%2"" ගුණාංගය සඳහා මූලාශ්‍ර ආකෘතිය ""%1"" සොයාගත නොහැක"
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","වලංගු නොවන දිනය"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Cannot save attribute %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","විකල්ප කිසිවක් හමු නොවීය."
"label","ලේබලය"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","පෙරහන (%1) සඳහා වලංගු නොවන ගුණාංග හඳුනාගැනීමක්"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","මෙම අන්වර්ථය සමඟ ඒකාබද්ධ ක්ෂේත්‍රය හෝ ගුණාංග ප්‍රකාශනය දැනටමත් ප්‍රකාශ කර ඇත"
"Invalid alias, already exists in joint attributes","වලංගු නොවන අන්වර්ථයක්, දැනටමත් ඒකාබද්ධ ගුණාංගවල පවතී"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","මෙම අන්වර්ථය සමඟ සම්බන්ධ වූ ක්ෂේත්‍රයක් දැනටමත් ප්‍රකාශ කර ඇත."
"Invalid joint fields","වලංගු නොවන ඒකාබද්ධ ක්ෂේත්‍ර"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","වර්ධක ID: %1හි වලංගු නොවන අක්ෂරයක් හමු විය"
"The current module pathname is undefined.","වත්මන් මොඩියුලයේ නම නිර්වචනය කර නොමැත."
"The current module EAV entity is undefined.","වත්මන් මොඩියුලය EAV ආයතනය නිර්වචනය කර නොමැත."
"The form code is not defined.","පෝරම කේතය අර්ථ දක්වා නැත."
"The entity instance is not defined.","ආයතනික අවස්ථාව නිර්වචනය කර නොමැත."
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","එකම කේතය සමඟ ගුණාංගය"
"The storefront label is not defined.","වෙළඳසැල් ඉදිරිපස ලේබලය අර්ථ දක්වා නැත."
"Default option value is not defined","Default option value is not defined"
"Attribute group with same code already exist. Please rename ""%1"" group","එකම කේතය සහිත ගුණාංග සමූහය දැනටමත් පවතී. කරුණාකර ""%1"" කණ්ඩායම නැවත නම් කරන්න"
"Form Element with the same attribute","එකම ගුණාංගය සහිත පෝරමය මූලද්‍රව්‍යය"
"Form Fieldset with the same code","එකම කේතය සමඟ ෆෝම් ෆීල්ඩ්සෙට්"
"Form Type with the same code","එකම කේතය සමඟ පෝරමය ටයිප් කරන්න"
"The value of attribute ""%1"" is invalid.","""%1"" ගුණාංගයේ අගය වලංගු නොවේ."
"Wrong entity ID","Wrong entity ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","ගුණාංග කේතයක් %1 ට වඩා අඩු නොවිය යුතු අතර අක්ෂර %2 ට වඩා වැඩි විය යුතුය."
"Attribute with ID: ""%1"" does not exist","ID සහිත ගුණාංගය: ""%1"" නොපවතී"
"AttributeSet does not exist.","AttributeSet නොපවතී."
"hello","ආයුබෝවන්"
"Some internal exception message.","සමහර අභ්‍යන්තර ව්‍යතිරේක පණිවිඩ."
"The value of attribute not valid","ගුණාංගයේ අගය වලංගු නොවේ"
"EAV types and attributes","EAV වර්ග සහ ගුණාංග"
"Entity types declaration cache","ආයතන වර්ග ප්‍රකාශන හැඹිලිය"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","පෙළ සංස්කාරක ආදාන වර්ගය සඳහා වෙළඳසැල් > වින්‍යාස කිරීම > අන්තර්ගත කළමනාකරණය තුළ WYSIWYG සබල කිරීම අවශ්‍ය වේ."
"The attribute group doesn't belong to the provided attribute set.","ගුණාංග සමූහය සපයා ඇති උපලක්ෂණ කට්ටලයට අයත් නොවේ."
"The attributeGroup can't be saved.","attributeGroup සුරැකිය නොහැක."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත කණ්ඩායම නොපවතී. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute group with id ""%1"" can't be deleted.","""%1"" id සහිත ගුණාංග සමූහය මැකිය නොහැක."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","""%1"" ID සහිත AttributeSet නොපවතී. attributeSet සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The attribute set ID is incorrect. Verify the ID and try again.","ගුණාංග කට්ටල ID වැරදියි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute group doesn't belong to the attribute set.","උපලක්ෂණ කණ්ඩායම උපලක්ෂණ කට්ටලයට අයත් නොවේ."
"The ""%1"" attribute set wasn't found. Verify and try again.","""%1"" උපලක්ෂණ කට්ටලය හමු නොවිණි. තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","""%1"" ගුණාංගය ""%2"" ගුණාංග කට්ටලය තුළ හමු නොවීය. ගුණාංගය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The system attribute can't be deleted.","පද්ධති ගුණාංගය මකා දැමිය නොහැක."
"The attribute can't be saved.","ගුණාංගය සුරැකිය නොහැක."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","""%1"" attributeCode සහිත ගුණාංගය නොපවතී. ගුණාංගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute can't be deleted.","ගුණාංගය මකා දැමිය නොහැක."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","""%1"" හැඳුනුම්පත සහිත ගුණාංගය නොපවතී. ගුණාංගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","දෝෂයක් හේතුවෙන් උපලක්ෂණ කට්ටලය සුරැකිය නොහැක. ඔබගේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න. දෝෂය දිගටම පවතින්නේ නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The default attribute set can't be deleted.","පෙරනිමි ගුණාංග කට්ටලය මකා දැමිය නොහැක."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","දෝෂයක් හේතුවෙන් උපලක්ෂණ කට්ටලය මැකීමට නොහැකි විය. නැවත උත්සාහ කරන්න - දෝෂය දිගටම පවතී නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"This parameter is unknown. Verify and try again.","මෙම පරාමිතිය නොදනී. තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","පෙරනිමි දශම අගය වලංගු නොවේ. අගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The default date is invalid. Verify the date and try again.","පෙරනිමි දිනය වලංගු නොවේ. දිනය තහවුරු කර නැවත උත්සාහ කරන්න."
"The entity supplied is invalid. Verify the entity and try again.","සපයන ලද ආයතනය වලංගු නොවේ. ආයතනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","""%1"" පසුපෙළ ආකෘතිය වලංගු නොවේ. පසුපෙළ ආකෘතිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" ගුණාංගය හිස්ය. ගුණාංගය සකසා නැවත උත්සාහ කරන්න."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","""%1"" ගුණාංගයේ අගය අද්විතීය නොවේ. අද්විතීය අගයක් සකසා නැවත උත්සාහ කරන්න."
"The attribute code is empty. Enter the code and try again.","ගුණාංග කේතය හිස්ය. කේතය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute doesn't work with options.","""%1"" ගුණාංගය විකල්ප සමඟ ක්‍රියා නොකරයි."
"The ""%1"" attribute can't be saved.","""%1"" ගුණාංගය සුරැකිය නොහැක."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","""%1"" ගුණාංගය සඳහා විකල්ප පූරණය කළ නොහැක."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" ගුණාංගයේ ""%2"" හැඳුනුම්පත සමඟ විකල්පයක් ඇතුළත් නොවේ."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","""%1"" හැඳුනුම්පත සහිත ආයතන ගුණාංගය හමු නොවීය. උපලක්ෂණ නැවත සකසා නැවත උත්සාහ කරන්න."
"The attribute set name is empty. Enter the name and try again.","ගුණාංග කට්ටලයේ නම හිස්ය. නම ඇතුළත් කර නැවත උත්සාහ කරන්න."
"A ""%1"" attribute set name already exists. Create a new name and try again.","""%1"" ගුණාංග කට්ටල නාමයක් දැනටමත් පවතී. නව නමක් සාදා නැවත උත්සාහ කරන්න."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","වස්තුව වලංගු නොවන නිසා එය එක් නොකළේය. ඉදිරියට යාමට, වලංගු වස්තුවක් ඇතුළු කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","ඉල්ලා ඇති ""%1"" ගුණාංගය වලංගු නොවේ. ගුණාංගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The foreign key is invalid. Verify the foreign key and try again.","විදේශීය යතුර වලංගු නොවේ. විදේශීය යතුර තහවුරු කර නැවත උත්සාහ කරන්න."
"The entity type is invalid. Verify the entity type and try again.","ආයතන වර්ගය වලංගු නැත. ආයතන වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute type is invalid. Verify the attribute type and try again.","ගුණාංග වර්ගය වලංගු නොවේ. ගුණාංග වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"A joint field with a ""%1"" alias is already declared.","""%1"" අන්වර්ථයක් සහිත ඒකාබද්ධ ක්ෂේත්‍රයක් දැනටමත් ප්‍රකාශ කර ඇත."
"A header row is missing for an attribute. Verify the header row and try again.","උපලක්ෂණයක් සඳහා ශීර්ෂ පේළියක් නොමැත. ශීර්ෂ පේළිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute name is invalid. Reset the name and try again.","""%1"" ගුණාංග නාමය වලංගු නොවේ. නම නැවත සකසා නැවත උත්සාහ කරන්න."
"The form type is invalid. Reset the type and try again.","පෝරමය වර්ගය වලංගු නැත. වර්ගය යළි සකසා නැවත උත්සාහ කරන්න."
"The EAV attribute is invalid. Verify the attribute and try again.","EAV ගුණාංගය වලංගු නොවේ. ගුණාංගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The default option isn't defined. Set the option and try again.","පෙරනිමි විකල්පය අර්ථ දක්වා නැත. විකල්පය සකසා නැවත උත්සාහ කරන්න."
"The entity ID is incorrect. Verify the ID and try again.","ආයතන හැඳුනුම්පත වැරදියි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute group ID is incorrect. Verify the ID and try again.","ගුණාංග කණ්ඩායම් හැඳුනුම්පත වැරදියි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"These changes affect all related products.","මෙම වෙනස්කම් අදාළ නිෂ්පාදන සියල්ලටම බලපායි."
"Text Editor","පෙළ සංස්කාරකය"
