"Attribute Properties","Propriétés de l'attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"The value of attribute ""%1"" is invalid.","La valeur de l’attribut ""%1"" n'est pas valide."
"Wrong entity ID","Mauvais identifiant d'entité."
"Wrong attribute set ID","Mauvais identifiant de jeu d'attributs."
"Wrong attribute group ID","Mauvais identifiant de groupe d'attributs."
"An attribute code must not be less than %1 and more than %2 characters.","Un code d'attribut ne doit pas être inférieur à %1 et plus de %2 caractères."
"Attribute with ID: ""%1"" does not exist","L'attribut ayant l'identifiant ""%1"" n'existe pas"
"AttributeSet does not exist.","AttributeSet n'existe pas."
"hello","bonjour"
"Some internal exception message.","Un message d'exception interne."
"The value of attribute not valid","La valeur d'un attribut est non valide"
"EAV types and attributes","Types et attributs EAV"
"Entity types declaration cache","Cache de déclaration de types d'entité"
"Not shared with other products","Non partagé avec les autres produits"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' ressemble à un nom d'hôte DNS, mais nous ne pouvons pas correspondre au TLD contre la liste connue."
"Entity types declaration cache.","Cache des types d'entité."
"'Invalid backend model specified: ' .","""Modèle de backend invalide spécifié: ""."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Le type d'entrée de l'éditeur de texte nécessite que WYSIWYG soit activé dans les magasins > Configuration > Gestion de contenu."
"The attribute group doesn't belong to the provided attribute set.","Le groupe d'attributs n'appartient pas au jeu d'attributs fourni."
"The attributeGroup can't be saved.","Le groupe d'attributs ne peut pas être enregistré."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Le groupe avec l'ID ""%1"" n'existe pas. Vérifiez l'ID et réessayez."
"The attribute group with id ""%1"" can't be deleted.","Le groupe d'attributs avec l'id ""%1"" ne peut pas être supprimé."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","Le jeu d'attributs avec un ID ""%1"" n'existe pas. Vérifiez le jeu d'attributs et réessayez."
"The attribute set ID is incorrect. Verify the ID and try again.","L'identifiant du jeu d'attributs est incorrect. Vérifiez l'ID et réessayez."
"The attribute group doesn't belong to the attribute set.","Le groupe d'attributs n'appartient pas au jeu d'attributs."
"The ""%1"" attribute set wasn't found. Verify and try again.","Le jeu d'attributs ""%1"" n'a pas été trouvé. Vérifiez et réessayez."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","L'attribut ""%1"" n'a pas été trouvé dans le jeu d'attribut ""%2"". Entrez l'attribut et réessayez."
"The system attribute can't be deleted.","L'attribut système ne peut pas être supprimé."
"The attribute can't be saved.","L'attribut ne peut pas être sauvegardé."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","These changes affect all related products."
"Text Editor","Text Editor"
