"Attribute Properties","Propiedades de atributo"
"""%1"" does not fit the entered date format.","""%1"" no se ajusta el formato de fecha ingresada."
"""%1"" is a required value.","""%1"" es un valor necesario."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduzca una fecha válida entre %1 y %2 en %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduzca una fecha válida igual o mayor que %1 en %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduzca una fecha válida menos o igual a %1 en %2."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válido."
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" is not a valid image format","""%1"" no es un formato de imagen válido"
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" no puede contener más de %2 líneas."
"""%1"" length must be equal or greater than %2 characters.","""%1"" longitud debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor a los caracteres de %2."
"Attribute group does not belong to provided attribute set","El grupo de atributos no pertenece al conjunto de atributos proporcionado"
"Cannot save attributeGroup","No se puede guardar el grupo de atributos"
"Group with id ""%1"" does not exist.","El grupo con id ""%1"" no existe."
"Cannot delete attributeGroup with id %1","No se puede eliminar el grupo de atributos con id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet con id ""%1"" no existe."
"Wrong attribute set id provided","El Id del conjunto de atributos proporcionado es incorrecto"
"Attribute group does not belong to attribute set","El grupo de atributos no pertenece al conjunto de atributos"
"Attribute set not found: %1","Conjunto de atributos no encontrado: %1"
"Attribute ""%1"" not found in attribute set %2.","El atributo ""%1"" no se encuentra en el conjunto de atributos %2."
"System attribute can not be deleted","No se puede eliminar el atributo de sistema"
"Cannot save attribute","No se puede guardar el atributo"
"Attribute with attributeCode ""%1"" does not exist.","Atributo con attributeCode ""%1"" no existe."
"Cannot delete attribute.","No se puede eliminar el atributo."
"Attribute with id ""%1"" does not exist.","Atributo con el id ""%1"" no existe."
"There was an error saving attribute set.","Hubo un error al guardar el conjunto de atributos."
"Default attribute set can not be deleted","No se puede eliminar el conjunto de atributos predeterminado"
"There was an error deleting attribute set.","Hubo un error al eliminar el conjunto de atributos."
"Invalid entity_type specified: %1","Se especificó un entity_type no válido: %1"
"Entity is not initialized","La entidad no está inicializada"
"Unknown parameter","Parámetro desconocido"
"Unique constraint violation found","Violación de restricción única encontrada"
"The attribute code '%1' is reserved by system. Please try another attribute code","El código de atributo '%s' está reservado por el sistema. Por favor, prueba con otro código de atributo"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Fecha por defecto no válida"
"Invalid entity supplied","Se suministró una entidad no válida"
"Invalid backend model specified: %1","Modelo de administración especificado no válido: %1"
"Source model ""%1"" not found for attribute ""%2""","Modelo de la fuente ""%1"" no ha encontrado para el atributo ""%2"""
"The value of attribute ""%1"" must be set","El valor del atributo ""%1"" debe establecerse"
"The value of attribute ""%1"" must be unique","El valor del atributo ""%1"" debe ser único"
"Invalid date","Fecha inválida"
"Empty attribute code","Código de atributo vacío"
"Attribute %1 doesn't work with options","Atributo %1 no funciona con las opciones"
"Cannot save attribute %1","No se puede guardar el atributo %1"
"Attribute %1 doesn't have any option","El atributo %1 no tiene ninguna opción"
"Cannot load options for attribute %1","No se pueden cargar opciones para el atributo %1"
"Attribute %1 does not contain option with Id %2","El atributo %1 no contiene la opción con Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","El nombre del conjunto de atributos está vacío."
"An attribute set named ""%1"" already exists.","Ya existe un conjunto de atributos llamado ""%1""."
"No options found.","No hay opciones encontradas."
"label","etiqueta"
"Invalid entity supplied: %1","Se suministró una entidad no válida: %1"
"Attempt to add an invalid object","Intento de añadir un objeto no válido"
"Invalid attribute identifier for filter (%1)","Identificador de atributo no válido para el filtro (%1)"
"Invalid attribute requested: %1","Se solicitó un atributo no válido: %1"
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo combinado o una expresión de atributos con este alias"
"Invalid alias, already exists in joint attributes","Alias inválido, ya existe en los atributos comunes"
"Invalid foreign key","Clave externa no válida"
"Invalid entity type","Tipo de entidad no válido"
"Invalid attribute type","Tipo de atributo no válido"
"A joined field with this alias is already declared.","Ya se ha declarado un campo combinado con este alias."
"Invalid joint fields","Campos combinados no válidos"
"A joint field with this alias (%1) is already declared.","Ya se ha declarado un campo conjunto con este alias (%1)."
"Data integrity: No header row found for attribute","Integridad de datos: No se ha encontrado una línea de encabezamiento para el campo"
"Invalid attribute name: %1","Nombre de atributo no válido: %1"
"Invalid character encountered in increment ID: %1","Se encontró un carácter no válido en el ID de incremento: %1"
"The current module pathname is undefined.","La ruta de acceso de módulo actual no está definido."
"The current module EAV entity is undefined.","El módulo actual de entidad EAV es indefinido."
"The form code is not defined.","El código de formulario no está definido."
"The entity instance is not defined.","No se define la instancia de entidad."
"Invalid form type.","Tipo de formulario no válido."
"Invalid EAV attribute","Atributo de EAV no válido"
"Attribute with the same code","Atributo con el mismo código"
"The storefront label is not defined.","La etiqueta de escaparate no está definida."
"Default option value is not defined","El valor por defecto para la opción no está definido"
"Attribute group with same code already exist. Please rename ""%1"" group","El Grupo de Atributos con el mismo código ya existe. Cambie el nombre del Grupo ""%1"""
"Form Element with the same attribute","Elemento de formulario con el mismo atributo"
"Form Fieldset with the same code","Conjunto de campos de formulario con el mismo código"
"Form Type with the same code","Tipo de formulario con el mismo código"
"The value of attribute ""%1"" is invalid.","El valor del atributo ""%1"" no es válido."
"Wrong entity ID","ID de entidad erróneo"
"Wrong attribute set ID","ID de conjunto de atributos es erróneo"
"Wrong attribute group ID","ID de grupo de atributos es erróneo"
"An attribute code must not be less than %1 and more than %2 characters.","Un código de atributo no puede ser de menos de %1 ni más de %2 caracteres."
"Attribute with ID: ""%1"" does not exist","Atributo con ID: ""%1"" no existe"
"AttributeSet does not exist.","AttributeSet no existe."
"hello","hola"
"Some internal exception message.","Algun mensaje interno de excepción."
"The value of attribute not valid","El valor del atributo no es válido"
"EAV types and attributes","Atributos y tipos EAV"
"Entity types declaration cache","Caché de declaración de tipos de entidad"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' parece ser un nombre de servidor DNS, pero no podemos encontrar el TLD en la lista de nombres conocidos."
"Entity types declaration cache.","Caché de declaración de tipos de entidad."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","These changes affect all related products."
"Text Editor","Text Editor"
