"Attribute Properties","ગુણધર્મો ગુણધર્મો"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ તેમાં અમાન્ય સ્થિતિમાં ડેશ શામેલ છે."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ અમે તેને TLD '%tld%' માટેના હોસ્ટનામ સ્કીમાથી મેચ કરી શકતા નથી."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ TLD ભાગ કાઢી શકતું નથી."
"'%value%' does not look like a valid local network name.","'%value%' માન્ય સ્થાનિક નેટવર્ક નામ જેવું લાગતું નથી."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' સ્થાનિક નેટવર્ક નામ જેવું લાગે છે, જે સ્વીકાર્ય બંધારણ નથી."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' એ DNS હોસ્ટનામ તરીકે દેખાય છે, પરંતુ આપેલ પાયકોડ સંકેતને ડીકોડ કરી શકાતા નથી."
"""%1"" is not a valid URL.","""%1"" માન્ય URL નથી."
"""%1"" is not a valid date.","""%1"" માન્ય તારીખ નથી."
"""%1"" does not fit the entered date format.","""%1"" દાખલ કરેલ તારીખ ફોર્મેટમાં ફિટ નથી."
"""%1"" is a required value.","""%1"" એ આવશ્યક મૂલ્ય છે."
"Please enter a valid date between %1 and %2 at %3.","કૃપા કરીને%3 થી%1 અને%2 ની વચ્ચે માન્ય તારીખ દાખલ કરો."
"Please enter a valid date equal to or greater than %1 at %2.","કૃપા કરીને%2 પર%1 ની બરાબર અથવા મોટી માન્ય તારીખ દાખલ કરો."
"Please enter a valid date less than or equal to %1 at %2.","કૃપા કરીને%2 કરતા%1 કરતા ઓછી અથવા તેના સમાન માન્ય તારીખ દાખલ કરો."
"""%1"" is not a valid file extension.","""%1"" એ માન્ય ફાઇલ એક્સ્ટેંશન નથી."
"""%1"" is not a valid file.","""%1"" માન્ય ફાઇલ નથી."
"""%1"" exceeds the allowed file size.","""%1"" માન્ય ફાઇલ કદને વટાવી ગયું."
"""%1"" is not a valid image format","""%1"" માન્ય ઇમેજ ફોર્મેટ નથી"
"""%1"" width exceeds allowed value of %2 px.","""%1"" પહોળાઈ %2 પીએક્સની માન્ય કિંમત કરતાં વધુ છે."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ઊંચાઈ %2 પીએક્સની માન્ય કિંમત કરતાં વધુ છે."
"""%1"" cannot contain more than %2 lines.","""%1"" માં %2 થી વધુ લીટીઓ હોઈ શકતી નથી."
"""%1"" length must be equal or greater than %2 characters.","""%1"" લંબાઈ %2 અક્ષરો કરતા બરાબર અથવા મોટી હોવી આવશ્યક છે."
"""%1"" length must be equal or less than %2 characters.","""%1"" લંબાઈ સમાન અથવા %2 અક્ષરો કરતા ઓછી હોવી જોઈએ."
"Attribute group does not belong to provided attribute set","એટ્રિબ્યુટ જૂથ પ્રદાન કરેલ એટ્રિબ્યુટ સમૂહ સાથે સંબંધિત નથી"
"Cannot save attributeGroup","લક્ષણ જૂથને સાચવી શકાતા નથી"
"Group with id ""%1"" does not exist.","""%1"" નામનો જૂથ અસ્તિત્વમાં નથી."
"Cannot delete attributeGroup with id %1","%1 id સાથે લક્ષણ જૂથ કાઢી શકાતા નથી"
"AttributeSet with id ""%1"" does not exist.","""%1"" આઈડીવાળી એટ્રિબ્યુટસેટ અસ્તિત્વમાં નથી."
"Wrong attribute set id provided","ખોટો એટ્રિબ્યુટ સેટ ID પ્રદાન કરાયો"
"Attribute group does not belong to attribute set","એટ્રિબ્યુટ જૂથ એટ્રિબ્યુટ સમૂહ સાથે સંબંધિત નથી"
"Attribute set not found: %1","એટ્રિબ્યુટ સેટ મળ્યો નથી:%1"
"Attribute ""%1"" not found in attribute set %2.","એટ્રિબ્યુટ ""%1"" એ %2 લક્ષણ સમૂહમાં મળ્યું નથી."
"System attribute can not be deleted","સિસ્ટમ લક્ષણ કાઢી શકાતા નથી"
"Cannot save attribute","લક્ષણ સાચવી શકાતું નથી"
"Attribute with attributeCode ""%1"" does not exist.","એટ્રિબ્યુટકોડ ""%1"" સાથેનું અસ્તિત્વ નથી."
"Cannot delete attribute.","લક્ષણ કાઢી શકાતું નથી."
"Attribute with id ""%1"" does not exist.","""%1"" નામનું લક્ષણ અસ્તિત્વમાં નથી."
"There was an error saving attribute set.","લક્ષણ સમૂહ સાચવવામાં ભૂલ આવી હતી."
"Default attribute set can not be deleted","ડિફaultલ્ટ લક્ષણ સેટ કાઢી શકાતો નથી"
"There was an error deleting attribute set.","એટ્રિબ્યુટ સેટ કાtingી નાખવામાં ભૂલ આવી."
"Invalid entity_type specified: %1","અમાન્ય એન્ટિટી_ પ્રકાર ઉલ્લેખિત:%1"
"Entity is not initialized","એન્ટિટી પ્રારંભ થયેલ નથી"
"Unknown parameter","અજ્ Unknownાત પરિમાણ"
"Unique constraint violation found","અનન્ય પ્રતિબંધનું ઉલ્લંઘન મળ્યું"
"The attribute code '%1' is reserved by system. Please try another attribute code","લક્ષણ કોડ '%1' સિસ્ટમ દ્વારા આરક્ષિત છે. કૃપા કરીને બીજો લક્ષણ કોડ અજમાવો"
"An attribute code must not be more than %1 characters.","વિશેષતા કોડ %1 અક્ષરોથી વધુનો હોવો જોઈએ નહીં."
"Invalid default decimal value","અમાન્ય ડિફimalલ્ટ દશાંશ મૂલ્ય"
"Invalid default date","અમાન્ય ડિફોલ્ટ તારીખ"
"Invalid entity supplied","અમાન્ય એન્ટિટી સપ્લાય"
"Invalid backend model specified: %1","અમાન્ય બેકએન્ડ મોડેલ ઉલ્લેખિત:%1"
"Source model ""%1"" not found for attribute ""%2""","""%2"" લક્ષણ ""%1"" માટે સ્રોત મોડેલ મળ્યું નથી"
"The value of attribute ""%1"" must be set","""%1"" લક્ષણનું મૂલ્ય સેટ કરવું આવશ્યક છે"
"The value of attribute ""%1"" must be unique","""%1"" લક્ષણનું મૂલ્ય અનન્ય હોવું આવશ્યક છે"
"Invalid date","અમાન્ય તારીખ"
"Empty attribute code","ખાલી લક્ષણ કોડ"
"Attribute %1 doesn't work with options","એટ્રિબ્યુટ%1 વિકલ્પો સાથે કામ કરતું નથી"
"Cannot save attribute %1","લક્ષણ%1 સાચવી શકાતો નથી"
"Attribute %1 doesn't have any option","એટ્રિબ્યુટ%1 પાસે કોઈ વિકલ્પ નથી"
"Cannot load options for attribute %1","%1 ગુણધર્મ માટે વિકલ્પો લોડ કરી શકાતા નથી"
"Attribute %1 does not contain option with Id %2","લક્ષણ%1 માં આઈડી%2 સાથેનો વિકલ્પ શામેલ નથી"
"Entity attribute with id ""%1"" not found","""%1"" આઈડી સાથે એન્ટિટી એટ્રીબ્યુટ મળ્યું નથી"
"Attribute set name is empty.","એટ્રિબ્યુટ સેટ નામ ખાલી છે."
"An attribute set named ""%1"" already exists.","""%1"" નામનો વિશેષ સમૂહ પહેલેથી અસ્તિત્વમાં છે."
"No options found.","કોઈ વિકલ્પો મળ્યાં નથી."
"label","લેબલ"
"Invalid entity supplied: %1","અમાન્ય એન્ટિટી પૂરા પાડવામાં આવી:%1"
"Attempt to add an invalid object","અમાન્ય addબ્જેક્ટ ઉમેરવાનો પ્રયાસ"
"Invalid attribute identifier for filter (%1)","ફિલ્ટર માટે અમાન્ય લક્ષણ ઓળખકર્તા (%1)"
"Invalid attribute requested: %1","અમાન્ય લક્ષણ વિનંતી કરી:%1"
"Joint field or attribute expression with this alias is already declared","આ ઉપનામ સાથે સંયુક્ત ક્ષેત્ર અથવા લક્ષણ અભિવ્યક્તિ પહેલાથી ઘોષિત થઈ ગઈ છે"
"Invalid alias, already exists in joint attributes","અમાન્ય ઉપનામ, સંયુક્ત લક્ષણોમાં પહેલાથી અસ્તિત્વમાં છે"
"Invalid foreign key","અમાન્ય વિદેશી કી"
"Invalid entity type","અમાન્ય એન્ટિટી પ્રકાર"
"Invalid attribute type","અમાન્ય લક્ષણ પ્રકાર"
"A joined field with this alias is already declared.","આ ઉપનામ સાથે જોડાયેલ ફીલ્ડ પહેલાથી ઘોષિત થઈ ચૂક્યું છે."
"Invalid joint fields","અમાન્ય સંયુક્ત ક્ષેત્રો"
"A joint field with this alias (%1) is already declared.","આ ઉપનામ (%1) સાથેનું સંયુક્ત ક્ષેત્ર પહેલેથી ઘોષિત થયું છે."
"Data integrity: No header row found for attribute","ડેટા અખંડિતતા: લક્ષણ માટે કોઈ મથાળું પંક્તિ મળી નથી"
"Invalid attribute name: %1","અમાન્ય લક્ષણ નામ:%1"
"Invalid character encountered in increment ID: %1","વૃદ્ધિ ID માં અમાન્ય પાત્ર આવ્યું:%1"
"The current module pathname is undefined.","વર્તમાન મોડ્યુલ પાથનામ અસ્પષ્ટ છે."
"The current module EAV entity is undefined.","વર્તમાન મોડ્યુલ EAV એન્ટિટી અસ્પષ્ટ છે."
"The form code is not defined.","ફોર્મ કોડ વ્યાખ્યાયિત નથી."
"The entity instance is not defined.","એન્ટિટી દાખલાની વ્યાખ્યા નથી."
"Invalid form type.","અમાન્ય ફોર્મ પ્રકાર."
"Invalid EAV attribute","અમાન્ય EAV લક્ષણ"
"Attribute with the same code","સમાન કોડ સાથેનું લક્ષણ"
"The storefront label is not defined.","સ્ટોરફ્રન્ટ લેબલ નિર્ધારિત નથી."
"Default option value is not defined","ડિફaultલ્ટ વિકલ્પ મૂલ્ય નિર્ધારિત નથી"
"Attribute group with same code already exist. Please rename ""%1"" group","સમાન કોડ સાથેનું લક્ષણ જૂથ પહેલેથી જ અસ્તિત્વમાં છે. કૃપા કરીને ""%1"" જૂથનું નામ બદલો"
"Form Element with the same attribute","સમાન લક્ષણ સાથે ફોર્મ એલિમેન્ટ"
"Form Fieldset with the same code","સમાન કોડ સાથે ફોર્મ ફીલ્ડસેટ"
"Form Type with the same code","સમાન કોડ સાથે ફોર્મ પ્રકાર"
"The value of attribute ""%1"" is invalid.","""%1"" લક્ષણનું મૂલ્ય અમાન્ય છે."
"Wrong entity ID","ખોટી એન્ટિટી ID"
"Wrong attribute set ID","ખોટું લક્ષણ સેટ ID"
"Wrong attribute group ID","ખોટું લક્ષણ જૂથ ID"
"Attribute with ID: ""%1"" does not exist","ID સાથેનું લક્ષણ: ""%1"" અસ્તિત્વમાં નથી"
"AttributeSet does not exist.","એટ્રીબ્યુટસેટ અસ્તિત્વમાં નથી."
"hello","નમસ્તે"
"Some internal exception message.","કેટલાક આંતરિક અપવાદ સંદેશ."
"The value of attribute not valid","લક્ષણનું મૂલ્ય માન્ય નથી"
"EAV types and attributes","ઇએવી પ્રકારો અને લક્ષણો"
"Entity types declaration cache","એન્ટિટી પ્રકારો ઘોષણા કેશ"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
