"Attribute Properties","属性设置"
"Invalid entity supplied","无效的实体提供"
"Invalid backend model specified: %1","指定无效的后端模型: %1"
"Source model ""%1"" not found for attribute ""%2""","源模型找不到属性""%2""""%1"""
"The value of attribute ""%1"" must be set","""%1""属性的值必须设置"
"The value of attribute ""%1"" must be unique","""%1""属性的值必须是唯一的"
"Invalid date","无效的日期"
"Empty attribute code","无效的属性代码"
"Attribute %1 doesn't work with options","属性 %1 不能与选项"
"Cannot save attribute %1","无法保存属性 %1"
"Attribute %1 doesn't have any option","属性 %1 没有任何选项"
"Cannot load options for attribute %1","无法加载属性 %1 的选项"
"Attribute %1 does not contain option with Id %2","属性%1不包含Id%2的选项"
"Entity attribute with id ""%1"" not found","未找到id为“% 1”的实体属性 "
"Attribute set name is empty.","属性集的名称是空的。"
"An attribute set named ""%1"" already exists.","一个名为“%1”的属性已经存在。"
"No options found.","发现没有选项。"
"label","标签"
"Invalid entity supplied: %1","无效的实体提供: %1"
"Attempt to add an invalid object","尝试添加无效的对象"
"Invalid attribute identifier for filter (%1)","筛选器 (%1) 无效的属性标识符"
"Invalid attribute requested: %1","无效的属性要求:% 1"
"Joint field or attribute expression with this alias is already declared","已经声明了使用该别名的联合字段或属性表达式"
"Invalid alias, already exists in joint attributes","无效的别名，已经存在于联合属性"
"Invalid foreign key","无效的外键"
"Invalid entity type","无效的实体类型"
"Invalid attribute type","无效的属性类型"
"A joined field with this alias is already declared.","已声明此别名的联合的字段。"
"Invalid joint fields","无效的联合字段"
"A joint field with this alias (%1) is already declared.","已经声明与此别名 (%1) 的联合字段。"
"Data integrity: No header row found for attribute","数据完整性: 属性中没有标题行"
"Invalid attribute name: %1","无效的属性名称: %1"
"Invalid character encountered in increment ID: %1","在增量 ID 中遇到无效字符: %1"
"The current module pathname is undefined.","当前模块路径名是未定义的。"
"The current module EAV entity is undefined.","当前模块 EAV 实体是未定义的。"
"The form code is not defined.","未定义的窗体代码。"
"The entity instance is not defined.","未定义的实体实例。"
"Invalid form type.","无效的表格类型。"
"Invalid EAV attribute","EAV 属性无效"
"Attribute with the same code","使用相同的代码属性"
"The storefront label is not defined.","不定义该店面的标签。"
"Default option value is not defined","未定义默认选项值"
"Attribute group with same code already exist. Please rename ""%1"" group","属性组相同的代码已经存在。请重命名""%1""组"
"Form Element with the same attribute","具有相同的属性表单元素"
"Form Fieldset with the same code","表单字段使用相同的代码"
"Form Type with the same code","使用相同的代码的表单类型"
"The value of attribute ""%1"" is invalid.","""%1""属性的值是无效的。"
"Wrong entity ID","错误的实体的ID"
"Wrong attribute set ID","错误的属性设置ID"
"Wrong attribute group ID","错误属性组 ID"
"Attribute with ID: ""%1"" does not exist","Id 为""%1""的属性不存在。"
"AttributeSet does not exist.","AttributeSet 不存在。"
"hello","你好"
"Some internal exception message.","一些内部异常消息。"
"The value of attribute not valid","属性无效的值"
"EAV types and attributes","EAV 类型和属性"
"Entity types declaration cache","实体类型声明缓存"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
