"Attribute Properties","Atribut properti"
"The current module EAV entity is undefined.","Modul EAV saat ini tidak terdefinisi."
"The form code is not defined.","Kode formulir tidak terdefinisikan."
"The entity instance is not defined.","Contoh entitas tidak didefinisikan."
"Invalid form type.","Jenis formulir tidak sah."
"Invalid EAV attribute","Perlengkapan EAV tidak sah"
"Attribute with the same code","Perlengkapan dengan kode yang sama"
"The storefront label is not defined.","Label di depan toko belum ditentukan."
"Default option value is not defined","Pilihan nilai awal belum ditentukan"
"Attribute group with same code already exist. Please rename ""%1"" group","Kelompok dengan code atribut yang sama sudah ada. silahkan tulis ulang nama ""%1"" kelompok"
"Form Element with the same attribute","Bentuk elemen dengan atribut yang sama"
"Form Fieldset with the same code","Bentuk penetapan bidang dengan kode yang sama"
"Form Type with the same code","Bentuk jenis dengan code yang sama"
"The value of attribute ""%1"" is invalid.","Nilai dengan atribut ""%1"" tidak benar."
"Wrong entity ID","Entity ID salah"
"Wrong attribute set ID","Salah mengatur atribut ID"
"Wrong attribute group ID","Atribut ID kelompok salah"
"Attribute with ID: ""%1"" does not exist","ID dengan atribut: ""%1"" tidak ada"
"AttributeSet does not exist.","Atribut yang ditetapkan tidak ada."
"hello","halo"
"Some internal exception message.","Beberapa pesan kecuali internal."
"The value of attribute not valid","Nilai dari atribut tidak benar"
"EAV types and attributes","Tipe dan atribut EAV"
"Entity types declaration cache","Jenis entitas deklarasi cache"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
