"Attribute Properties","Attribut-Eigenschaften"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' scheint ein DNS-Hostname zu sein, enthält aber einen Bindestrich an einer ungültigten Position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' scheint ein DNS-Hostname zu sein, konnte aber nicht gegen das Schema für TLD '%tld%' validiert werden."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' scheint ein DNS-Hostname zu sein, aber TLD-Teil konnte nicht ausgelesen werden."
"'%value%' does not look like a valid local network name.","'%value%' sieht nicht wie ein gültiger lokaler Netzwerkname aus."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' sieht wie ein lokaler Netzwerkname aus, was kein akzeptiertes Format ist."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' scheint ein DNS-Hostname zu sein, aber die gegebene Punycode Notation kann nicht decodiert werden."
"""%1"" is not a valid URL.","""%1"" ist keine gültige URL."
"""%1"" is not a valid date.","""%1"" ist kein gültiges Datum."
"""%1"" does not fit the entered date format.","""%1"" das eingegebene Datumsformat stimmt nicht."
"""%1"" is a required value.","""%1"" ist ein erforderlicher Wert."
"Please enter a valid date between %1 and %2 at %3.","Bitte geben Sie ein gültiges Datum zwischen dem %1 und %2 bei %3 an."
"Please enter a valid date equal to or greater than %1 at %2.","Bitte geben Sie ein Datum größer oder gleich %1 bei %2 ein."
"Please enter a valid date less than or equal to %1 at %2.","Bitte geben Sie ein Datum kleiner oder gleich %1 bei %2 ein."
"""%1"" is not a valid file extension.","""%1"" ist keine gültige Datei-Erweiterung."
"""%1"" is not a valid file.","""%1"" ist keine gültige Datei."
"""%1"" exceeds the allowed file size.","""%1"" überschreitet die zulässige Dateigröße."
"""%1"" is not a valid image format","""%1"" ist kein gültiges Bildformat"
"""%1"" width exceeds allowed value of %2 px.","""%1"" Breite überschreitet den zulässigen Wert von %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" Höhe überschreitet erlaubten Wert von %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" kann nicht mehr als %2 Zeilen enthalten."
"""%1"" length must be equal or greater than %2 characters.","""%1"" Länge muss gleich oder größer als %2 Zeichen sein."
"""%1"" length must be equal or less than %2 characters.","""%1"" Länge muss gleich oder kleiner als %2 Zeichen sein."
"Attribute group does not belong to provided attribute set","Attribut-Gruppe gehört nicht zum übergebenen Attribut-Set"
"Cannot save attributeGroup","Attribut-Gruppe kann nicht gespeichert werden"
"Group with id ""%1"" does not exist.","Die Gruppe mit der ID ""%1"" existiert nicht."
"Cannot delete attributeGroup with id %1","Attribut-Gruppen-Element mit der Id %1 kann nicht gelöscht werden"
"AttributeSet with id ""%1"" does not exist.","Attribut-Set mit ID ""%1"" existiert nicht."
"Wrong attribute set id provided","Falsche Attribut-Set-ID angegeben"
"Attribute group does not belong to attribute set","Attribut-Gruppe gehört nicht zu einem Attribut-Set"
"Attribute set not found: %1","Attribut-Set nicht gefunden: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribut ""%1"" nicht in Attribut-Set %2 gefunden."
"System attribute can not be deleted","System-Attribut kann nicht gelöscht werden"
"Cannot save attribute","Attribut kann nicht gespeichert werden"
"Attribute with attributeCode ""%1"" does not exist.","Attribut mit dem Attribut-Code ""%1"" existiert nicht."
"Cannot delete attribute.","Attribut kann nicht gelöscht werden."
"Attribute with id ""%1"" does not exist.","Attribut mit ID ""%1"" existiert nicht."
"There was an error saving attribute set.","Beim Speichern des Attribut-Sets trat ein Fehler auf."
"Default attribute set can not be deleted","Standard-Attribut-Set kann nicht gelöscht werden"
"There was an error deleting attribute set.","Beim Löschen des Attribut-Sets trat ein Fehler auf."
"Invalid entity_type specified: %1","Ungültiger Entity_type spezifiziert: %1"
"Entity is not initialized","Datensatz ist nicht initialisiert"
"Unknown parameter","Unbekannter Parameter"
"Unique constraint violation found","Verletzung einer ""Unique"" Einschränkung gefunden"
"The attribute code '%1' is reserved by system. Please try another attribute code","Der Attribut-Code ""%1"" ist vom System reserviert. Bitte versuchen Sie einen anderen Attributcode"
"An attribute code must not be more than %1 characters.","Ein Attribut-Code darf nicht länger als %1 Zeichen sein."
"Invalid default decimal value","Ungültiger Standard-Dezimalwert"
"Invalid default date","Ungültiges Standarddatum"
"Invalid entity supplied","Ungültige Entität angegeben"
"Invalid backend model specified: %1","Ungültiges Backend-Model angegeben: %1"
"Source model ""%1"" not found for attribute ""%2""","Source-Model ""%1"" für das Attribut ""%2"" wurde nicht gefunden"
"The value of attribute ""%1"" must be set","Der Wert des Attributs ""%1"" muss festgelegt werden"
"The value of attribute ""%1"" must be unique","Der Wert von Attribut ""%1"" muss eindeutig sein"
"Invalid date","Ungültiges Datum"
"Empty attribute code","Leerer Attribut-Code"
"Attribute %1 doesn't work with options","Attribut %1 funktioniert nicht mit Optionen"
"Cannot save attribute %1","Attribut %1 kann nicht gespeichert werden"
"Attribute %1 doesn't have any option","Attribut %1 hat keine Option"
"Cannot load options for attribute %1","Optionen für Attribut %1 konnten nicht geladen werden"
"Attribute %1 does not contain option with Id %2","Attribut %1 enthält keine Option mit Id %2"
"Entity attribute with id ""%1"" not found","Attribut mit ID ""%1"" nicht gefunden"
"Attribute set name is empty.","Attribut-Set-Name ist leer."
"An attribute set named ""%1"" already exists.","Ein Attributset mit dem Namen ""%1"" ist bereits vorhanden."
"No options found.","Keine Optionen gefunden."
"label","Kennzeichen"
"Invalid entity supplied: %1","Ungültige Entität bereit gestellt: %1"
"Attempt to add an invalid object","Versuch ein ungültiges Objekt anzulegen"
"Invalid attribute identifier for filter (%1)","Ungültige Attribut Kennung für Filter (%1)"
"Invalid attribute requested: %1","Ungültiges Attribut angefragt: %1"
"Joint field or attribute expression with this alias is already declared","Gemeinsamer Feld oder Attribut Ausdruck mit diesem Alias ist bereits deklariert"
"Invalid alias, already exists in joint attributes","Ungültiger Alias existiert bereits in gemeinsam genutzten Attributen"
"Invalid foreign key","Ungültiger Fremdschlüssel"
"Invalid entity type","Ungültiger Entitätstyp"
"Invalid attribute type","Ungültiger Attribut-Typ"
"A joined field with this alias is already declared.","Ein verknüpftes Feld mit diesem Alias ist bereits deklariert."
"Invalid joint fields","Ungültige gemeinsame Felder"
"A joint field with this alias (%1) is already declared.","Ein verbundenes Feld mit diesem Alias (%1) ist bereits deklariert."
"Data integrity: No header row found for attribute","Datenintegrität: Keine Kopfzeile für das Attribut gefunden"
"Invalid attribute name: %1","Ungültiger Attribut-Name: %1"
"Invalid character encountered in increment ID: %1","Ungültiges Zeichen in Inkrement-ID: %1"
"The current module pathname is undefined.","Der aktuelle Modul-Pfadname ist nicht definiert."
"The current module EAV entity is undefined.","Die aktuelle EAV-Entität des Moduls ist nicht definiert."
"The form code is not defined.","Der Formular-Code ist nicht definiert."
"The entity instance is not defined.","Die Entitäten-Instanz ist nicht definiert."
"Invalid form type.","Ungültiger Formular-Typ."
"Invalid EAV attribute","Ungültiges EAV-Attribut"
"Attribute with the same code","Attribut mit dem gleichen Code"
"The storefront label is not defined.","Die Frontend-Beschriftung ist nicht definiert."
"Default option value is not defined","Default-Optionswert ist nicht definiert"
"Attribute group with same code already exist. Please rename ""%1"" group","Attribut-Gruppe mit dem gleichen Namen existiert bereits. Bitte benennen Sie Gruppe ""%1"" um."
"Form Element with the same attribute","Formular-Element mit dem gleichen Attribut"
"Form Fieldset with the same code","Formular-Feldset mit dem gleichen Code"
"Form Type with the same code","Formular-Typ mit dem gleichen Code"
"The value of attribute ""%1"" is invalid.","Der Wert des Attributs ""%1"" ist ungültig."
"Wrong entity ID","Falsche Entitäten-ID"
"Wrong attribute set ID","Falsche Attribut-Set-ID"
"Wrong attribute group ID","Falsche Attributgruppen-ID"
"Attribute with ID: ""%1"" does not exist","Attribut mit ID: ""%1"" existiert nicht"
"AttributeSet does not exist.","Attributset existiert nicht."
"hello","Hallo"
"Some internal exception message.","Eine interne Fehlermeldung."
"The value of attribute not valid","Der Wert des Attributs ist nicht gültig"
"EAV types and attributes","EAV-Typen und -Attribute"
"Entity types declaration cache","Deklarations-Cache für Entitäten-Typen"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
