"Attribute Properties","Свойствата на атрибута"
"Entity attribute with id ""%1"" not found","Атрибут на обект с ИД ""%1"" не е намерен"
"Attribute set name is empty.","Името на групата атрибути е празно."
"An attribute set named ""%1"" already exists.","Зададеното име на атрибут ""%1"" вече съществува."
"No options found.","Няма открити варианти."
"label","етикет"
"Invalid entity supplied: %1","Невалидни доставени стойности: %1"
"Attempt to add an invalid object","Опит да се добави невалиден обект"
"Invalid attribute identifier for filter (%1)","Невалиден атрибут идентификатор за филтър (%1)"
"Invalid attribute requested: %1","Невалиден атрибут изисква: %1"
"Joint field or attribute expression with this alias is already declared","Съвместни поле или атрибут израз с този псевдоним вече е обявена"
"Invalid alias, already exists in joint attributes","Невалиден псевдоним, вече съществува в съвместни атрибути"
"Invalid foreign key","Невалиден чуждестранен ключ"
"Invalid entity type","Невалиден тип стойност"
"Invalid attribute type","Невалиден атрибут тип"
"A joined field with this alias is already declared.","Се присъединява към поле с този псевдоним вече е деклариран."
"Invalid joint fields","Невалидни съединени полета"
"A joint field with this alias (%1) is already declared.","Съвместно поле с този псевдоним (%1) вече е деклариран."
"Data integrity: No header row found for attribute","Целостта на данните: няма заглавен ред намери за атрибут"
"Invalid attribute name: %1","Невалидно име на атрибут: %1"
"Invalid character encountered in increment ID: %1","Невалиден знак, срещани в стъпката ИД: %1"
"The current module pathname is undefined.","Текущият модул име_на_път е недефиниран."
"The current module EAV entity is undefined.","Текущия модул EAV образувание е недефиниран."
"The form code is not defined.","Не е дефиниран кодът на формата."
"The entity instance is not defined.","Екземплярът на обекта не е дефиниран."
"Invalid form type.","Невалиден формуляр тип."
"Invalid EAV attribute","Невалиден атрибут EAV"
"Attribute with the same code","Атрибут със същия код"
"The storefront label is not defined.","Не е дефиниран етикета на магазина."
"Default option value is not defined","Не е дефинирана опцията за стойност по подразбиране"
"Attribute group with same code already exist. Please rename ""%1"" group","Атрибут група със същия код вече съществува. Преименувайте група ""%1"""
"Form Element with the same attribute","Форма елемент със същия атрибут"
"Form Fieldset with the same code","Форма Fieldset със същия код"
"Form Type with the same code","Тип формуляр със същия код"
"The value of attribute ""%1"" is invalid.","Стойността на атрибута ""%1"" е невалидна."
"Wrong entity ID","Грешна стойност на ИД"
"Wrong attribute set ID","Грешен идентификатор на групата атрибути"
"Wrong attribute group ID","Грешен атрибут ИД на група"
"Attribute with ID: ""%1"" does not exist","Не съществува атрибут с ID: ""%1"""
"AttributeSet does not exist.","Атрибут група не съществува."
"hello","здравейте"
"Some internal exception message.","Съобщение за някои вътрешни изключения."
"The value of attribute not valid","Стойността на атрибута не е валидна"
"EAV types and attributes","EAV типове и атрибути"
"Entity types declaration cache","Cache декларация за видове стойности"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
