"Attribute Properties","Propriedades do atributo"
"Invalid form type.","Tipo de formulário inválido."
"Invalid EAV attribute","Atributo EAV inválido"
"Attribute with the same code","Com o mesmo código de atributo"
"The storefront label is not defined.","O rótulo da montra não está definido."
"Default option value is not defined","O valor padrão da opção não foi definido"
"Attribute group with same code already exist. Please rename ""%1"" group","Grupo de atributo com o mesmo código já existe. Por favor, renomeie o grupo ""%1"""
"Form Element with the same attribute","Elemento do formulário com o mesmo atributo"
"Form Fieldset with the same code","Elemento do formulário com o mesmo código"
"Form Type with the same code","Tipo de formulário com o mesmo código"
"The value of attribute ""%1"" is invalid.","O valor do atributo ""%1"" é inválido."
"Wrong entity ID","ID da entidade errado"
"Wrong attribute set ID","ID de conjunto de atributos errado"
"Wrong attribute group ID","ID de grupo de atributos errado"
"An attribute code must not be less than %1 and more than %2 characters.","Um código de atributo não deve ter menos do que %1 nem mais do que %2 caracteres."
"Attribute with ID: ""%1"" does not exist","Atributo de ID ""%1"" não existe"
"AttributeSet does not exist.","AttributeSet não existe."
"hello","olá"
"Some internal exception message.","Alguma mensagem de exceção interna."
"The value of attribute not valid","O valor do atributo não é válido"
"EAV types and attributes","Tipos EAV e atributos"
"Entity types declaration cache","Cache de declaração de tipos de entidade"
"Not shared with other products","Não compartilhado com outros produtos"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' se parece com um nome de host DNS, mas nós não pudemos encontrar o TLD em uma lista conhecida."
"Entity types declaration cache.","Declarações de cache dos tipos de entidade."
"'Invalid backend model specified: ' .","'Modelo de backend especificado inválido: '."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","A entrada do Editor de Texto requer que WYSIWYG seja ativado em Lojas > Configuração > Gerenciamento de Conteúdo."
"The attribute group doesn't belong to the provided attribute set.","O grupo de atributos não pertence ao conjunto de atributos fornecido."
"The attributeGroup can't be saved.","O Grupo de Atributos não pode ser salvo."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","O grupo com ""%1"" ID não existe. Verifique o ID e tente novamente."
"The attribute group with id ""%1"" can't be deleted.","O grupo de atributos com id ""%1"" não pode ser excluído."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","O Grupo de Atributos com o ID ""%1"" não existe. Verifique o grupo de atributos e tente novamente."
"The attribute set ID is incorrect. Verify the ID and try again.","O ID do grupo de atributos está incorreto. Verifique o ID e tente novamente."
"The attribute group doesn't belong to the attribute set.","O grupo de atributos não pertence ao conjunto de atributos."
"The ""%1"" attribute set wasn't found. Verify and try again.","O ""%1"" conjunto de atributos não foi encontrado. Verifique e tente novamente."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","O atributo ""%1"" não foi encontrado no conjunto de atributos ""%2"". Digite o atributo e tente novamente."
"The system attribute can't be deleted.","O atributo de sistema não pode ser deletado."
"The attribute can't be saved.","O atributo não pode ser salvo."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","O atributo não pode ser deletado."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","O grupo de atributo padrão não pode ser deletado."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","Este parâmetro é desconhecido. Verifique e tente de novo."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","A data padrão é inválida. Verifique a data e tente de novo."
"The entity supplied is invalid. Verify the entity and try again.","A entidade fornecida é inválida. Verifique a entidade e tente novamente."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","O atributo ""%1"" não pode ser salvo."
"The ""%1"" attribute has no option.","O atributo ""%1"" não tem opção."
"The options for ""%1"" attribute can't be loaded.","As opções para o atributo ""%1"" não podem ser carregadas."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","O objeto não foi adicionado por que ele é inválido. Para continuar, insira um objeto válido e tente novamente."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","O atributo ""%1"" solicitado é inválido. Verifique o atributo e tente novamente."
"The foreign key is invalid. Verify the foreign key and try again.","A chave estrangeira é inválida. Verifique a chave estrangeira e tente novamente."
"The entity type is invalid. Verify the entity type and try again.","O tipo da entidade é inválido. Verifique o tipo da entidade e tente novamente."
"The attribute type is invalid. Verify the attribute type and try again.","O tipo de atributo é invalido. Verifique o tipo de atributo e tente novamente."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A linha de cabeçalho não foi encontrado para um atributo. Verifique a linha do cabeçalho e tente novamente."
"The ""%1"" attribute name is invalid. Reset the name and try again.","O nome de atributo ""%1"" é inválido. Redefina o nome e tente novamente."
"The form type is invalid. Reset the type and try again.","O tipo de formulário é inválido. Redefina o tipo e tente novamente."
"The EAV attribute is invalid. Verify the attribute and try again.","O atributo EAV é inválido. Verifique o atributo e tente novamente."
"The default option isn't defined. Set the option and try again.","A opção padrão não está definida. Defina a opção e tente novamente."
"The entity ID is incorrect. Verify the ID and try again.","A entidade do ID é incorreta. Verifique o ID e tente novamente."
"The attribute group ID is incorrect. Verify the ID and try again.","O ID do grupo de atributos está incorreto. Verifique o ID e tente novamente."
"These changes affect all related products.","Essas alterações afetam todos os produtos relacionados."
"Text Editor","Editor de texto"
