"Attribute Properties","Öznitelik Özellikleri"
"Invalid attribute name: %1","Geçersiz öznitelik adı: %1"
"Invalid character encountered in increment ID: %1","Artışlı kimlik numarası içinde geçersiz karakterle karşılaşıldı: %1"
"The current module pathname is undefined.","Geçerli modül yolu adı tanımlanmamış."
"The current module EAV entity is undefined.","Geçerli modül girişi EAV tanımsız."
"The form code is not defined.","Form kodu tanımlı değil."
"The entity instance is not defined.","Giriş örneği tanımlı değil."
"Invalid form type.","Hatalı form tipi."
"Invalid EAV attribute","Hatalı EAV özelliği"
"Attribute with the same code","Aynı koda sahip bir özellik zaten var"
"The storefront label is not defined.","Vitrin etiketi tanımlanmamış."
"Default option value is not defined","Varsayılan seçenek değeri belirlenmedi"
"Attribute group with same code already exist. Please rename ""%1"" group","Aynı koda sahip nitelik grubu zaten var. Lütfen ''%1'' grubunu yeniden adlandır"
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kod ile Form Fieldset"
"Form Type with the same code","Aynı kod ile Form Tipi"
"The value of attribute ""%1"" is invalid.","''%1'' özniteliğinin değeri geçersiz."
"Wrong entity ID","Hatalı varlık No"
"Wrong attribute set ID","Hatalı özellik seti No"
"Wrong attribute group ID","Hatalı özellik grup No"
"An attribute code must not be less than %1 and more than %2 characters.","Bir öznitelik kodu %1 karakterden az ve %2 karakterden fazla olmamalı."
"Attribute with ID: ""%1"" does not exist","Kimliğe sahip nitelik: ''%1'' mevcut değil"
"AttributeSet does not exist.","ÖznitelikKümesi mevcut değil."
"hello","merhaba"
"Some internal exception message.","Bazı dahili istisna mesajları."
"The value of attribute not valid","Nitelik değeri geçerli değil"
"EAV types and attributes","EAV tipleri ve özellikleri"
"Entity types declaration cache","Giriş türleri bildirim önbelleği"
"Not shared with other products","Diğer ürünlerle paylaşılmasın"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' bir DNS ana makine adına benziyor ancak TLD'yi bilinen listeyle eşleştiremiyoruz."
"Entity types declaration cache.","Varlık türleri bildirimi önbelleği."
"'Invalid backend model specified: ' .","'Belirtilen geçersiz arka uç modeli: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Metin Düzenleyici giriş türü, Mağaza > Ayarla > İçerik Yönetimi kısmında WYSIWYG'nin etkinleştirilmesini gerektirir."
"The attribute group doesn't belong to the provided attribute set.","Özellik grubu, verilen özellik kümesine ait değil."
"The attributeGroup can't be saved.","AttributeGroup kaydedilemedi."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" numaralı grup bulunamadı. Numarayı doğrulayıp yeniden deneyiniz."
"The attribute group with id ""%1"" can't be deleted.","""%1"" numaralı özellik grubu silinemedi."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","""%1"" kimliğine sahip AttributeSet mevcut değil. Niteliğini doğrulayıp tekrar deneyiniz."
"The attribute set ID is incorrect. Verify the ID and try again.","Özellik grup kimliği yanlış. Kimliği doğrulayıp tekrar deneyiniz."
"The attribute group doesn't belong to the attribute set.","Özellik grubu, verilen özellik kümesine ait değil."
"The ""%1"" attribute set wasn't found. Verify and try again.","""%1"" özellik grubu bulunamadı. Doğrulayıp tekrar deneyiniz."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","""%1"" özelliği, ""%2"" özellik grubunda bulunamadı. Özelliği girip tekrar deneyiniz."
"The system attribute can't be deleted.","Sistem özelliği silinemez."
"The attribute can't be saved.","Özellik kaydedilemedi."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","""%1"" özellik koduyla bir özellik mevcut değil. Özelliği doğrulayıp tekrar deneyiniz."
"The attribute can't be deleted.","Özellik silinemiyor."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","""%1"" kodlu/numaralı özellik bulunamadı. Özelliği doğrulayıp tekrar deneyiniz."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Bir hata nedeniyle özellik kaydedilemedi. Bilgilerinizi doğrulayıp tekrar deneyiniz. Hata devam ederse, lütfen daha sonra tekrar deneyin."
"The default attribute set can't be deleted.","Varsayılan özellik seti silinemez."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","Özellik grubu bir hata nedeniyle silinemedi. Tekrar deneyin. Hata devam ederse, lütfen bir süre sonra tekrar deneyin."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","Bu değişiklikler ilgili tüm ürünleri etkiler."
"Text Editor","Metin Editörü"
