"Attribute Properties","Propriétés de l'attribut"
"A ""%1"" attribute set name already exists. Create a new name and try again.","Un nom de jeu d'attributs ""%1"" existe déjà. Créez un nouveau nom et réessayez."
"No options found.","Aucune option trouvée."
"label","Libellé"
"The entity supplied to collection is invalid. Verify the entity and try again.","L'entité fournie à la collecte n'est pas valide. Vérifiez l'entité et réessayez."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","L'objet n'a pas été ajouté car il est non valide. Pour continuer, entrez un objet valide et réessayez."
"Invalid attribute identifier for filter (%1)","Identifiant d'attribut non valide pour un filtre (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","L'attribut ""%1"" demandé n'est pas valide. Vérifiez l'attribut et réessayez."
"Joint field or attribute expression with this alias is already declared","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias."
"Invalid alias, already exists in joint attributes","Alias invalide, déjà utilisé dans les attributs de jointure"
"The foreign key is invalid. Verify the foreign key and try again.","La clé étrangère n'est pas valide. Vérifiez la clé et réessayez."
"The entity type is invalid. Verify the entity type and try again.","Le type d'entité n'est pas valide. Vérifiez le type et réessayez."
"The attribute type is invalid. Verify the attribute type and try again.","Le type d'attribut n'est pas valide. Vérifiez le type et réessayez."
"A joined field with this alias is already declared.","Il existe déjà un champ de jointure portant cet alias."
"Invalid joint fields","Champs de jointure invalides."
"A joint field with a ""%1"" alias is already declared.","Un champ joint avec un alias ""%1"" est déjà déclaré."
"A header row is missing for an attribute. Verify the header row and try again.","Une ligne d'en-tête est manquante pour un attribut. Vérifiez la ligne d'en-tête et réessayez."
"The ""%1"" attribute name is invalid. Reset the name and try again.","Le nom d'attribut ""%1"" n'est pas valide. Réinitialisez le nom et réessayez."
"Invalid character encountered in increment ID: %1","Caractère non valide rencontré dans un identifiant d'incrément : %1"
"The current module pathname is undefined.","Le chemin d'accès actuel du module n'est pas défini."
"The current module EAV entity is undefined.","Le module d'entités EAV actuel n'est pas défini."
"The form code is not defined.","Le code du formulaire n'est pas défini."
"The entity instance is not defined.","L'instance d'entité n'est pas définie."
"The form type is invalid. Reset the type and try again.","Le type de formulaire est invalide. Réinitialisez le type et réessayez."
"The EAV attribute is invalid. Verify the attribute and try again.","L'attribut EAV est invalide. Vérifiez l'attribut et réessayez."
"Attribute with the same code","Attribut avec le même code"
"The default option isn't defined. Set the option and try again.","L'option par défaut n'est pas définie. Définissez l'option et réessayez."
"The storefront label is not defined.","L'étiquette de la vitrine n'est pas définie."
"Attribute group with same code already exist. Please rename ""%1"" group","Un groupe d'attributs ayant le même code existe déjà. Veuillez renommer le groupe ""%1"""
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"The value of attribute ""%1"" is invalid.","La valeur de l’attribut ""%1"" n'est pas valide."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Le code d'attribut ""%1"" n'est pas valide. Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des tirets bas (_) dans ce champ, et le premier caractère doit être une lettre."
"An attribute code must not be less than %1 and more than %2 characters.","Un code d'attribut ne doit pas être inférieur à %1 et doit avoir plus de %2 caractères."
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","Le préfixe ""%1"" est réservé par le système et ne peut pas être utilisé dans les noms de code d'attribut."
"The entity ID is incorrect. Verify the ID and try again.","L'ID de l'entité est incorrect. Vérifiez l'ID et réessayez."
"The attribute group ID is incorrect. Verify the ID and try again.","L'ID du groupe d'attributs est incorrect. Vérifiez l'ID et réessayez."
"Attribute with ID: ""%1"" does not exist","L'attribut ayant l'identifiant ""%1"" n'existe pas"
"AttributeSet does not exist.","AttributeSet n'existe pas."
"hello","bonjour"
"Some internal exception message.","Un message d'exception interne."
"The value of attribute not valid","La valeur d'un attribut est non valide"
"These changes affect all related products.","Ces changements affecteront tous les produits connecter."
"Text Field","Champ texte"
"Text Area","Zone de texte"
"Text Editor","Éditeur de texte"
"Date","Date"
"Yes/No","Oui/Non"
"Multiple Select","Sélection multiple"
"Dropdown","Liste déroulante"
"Caching Settings","Paramètres de mise en cache"
"Cache User Defined Attributes","Mettre en cache les attributs définis par l'utilisateur"
"By default only system EAV attributes are cached.","Par défaut, seuls les attributs EAV du système sont mis en cache."
"EAV types and attributes","Types et attributs EAV"
"Entity types declaration cache","Cache de déclaration de types d'entité"
