"Delete Selected Problems","選択した問題を削除する"
"Newsletter Template","ニュースレターテンプレート"
"Newsletter Section","ニュースレターセクション"
"Subscription Options","購読オプション"
"Allow Guest Subscription","ゲスト購読を許可する"
"Need to Confirm","確認が必要"
"Confirmation Email Sender","確認メール送信者"
"Confirmation Email Template","確認メールテンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"Success Email Sender","成功メール送信者"
"Success Email Template","成功メールテンプレート"
"Unsubscription Email Sender","購読解除メール送信者"
"Unsubscription Email Template","購読解除メールテンプレート"
"We found no problems.","問題は見つかりませんでした"
"Subscriber","購読者"
"Queue Start Date","キュー開始日"
"Queue Subject","キュータイトル"
"Error Code","エラーコード"
"Error Text","エラーテキスト"
"Queue Start","キュー開始"
"Queue End","キュー終了"
"Status","ステータス"
"Processed","処理完了"
"Recipients","受取人"
"Unsubscribe","購読解除"
"Delete","削除"
"CSV","CSVファイル"
"Excel XML","Excel形式XML"
"Email","Eメール"
"Type","種別"
"Guest","ゲスト様"
"Customer","顧客"
"Customer First Name","顧客名"
"Customer Last Name","顧客姓"
"Not Activated","未アクティブ"
"Subscribed","購読済"
"Unsubscribed","購読解除"
"Unconfirmed","未確認"
"Web Site","ウェブサイト"
"Store","店舗"
"Store View","ストアビュー"
"Newsletter Subscriptions","ニュースレター購読"
"We have saved your subscription.","購読を保存しました。"
"A confirmation request has been sent.","確認リクエストが送られました。"
"We have removed your newsletter subscription.","ニュースレター購読を解除しました。"
"We have updated your subscription.","購読を更新しました。"
"General Options","全般オプション"
"Enabled","有効"
