"Delete Selected Problems","Obriši odabrane probleme"
"Please enter a new template name.","Unesite novi naziv šablona."
" Copy","Kopiraj"
"Are you sure you want to delete this template?","Jeste li sigurni da želite da obrišete ovaj predložak?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Unesite vašu email adresu"
"Subscribe","Pretplati se"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
"Newsletter subscription success","Uspešna pretplata na bilten"
"You have been successfully subscribed to our newsletter.","You have been successfully subscribed to our newsletter."
"Newsletter unsubscription success","Newsletter unsubscription success"
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter."
"Newsletter Template","Šablon biltena"
"Newsletter Section","Newsletter Section"
"Subscription Options","Opcije pretplate"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Potrebno potvrditi"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Success Email Sender","Pošiljalac emaila uspeha"
"Success Email Template","Šablon emaila uspeha"
"Unsubscription Email Sender","Pošiljalac emaila odjave"
"Unsubscription Email Template","Šablon emaila odjave"
"We found no problems.","Nismo pronašli probleme."
"Subscriber","Pretplatnik"
"Queue Start Date","Datum početka reda"
"Queue Subject","Queue Subject"
"Error Code","Kod greške"
"Error Text","Tekst greške"
"Queue Start","Početak reda"
"Queue End","Kraj reda"
"Status","Status"
"Processed","Obrađeno"
"Recipients","Recipients"
"Unsubscribe","Odjavi se"
"Delete","Obrisati"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-pošta"
"Type","Tip"
"Guest","Gost"
"Customer","Kupac"
"Customer First Name","Ime kupca"
"Customer Last Name","Prezime kupca"
"Not Activated","Nije aktivirano"
"Subscribed","Pretplaćen"
"Unsubscribed","Odjavljen"
"Unconfirmed","Nepotvrđeno"
"Web Site","Web lokacija"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"Newsletter Subscriptions","Pretplate na bilten"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","Zahtev za potvrdu je poslat."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","Opšte Opcije"
"Enabled","Omogućeno"
