"Delete Selected Problems","Ta bort markerade problem"
"Are you sure you want to delete this template?","Är du säker på att du vill ta bort den här mallen?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Ange din e-postadress"
"Subscribe","Prenumerera"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
"Newsletter subscription success","Newsletter subscription success"
"You have been successfully subscribed to our newsletter.","Du är nu prenumerant på vårt nyhetsbrev."
"Newsletter unsubscription success","Newsletter unsubscription success"
"You have been unsubscribed from the newsletter.","Du har avbrutit prenumerationen på nyhetsbrevet."
"Newsletter Template","Newsletter Template"
"Newsletter Section","Newsletter Section"
"Subscription Options","Prenumerationsval"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Subscriber"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Error Code"
"Error Text","Error Text"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Status"
"Processed","Processed"
"Recipients","Recipients"
"Unsubscribe","Unsubscribe"
"Delete","Ta bort"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-post"
"Type","Typ"
"Guest","Gäst"
"Customer","Kund"
"Customer First Name","Kundens Förnamn"
"Customer Last Name","Kundens efternamn"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
"Web Site","Webbplats"
"Store","Butik"
"Store View","Butiksvy"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
