"Delete Selected Problems","Ihre Anmeldung wurde bestätigt."
"Error Code","Fehlernummer"
"Error Text","Fehlertext"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Status"
"Processed","Verarbeitet"
"Recipients","Empfänger"
"Unsubscribe","Abbestellen"
"Delete","Löschen"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-Mail"
"Type","Typ"
"Guest","Gast"
"Customer","Kunde"
"Customer First Name","Vorname des Kunden"
"Customer Last Name","Nachname des Kunden"
"Not Activated","Nicht aktiviert"
"Subscribed","Abonniert"
"Unsubscribed","Abbestellen"
"Unconfirmed","Unbestätigte"
"Web Site","Website"
"Store","Shop"
"Store View","Store View"
"Newsletter Subscriptions","Newsletter-Abonnements"
"We have saved your subscription.","Wir haben Ihr Abonnement gespeichert."
"A confirmation request has been sent.","Eine Bestätigungsanfrage wurde versendet."
"We have removed your newsletter subscription.","Wir haben Ihr Newsletter-Abonnement entfernt."
"We have updated your subscription.","Wir haben Ihr Abonnement aktualisiert."
"General Options","Allgemeine Optionen"
"Enabled","Aktiviert"
