"Delete Selected Problems","Eliminar problemas seleccionados"
"Please enter a new template name.","Por favor, ingrese un nuevo nombre de plantilla."
" Copy"," Copiar"
"Are you sure you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"Sign Up for Our Newsletter:","Suscríbase al boletín informativo:"
"Enter your email address","Ingrese su dirección de correo electrónico"
"Subscribe","Suscribirse"
"Newsletter subscription confirmation","Confirmación de suscripción de Newsletter"
"Thank you for subscribing to our newsletter.","Gracias por suscribirse a nuestro boletín de noticias."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Para comenzar a recibir el boletín de noticias, primero debes confirmar tu suscripción haciendo clic en el siguiente enlace:"
"Newsletter subscription success","Suscripción exitosa al newsletter"
"You have been successfully subscribed to our newsletter.","Se ha suscrito correctamente a nuestro boletín de noticias."
"Newsletter unsubscription success","Cancelación exitosa de la suscripción al newsletter"
"You have been unsubscribed from the newsletter.","Han sido no suscritos a la newsletter."
"Newsletter Template","Plantillas del boletín informativo"
"Newsletter Section","Sección de boletín"
"Subscription Options","Opciones de suscripción"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Need to Confirm","Debe confirmar"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"We found no problems.","No encontramos problemas."
"Subscriber","Suscriptor"
"Queue Start Date","Fecha de inicio de cola"
"Queue Subject","Asunto de la cola de tareas"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de la cola de tareas"
"Queue End","Final de la cola"
"Status","Estado"
"Processed","Procesado"
"Recipients","Recipientes"
"Unsubscribe","Darse de baja"
"Delete","Eliminar"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Correo electrónico"
"Type","Tipo"
"Guest","Invitado"
"Customer","Cliente"
"Customer First Name","Nombre cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No activado"
"Subscribed","Suscrito"
"Unsubscribed","Cancelación de su suscripción"
"Unconfirmed","Sin confirmar"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"We have saved your subscription.","Se guardó la suscripción."
"A confirmation request has been sent.","Una solicitud de confirmación ha sido enviada."
"We have removed your newsletter subscription.","Hemos eliminado tu suscripción al boletín de noticias."
"We have updated your subscription.","Se actualizó la suscripción."
"General Options","General Options"
"Enabled","Enabled"
