"Delete Selected Problems","删除选定的问题"
"Customer First Name","客户姓氏"
"Customer Last Name","客户姓氏"
"Not Activated","未激活"
"Subscribed","订阅"
"Unsubscribed","取消订阅"
"Unconfirmed","未经证实的"
"Web Site","网站"
"Store","商店"
"Store View","商店界面"
"Newsletter Subscriptions","订阅"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
