"Delete Selected Problems","حذف مشکلات انتخاب شده"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","برای لغو اشتراک این لینک را دنبال کنید <!-- این برچسب برای لینک لغو اشتراک است  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue وجود ندارد"
"Choose Store View:","انتخاب نمای فروشگاه:"
"Newsletter Message Preview","پیش نمایش پیغام خبرنامه"
"Add to Queue","افزودن به صف"
"Are you sure that you want to strip all tags?","آیا مطمئن هستید که می خواهید همه برچسب ها را خالی کنید؟"
"Please enter a new template name.","لطفا یک نام قالب جدید وارد کنید."
" Copy"," کپی"
"Are you sure you want to delete this template?","آیا مطمئن هستید که می خواهید این قالب را حذف کنید؟"
"Sign Up for Our Newsletter:","ثبت نام برای خبرنامه‌ ما:"
"Enter your email address","آدرس ایمیلتان را وارد نمایید"
"Subscribe","اشتراک"
"Newsletter subscription confirmation","تأییدیه‌ اشتراک خبرنامه"
"Thank you for subscribing to our newsletter.","از شما برای اشتراک‌ در خبرنامه سپاسگزاریم."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","برای دریافت خبرنامه ابتدا باید با کلیک روی لینک زیر، اشتراک خود را تأیید کنید:"
"Newsletter subscription success","اشتراک خبرنامه با موفقیت انجام شد"
"You have been successfully subscribed to our newsletter.","شما با موفقیت مشترک خبرنامه ما شده اید."
"Newsletter unsubscription success","لغو اشتراک خبرنامه با موفقیت انجام شد"
"You have been unsubscribed from the newsletter.","شما از خبرنامه لغو اشتراک شده اید."
"Newsletter Template","قالب خبرنامه"
"Newsletter Section","بخش خبرنامه"
"Subscription Options","گزینه‌ های اشتراک"
"Allow Guest Subscription","اجازه‌ اشتراک به مهمان"
"Need to Confirm","نیازمند تآیید"
"Confirmation Email Sender","فرستنده‌ ایمیل تآییدیه"
"Confirmation Email Template","قالب ایمیل تآییدیه"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Success Email Sender","فرستنده‌ ایمیل موفق"
"Success Email Template","قالب ایمیل موفق"
"Unsubscription Email Sender","لغو اشتراک فرستنده‌ ایمیل"
"Unsubscription Email Template","لغو اشتراک قالب ایمیل"
"We found no problems.","ما هیچ مشکلی پیدا نکردیم."
"Subscriber","مشترک"
"Queue Start Date","تاریخ شروع صف"
"Queue Subject","موضوع صف"
"Error Code","کد خطا"
"Error Text","متن خطا"
"Queue Start","شروع صف"
"Queue End","پایان صف"
"Status","وضعيت"
"Processed","پردازش شده"
"Recipients","گیرندگان"
"Unsubscribe","لغو اشتراک"
"Delete","حذف"
"CSV","CSV"
"Excel XML","اکسل XML"
"Email","ايميل"
"Type","نوع"
"Guest","مهمان"
"Customer","مشتری"
"Customer First Name","نام کوچک مشتری"
"Customer Last Name","نام خانوادگي مشتري"
"Not Activated","فعال نشده"
"Subscribed","مشترک شده"
"Unsubscribed","لغو اشتراک شده"
"Unconfirmed","تأیید نشده"
"Web Site","وب سایت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Newsletter Subscriptions","اشتراک‌ های خبرنامه"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
