"Delete Selected Problems","තෝරාගත් ගැටළු මකන්න"
"Template Type","සැකිලි වර්ගය"
"Action","කටයුතු"
"Queue Newsletter","පෝලිම් පුවත් පත්‍රිකාව"
"We unsubscribed the people you identified.","ඔබ හඳුනාගත් පුද්ගලයින් අපි දායක නොකලෙමු."
"The problems you identified have been deleted.","ඔබ හඳුනාගත් ගැටළු මකා ඇත."
"Newsletter Problems Report","පුවත් ලිපි ගැටළු වාර්තාව"
"Newsletter Problem Reports","පුවත් පත්‍රිකා ගැටළු වාර්තා"
"Newsletter Queue","ප්‍රවෘත්ති පත්‍ර පෝලිම"
"Edit Queue","පෝලිම සංස්කරණය කරන්න"
"Please correct the newsletter template and try again.","කරුණාකර පුවත් පත්‍ර අච්චුව නිවැරදි කර නැවත උත්සාහ කරන්න."
"You saved the newsletter queue.","ඔබ පුවත් පත්‍ර පෝලිම සුරකින ලදී."
"Newsletter Subscribers","පුවත් පත්‍රිකා ග්‍රාහකයින්"
"Newsletter","පුවත් පත්‍රිකාව"
"Subscribers","ග්රාහකයින්"
"Please select one or more subscribers.","කරුණාකර ග්‍රාහකයින් එකක් හෝ කිහිපයක් තෝරන්න."
"Total of %1 record(s) were deleted.","මුළු වාර්තා(ය) %1 මකා ඇත."
"A total of %1 record(s) were updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කරන ලදී."
"The newsletter template has been deleted.","පුවත් පත්‍රිකා අච්චුව මකා ඇත."
"We can't delete this template right now.","අපට දැන් මෙම අච්චුව මකා දැමිය නොහැක."
"Edit Template","සැකිල්ල සංස්කරණය කරන්න"
"New Template","නව සැකිල්ල"
"Create Newsletter Template","පුවත් පත්‍රිකා ආකෘතියක් සාදන්න"
"The newsletter template has been saved.","පුවත් පත්‍රිකා අච්චුව සුරකින ලදී."
"Something went wrong while saving this template.","මෙම අච්චුව සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"Newsletter Subscription","පුවත් පත්‍රිකා දායකත්වය"
"Something went wrong while saving your subscription.","ඔබගේ දායකත්වය සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","ඔබගේ දායකත්වය තහවුරු කර ඇත."
"This is an invalid subscription confirmation code.","මෙය වලංගු නොවන දායකත්ව තහවුරු කිරීමේ කේතයකි."
"This is an invalid subscription ID.","මෙය වලංගු නොවන දායක ID එකකි."
"This email address is already assigned to another user.","මෙම ඊමේල් ලිපිනය දැනටමත් වෙනත් පරිශීලකයෙකුට පවරා ඇත."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","කණගාටුයි, නමුත් පරිපාලකයා අමුත්තන් සඳහා දායකත්වය ප්‍රතික්ෂේප කළේය. කරුණාකර <a href=""%1"">ලියාපදිංචි වන්න</a>."
"Please enter a valid email address.","කරණාකර වලංගු ඊතැපැල් ලිපිනයක් ඇතුළු කරන්න."
"This email address is already subscribed.","මෙම ඊමේල් ලිපිනය දැනටමත් දායක වී ඇත."
"The confirmation request has been sent.","තහවුරු කිරීමේ ඉල්ලීම යවා ඇත."
"Thank you for your subscription.","ඔබගේ දායකත්වයට ස්තූතියි."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","දායකත්වයේ යමක් වැරදී ඇත."
"You unsubscribed.","ඔබ දායක නොවීය."
"Something went wrong while unsubscribing you.","ඔබව දායකත්වයෙන් ඉවත් කරන අතරතුර යම් දෙයක් වැරදී ඇත."
"Sent","යවා ඇත"
"Cancelled","අවලංගු කළා"
"Not Sent","යවා නැත"
"Sending","යවනවා"
"Paused","විරාම කළා"
"There are no subscribers selected.","තෝරාගත් ග්‍රාහකයින් නොමැත."
"You selected an invalid queue.","ඔබ වලංගු නොවන පෝලිමක් තෝරා ඇත."
"We cannot mark as received subscriber.","අපට ලැබුණු ග්‍රාහකයෙකු ලෙස සලකුණු කළ නොහැක."
"Duplicate template code","අනුපිටපත් අච්චු කේතය"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","දායකත්වයෙන් ඉවත් වීමට මෙම සබැඳිය අනුගමනය කරන්න<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue සමග එවැනි ආයතනයක් නැත"
"Choose Store View:","ගබඩා දර්ශනය තෝරන්න:"
"Newsletter Message Preview","පුවත් පත්‍රිකා පණිවිඩ පෙරදසුන"
"Add to Queue","පෝලිමට එකතු කරන්න"
"Are you sure that you want to strip all tags?","ඔබට සියලුම ටැග් ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Please enter a new template name.","කරුණාකර නව අච්චු නමක් ඇතුළු කරන්න."
" Copy"," පිටපත් කරන්න"
"Are you sure you want to delete this template?","ඔබට මෙම අච්චුව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Sign Up for Our Newsletter:","අපගේ පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න:"
"Enter your email address","ඔබගේ ඊමේල් ලිපිනය ඇතුලත් කරන්න"
"Subscribe","දායක වන්න"
"Newsletter subscription confirmation","පුවත් පත්‍රිකා දායකත්වය තහවුරු කිරීම"
"Thank you for subscribing to our newsletter.","අපගේ පුවත් පත්‍රිකාවට දායක වීම ගැන ඔබට ස්තුතියි."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","පුවත් පත්‍රිකාව ලැබීම ආරම්භ කිරීමට, පහත සබැඳිය ක්ලික් කිරීමෙන් ඔබ ප්‍රථමයෙන් ඔබේ දායකත්වය තහවුරු කළ යුතුය:"
"Newsletter subscription success","පුවත් පත්‍රිකා දායකත්වය සාර්ථකයි"
"You have been successfully subscribed to our newsletter.","ඔබ අපගේ පුවත් පත්‍රිකාවට සාර්ථකව දායක වී ඇත."
"Newsletter unsubscription success","පුවත් පත්‍රිකා දායකත්වයෙන් ඉවත් වීම සාර්ථකයි"
"You have been unsubscribed from the newsletter.","ඔබ පුවත් පත්‍රිකාවෙන් දායක වී නොමැත."
"Newsletter Template","පුවත් පත්‍රිකා සැකිල්ල"
"Newsletter Section","පුවත් ලිපි අංශය"
"Subscription Options","දායකත්ව විකල්ප"
"Allow Guest Subscription","අමුත්තන්ගේ දායකත්වයට ඉඩ දෙන්න"
"Need to Confirm","තහවුරු කිරීමට අවශ්යයි"
"Confirmation Email Sender","තහවුරු කිරීම ඊමේල් යවන්නා"
"Confirmation Email Template","තහවුරු කිරීමේ ඊමේල් සැකිල්ල"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Success Email Sender","සාර්ථක ඊමේල් යවන්නා"
"Success Email Template","සාර්ථක ඊමේල් අච්චුව"
"Unsubscription Email Sender","දායක නොවීම ඊමේල් යවන්නා"
"Unsubscription Email Template","දායක නොවීම ඊමේල් අච්චුව"
"We found no problems.","අපට කිසිදු ගැටළුවක් හමු නොවීය."
"Subscriber","ග්රාහකයා"
"Queue Start Date","පෝලිමේ ආරම්භක දිනය"
"Queue Subject","පෝලිම් විෂය"
"Error Code","දෝෂ කේතය"
"Error Text","දෝෂ පෙළ"
"Queue Start","පෝලිම් ආරම්භය"
"Queue End","පෝලිම් අවසානය"
"Status","තත්ත්වය"
"Processed","සකසන ලදී"
"Recipients","ලබන්නන්"
"Unsubscribe","දායක නොවන්න"
"Delete","මකන්න"
"CSV","CSV"
"Excel XML","එක්සෙල් XML"
"Email","විද්යුත් තැපෑල"
"Type","ටයිප් කරන්න"
"Guest","අමුත්තන්ගේ"
"Customer","පාරිභෝගික"
"Customer First Name","පාරිභෝගික මුල් නම"
"Customer Last Name","පාරිභෝගිකයාගේ අවසාන නම"
"Not Activated","සක්රිය කර නැත"
"Subscribed","දායක විය"
"Unsubscribed","දායක නොවීය"
"Unconfirmed","තහවුරු කර නැත"
"Web Site","වෙබ් අඩවිය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Newsletter Subscriptions","පුවත් පත්‍රිකා දායකත්ව"
"We have saved your subscription.","අපි ඔබගේ දායකත්වය සුරකිමු."
"A confirmation request has been sent.","තහවුරු කිරීමේ ඉල්ලීමක් යවා ඇත."
"We have removed your newsletter subscription.","අපි ඔබේ පුවත් පත්‍රිකා දායකත්වය ඉවත් කර ඇත."
"We have updated your subscription.","අපි ඔබේ දායකත්වය යාවත්කාලීන කර ඇත."
"General Options","සාමාන්ය විකල්ප"
"Enabled","සබල කර ඇත"
