"Delete Selected Problems","Eliminar problemas seleccionados"
"We cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Duplicate template code","Duplicado del código de la plantilla"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"Choose Store View:","Ladenansicht wählen:"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Add to Queue","Añadir a la cola"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Please enter a new template name.","Por favor, ingrese un nuevo nombre de plantilla."
" Copy","Copia"
"Are you sure you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"Sign Up for Our Newsletter:","Inscríbase a nuestro boletín de noticias:"
"Enter your email address","Introduzca su dirección de correo electrónico"
"Subscribe","Suscribirse"
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Thank you for subscribing to our newsletter.","Gracias por suscribirte a nuestro boletín."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Antes de recibir los boletines, debes confirmar la suscripción haciendo click en el siguiente enlace:"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"You have been successfully subscribed to our newsletter.","Te has suscrito con éxito al nuestro boletín."
"Newsletter unsubscription success","Ha cancelado con éxito su suscripción al boletín informativo"
"You have been unsubscribed from the newsletter.","Has sido dado de baja de nuestro boletín."
"Newsletter Template","Plantillas del boletín informativo"
"Newsletter Section","Sección de boletín"
"Subscription Options","Opciones de suscripción"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Need to Confirm","Debe confirmar"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"We found no problems.","No encontramos problemas."
"Subscriber","Suscriptor"
"Queue Start Date","Fecha de inicio de cola"
"Queue Subject","Asunto de la cola de tareas"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de la cola de tareas"
"Queue End","Final de la cola"
"Status","Estatus"
"Processed","Procesado"
"Recipients","Recipientes"
"Unsubscribe","Desuscribirse"
"Delete","Borrar"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Correo electrónico"
"Type","Tipo"
"Guest","Visitante"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No activado"
"Subscribed","Suscrito"
"Unsubscribed","Desuscrito"
"Unconfirmed","Sin confirmar"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"We have saved your subscription.","Se guardó la suscripción."
"A confirmation request has been sent.","Una solicitud de confirmación ha sido enviada."
"We have removed your newsletter subscription.","Hemos eliminado tu suscripción al boletín de noticias."
"We have updated your subscription.","Se actualizó la suscripción."
"General Options","Opciones generales"
"Enabled","Habilitado"
