"Delete Selected Problems","Elimina problemi selezionati"
"Something went wrong while saving your subscription.","Qualcosa è andato storto durante il salvataggio della tua iscrizione."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","La tua iscrizione è stata confermata."
"This is an invalid subscription confirmation code.","Questo è un codice di conferma di iscrizione non valido."
"This is an invalid subscription ID.","Questo è un ID iscrizione non valido."
"This email address is already assigned to another user.","Questo indirizzo email risulta già assegnato ad un altro utente."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Ci dispiace, ma l'amministratore ha negato l'iscrizione per gli ospiti. Si prega di <a href=""%1""> registrarsi</a>."
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"This email address is already subscribed.","Questo indirizzo e-mail è già registrato."
"The confirmation request has been sent.","La richiesta di conferma è stata inviata."
"Thank you for your subscription.","Grazie per la tua iscrizione."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Qualcosa è andato storto con l'iscrizione."
"You unsubscribed.","Hai annullato l'iscrizione."
"Something went wrong while unsubscribing you.","Qualcosa è andato storto durante l'annullamento della tua iscrizione."
"Sent","Inviato"
"Cancelled","Cancellato"
"Not Sent","Non Inviato"
"Sending","Invio in corso"
"Paused","Sospeso"
"There are no subscribers selected.","Non ci sono iscritti selezionati."
"You selected an invalid queue.","Hai selezionato una coda non valida."
"We cannot mark as received subscriber.","Non è possibile contrassegnare come iscritto ricevuto."
"Duplicate template code","Duplica coda template"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Usa questo link per annullare l'iscrizione <!-- Questo tag è per il link di cancellazione --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Nessun valore del tipo %fieldName = %fieldValue"
"Choose Store View:","Scegli vista negozio:"
"Newsletter Message Preview","Anteprima messaggio newsletter"
"Add to Queue","Aggiungi alla coda"
"Are you sure that you want to strip all tags?","Sei sicuro di voler rimuovere tutti i tag?"
"Please enter a new template name.","Inserisci un nuovo nome template."
" Copy"," Copia"
"Are you sure you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"Sign Up for Our Newsletter:","Iscriviti alla nostra Newsletter:"
"Enter your email address","Inserisci la tua email"
"Subscribe","Iscriviti"
"Newsletter subscription confirmation","Conferma di sottoscrizione newsletter"
"Thank you for subscribing to our newsletter.","Grazie per esserti iscritto alla nostra newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Per iniziare a ricevere la newsletter, è prima necessario confermare l'abbonamento cliccando sul seguente link:"
"Newsletter subscription success","Sottoscrizione alla Newsletter avvenuta"
"You have been successfully subscribed to our newsletter.","Sei stato iscritto alla nostra newsletter."
"Newsletter unsubscription success","Cancellazione dalla Newsletter avvenuta"
"You have been unsubscribed from the newsletter.","Sei stato cancellato dalla newsletter."
"Newsletter Template","Templates Newsletter"
"Newsletter Section","Sezione newsletter"
"Subscription Options","Opzioni di iscrizione"
"Allow Guest Subscription","Permetti l'iscrizione agli ospiti"
"Need to Confirm","Necessaria conferma"
"Confirmation Email Sender","Mittente Email conferma"
"Confirmation Email Template","Template Email conferma"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Success Email Sender","Mitente Email iscrizione riuscita"
"Success Email Template","Template Email iscrizione riuscita"
"Unsubscription Email Sender","Mittente email cancellazione newsletter"
"Unsubscription Email Template","Template email cancellazione newsletter"
"We found no problems.","Non abbiamo trovato problemi."
"Subscriber","Abbonato"
"Queue Start Date","Data di inizio di coda"
"Queue Subject","Soggetto Coda"
"Error Code","Codice Errore"
"Error Text","Testo di errore"
"Queue Start","Inizio Coda"
"Queue End","Fine Coda"
"Status","Stato"
"Processed","Eseguiti"
"Recipients","Destinatari"
"Unsubscribe","Annulla Iscrizione"
"Delete","Elimina"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Email"
"Type","Tipo"
"Guest","Ospite"
"Customer","Cliente"
"Customer First Name","Nome cliente"
"Customer Last Name","Cognome cliente"
"Not Activated","Non attivato"
"Subscribed","Sottoscritto"
"Unsubscribed","Iscrizione annullata"
"Unconfirmed","Non confermato"
"Web Site","Website"
"Store","Negozio"
"Store View","Vista Negozio"
"Newsletter Subscriptions","Iscrizioni alla newsletter"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
