"Delete Selected Problems","Seçilen Problemleri Sil"
"Newsletter","Bülten"
"Subscribers","Aboneler"
"Please select one or more subscribers.","Lütfen bir veya daha fazla abone seçin."
"Total of %1 record(s) were deleted.","Toplam %1 kayıt(lar) silindi."
"A total of %1 record(s) were updated.","Toplam %1 kayıt(lar) güncellendi."
"The newsletter template has been deleted.","Bülten Şablonu silindi."
"We can't delete this template right now.","Bu şablon şu anda silinemiyor."
"Edit Template","Şablonu Düzenle"
"New Template","Yeni Şablon"
"Create Newsletter Template","Bülten Teması oluştur"
"The newsletter template has been saved.","Bülten şablonu kaydedildi."
"Something went wrong while saving this template.","Bu şablonu kaydederken bir şeyler ters gitti."
"Newsletter Subscription","Duyuru Aboneliği"
"Something went wrong while saving your subscription.","Aboneliğinizi kaydederken bir şeyler ters gitti."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Aboneliğiniz onaylandı."
"This is an invalid subscription confirmation code.","Bu geçersiz bir abonelik onaylama kodudur."
"This is an invalid subscription ID.","Bu geçersiz bir abonelik kimliğidir."
"This email address is already assigned to another user.","Bu e-posta adresi başka bir kullanıcı ile ilişkilendirilmiş."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Üzgünüm, ama yönetici misafir aboneliğini reddetti. Lütfen <a href=""%1"">kayıt yap</a>."
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi girin."
"This email address is already subscribed.","Bu e-posta adresi zaten abone oldu."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Abonelik kaydınız için teşekkür ederiz."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Abonelikle ilgili birşeyler ters gitti."
"You unsubscribed.","Abonelik kaydınız silinmiştir."
"Something went wrong while unsubscribing you.","Aboneliğiniz iptal edilirken bir şeyler ters gitti."
"Sent","Gönderildi"
"Cancelled","İptal edildi"
"Not Sent","Gönderilmedi"
"Sending","Gönderiliyor"
"Paused","Duraklatıldı"
"There are no subscribers selected.","Seçili kayıtlı abone yok."
"You selected an invalid queue.","Geçersiz bir sıra seçtiniz."
"We cannot mark as received subscriber.","Teslim alan aboneyi işaretlemiyoruz."
"Duplicate template code","Şablon kodu çoğalt"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Abonelikten çıkmak için tıklayınız: <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ile böyle bir giriş yok"
"Choose Store View:","Mağaza Görünümünü Seçiniz:"
"Newsletter Message Preview","Bülten Mesajı Önizleme"
"Add to Queue","Kuyruğa Ekle"
"Are you sure that you want to strip all tags?","Tüm Etiketleri uzatmak istediğinizden emin misiniz?"
"Please enter a new template name.","Lütfen yeni bir şablon adı girin."
" Copy"," Kopyala"
"Are you sure you want to delete this template?","Bu şablonu silmek istediğinizden emin misiniz?"
"Sign Up for Our Newsletter:","Bültenimize Abone Olmak İster misiniz?"
"Enter your email address","E-posta adresinizi giriniz"
"Subscribe","Abone Ol"
"Newsletter subscription confirmation","Bülten abonelik onayı"
"Thank you for subscribing to our newsletter.","Bültenimize abone olduğunuz için teşekkür ederiz."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Bülteni almaya başlamak için öncelikle aşağıdaki bağlantıyı tıklayarak aboneliğinizi onaylamanız gerekir:"
"Newsletter subscription success","Bülten aboneliği başarılı"
"You have been successfully subscribed to our newsletter.","Bültenimize abonelik kaydınız başarıyla oluşturulmuştur."
"Newsletter unsubscription success","Bülten abonelik iptali tamamlandı"
"You have been unsubscribed from the newsletter.","Bülten aboneliğiniz iptal edilmiştir."
"Newsletter Template","Bülten Şablonu"
"Newsletter Section","Bülten Bölümü"
"Subscription Options","Abonelik Seçenekleri"
"Allow Guest Subscription","Misafirlerin Abone Olmasına İzin ver"
"Need to Confirm","Onaylama gerekiyor"
"Confirmation Email Sender","Onay E-posta Göndericisi"
"Confirmation Email Template","Onay E-posta Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Success Email Sender","Başarılı E-posta Göndericisi"
"Success Email Template","Başarılı E-posta Şablonu"
"Unsubscription Email Sender","Abonelik iptali için Email Göndericisi"
"Unsubscription Email Template","Abonelik iptali için Email Teması"
"We found no problems.","Hiç problem bulmadık."
"Subscriber","Abone"
"Queue Start Date","Sıra başlangıç tarihi"
"Queue Subject","Kuyruk Konusu"
"Error Code","Hata Kodu"
"Error Text","Hata Mesajı"
"Queue Start","Kuyruk Başlangıcı"
"Queue End","Kuyruk Sonu"
"Status","Durum"
"Processed","İşlendi"
"Recipients","Alıcılar"
"Unsubscribe","Abonelik iptali"
"Delete","Sil"
"CSV","Csv"
"Excel XML","Excel XML"
"Email","E-posta"
"Type","Tip"
"Guest","Misafir"
"Customer","Müşteri"
"Customer First Name","Müşteri Adı"
"Customer Last Name","Müşteri Soyadı"
"Not Activated","Aktif değil"
"Subscribed","Abone oldu."
"Unsubscribed","Abonelik iptal edildi"
"Unconfirmed","Onaylanmamış"
"Web Site","İnternet sitesi"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Newsletter Subscriptions","Bülten Abonelikleri"
"We have saved your subscription.","Aboneliğinizi kaydettik."
"A confirmation request has been sent.","Onay talebi gönderildi."
"We have removed your newsletter subscription.","Aboneliğinizi kaldırdık."
"We have updated your subscription.","Aboneliğinizi güncelledik."
"General Options","General Options"
"Enabled","Enabled"
