"Delete Selected Problems","Slett valgte problemer"
"Newsletter subscription success","Newsletter subscription success"
"You have been successfully subscribed to our newsletter.","You have been successfully subscribed to our newsletter."
"Newsletter unsubscription success","Newsletter unsubscription success"
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter."
"Newsletter Template","Nyhetsbrev Mal"
"Newsletter Section","Nyhetsbrev Seksjon"
"Subscription Options","Abonnements-alternativer"
"Allow Guest Subscription","Tillat gjesteabonnering"
"Need to Confirm","Trenger å bekrefte"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Bekreftelse e-post mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Success Email Sender","Vellykket Epost Sender"
"Success Email Template","Vellykket Epost Mal"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Subscriber"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Feilkode"
"Error Text","Feiltekst"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Status"
"Processed","Behandlet"
"Recipients","Mottakere"
"Unsubscribe","Avslutt abonnementet"
"Delete","Slett"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-post"
"Type","Type"
"Guest","Gjest"
"Customer","Kunde"
"Customer First Name","Kunden fornavn"
"Customer Last Name","Kunde etternavn"
"Not Activated","Ikke aktivert"
"Subscribed","Startet abonnement"
"Unsubscribed","Avsluttet abonnement"
"Unconfirmed","Ubekreftet"
"Web Site","Webområde"
"Store","Butikk"
"Store View","Butikkvisning"
"Newsletter Subscriptions","Nyhetsbrev abonnement"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","Generelle alternativer"
"Enabled","Aktivert"
