"Delete Selected Problems","מחק את הבעיות שנבחרו"
"Web Site","אתר"
"Store","חנות"
"Store View","תצוגת חנות"
"Newsletter Subscriptions","ניוזלטר - רישום"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
