"Delete Selected Problems","Eliminar problemas seleccionados"
"Duplicate template code","Duplicado del código de la plantilla"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Sigue este enlace para anular tu suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"Choose Store View:","Ladenansicht wählen:"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Add to Queue","Añadir a la cola"
"Are you sure that you want to strip all tags?","¿Realmente quieres borrar todas las etiquetas?"
"Please enter a new template name.","Por favor, introduce un nombre nuevo de plantilla."
" Copy","Copia"
"Are you sure you want to delete this template?","¿Realmente quieres borrar esta plantilla?"
"Sign Up for Our Newsletter:","Inscríbete a nuestro boletín de noticias:"
"Enter your email address","Introduce tu dirección de correo electrónico"
"Subscribe","Suscribirse"
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Thank you for subscribing to our newsletter.","Gracias por suscribirte a nuestro boletín."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Antes de recibir los boletines, debes confirmar la suscripción haciendo clic en el siguiente enlace:"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"You have been successfully subscribed to our newsletter.","Te has suscrito correctamente a nuestro boletín."
"Newsletter unsubscription success","Has cancelado con éxito tu suscripción al boletín informativo"
"You have been unsubscribed from the newsletter.","Has sido dado de baja de nuestro boletín."
"Newsletter Template","Plantillas del boletín informativo"
"Newsletter Section","Sección de boletín"
"Subscription Options","Opciones de suscripción"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Need to Confirm","Debe confirmar"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del tema cuando está seleccionada la opción ""Por defecto""."
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"We found no problems.","No encontramos problemas."
"Subscriber","Suscriptor"
"Queue Start Date","Fecha de inicio de cola"
"Queue Subject","Asunto de la cola de tareas"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de la cola de tareas"
"Queue End","Final de la cola"
"Status","Estado"
"Processed","Procesado"
"Recipients","Recipientes"
"Unsubscribe","Darse de baja"
"Delete","Borrar"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Correo electrónico"
"Type","Tipo"
"Guest","Visitante"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No activado"
"Subscribed","Suscrito"
"Unsubscribed","No suscrito"
"Unconfirmed","Sin confirmar"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"We have saved your subscription.","Se guardó la suscripción."
"A confirmation request has been sent.","Una solicitud de confirmación ha sido enviada."
"We have removed your newsletter subscription.","Hemos eliminado tu suscripción al boletín de noticias."
"We have updated your subscription.","Se actualizó la suscripción."
"General Options","Opciones generales"
"Enabled","Enabled"
