"Delete Selected Problems","حذف المشاكل المحددة"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
"We found no problems.","We found no problems."
"Subscriber","مشترك"
"Queue Start Date","Queue Start Date"
"Queue Subject","موضوع الصف"
"Error Code","كود خطأ"
"Error Text","نص خاطئ"
"Queue Start","بداية الصف"
"Queue End","Queue End"
"Status","الحاله"
"Processed","تجهيز"
"Recipients","المستلمون"
"Unsubscribe","قم بإلغاء الاشتراك"
"Delete","احذف"
"CSV","CSV ملف"
"Excel XML","Excel XML"
"Email","البريد الإلكتروني"
"Type","النوع"
"Guest","زائر"
"Customer","زبون"
"Customer First Name","الاسم الأول للعميل"
"Customer Last Name","اسم عائلة العميل"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
"Web Site","موقع"
"Store","متجر"
"Store View","عرض المتجر"
"Newsletter Subscriptions","الاشتراك بالقائمة البريدية"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
