"Delete Selected Problems","Odstranit zvolené problémy"
"Add to Queue","Přidat do fronty"
"Are you sure that you want to strip all tags?","Skutečně chcete odebrat všechny tagy?"
"Please enter a new template name.","Zadejte název nové šablony"
" Copy","Kopírovat"
"Are you sure you want to delete this template?","Skutečně chcete tuto šablonu odstranit?"
"Sign Up for Our Newsletter:","Přihlaste se k odběru zpravodaje:"
"Enter your email address","Zadejte svůj e-mail"
"Subscribe","Přihlásit odběr"
"Newsletter subscription confirmation","Potvrzení odběru newsletteru"
"Thank you for subscribing to our newsletter.","Děkujeme za přihlášení odběru newsletteru."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Před odběrem zpravodaje je třeba kliknutím na následující odkaz potvrdit odběr newsletteru:"
"Newsletter subscription success","Úspěšné přihlášení k odběru newsletteru"
"You have been successfully subscribed to our newsletter.","Přihlášení k odběru newsletteru proběhlo úspěšně."
"Newsletter unsubscription success","Newsletter unsubscription success"
"You have been unsubscribed from the newsletter.","Byl jste odhlášen z odběru newsletteru."
"Newsletter Template","Šablony zpravodaje"
"Newsletter Section","Sekce newsletteru"
"Subscription Options","Nastavení odběru"
"Allow Guest Subscription","Povolit odběr návštěvníkům"
"Need to Confirm","Požadovat potvrzení"
"Confirmation Email Sender","Odesílatel potvrzovacího e-mailu"
"Confirmation Email Template","Šablona potvrzovacího e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Success Email Sender","Odesílatel přihlašujícího e-mailu"
"Success Email Template","Šablona přihlašujícího e-mailu"
"Unsubscription Email Sender","Odesílatel odhlašujícího e-mailu"
"Unsubscription Email Template","Šablona odhlašovacího e-mailu"
"We found no problems.","Nebyly nalezeny žádné problémy."
"Subscriber","Odběratel"
"Queue Start Date","Start fronty"
"Queue Subject","Předmět fronty"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Queue Start","Start fronty"
"Queue End","Konec fronty"
"Status","Stav"
"Processed","Zpracováno"
"Recipients","Příjemci"
"Unsubscribe","Odhlásit odběr"
"Delete","Smazat"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Typ"
"Guest","Host"
"Customer","Zákazník"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Not Activated","Neaktivováno"
"Subscribed","Přihlášeno"
"Unsubscribed","Odhlášeno"
"Unconfirmed","Nepotvrzeno"
"Web Site","Web"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Newsletter Subscriptions","Příihlášení k odběru newsletteru"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Povoleno"
