"Delete Selected Problems","Usuń zaznaczone problemy"
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Twoja subskrypcja została potwierdzona."
"This is an invalid subscription confirmation code.","To jest nieprawidłowy kod potwierdzający subskrypcję."
"This is an invalid subscription ID.","Jest to identyfikator nieprawidłowej subskrypcji."
"This email address is already assigned to another user.","Ten e-mail jest już przypisany do innego użytkownika."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Niestety, administrator wyłączył subskrypcje dla gości. Prosimy <a href=%1"">zarejestruj się</a>.""."
"Please enter a valid email address.","Prosimy wpisać poprawny adres e-mail"
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Dziękujemy za twoją subskrypcję"
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Coś się zepsuło z subskrypcja."
"You unsubscribed.","Możesz się wypisać."
"Something went wrong while unsubscribing you.","Coś się zepsuło podczas wypisywania się."
"Sent","Wysłano"
"Cancelled","Anulowane"
"Not Sent","Nie wysłane"
"Sending","Wysyłanie"
"Paused","Zatrzymany"
"There are no subscribers selected.","Nie zostali wybrani subskrybenci."
"You selected an invalid queue.","Wybrano nieprawidłową kolejkę."
"We cannot mark as received subscriber.","Nie można oznaczyć jako subskrybenta."
"Duplicate template code","Klonuj kod szablonu"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Użyj tego linku aby się wypisać <!-- Tag dla linku wypisu  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Nie znaleziono %fieldName = %fieldValue"
"Choose Store View:","Wybierz widok sklepu:"
"Newsletter Message Preview","Podgląd newslettera"
"Add to Queue","Dodaj do kolejki"
"Are you sure that you want to strip all tags?","Czy na pewno chcesz usunąć wszystkie znaczniki?"
"Please enter a new template name.","Podaj nową nazwę szablonu."
" Copy","  Kopia"
"Are you sure you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Sign Up for Our Newsletter:","Subskrybuj nasz newsletter:"
"Enter your email address","Wprowadź swój adres e-mail"
"Subscribe","Subskrybuj"
"Newsletter subscription confirmation","Potwierdzenie subskrypcji newslettera"
"Thank you for subscribing to our newsletter.","Dziękujemy za dopisanie się do naszego newslettera."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Aby rozpocząć odbieranie newsletter, musi najpierw potwierdzić subskrypcję klikając na poniższy link:"
"Newsletter subscription success","Udana subskrypcja newslettera"
"You have been successfully subscribed to our newsletter.","Twój adres został pomyślnie dodany do naszej listy subskrypcyjnej newslettera."
"Newsletter unsubscription success","Udane usunięcie subskrypcji newslettera"
"You have been unsubscribed from the newsletter.","Twój adres został usunięty z naszej listy subskrypcyjnej newslettera."
"Newsletter Template","Szablony newslettera"
"Newsletter Section","Sekcja newslettera"
"Subscription Options","Opcje subskrypcji"
"Allow Guest Subscription","Zezwól na subskrybowanie przez niezalogowanych"
"Need to Confirm","Wymaga potwierdzenia"
"Confirmation Email Sender","Nadawca wiadomości potwierdzenia"
"Confirmation Email Template","Szablon wiadomości potwierdzenia"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Success Email Sender","Nadawca wiadomości o powodzeniu"
"Success Email Template","Szablon wiadomości o powodzeniu"
"Unsubscription Email Sender","Nadawca wiadomości wypisującej"
"Unsubscription Email Template","Szablon wiadomości wypisującej"
"We found no problems.","Nie znaleźliśmy żadnych problemów."
"Subscriber","Subskrybent"
"Queue Start Date","Data rozpoczęcia kolejki"
"Queue Subject","Temat kolejki"
"Error Code","Kod błędu"
"Error Text","Tekst błędu"
"Queue Start","Start kolejki"
"Queue End","Koniec kolejki"
"Status","Stan"
"Processed","Przetworzona"
"Recipients","Odbiorcy"
"Unsubscribe","Zrezygnuj"
"Delete","Usuń"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Rodzaj"
"Guest","Gość"
"Customer","Klient"
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Not Activated","Nieaktywny"
"Subscribed","Subskrypcje"
"Unsubscribed","Usunięte subskrypcje"
"Unconfirmed","Niepotwierdzony"
"Web Site","Witryna"
"Store","Sklep"
"Store View","Widok sklepu"
"Newsletter Subscriptions","Subskrypcje newslettera"
"We have saved your subscription.","Zapisaliśmy Twoją subskrypcję."
"A confirmation request has been sent.","Prośba o potwierdzenie została wysłana."
"We have removed your newsletter subscription.","Usunęliśmy Twoją subskrypcję."
"We have updated your subscription.","Zaktualizowaliśmy Twoją subskrypcję."
"General Options","General Options"
"Enabled","Enabled"
