"Delete Selected Problems","Изтриване на избраните проблеми"
"Newsletter subscription success","Бюлетин абонамент успех"
"You have been successfully subscribed to our newsletter.","Успешно се абонирахте за нашия бюлетин."
"Newsletter unsubscription success","Бюлетин отписване успех"
"You have been unsubscribed from the newsletter.","Вие сте отписани от бюлетина."
"Newsletter Template","Шаблон бюлетин"
"Newsletter Section","Секция ""бюлетин"""
"Subscription Options","Избор на бюлетини"
"Allow Guest Subscription","Позволи гости абонамент"
"Need to Confirm","Трябва да потвърдите"
"Confirmation Email Sender","Потвърждение на имейл подател"
"Confirmation Email Template","Шаблон на имейл за потвърждение"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Success Email Sender","Успех имейл подател"
"Success Email Template","Успех имейл шаблон"
"Unsubscription Email Sender","Отписване от имейл подател"
"Unsubscription Email Template","Шаблон на имейл за отписване"
"We found no problems.","Ние открихме никакви проблеми."
"Subscriber","Абонат"
"Queue Start Date","Начална дата на опашката"
"Queue Subject","Предмет на опашката"
"Error Code","Код на грешка"
"Error Text","Текст на грешката"
"Queue Start","Старт на опашката"
"Queue End","Край на опашката"
"Status","Статус"
"Processed","Преработени"
"Recipients","Получателите"
"Unsubscribe","Отписване"
"Delete","Изтрий"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Имейл"
"Type","Тип"
"Guest","Гост"
"Customer","Клиент"
"Customer First Name","Първото име на клиент"
"Customer Last Name","Фамилно име на клиент"
"Not Activated","Не е активиран"
"Subscribed","абониран"
"Unsubscribed","Отписан"
"Unconfirmed","Непотвърден"
"Web Site","Уеб сайт"
"Store","Магазин"
"Store View","Изглед на магазина"
"Newsletter Subscriptions","Абонамент за бюлетин"
"We have saved your subscription.","Успешно се абонирахте за бюлетин."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","Успешно се отписахте от абонамента си за бюлетин."
"We have updated your subscription.","Актуализирахте абонамента си."
"General Options","Основни параметри"
"Enabled","Активиран"
