"Export","エクスポート"
"The destination file path must be a string.","デスティネーションファイルパスはstringでなければなりません。"
"The destination directory is not writable.","デスティネーションディレクトリは書き込み可能ではありません。"
"Destination file is not writable","保存先ファイルに書き込み権限がありません"
"The header column names are already set.","ヘッダーカラム名は既にセットされています。"
"in row(s)","行内に"
"The validation is complete.","認証が完了しました。"
"This file does not contain any data.","このファイルにはデータがありません。"
"Begin import of ""%1"" with ""%2"" behavior","""%1""のインポートを""%2""挙動で開始"
"The import was successful.","インポートは成功しました。"
"The file you uploaded has no extension.","アップロードしたファイルはエクステンションがありません。"
"The source file moving process failed.","ソースファイル移動プロセスが失敗しました。"
"Begin data validation","データ検証開始"
"Import data validation is complete.","インポートデータ承認は完了できました。"
"The behavior token for %1 is invalid.","%1のビヘイビアトークンは無効です。"
"Please enter a correct entity model","正しいエンティティモデルを入力してください"
"Source file coping failed","ソースファイルコピー失敗"
"The source is not set.","ソースは設定されていません。"
"The adapter type must be a non-empty string.","アダプタータイプは空ではない文字列でなければなりません。"
"'%1' file extension is not supported","'%1'ファイル拡張子はサポートされていません"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","アダプターは \Magento\ImportExport\Model\Import\AbstractSource のインスタンスでなければなりません"
"Please specify a source.","ソースを指定してください"
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: インポートデータ認証 - 認証ストラテジーが見つかりません"
"Cannot get autoincrement value","オートインクリメント値を取得できません"
"Error in data structure: %1 values are mixed","データストラクチャーにエラー: %1 値が混在"
"-- Please Select --","-- 選択してください --"
"label","ラベル"
"Add/Update","追加/アップデート"
"Replace","置き換え"
"Delete","削除"
"Note: Product IDs will be regenerated.","注意: 商品IDは再生成されます。"
"Add/Update Complex Data","追加/アップデートコンプレックスデータ"
"Delete Entities","エンティティ削除"
"Custom Action","カスタムアクション"
"Error message","エラーメッセージ"
"URL key for specified store already exists.","指定されたストアのURLキーは既に存在します。"
"Entity Attributes","エンティティ属性"
"Continue","続ける"
"Validation Results","検証結果"
"ID","ID"
"Start Date&Time","開始日付"
"User","ユーザー"
"Imported File","インポートされたファイル"
"Error File","エラーファイル"
"Execution Time","実行時間"
"Summary","レビュータイトル"
"Data validation is failed. Please fix errors and re-upload the file..","データ承認失敗。エラーを解決して再度ファイルをアップロードしてください.."
"Only first 100 errors are displayed here. ","最初の100エラーのみここでは表示されています。"
"in rows:","行:"
"Data validation is failed. Please fix errors and re-upload the file.","データ認証失敗。 エラーを修正してファイルを再度アップロードしてください。"
"in rows","行"
"'Error in CSV: ' .","'CSVのエラー: ' ."
"File must be saved in UTF-8 encoding for proper import","正しくインポートするためには、ファイルを文字コードUTF-8で保存する必要があります。"
"There is no file: %file","ファイルがありません: %file"
"Empty attribute value constant","空の属性値定数"
"Incorrect entity name.","エンティティ名が正しくありません。"
"-- Not Selected --","-- 選択されていません --"
"Validation Strategy","検証方法"
"What is this?","これは何ですか？"
"Message is added to queue, wait to get your file soon","メッセージがキューに追加されました。ファイルはもうすぐ受信できます。"
"Please provide export file name","エクスポートするファイル名を指定してください"
"There are no export file with such name %1","%1 という名前のエクスポート済みファイルがありません。"
"Your export file is ready","エクスポートファイルが利用できるようになりました"
"You can pick up your file at export main page","エクスポート済みファイルはエクスポートメインページでご確認いただけます"
"Error during export process occurred","エクスポート処理中にエラーが発生しました"
"Error during export process occurred. Please check logs for detail","エクスポート処理中にエラーが発生しました。詳細はログをご確認ください。"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","データベース内の既存のエントリに存在する商品データに新しい商品データが追加されます。 skuを除くすべてのフィールドを更新できます。"
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","既存の商品データは新しいデータに置き換えられます。 <b>実行上の注意: 既存の商品データは完全に消去され、作り直されます。システム内で対象の商品を参照しているデータとの整合性が取れなくなる恐れがあるのでご注意ください。</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","インポートされたデータの属するすべてのエンティティがデータベースから削除されます。"
"Are you sure you wan't to delete a file?","ファイルを削除してもよろしいですか。"
"File name","ファイル名"
