"Export","අපනයන"
"Import data validation is complete.","ආයාත දත්ත වලංගු කිරීම සම්පූර්ණයි."
"The behavior token for %1 is invalid.","%1 සඳහා හැසිරීම් ටෝකනය වලංගු නොවේ."
"Please enter a correct entity model","කරුණාකර නිවැරදි ආයතන ආකෘතියක් ඇතුළු කරන්න"
"Source file coping failed","මූලාශ්‍ර ගොනුව සැකසීම අසාර්ථක විය"
"The source is not set.","මූලාශ්රය සකසා නැත."
"The adapter type must be a non-empty string.","ඇඩැප්ටර වර්ගය හිස් නොවන තන්තුවක් විය යුතුය."
"'%1' file extension is not supported","'%1' ගොනු දිගුව සඳහා සහය නොදක්වයි"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","ඇඩැප්ටරය \Magento\ImportExport\Model\Import\Abstract Source හි උදාහරණයක් විය යුතුය"
"Please specify a source.","කරුණාකර මූලාශ්‍රයක් සඳහන් කරන්න."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Import Data Validation - Validation Strategy හමු නොවීය"
"Cannot get autoincrement value","ස්වයං වර්ධක අගය ලබා ගත නොහැක"
"Error in data structure: %1 values are mixed","දත්ත ව්‍යුහයේ දෝෂය: %1 අගයන් මිශ්‍ර වේ"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"label","ලේබලය"
"Add/Update","එකතු කරන්න / යාවත්කාලීන කරන්න"
"Replace","ආදේශ කරන්න"
"Delete","මකන්න"
"Note: Product IDs will be regenerated.","Note: Product IDs will be regenerated."
"Add/Update Complex Data","සංකීර්ණ දත්ත එකතු කිරීම/යාවත්කාලීන කිරීම"
"Delete Entities","ආයතන මකන්න"
"Custom Action","අභිරුචි ක්‍රියාව"
"Error message","දෝෂ පණිවිඩය"
"URL key for specified store already exists.","නිශ්චිත ගබඩාව සඳහා URL යතුර දැනටමත් පවතී."
"Entity Attributes","ආයතන ගුණාංග"
"Continue","දිගටම කරගෙන යන්න"
"Validation Results","වලංගු කිරීමේ ප්රතිඵල"
"ID","හැඳුනුම්පත"
"Start Date&Time","ආරම්භක දිනය සහ වේලාව"
"User","පරිශීලක"
"Imported File","ආයාත කළ ගොනුව"
"Error File","දෝෂ ගොනුව"
"Execution Time","ක්රියාත්මක කිරීමේ කාලය"
"Summary","සාරාංශය"
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file.."
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here. "
"in rows:","in rows:"
"Data validation is failed. Please fix errors and re-upload the file.","Data validation is failed. Please fix errors and re-upload the file."
"in rows","in rows"
"'Error in CSV: ' .","'CSV හි දෝෂයක්:' ."
"File must be saved in UTF-8 encoding for proper import","නිසි ආයාත කිරීම සඳහා ගොනුව UTF-8 කේතනය තුළ සුරැකිය යුතුය"
"There is no file: %file","ගොනුවක් නොමැත: %file"
"Empty attribute value constant","හිස් ගුණාංග අගය නියතය"
"Incorrect entity name.","වැරදි ආයතන නාමය."
"-- Not Selected --","-- තෝරා නැත --"
"Validation Strategy","වලංගු කිරීමේ උපාය මාර්ගය"
"What is this?","මේ කුමක් ද?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","%1වැනි නමක් සහිත අපනයන ගොනුවක් නොමැත"
"Your export file is ready","ඔබගේ නිර්යාත ගොනුව සූදානම්"
"You can pick up your file at export main page","අපනයන ප්‍රධාන පිටුවෙන් ඔබට ඔබේ ගොනුව ලබාගත හැක"
"Error during export process occurred","අපනයන ක්‍රියාවලියේදී දෝෂයක් සිදු විය"
"Error during export process occurred. Please check logs for detail","අපනයන ක්‍රියාවලියේදී දෝෂයක් සිදු විය. විස්තර සඳහා කරුණාකර ලඝු-සටහන් පරීක්ෂා කරන්න"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","දත්ත සමුදායේ පවතින ඇතුළත් කිරීම් සඳහා පවතින නිෂ්පාදන දත්තවලට නව නිෂ්පාදන දත්ත එකතු කරනු ලැබේ. sku හැර අනෙකුත් සියලුම ක්ෂේත්‍ර යාවත්කාලීන කළ හැක."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","පවතින නිෂ්පාදන දත්ත නව දත්ත සමඟ ප්‍රතිස්ථාපනය වේ. <b>දත්ත ප්‍රතිස්ථාපනය කිරීමේදී ප්‍රවේශම් වන්න, මන්ද පවතින නිෂ්පාදන දත්ත සම්පූර්ණයෙන් මකා දමනු ලබන අතර පද්ධතියේ ඇති සියලුම යොමු කිරීම් නැති වී යනු ඇත.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","දත්ත සමුදායේ දැනටමත් පවතින ආනයන දත්තවල ඇති ඕනෑම ආයතන දත්ත සමුදායෙන් මකා දමනු ලැබේ."
"Are you sure you wan't to delete a file?","ඔබට ගොනුවක් මැකීමට අවශ්‍ය නැති බව විශ්වාසද?"
"File name","ගොනුවේ නම"
