"Export","Ver"
"Following Error(s) has been occurred during importing process:","İçe aktarma işlemi sırasında aşağıdaki Hata(lar) oluştu:"
"Only the first 100 errors are shown. ","Yalnızca ilk 100 hata gösterilir. "
"Download full report","Tam raporu indir"
"in row(s):","satır(lar) halinde:"
"Make sure your file isn't more than %1M.","Dosyanızın %1M' den fazla olmadığından emin olun."
"We can't provide the upload settings right now.","Şu anda yükleme ayarlarını sağlayamıyoruz."
"Created: %1, Updated: %2, Deleted: %3","Oluşturuldu: %1, Güncellendi: %2, Silindi: %3"
"Please enter a correct entity model.","Lütfen doğru bir varlık modeli girin."
"The entity adapter object must be an instance of %1 or %2.","Varlık bağdaştırıcısı nesnesi %1 veya %2 örneği olmalıdır."
"The input entity code is not equal to entity adapter code.","Girilen varlık kodu, varlık adaptörü koduna eşit değildir."
"Please enter a correct entity.","Lütfen doğru bir varlık girin."
"The adapter object must be an instance of %1.","Bağdaştırıcı nesnesi %1 örneği olmalıdır."
"Please correct the file format.","Lütfen dosya biçimini düzeltin."
"Begin export of %1","%1 dışa aktarmaya başlayın"
"There is no data for the export.","Dışa aktarma için veri yok."
"Exported %1 rows.","Dışa aktarılmış %1 satırlar."
"The export is finished.","Dışa aktarma bitti."
"Please provide filter data.","Lütfen filtre verileri sağlayın."
"We can't determine the attribute filter type.","Özellik filtre türünü belirleyemiyoruz."
"Entity is unknown","Varlık bulunamıyor"
"We can't identify this file format.","Bu dosya formatını tanımlayamıyoruz."
"Please correct the value for ""%1"" column.","Lütfen ""%1"" sütunundaki değeri düzeltin."
"Please specify the writer.","Lütfen yazarı belirtin."
"The destination file path must be a string.","Hedef dosya yolu bir dize olmalıdır."
"The destination directory is not writable.","Hedef dizini yazılabilir değil."
"Destination file is not writable","Hedef dosyaya yazma hakkı yok"
"The header column names are already set.","Başlık sütun adları zaten ayarlanmış."
"in row(s)","satır(lar) halinde"
"The validation is complete.","Doğrulama tamamlandı."
"This file does not contain any data.","Bu dosya herhangi bir veri içermiyor."
"Begin import of ""%1"" with ""%2"" behavior","""%1"" ile ""%2"" davranışıyla içe aktarmaya başlayın"
"The import was successful.","İçe aktarma başarılı oldu."
"The file you uploaded has no extension.","Yüklediğiniz dosyanın uzantısı yok."
"The source file moving process failed.","Kaynak dosya taşıma işlemi başarısız oldu."
"Begin data validation","Veri doğrulamasına başla"
"Import data validation is complete.","İçe aktarma verileri doğrulama işlemi tamamlandı."
"The behavior token for %1 is invalid.","Davranış %1 belirteci için geçersiz."
"Please enter a correct entity model","Lütfen doğru bir varlık modeli girin"
"Source file coping failed","Kaynak dosya kopyalama başarısız"
"The source is not set.","Kaynak ayarlanamadı."
"The adapter type must be a non-empty string.","Bağdaştırıcı türü boş-olmayan bir dize olmalıdır."
"'%1' file extension is not supported","'%1' dosya uzantısı desteklenmiyor"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Bağdaştırıcı \Magento\ImportExport\Model\Import\AbstractSource örneğinde olmalıdır"
"Please specify a source.","Lütfen bir kaynak belirtin."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: İçe Aktarma Veri doğrulaması - Doğrulama stratejisi bulunamadı"
"Cannot get autoincrement value","Otomatik artış değeri alınamıyor"
"Error in data structure: %1 values are mixed","Veri yapısı hatası: %1 değerleri karıştırıldı"
"-- Please Select --","-- Lütfen Seçiniz --"
"label","etiket"
"Add/Update","Ekle/Güncelle"
"Replace","Yerini Değiştir"
"Delete","Sil"
"Note: Product IDs will be regenerated.","Note: Product IDs will be regenerated."
"Add/Update Complex Data","Karmaşık Verileri Ekle/Güncelle"
"Delete Entities","Varlıkları Sil"
"Custom Action","Özel Eylem"
"Error message","Hata mesajı"
"URL key for specified store already exists.","Belirtilen mağaza için URL anahtarı zaten var."
"Entity Attributes","Varlık Özellikleri"
"Continue","Devam et"
"Validation Results","Doğrulama Sonuçları"
"ID","No"
"Start Date&Time","Başlangıç Tarihi&Saati"
"User","Kullanıcı"
"Imported File","İçe aktarılan dosya"
"Error File","Hata Dosyası"
"Execution Time","Yürütme zamanı"
"Summary","Özet"
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file.."
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here. "
"in rows:","in rows:"
"Data validation is failed. Please fix errors and re-upload the file.","Data validation is failed. Please fix errors and re-upload the file."
"in rows","in rows"
"'Error in CSV: ' .","'Error in CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Incorrect entity name."
"-- Not Selected --","-- Not Selected --"
"Validation Strategy","Validation Strategy"
"What is this?","What is this?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"File name","File name"
