"Export","Eksportuj"
"Begin import of ""%1"" with ""%2"" behavior","Rozpocznij eksport ""%1"" z zachowania ""%2"""
"The import was successful.","Import był udany."
"The file you uploaded has no extension.","Plik który wgrałeś nie ma rozszerzenia."
"The source file moving process failed.","Przesłanie pliku źródłowego nie powiodło się."
"Begin data validation","Rozpocznij walidację danych"
"Import data validation is complete.","Sprawdzanie danych importu zostało zakończone."
"The behavior token for %1 is invalid.","Zachowanie tokena dla %1 jest nieprawidłowe."
"Please enter a correct entity model","Podaj poprawny obiekt modelu"
"Source file coping failed","Nie udało się przenieść źródłowego pliku"
"The source is not set.","Źródło nie jest ustawione."
"The adapter type must be a non-empty string.","Adapter musi być tekstem niepustym."
"'%1' file extension is not supported","rozszerzenie pliku '%1' nie jest obsługiwane"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter musi być instancją Mage\ImportExport\Model\Import\Adapter\AbstractSource"
"Please specify a source.","Prosimy o podanie źródła."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Poprawność danych importu - nie znaleziono strategi sprawdzania poprawności"
"Cannot get autoincrement value","Nie można pobrać wartości automatycznego zwiększania"
"Error in data structure: %1 values are mixed","Błąd w strukturze danych: %1 wartości jednostek są wymieszane"
"-- Please Select --","-- Prosimy wybrać --"
"label","etykieta"
"Add/Update","Dodaj/Aktualizuj"
"Replace","Zastąp"
"Delete","Usuń"
"Note: Product IDs will be regenerated.","Informacja: Identyfikatory produktów zostaną zregenerowane."
"Add/Update Complex Data","Dodaj/Aktualizuj dane złożone"
"Delete Entities","Usuń elementy"
"Custom Action","Akcja niestandardowa"
"Error message","Komunikat błędu"
"URL key for specified store already exists.","Klucz URL dla wybranego sklepu już istnieje."
"Entity Attributes","Cechy jednostki"
"Continue","Kontynuuj"
"Validation Results","Rezultat walidacji"
"ID","Identyfikator"
"Start Date&Time","Data i czas rozpoczęcia"
"User","Użytkownik"
"Imported File","Zaimportowany plik"
"Error File","Błąd pliku"
"Execution Time","Czas wykonania"
"Summary","Podsumowanie"
"Data validation is failed. Please fix errors and re-upload the file..","Walidacja danych nie powiodła się. Proszę poprawić błędy i spróbować ponownie przesłać plik.."
"Only first 100 errors are displayed here. ","Tutaj wyświetlane są tylko pierwsze 100 błędy. "
"in rows:","w rzędach:"
"Data validation is failed. Please fix errors and re-upload the file.","Walidacja danych nie powiodła się. Proszę poprawić błędy i spróbować ponownie przesłać plik."
"in rows","w rzędach:"
"'Error in CSV: ' .","'Błąd w CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Incorrect entity name."
"-- Not Selected --","-- Nie wybrano --"
"Validation Strategy","Validation Strategy"
"What is this?","Co to jest?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Twój plik eksportu jest gotowy"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Czy na pewno chcesz usunąć plik?"
"File name","Nazwa pliku"
