"Export","Xuất"
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Kiểm tra hàng: %1, kiểm tra thực thể: %2, hàng không hợp lệ: %3, tất cả lỗi: %4"
"This file is empty. Please try another one.","Tập tin này là trống rỗng. Hãy thử cái khác."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors"
"File is valid! To start import process press ""Import"" button","Tập tin là hợp lệ! Để bắt đầu quá trình nhập, ấn nút ""Import"""
"The file is valid, but we can't import it for some reason.","Các tập tin là hợp lệ, nhưng chúng tôi không thể tích hợp được do một số lý do."
"Show more","Hiển thị thêm"
"Additional data","Dữ liệu bổ sung"
"Following Error(s) has been occurred during importing process:","Lỗi sau đây đã xuất hiện trong quá trình xuất nhập dữ liệu:"
"in row(s):","trong (các) hàng:"
"Make sure your file isn't more than %1M.","Đảm bảo rằng độ lớn tệp tin của bạn không lớn hơn %1M."
"We can't provide the upload settings right now.","Hiện tại không thể cung cấp các cài đặt tải lên ngay bây giờ."
"Created: %1, Updated: %2, Deleted: %3","Tạo: %1, Cập Nhật: %2, đã xóa: %3"
"Please enter a correct entity model.","Vui lòng nhập một mô hình thực thể chính xác."
"The entity adapter object must be an instance of %1 or %2.","Tổ chức bộ điều hợp đối tượng phải là một thể hiện của %1 hoặc %2."
"The input entity code is not equal to entity adapter code.","Mã thực thể đầu vào không tương đương với mã thực thể kết hợp."
"Please enter a correct entity.","Vui lòng nhập một thực thể chính xác."
"The adapter object must be an instance of %1.","Bộ chuyển đổi đối tượng phải là một ví dụ của %1."
"Please correct the file format.","Xin vui lòng cập nhật các định dạng tập tin."
"Begin export of %1","Bắt đầu xuất khẩu %1"
"There is no data for the export.","Có là không có dữ liệu cho xuất khẩu."
"Exported %1 rows.","Hàng xuất khẩu %1."
"The export is finished.","Xuất khẩu đã xong."
"Please provide filter data.","Xin vui lòng cung cấp lọc dữ liệu."
"We can't determine the attribute filter type.","Chúng tôi không thể xác định loại bộ lọc thuộc tính."
"Entity is unknown","Thực thể không rõ"
"We can't identify this file format.","Không thể xác định được định dạng của tập tin này."
"Please correct the value for ""%1"" column.","Hãy sửa giá trị cho cột ""%1""."
"Please specify the writer.","Hãy chỉ ra các nhà văn."
"The destination file path must be a string.","Đường dẫn tập tin đích phải là một chuỗi."
"The destination directory is not writable.","Thư mục đích không thể ghi được."
"Destination file is not writable","Tệp đích không thể ghi"
"The header column names are already set.","Các tên cột tiêu đề đã được thiết lập."
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"in row(s)","trong (các) hàng"
"The validation is complete.","Xác nhận là hoàn tất."
"This file does not contain any data.","Tệp này không chứa bất kỳ dữ liệu."
"Images file directory is outside required directory","Images file directory is outside required directory"
"Begin import of ""%1"" with ""%2"" behavior","Bắt đầu nhập khẩu của ""%1"" với các hành vi ""%2"""
"The import was successful.","Chuyển nhập đã thành công."
"The file cannot be uploaded.","The file cannot be uploaded."
"The file you uploaded has no extension.","Các tập tin bạn tải lên này không có phần mở rộng."
"The source file moving process failed.","Các tập tin mã nguồn di chuyển quá trình thất bại."
"Begin data validation","Bắt đầu xác nhận dữ liệu"
"Import data validation is complete.","Xác nhận dữ liệu nhập khẩu được hoàn thiện."
"The behavior token for %1 is invalid.","Thẻ hành vi cho %1 không hợp lệ."
"Please enter a correct entity model","Vui lòng nhập một mô hình thực thể chính xác"
"Source file coping failed","Sao chép Nguồn tập tin không thành công"
"The source is not set.","Nguồn không được thiết lập."
"The adapter type must be a non-empty string.","Loại bộ điều hợp phải là một chuỗi không rỗng."
"'%1' file extension is not supported","Định dạng file '%1' không được hỗ trợ"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Bộ điều hợp phải là một thể hiện của \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Xin vui lòng ghi rõ nguồn."
"ImportExport: Import Data validation - Validation strategy not found","Nhập xuất: Xác nhận nhập dữ liệu - chiến lược xác nhận không tìm thấy"
"There is no file: %file","There is no file: %file"
"Cannot get autoincrement value","Không thể có được giá trị tự động gia tăng"
"Error in data structure: %1 values are mixed","Lỗi trong cấu trúc dữ liệu: %1 giá trị là hỗn hợp"
"'Error in CSV: ' .","'Error in CSV: ' ."
"-- Please Select --","-- Vui lòng chọn --"
"label","nhãn"
"Add/Update","Thêm/Cập Nhật"
"Replace","Thay thế"
"Delete","Xóa bỏ"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Add/Update Complex Data","Thêm/Cập nhật dữ liệu phức tạp"
"Delete Entities","Xóa thực thể"
"Custom Action","Tùy chỉnh Hành động"
"Error","Error"
"Error message","Thông báo lỗi"
"URL key for specified store already exists.","URL key cho cửa hàng được chỉ định đã tồn tại."
"Entity 1","Entity 1"
"File Format 1","File Format 1"
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"Entity Attributes","Thuộc tính tổ chức"
"Continue","Tiếp tục"
"Invalid data","Invalid data"
"Validation Results","Xác nhận kết quả"
"Content of uploaded file was changed, please re-upload the file","Content of uploaded file was changed, please re-upload the file"
"Invalid response","Invalid response"
"ID","ID"
"Start Date&Time","Ngày & thời gian bắt đầu"
"User","Người Dùng"
"Imported File","Tệp đã nhập"
"Error File","Lỗi tệp"
"Execution Time","Thời gian thực hiện"
"Summary","Tóm tắt"
"File name","File name"
