"Export","Exportálás"
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"Created: %1, Updated: %2, Deleted: %3","Létrehozva: %1, Frissítve: %2, Törölve: %3"
"Please enter a correct entity model.","Please enter a correct entity model."
"The entity adapter object must be an instance of %1 or %2.","The entity adapter object must be an instance of %1 or %2."
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Please enter a correct entity."
"The adapter object must be an instance of %1.","The adapter object must be an instance of %1."
"Please correct the file format.","Javítsd ki a fájl formátumát."
"Begin export of %1","Begin export of %1"
"There is no data for the export.","Nincs exportálható adat."
"Exported %1 rows.","%1 sor exportáltva."
"The export is finished.","Az Exportálás befejezve."
"Please provide filter data.","Please provide filter data."
"We can't determine the attribute filter type.","We can't determine the attribute filter type."
"Entity is unknown","Entity is unknown"
"We can't identify this file format.","We can't identify this file format."
"Please correct the value for ""%1"" column.","Please correct the value for ""%1"" column."
"Please specify the writer.","Please specify the writer."
"The destination file path must be a string.","The destination file path must be a string."
"The destination directory is not writable.","The destination directory is not writable."
"Destination file is not writable","Destination file is not writable"
"The header column names are already set.","The header column names are already set."
"in row(s)","in row(s)"
"The validation is complete.","The validation is complete."
"This file does not contain any data.","This file does not contain any data."
"Begin import of ""%1"" with ""%2"" behavior","Begin import of ""%1"" with ""%2"" behavior"
"The import was successful.","Az importálás sikeres volt."
"The file you uploaded has no extension.","A feltöltött fájlnak nincs kiterjesztése."
"The source file moving process failed.","A forrásfájl mozgatási folyamata sikertelen."
"Begin data validation","Adatok érvényesítésének megkezdése"
"Import data validation is complete.","Iportált adatok érvényesítése befejeződött."
"The behavior token for %1 is invalid.","The behavior token for %1 is invalid."
"Please enter a correct entity model","Please enter a correct entity model"
"Source file coping failed","Source file coping failed"
"The source is not set.","A forrás nincs beállítva."
"The adapter type must be a non-empty string.","The adapter type must be a non-empty string."
"'%1' file extension is not supported","'%1' file extension is not supported"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Kérem adjon meg egy forrást."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Import Data validation - Validation strategy not found"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Error in data structure: %1 values are mixed","Error in data structure: %1 values are mixed"
"-- Please Select --","-- Kérem válasszon --"
"label","címke"
"Add/Update","Hozzáadás/Frissítés"
"Replace","Csere"
"Delete","Törlés"
"Note: Product IDs will be regenerated.","Note: Product IDs will be regenerated."
"Add/Update Complex Data","Add/Update Complex Data"
"Delete Entities","Delete Entities"
"Custom Action","Egyéni művelet"
"Error message","Hibaüzenet"
"URL key for specified store already exists.","URL key for specified store already exists."
"Entity Attributes","Entity Attributes"
"Continue","Folytatás"
"Validation Results","Érvényesítés eredménye"
"ID","Azonosító"
"Start Date&Time","Kezdő dátum & idő"
"User","Felhasználó"
"Imported File","Importált fájl"
"Error File","Hibafájl"
"Execution Time","Végrehajtási idő"
"Summary","Összefoglaló"
"New product data is added to existing product data entries in the database. All fields except SKU can be updated.","New product data is added to existing product data entries in the database. All fields except SKU can be updated."
"All existing product data is replaced with the imported new data. <b>Exercise caution when replacing data. All existing product data will be completely cleared and all references in the system will be lost.</b>","All existing product data is replaced with the imported new data. <b>Exercise caution when replacing data. All existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that match existing entities in the database are deleted from the database.","Any entities in the import data that match existing entities in the database are deleted from the database."
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Invalid data","Invalid data"
"Invalid response","Invalid response"
"File %1 deleted","File %1 deleted"
"Please provide valid export file name","Please provide valid export file name"
"%1 is not a valid file","%1 is not a valid file"
"Content of uploaded file was changed, please re-upload the file","Content of uploaded file was changed, please re-upload the file"
