"Export","Izvezi"
"Show more","Prikaži more"
"Additional data","Additional data"
"Following Error(s) has been occurred during importing process:","Following Greška(s) je occurred during importing process:"
"Only the first 100 errors are shown. ","Only the first 100 errors are shown."
"Download full report","Preuzmi full report"
"in row(s):","in row(s):"
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"Created: %1, Updated: %2, Deleted: %3","Kreiran: %1, Ažuriran: %2, Obrisan: %3"
"Please enter a correct entity model.","Molimo unesite a correct entity model."
"The entity adapter object must be an instance of %1 or %2.","The entity adapter object must be an instance of %1 or %2."
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Molimo unesite a correct entity."
"The adapter object must be an instance of %1.","The adapter object must be an instance of %1."
"Please correct the file format.","Molimo ispravite the file format."
"Begin export of %1","Begin export of %1"
"There is no data for the export.","There is no data for the export."
"Exported %1 rows.","Exported %1 rows."
"The export is finished.","The export is finished."
"Please provide filter data.","Molimo obezbedite filter data."
"We can't determine the attribute filter type.","We can't determine the attribute filter type."
"Entity is unknown","Entity is nepoznat"
"We can't identify this file format.","We can't identify this file format."
"Please correct the value for ""%1"" column.","Molimo ispravite vrednost za kolonu ""%1""."
"Please specify the writer.","Molimo navedite the writer."
"The destination file path must be a string.","The destination file path must be a string."
"The destination directory is not writable.","The destination directory is not writable."
"Destination file is not writable","Destination file is not writable"
"The header column names are already set.","The header column names are already set."
"in row(s)","in row(s)"
"The validation is complete.","The validation is complete."
"This file does not contain any data.","This file does not contain any data."
"Begin import of ""%1"" with ""%2"" behavior","Započni uvoz ""%1"" sa ""%2"" ponašanjem"
"The import was successful.","The import was successful."
"The file you uploaded has no extension.","The file you uploaded has no extension."
"The source file moving process failed.","The source file moving process failed."
"Begin data validation","Begin data validation"
"Import data validation is complete.","Uvezi data validation is complete."
"The behavior token for %1 is invalid.","The behavior token for %1 is neispravan."
"Please enter a correct entity model","Molimo unesite a correct entity model"
"Source file coping failed","Source file coping failed"
"The source is not set.","The source is not set."
"The adapter type must be a non-empty string.","The adapter type must be a non-empty string."
"'%1' file extension is not supported","'%1' file extension is not supported"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Uvezi\AbstractSource"
"Please specify a source.","Molimo navedite a source."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Uvezi Data validation - Validation strategy nije pronađeno"
"Cannot get autoincrement value","Ne može get autoincrement value"
"Error in data structure: %1 values are mixed","Greška in data structure: %1 values are mixed"
"-- Please Select --","-- Molim odaberite --"
"label","oznaka"
"Add/Update","Dodaj/Ažuriraj"
"Replace","Zameni"
"Delete","Obrisati"
"Note: Product IDs will be regenerated.","Napomena: Proizvod IDs will be regenerated."
"Add/Update Complex Data","Dodaj/Ažuriraj Complex Data"
"Delete Entities","Obriši Entities"
"Custom Action","Custom Akcija"
"Error message","Poruka greške"
"URL key for specified store already exists.","URL key for specified store already exists."
"Entity Attributes","Entity Attributes"
"Continue","Nastavi"
"Validation Results","Validation Results"
"ID","ID"
"Start Date&Time","Početak Datum&Vreme"
"User","User"
"Imported File","Imported Datoteka"
"Error File","Greška Datoteka"
"Execution Time","Execution Vreme"
"Summary","Rezime"
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file.."
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here."
"in rows:","in rows:"
"Data validation is failed. Please fix errors and re-upload the file.","Data validation is failed. Please fix errors and re-upload the file."
"in rows","in rows"
"'Error in CSV: ' .","'Greška in CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","Datoteka must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Netačan entity name."
"-- Not Selected --","-- Nije izabrano --"
"Validation Strategy","Validation Strategy"
"What is this?","Šta je ovo?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Molimo obezbedite export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Greška during export process occurred"
"Error during export process occurred. Please check logs for detail","Greška during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","Novo product data is added to the existing product data for the existing entries in the database. Sve fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Bilo koji entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Da li ste sigurni you wan't to delete a file?"
"File name","Datoteka name"
