"Export","Exportar"
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Add/Update Complex Data","Añadir/actualizar datos complejos"
"Delete Entities","Borrar Entidades"
"Custom Action","Acción personalizada"
"Error","Error"
"Error message","Mensaje de error"
"URL key for specified store already exists.","La clave de URL para la tienda especificada ya existe."
"Entity 1","Entity 1"
"File Format 1","File Format 1"
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"Entity Attributes","Atributos de la entidad"
"Continue","Continuar"
"Invalid data","Invalid data"
"Validation Results","Prüfergebnisse"
"Content of uploaded file was changed, please re-upload the file","Content of uploaded file was changed, please re-upload the file"
"Invalid response","Invalid response"
"ID","Número de Identificación (ID)"
"Start Date&Time","Fecha y hora de inicio"
"User","Usuario"
"Imported File","Archivo importado"
"Error File","Archivo de Error"
"Execution Time","Tiempo de ejecución"
"Summary","Resumen"
"File name","File name"
