"Export","Извези"
"File is valid! To start import process press ""Import"" button","Датотека је исправна! За почетак увоза притисните дугме ""Увоз"""
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason."
"Show more","Прикажи море"
"Additional data","Additional data"
"Following Error(s) has been occurred during importing process:","Фоллоwинг Грешка(с) је оццурред дуринг импортинг процесс:"
"Only the first 100 errors are shown. ","Онлy тхе фирст 100 еррорс аре схоwн."
"Download full report","Преузми фулл репорт"
"in row(s):","in row(s):"
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"Created: %1, Updated: %2, Deleted: %3","Креиран: %1, Ажуриран: %2, Обрисан: %3"
"Please enter a correct entity model.","Молимо унесите а цоррецт ентитy модел."
"The entity adapter object must be an instance of %1 or %2.","The entity adapter object must be an instance of %1 or %2."
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Молимо унесите а цоррецт ентитy."
"The adapter object must be an instance of %1.","The adapter object must be an instance of %1."
"Please correct the file format.","Молимо исправите тхе филе формат."
"Begin export of %1","Begin export of %1"
"There is no data for the export.","There is no data for the export."
"Exported %1 rows.","Exported %1 rows."
"The export is finished.","The export is finished."
"Please provide filter data.","Молимо обезбедите филтер дата."
"We can't determine the attribute filter type.","We can't determine the attribute filter type."
"Entity is unknown","Ентитy ис непознат"
"We can't identify this file format.","We can't identify this file format."
"Please correct the value for ""%1"" column.","Молимо исправите вредност за колону ""%1""."
"Please specify the writer.","Молимо наведите тхе wритер."
"The destination file path must be a string.","The destination file path must be a string."
"The destination directory is not writable.","The destination directory is not writable."
"Destination file is not writable","Destination file is not writable"
"The header column names are already set.","The header column names are already set."
"in row(s)","in row(s)"
"The validation is complete.","The validation is complete."
"This file does not contain any data.","This file does not contain any data."
"Begin import of ""%1"" with ""%2"" behavior","Започни увоз ""%1"" са ""%2"" понашањем"
"The import was successful.","The import was successful."
"The file you uploaded has no extension.","The file you uploaded has no extension."
"The source file moving process failed.","The source file moving process failed."
"Begin data validation","Begin data validation"
"Import data validation is complete.","Увези дата валидатион ис цомплете."
"The behavior token for %1 is invalid.","Тхе бехавиор токен фор %1 ис неисправан."
"Please enter a correct entity model","Молимо унесите а цоррецт ентитy модел"
"Source file coping failed","Source file coping failed"
"The source is not set.","The source is not set."
"The adapter type must be a non-empty string.","The adapter type must be a non-empty string."
"'%1' file extension is not supported","'%1' file extension is not supported"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Адаптер муст бе ан инстанце оф \Магенто\ИмпортЕxпорт\Модел\Увези\АбстрацтСоурце"
"Please specify a source.","Молимо наведите а соурце."
"ImportExport: Import Data validation - Validation strategy not found","ИмпортЕxпорт: Увези Дата валидатион - Валидатион стратегy није пронађено"
"Cannot get autoincrement value","Не може гет аутоинцремент валуе"
"Error in data structure: %1 values are mixed","Грешка ин дата струцтуре: %1 валуес аре миxед"
"-- Please Select --","-- Молим одаберите --"
"label","ознака"
"Add/Update","Додај/Ажурирај"
"Replace","Замени"
"Delete","Обрисати"
"Note: Product IDs will be regenerated.","Напомена: Производ ИДс wилл бе регенератед."
"Add/Update Complex Data","Додај/Ажурирај Цомплеx Дата"
"Delete Entities","Обриши Ентитиес"
"Custom Action","Цустом Акција"
"Error message","Порука грешке"
"URL key for specified store already exists.","URL key for specified store already exists."
"Entity Attributes","Entity Attributes"
"Continue","Настави"
"Validation Results","Validation Results"
"ID","ИД"
"Start Date&Time","Почетак Датум&Време"
"User","User"
"Imported File","Импортед Датотека"
"Error File","Грешка Датотека"
"Execution Time","Еxецутион Време"
"Summary","Резиме"
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file.."
"Only first 100 errors are displayed here. ","Онлy фирст 100 еррорс аре дисплаyед хере."
"in rows:","in rows:"
"Data validation is failed. Please fix errors and re-upload the file.","Data validation is failed. Please fix errors and re-upload the file."
"in rows","in rows"
"'Error in CSV: ' .","'Грешка ин ЦСВ: ' ."
"File must be saved in UTF-8 encoding for proper import","Датотека муст бе савед ин УТФ-8 енцодинг фор пропер импорт"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Нетачан ентитy наме."
"-- Not Selected --","-- Није изабрано --"
"Validation Strategy","Validation Strategy"
"What is this?","Шта је ово?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Молимо обезбедите еxпорт филе наме"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Грешка дуринг еxпорт процесс оццурред"
"Error during export process occurred. Please check logs for detail","Грешка дуринг еxпорт процесс оццурред. Плеасе цхецк логс фор детаил"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","Ново продуцт дата ис аддед то тхе еxистинг продуцт дата фор тхе еxистинг ентриес ин тхе датабасе. Све фиелдс еxцепт ску цан бе упдатед."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Било који ентитиес ин тхе импорт дата тхат алреадy еxист ин тхе датабасе аре делетед фром тхе датабасе."
"Are you sure you wan't to delete a file?","Да ли сте сигурни yоу wан'т то делете а филе?"
"File name","Датотека наме"
