"Export","Ekspor"
"Following Error(s) has been occurred during importing process:","Kesalahan Mengikuti(s) telah terjadi selama proses importasi:"
"Only the first 100 errors are shown. ","Hanya 100 kesalahan pertama yang ditampilkan. "
"Download full report","Download laporan lengkap"
"in row(s):","di baris (s):"
"Make sure your file isn't more than %1M.","Pastikan file anda tidak lebih dari %1M."
"We can't provide the upload settings right now.","Kami tidak dapat memberikan setelan upload sekarang juga."
"Created: %1, Updated: %2, Deleted: %3","Dibuat:%1, Diperbarui:%2, Dihapus:%3"
"Please enter a correct entity model.","Silakan masukkan model entitas yang benar."
"The entity adapter object must be an instance of %1 or %2.","Objek adaptor entitas harus berupa instance dari%1 atau%2."
"The input entity code is not equal to entity adapter code.","Kode entitas input tidak sama dengan kode adaptor entitas."
"Please enter a correct entity.","Silakan masukkan entitas yang benar."
"The adapter object must be an instance of %1.","Objek adaptor harus berupa instance dari%1."
"Please correct the file format.","Perbaiki format file."
"Begin export of %1","Mulai ekspor%1"
"There is no data for the export.","Tidak ada data untuk ekspor."
"Exported %1 rows.","Diekspor %1 baris."
"The export is finished.","Ekspor selesai."
"Please provide filter data.","Berikan data filter."
"We can't determine the attribute filter type.","Kami tidak dapat menentukan jenis filter atribut."
"Entity is unknown","Entity is unknown"
"We can't identify this file format.","Kami tidak dapat mengidentifikasi format file ini."
"Please correct the value for ""%1"" column.","Please correct the value for ""%1"" column."
"Please specify the writer.","Please specify the writer."
"The destination file path must be a string.","Please specify the writer."
"The destination directory is not writable.","The destination directory is not writable."
"Destination file is not writable","Destination file is not writable"
"The header column names are already set.","Nama kolom header telah ditetapkan."
"in row(s)","di baris (s)"
"The validation is complete.","Validasi selesai."
"This file does not contain any data.","File ini tidak berisi data apapun."
"Begin import of ""%1"" with ""%2"" behavior","Mulailah impor ""%1"" dengan perilaku ""%2"""
"The import was successful.","Impornya berhasil."
"The file you uploaded has no extension.","File yang Anda upload tidak memiliki ekstensi."
"The source file moving process failed.","Proses pemindahan file sumber gagal."
"Begin data validation","Mulai validasi data"
"Import data validation is complete.","Impor validasi data sudah lengkap."
"The behavior token for %1 is invalid.","Token perilaku untuk %1 tidak valid."
"Please enter a correct entity model","Silakan masukkan model entitas yang benar"
"Source file coping failed","Penyalinan file sumber gagal"
"The source is not set.","Sumbernya tidak diatur."
"The adapter type must be a non-empty string.","Jenis adaptor harus berupa string yang tidak kosong."
"'%1' file extension is not supported","'%1' Ekstensi file tidak didukung"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adaptor harus berupa instance dari \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Silakan tentukan sumbernya."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Import Data validation - Validation strategy not found"
"Cannot get autoincrement value","Tidak bisa mendapatkan nilai autoincrement"
"Error in data structure: %1 values are mixed","Kesalahan dalam struktur data: nilai-nilai %1 dicampur"
"-- Please Select --","-- Silahkan pilih --"
"label","label"
"Add/Update","Menambahkan/Meningkatkan"
"Replace","Ganti"
"Delete","Hapus"
"Note: Product IDs will be regenerated.","Note: Product IDs will be regenerated."
"Add/Update Complex Data","Tambahkan/Perbarui Data yang kompleks"
"Delete Entities","Hapus Entitas"
"Custom Action","Tindakan kustom"
"Error message","Pesan eror"
"URL key for specified store already exists.","Kunci URL untuk toko tertentu sudah ada."
"Entity Attributes","Atribut Entitas"
"Continue","Lanjut"
"Validation Results","Hasil Validasi"
"ID","Id"
"Start Date&Time","Tanggal & Waktu Mulai"
"User","Pengguna"
"Imported File","File yang Diimpor"
"Error File","File kesalahan"
"Execution Time","Waktu eksekusi"
"Summary","Ringkasan"
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file.."
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here. "
"in rows:","in rows:"
"Data validation is failed. Please fix errors and re-upload the file.","Data validation is failed. Please fix errors and re-upload the file."
"in rows","in rows"
"'Error in CSV: ' .","'Error in CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Incorrect entity name."
"-- Not Selected --","-- Not Selected --"
"Validation Strategy","Validation Strategy"
"What is this?","What is this?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"File name","File name"
