"Save Review","Zapisz recenzję"
"Click <a href=""%1"">here</a> to see the review.","Kliknij <a href=""%1"">tutaj</a> żeby zobaczyć opinię."
"Product: ""%1"" reviewed by: %2","Produkt: ""%1"" oceniony przez: %2"
"Pending Reviews RSS","RSS oczekujących recenzji"
"Reviews %1","Opinie %1"
"Reviews","Opinie"
"The review has been deleted.","Opinia została usunięta."
"Something went wrong  deleting this review.","Coś poszło nie tak, jak powinno, podczas usuwania opinii."
"Customer Reviews","Opinie klientów"
"Edit Review","Edycja recenzji"
"We can't retrieve the product ID.","Nie możemy pobrać ID produktu."
"Please select review(s).","Wybierz opinię."
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
"Something went wrong while deleting these records.","Coś poszło nie tak, jak powinno, podczas usuwania tych rekordów."
"A total of %1 record(s) have been updated.","Zaktualizowano %1 rekordów."
"Something went wrong while updating these review(s).","Coś poszło nie tak, jak powinno, podczas aktualizacji tych opinii."
"You saved the review.","Opinia została zapisana."
"Something went wrong while saving this review.","Coś poszło nie tak, jak powinno, podczas zapisywania tej opinii."
"The review was removed by another user or does not exist.","Opinia została usunięta przez innego użytkownika lub nie istnieje."
"You deleted the rating.","Możesz usunąć ocenę."
"Ratings","Oceny"
"You saved the rating.","Zapisano ocenę."
"My Product Reviews","Moje opinie o produktach"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Dodano swoją recenzję do moderacji."
"We can't post your review right now.","W tej chili nie możemy wysłać Twojej recenzji."
"Storage key was not set","Storage key was not set"
"Approved","Zatwierdzony"
"Pending","Oczekujący"
"Not Approved","Odrzucona"
"Please enter a review summary.","Proszę wpisać treść podsumowania opinii."
"Please enter a nickname.","Proszę podaj nick."
"Please enter a review.","Proszę wpisać treść opinii."
"Rating isn't Available","Ocenianie niedostępne"
"Please specify a rating title for a store, or we'll just use the default value.","Proszę podać tytuł dla oceny sklepu, lub zostanie użyta wartość domyślna."
"Assigned Options","Przypisane opcje"
"Option Title:","Tytuł opcji:"
"Product Name","Nazwa produktu"
"Rating","Ocena"
"Actions","Operacje"
"See Details","Zobacz szczegóły"
"You have submitted no reviews.","Nie masz jeszcze zgłoszonych żadnych recenzji."
"Back","Powrót"
"My Recent Reviews","Moje ostatnie opinie"
"View All","Zobacz wszystkie"
"Average Customer Rating:","Średnia ocena klientów:"
"Your Review","Twoja ocena"
"Submitted on %1","Przekazywane na %1"
"Back to My Reviews","Wróć do swoich recenzji"
"Ratings Review Summary","Podsumowanie przeglądu oceny"
"Be the first to review this product","Oceń ten produkt jako pierwszy"
"Write Your Own Review","Napisz własną recenzję"
"* Required Fields","* pola wymagane"
"You're reviewing:","Napisz opinię o produkcie:"
"Your Rating","Twoja ocena"
"%1 %2","%1 %2"
"Summary","Podsumowanie"
"Submit Review","Dodaj recenzję"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Tylko zarejestrowani użytkownicy mogą pisać Recenzje. Proszę <a href=""%1""> Zaloguj się</a> lub <a href=""%2""> Załóż konto</a>"
"Add Your Review","Dodaj swoją recenzję"
"%1 Review(s)","%1 recenzja(i)"
"Review by","Recenzowany przez"
"Posted on","Wysłany na"
"Back to Main Product Info","Wróć do informacji o produkcie"
"Average Customer Rating","Średnia ocena klientów"
"Product Rating:","Ocena produktu:"
"Product Review (submitted on %1):","Recenzja produktu (zgłoszona %1):"
"Back to Product Reviews","Wróć do recenzji produktu"
"Please select one of each of the ratings above.","Wybierz jedną z powyższych ocen."
"By Customers","Klienci"
"By Products","Produkty"
"Allow Guests to Write Reviews","Pozwól gościom na pisanie recenzji"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
