"Save Review","Simpan Ulasan"
"Pending product review(s)","Tertunda produk ulasan"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produk: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Ringkasan Review: %1 <br/>"
"Review: %1 <br/>","Ulasan: %1 <br/>"
"Store: %1 <br/>","Toko: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Klik <a href=""%1""> di sini</a> untuk melihat ulasan."
"Product: ""%1"" reviewed by: %2","Produk: ""%1"" yang ditinjau oleh: %2"
"Pending Reviews RSS","Tertunda ulasan RSS"
"Reviews %1","%1 ulasan"
"Reviews","Ulasan"
"The review has been deleted.","Review telah dihapus."
"Something went wrong  deleting this review.","Sesuatu yang tidak beres menghapus ulasan ini."
"Customer Reviews","Ulasan pelanggan"
"Edit Review","Mengedit Ulasan"
"We can't retrieve the product ID.","Kami tidak dapat mengambil ID produk."
"Please select review(s).","Silakan pilih ulasan."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"Something went wrong while deleting these records.","Terjadi kesalahan saat menghapus catatan-catatan ini."
"A total of %1 record(s) have been updated.","Total %1 catatan telah diperbaharui."
"Something went wrong while updating these review(s).","Sesuatu yang tidak beres sementara memperbarui ulasan ini."
"You saved the review.","Anda diselamatkan review."
"Something went wrong while saving this review.","Sesuatu yang tidak beres sementara menghemat ulasan ini."
"The review was removed by another user or does not exist.","Ulasan dihapus oleh pengguna lain atau tidak ada."
"You deleted the rating.","Anda menghapus peringkat."
"Ratings","Penilaian"
"You saved the rating.","Anda simpan rating."
"My Product Reviews","Ulasan produk saya"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Anda mengirimkan ulasan Anda untuk moderasi."
"We can't post your review right now.","Kami tidak dapat mengirimkan ulasan Anda sekarang juga."
"Storage key was not set","Storage key was not set"
"Approved","Disetujui"
"Pending","Tertunda"
"Not Approved","Tidak disetujui"
"Please enter a review summary.","Silakan tulis ringkasan singkat."
"Please enter a nickname.","Silakan masukkan nama."
"Please enter a review.","Silakan tulis ringkasan singkat."
"Rating isn't Available","Penilaian tidak tersedia"
"Please specify a rating title for a store, or we'll just use the default value.","Silakan tentukan judul peringkat untuk toko, atau kami hanya akan menggunakan nilai default."
"Assigned Options","Diberikan pilihan"
"Option Title:","Judul Opsi:"
"Product Name","Nama Produk"
"Rating","Penilaian"
"Actions","Tindakan"
"See Details","Lihat Rincian"
"You have submitted no reviews.","Anda telah mengirimkan ada ulasan."
"Back","Kembali"
"My Recent Reviews","Ulasan terakhir saya"
"View All","Lihat semua"
"Average Customer Rating:","Rata-rata Penilaian Pelanggan:"
"Your Review","Ulasan Anda"
"Submitted on %1","Dikirimkan di% 1"
"Back to My Reviews","Kembali ke Ulasan Saya"
"Ratings Review Summary","Peringkat Ulasan Ringkasan"
"Be the first to review this product","Jadilah yang pertama mengulas produk ini"
"Write Your Own Review","Tulis Ulasan Anda Sendiri"
"* Required Fields","* Bidang yang harus diisi"
"You're reviewing:","Anda sedang mengulas:"
"Your Rating","Penilaianmu"
"%1 %2","%1 %2"
"Summary","Ringkasan"
"Submit Review","Kirim Ulasan"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Hanya pengguna terdaftar yang bisa menulis ulasan. Silakan <a href=""%1""> Masuk </a> atau <a href=""%2""> buat akun </a>"
"Add Your Review","Tambahkan Ulasan Anda"
"%1 Review(s)","%1 Ulasan(s)"
"Review by","Ulasan Oleh"
"Posted on","Diposting pada"
"Back to Main Product Info","Kembali ke Info Produk Utama"
"Average Customer Rating","Rata-rata Penilaian Pelanggan"
"Product Rating:","Penilaian Produk:"
"Product Review (submitted on %1):","Ulasan Produk (disampaikan pada% 1):"
"Back to Product Reviews","Kembali ke Ulasan Produk"
"Please select one of each of the ratings above.","Silakan pilih salah satu dari masing-masing peringkat di atas."
"By Customers","Oleh pelanggan"
"By Products","Dengan Produk"
"Allow Guests to Write Reviews","Izinkan Tamu Menulis Ulasan"
"Active","Aktif"
"Inactive","Tidak aktif"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
