"Save Review","ذخیره‌ی نظر"
"Please specify a rating title for a store, or we'll just use the default value.","لطفا عنوان رتبه ای را برای یک فروشگاه مشخص کنید، یا فقط از مقدار پیش فرض استفاده می کنیم."
"Assigned Options","گزینه‌های اختصاص یافته"
"Option Title:","عنوان گزینه:"
"Product Name","نام محصول"
"Rating","امتیاز"
"Actions","کنش‌ها"
"See Details","مشاهده جزئیات"
"You have submitted no reviews.","شما هیچ نظری ارایه نکرده‌اید."
"Back","بازگشت"
"My Recent Reviews","نظرات اخیر من"
"View All","مشاهده‌ی همه"
"Average Customer Rating:","میانگین امتیاز مشتری:"
"Your Review","بررسی شما"
"Submitted on %1","در %1 ارسال شد"
"Back to My Reviews","بازگشت به نظرات من"
"Ratings Review Summary","خلاصه بررسی رأی"
"Be the first to review this product","برای نظر دادن به این محصول اولین باشید"
"Write Your Own Review","نظر خودتان را بنویسید"
"* Required Fields","* زمينه هاي مورد نياز"
"You're reviewing:","شما نظر می دهید:"
"Your Rating","امتیاز شما"
"%1 %2","%1 %2"
"Summary","خلاصه"
"Submit Review","ارایه نظر"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","تنها کاربرانی که ثبت نام کرده اند می توانند نظرات خود را بنویسند. لطفا <a href=""<a href=""%1"">""> وارد شوید </a> یا <a href=""<a href=""%2"">""> یک حساب کاربری ایجاد کنید </a>"
"Add Your Review","افزودن نظرتان"
"%1 Review(s)","%1 نظر (ها)"
"Review by","مرور شده توسط"
"Posted on","نوشته شده در"
"Back to Main Product Info","بازگشت به اطلاعات محصول اصلی"
"Average Customer Rating","میانگین امتیاز مشتری"
"Product Rating:","امتیاز محصول:"
"Product Review (submitted on %1):","بررسی محصول (ارائه شده در %1):"
"Back to Product Reviews","بازگشت به نظرات محصول"
"Please select one of each of the ratings above.","لطفا یکی از هر کدام از رتبه های بالا را انتخاب کنید."
"By Customers","توسط مشتریان"
"By Products","توسط محصولات"
"Allow Guests to Write Reviews","به مهمانان برای نوشتن نظرات اجازه بده"
"Active","فعال"
"Inactive","غیرفعال"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
