"Save Review","Lưu nhận xét"
"Please enter a nickname.","Vui lòng nhập biệt hiệu."
"Please enter a review.","Vui lòng nhập một nhận xét."
"Rating isn't Available","Đánh giá không có sẵn"
"Please specify a rating title for a store, or we'll just use the default value.","Vui lòng xác định một tiêu đề đánh giá cho một cửa hàng, hoặc chúng tôi sẽ chỉ sử dụng giá trị mặc định."
"Assigned Options","Được chỉ định tùy chọn"
"Option Title:","Tiêu đề tùy chọn:"
"Product Name","Tên sản phẩm"
"Rating","Xếp hạng"
"Actions","Thao tác"
"See Details","Xem chi tiết"
"You have submitted no reviews.","Bạn đã gửi đánh giá."
"Back","Trở lại"
"My Recent Reviews","Đánh giá gần đây của tôi"
"View All","Xem tất cả"
"Average Customer Rating:","Trung bình khách hàng đánh giá:"
"Your Review","Nhận xét của bạn"
"Submitted on %1","Gửi ngày %1"
"Back to My Reviews","Quay lại đánh giá của tôi"
"Ratings Review Summary","Bản tóm tắt bài đánh giá xếp hạng"
"Be the first to review this product","Là người đầu tiên để xem xét sản phẩm này"
"Write Your Own Review","Viết nhận xét của riêng bạn"
"* Required Fields","* Bắt buộc"
"You're reviewing:","Bạn đang đánh giá:"
"Your Rating","Xếp hạng của bạn"
"%1 %2","%1 %2"
"Summary","Tóm tắt"
"Submit Review","Gửi đánh giá"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Chỉ người dùng đã đăng ký có thể viết đánh giá. Vui lòng <a href=""%1""> đăng nhập</a> hoặc <a href=""%2""> tạo tài khoản</a>"
"Add Your Review","Thêm nhận xét của bạn"
"%1 Review(s)","%1 đánh giá"
"Review by","đánh giá bởi"
"Posted on","Được đăng trên"
"Back to Main Product Info","Quay lại thông tin sản phẩm chính"
"Average Customer Rating","Trung bình khách hàng đánh giá"
"Product Rating:","Xếp hạng sản phẩm:"
"Product Review (submitted on %1):","Đánh giá sản phẩm (đã gửi trên %1):"
"Back to Product Reviews","Quay lại đánh giá sản phẩm"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","Bởi khách hàng"
"By Products","Bởi sản phẩm"
"Allow Guests to Write Reviews","Cho phép khách viết đánh giá"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
