"Save Review","レビューの保存"
"A total of %1 record(s) have been updated.","合計 %1 レコードがアップデートされました。"
"Something went wrong while updating these review(s).","これらのリビューをアップデート中に問題が発生しました。"
"You saved the review.","レビューは保存されました"
"Something went wrong while saving this review.","このレビューを保存中に問題が発生しました"
"The review was removed by another user or does not exist.","レビューがほかのユーザーによって削除されたか、または存在していません。"
"You deleted the rating.","レーティングが削除されました"
"Ratings","レーティング"
"You saved the rating.","レーティングは保存されました"
"My Product Reviews","商品レビュー"
"Cannot initialize product","製品を初期化できません"
"You submitted your review for moderation.","リビューを投稿しました。"
"We can't post your review right now.","現在お客様のレビューを投稿できません。"
"Storage key was not set","保管キーはセットされていません"
"Approved","受付済"
"Pending","処理待ち"
"Not Approved","未承認"
"Please enter a review summary.","リビューサマリーを入力してください。"
"Please enter a nickname.","ニックネームを入力してください。"
"Please enter a review.","リビューを入力してください。"
"Rating isn't Available","評価することはできません"
"Please specify a rating title for a store, or we'll just use the default value.","ストアの評価タイトルを指定してください、または既定値が使用されます。"
"Assigned Options","割り当て済みのオプション"
"Option Title:","オプションのタイトル:"
"Product Name","商品名"
"Rating","レーティング"
"Actions","アクション"
"See Details","詳細をご覧ください"
"You have submitted no reviews.","まだレビューを書いていません。"
"Back","戻る"
"My Recent Reviews","最近のレビュー"
"View All","全て表示"
"Average Customer Rating:","平均評価:"
"Your Review","あなたのレビュー"
"Submitted on %1","投稿日 %1"
"Back to My Reviews","レビューに戻る"
"Ratings Review Summary","レーティングレビューまとめ"
"Be the first to review this product","この商品の最初のレビューを書く"
"Write Your Own Review","あなたのレビューを投稿する"
"* Required Fields","* 必須項目"
"You're reviewing:","レビュー中の商品:"
"Your Rating","あなたのレーティング"
"%1 %2","%1 %2"
"Summary","レビュータイトル"
"Submit Review","レビューを送信"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","登録ユーザーのみがレビューを書くことができます。 <a href=""%1"">ログイン</a>するか、<a href=""%2"">アカウントを作成</a>してください"
"Add Your Review","レビューを追加"
"%1 Review(s)","%1 レビュー"
"Review by","レビューした人"
"Posted on","投稿日"
"Back to Main Product Info","商品メイン情報に戻る"
"Average Customer Rating","平均評価"
"Product Rating:","商品評価:"
"Product Review (submitted on %1):","商品レビュー (投稿日 %1):"
"Back to Product Reviews","商品レビューに戻る"
"Please select one of each of the ratings above.","評価を選択してください。"
"By Customers","顧客毎"
"By Products","商品毎"
"Allow Guests to Write Reviews","ゲストのレビュー投稿を許可する"
"Active","アクティブ"
"Inactive","未アクティブ"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","登録済みユーザーのみレビューを書くことができます。<a href=""%1""> ログイン</a> または <a href=""%2""> アカウントを作成</a>してください。"
"Enabled","有効"
"The storage key wasn't set. Add the storage key and try again.","ストレージキーが設定されていません。ストレージキーを追加してもう一度試してください。"
